,datetime,title,source,link,sentiment_class,sentiment_score
0,4/8/2020 6:13:19 PM,7 Companies That Deserve to Be S&P 500 Stocks,InvestorPlace,/news/stocks/7-companies-that-deserve-to-be-sp-500-stocks-1029077621,positive,0.9320710897445679
1,5/7/2020 2:20:28 AM,Otis Worldwide declares $0.20 dividend,Seeking Alpha,https://seekingalpha.com/news/3570807-otis-worldwide-declares-0_20-dividend?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9032110571861267
2,5/7/2020 5:09:33 AM,"Otis Worldwide EPS beats by $0.14, misses on revenue",Seeking Alpha,https://seekingalpha.com/news/3570833-otis-worldwide-eps-beats-0_14-misses-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.4763222336769104
3,8/26/2020 5:12:49 PM,10 S&P 500 Stocks to Buy for Growth and Value,InvestorPlace,/news/stocks/10-sp-500-stocks-to-buy-for-growth-and-value-1029537355,positive,0.8114318251609802
4,9/30/2020 12:51:57 PM,7 Innovative Stocks With Their Eyes on the Future,InvestorPlace,/news/stocks/7-innovative-stocks-with-their-eyes-on-the-future-1029635833,positive,0.8542580604553223
5,10/25/2020 4:34:08 PM,Notable earnings before Monday's open,Seeking Alpha,https://seekingalpha.com/news/3625500-notable-earnings-mondays-open?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.8824691772460938
6,10/25/2020 5:26:07 PM,Otis Worldwide Q3 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3625527-otis-worldwide-q3-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.843271791934967
7,10/26/2020 10:19:49 AM,"Otis Worldwide EPS beats by $0.13, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3625583-otis-worldwide-eps-beats-0_13-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.6940423250198364
8,10/26/2020 12:26:45 PM,Otis improves full-year outlook; shares +1.4%,Seeking Alpha,https://seekingalpha.com/news/3625676-otis-improves-full-year-outlook-sharesplus-1_4?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.945319652557373
9,12/18/2020 8:52:19 PM,Certain Private Residence Elevators Being Recalled Over Safety Concerns ,RTTNews,/news/stocks/certain-private-residence-elevators-being-recalled-over-safety-concerns-1029907482,neutral,0.9642114639282227
10,12/23/2020 3:49:06 PM,The 12 Best Stocks to Buy for a Whole New Year of Returns in 2021,InvestorPlace,/news/stocks/12-best-stocks-to-buy-for-a-whole-new-year-of-returns-in-2021-1029866334,positive,0.6599870324134827
11,1/29/2021 5:20:52 PM,Notable earnings before Monday's open,Seeking Alpha,https://seekingalpha.com/news/3656265-notable-earnings-before-mondays-open?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.8824691772460938
