,datetime,title,source,link,sentiment_class,sentiment_score
0,9/29/2016 7:30:22 PM,"BRIEF-MedEquities Realty Trust shares open at $11.50 in debut, below IPO price of $12/shr (MRT)",Reuters,/news/stocks/brief-medequities-realty-trust-shares-open-at-$11-50-in-debut-below-ipo-price-of-$12-shr-mrt-1001413813,neutral,0.6876113414764404
1,3/21/2017 12:25:00 PM,"Technical Reports on Staffing and Outsourcing Equities -- Paychex, Robert Half, ManpowerGroup, and Korn/Ferry",PR Newswire,/news/stocks/technical-reports-on-staffing-and-outsourcing-equities-paychex-robert-half-manpowergroup-and-korn-ferry-1001853372,positive,0.9078313708305359
2,3/22/2017 2:15:00 PM,SurePayroll Wins Silver Stevie® Award For Contact Center Of The Year In 11th Annual Stevie Awards For Sales & Customer Service,PR Newswire,/news/stocks/surepayroll-wins-silver-stevie-award-for-contact-center-of-the-year-in-11th-annual-stevie-awards-for-sales-customer-service-1001858140,negative,0.9138753414154053
3,3/29/2017 2:33:16 PM,Paychex Inc. Reports 10% Increase In Q3 Earnings,RTTNews,/news/stocks/paychex-inc-reports-10-increase-in-q3-earnings-1001877824,negative,0.9500975608825684
4,3/29/2017 2:43:28 PM,Paychex Backs FY17 Outlook - Quick Facts ,RTTNews,/news/stocks/paychex-backs-fy17-outlook-quick-facts-1001877867,positive,0.7982985377311707
5,3/29/2017 2:52:50 PM,BRIEF-Paychex reports Q3 earnings per share $0.56 (PAYX),Reuters,http://www.businessinsider.com/r-brief-paychex-reports-q3-earnings-per-share-056-2017-3,positive,0.8784450888633728
6,4/27/2017 5:11:00 PM,The SurePayroll Small Business Scorecard®: If I Knew Then What I Know Now - Insight from Small Business Owners,PR Newswire,/news/stocks/the-surepayroll-small-business-scorecard-if-i-knew-then-what-i-know-now-insight-from-small-business-owners-1001957838,positive,0.8790843486785889
7,5/16/2017 12:45:00 PM,"Research Reports Coverage on Staffing and Outsourcing Services Stocks -- Paychex, ManpowerGroup, Robert Half, and Staffing 360 Solutions",PR Newswire,/news/stocks/research-reports-coverage-on-staffing-and-outsourcing-services-stocks-paychex-manpowergroup-robert-half-and-staffing-360-solutions-1002016337,positive,0.937166154384613
8,6/2/2017 6:45:00 PM,Paychex Among the First PEOs to Receive New IRS Certification,PR Newswire,/news/stocks/paychex-among-the-first-peos-to-receive-new-irs-certification-1002064383,positive,0.8250474333763123
9,6/12/2017 8:07:00 PM,Paychex to Showcase Solutions to Help Broaden the Advisory Role of Accountants in the Area of Human Resources at AICPA Engage 2017,PR Newswire,/news/stocks/paychex-to-showcase-solutions-to-help-broaden-the-advisory-role-of-accountants-in-the-area-of-human-resources-at-aicpa-engage-2017-1002086677,negative,0.7511219382286072
10,6/19/2017 2:58:00 PM,2017 Paychex Pulse of HR Survey: HR Gaining C-Suite Influence by Building Tech Capabilities,PR Newswire,/news/stocks/2017-paychex-pulse-of-hr-survey-hr-gaining-c-suite-influence-by-building-tech-capabilities-1002103629,negative,0.868046760559082
11,6/28/2017 2:34:20 PM,Paychex Inc. Reveals 9% Advance In Q4 Profit,RTTNews,/news/stocks/paychex-inc-reveals-9-advance-in-q4-profit-1002131108,negative,0.933338463306427
12,6/28/2017 2:43:53 PM,Paychex Issues FY18 Outlook - Quick Facts ,RTTNews,/news/stocks/paychex-issues-fy18-outlook-quick-facts-1002131175,positive,0.9339072704315186
