datetime,title,source,link,sentiment_class,sentiment_score
8/31/2011 4:03:18 AM,BofA sued over $1.75 bln Countrywide mortgage pool,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/exCaHfReES4/idINIndia-59059920110831,negative,0.922279417514801
11/9/2012 10:25:45 PM,BRICS eye forex reserves pool of up to $240 billion - document,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/wEAIN2Tzpdc/brics-reserves-idINDEE8A80E320121109,neutral,0.8292981386184692
3/21/2013 6:46:09 PM,"India, other BRICS countries to endorse joint reserves pool, bank",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/PfcM1wAkj_w/story01.htm,neutral,0.88193678855896
4/3/2013 6:11:11 PM,India plans reinsurance pool to cover refiners handling Iran oil,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/jkmKm9Fng2A/story01.htm,neutral,0.862238347530365
10/16/2013 8:55:46 AM,Dark pool stock trading picks up as Europe debates new curbs,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/2SdHPE1GSd4/story01.htm,positive,0.7884286642074585
2/11/2014 10:34:42 PM,Lloyds to bulk up bonus pool by nearly 10 percent: Sky,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/jZHzRIxC0n8/story01.htm,positive,0.8040739893913269
3/4/2014 8:51:34 PM,"Exclusive: Mercedes, Infiniti to pool small cars, plant - sources",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ogZ_47qt7og/story01.htm,neutral,0.9455428123474121
3/12/2014 1:53:47 PM,Wall St. cash bonus pool up 15 pct to $26.7 billion in 2013: NYS Comptroller,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Bqcx_8d1mTU/story01.htm,positive,0.9494385719299316
4/9/2014 2:05:41 AM,Goldman Sachs may close dark pool Sigma X: WSJ,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/U5hNlpBF4Yg/story01.htm,neutral,0.8254156112670898
6/26/2014 9:41:16 PM,Barclays CEO says undertaking internal dark pool investigation,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/mdwpU8_VUYQ/story01.htm,negative,0.7758039236068726
6/27/2014 1:02:29 AM,Banks withdraw from Barclays' dark pool: FT,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/jVAlxFiF6sk/story01.htm,neutral,0.691737174987793
7/1/2014 3:58:02 PM,Goldman Sachs fined over trade rule violations in dark pool,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/al98_8iO3Ew/story01.htm,negative,0.9074875712394714
