,datetime,title,source,link,sentiment_class,sentiment_score
0,9/26/2016 12:00:24 PM,BRIEF-Roper Technologies entered into a 5-year unsecured credit facility - SEC Filing (ROP),Reuters,/news/stocks/brief-roper-technologies-entered-into-a-5-year-unsecured-credit-facility-sec-filing-rop-1001416568,positive,0.9059506058692932
1,11/22/2016 2:26:18 PM,BRIEF-Roper Technologies sets quarterly dividend of $0.35 per share (ROP),Reuters,http://www.businessinsider.com/r-brief-roper-technologies-sets-quarterly-dividend-of-035-per-share-2016-11,positive,0.909259021282196
2,12/6/2016 2:20:03 PM,Roper Technologies to buy software firm Deltek in $2.8 billion deal,Reuters,http://www.businessinsider.com/r-roper-technologies-to-buy-software-firm-deltek-in-28-billion-deal-2016-12,positive,0.9004538059234619
3,12/6/2016 2:30:05 PM,BRIEF-Roper Technologies to acquire Deltek (ROP),Reuters,http://www.businessinsider.com/r-brief-roper-technologies-to-acquire-deltek-2016-12,positive,0.9337497353553772
4,12/6/2016 2:54:03 PM,UPDATE 1-Roper Technologies to buy software firm Deltek in $2.8 bln deal (ROP),Reuters,http://www.businessinsider.com/r-update-1-roper-technologies-to-buy-software-firm-deltek-in-28-bln-deal-2016-12,positive,0.8140556216239929
5,12/8/2016 2:28:03 AM,"BRIEF-Roper Technologies says entered into a commitment letter with JPMorgan Chase Bank, N.A. (ROP)",Reuters,http://www.businessinsider.com/r-brief-roper-technologies-says-entered-into-a-commitment-letter-with-jpmorgan-chase-bank-na-2016-12,negative,0.8475836515426636
6,12/8/2016 5:06:14 PM,BRIEF-Roper Technologies says files for offering of senior notes (ROP),Reuters,http://www.businessinsider.com/r-brief-roper-technologies-says-files-for-offering-of-senior-notes-2016-12,positive,0.9257094860076904
7,12/9/2016 5:50:05 AM,BRIEF-Roper Technologies prices public offering of $500 mln senior unsecured notes (ROP),Reuters,http://www.businessinsider.com/r-brief-roper-technologies-prices-public-offering-of-500-mln-senior-unsecured-notes-2016-12,positive,0.8863505125045776
8,2/9/2017 1:02:02 PM,EARNINGS SUMMARY: Details of Roper Technologies Inc. Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-roper-technologies-inc-q4-earnings-report-1001737019,positive,0.9328771829605103
9,2/9/2017 1:30:12 PM,BRIEF-Roper Technologies posts Q4 adj. earnings per share $1.86 (ROP),Reuters,http://www.businessinsider.com/r-brief-roper-technologies-posts-q4-adj-earnings-per-share-186-2017-2,positive,0.8265756368637085
10,3/10/2017 1:38:22 PM,BRIEF-Roper Technologies says Robert Crisci appointed CFO (ROP),Reuters,http://www.businessinsider.com/r-brief-roper-technologies-says-robert-crisci-appointed-cfo-2017-3,positive,0.9403612017631531
11,3/13/2017 12:48:00 PM,"DAT Freight Index: Strong February Spot Truckload Volumes, Rates Rise at Month's End",PR Newswire,/news/stocks/dat-freight-index-strong-february-spot-truckload-volumes-rates-rise-at-month-s-end-1001828756,negative,0.9508175849914551
12,3/21/2017 10:04:47 PM,"Manufacturing software company Plex Systems explores sale -sources (GE, SIE, MS, ROP)",Reuters,http://www.businessinsider.com/r-manufacturing-software-company-plex-systems-explores-sale--sources-2017-3,positive,0.946374237537384
13,3/22/2017 7:47:00 PM,DAT Solutions Introduces New Broker Benchmarking Service,PR Newswire,/news/stocks/dat-solutions-introduces-new-broker-benchmarking-service-1001859404,positive,0.7799631357192993
14,3/27/2017 2:52:00 PM,DAT RateView to Be Used as Foundation for Trucking Futures Exchange,PR Newswire,/news/stocks/dat-rateview-to-be-used-as-foundation-for-trucking-futures-exchange-1001870007,positive,0.9052544236183167
15,4/11/2017 7:03:00 PM,DAT Solutions a Finalist in the 2017 ICMI Global Contact Center Awards,PR Newswire,/news/stocks/dat-solutions-a-finalist-in-the-2017-icmi-global-contact-center-awards-1001915014,negative,0.7691987156867981
16,4/12/2017 7:30:00 PM,DAT Freight Index: March Truckload Volume Rises; Rates Lag,PR Newswire,/news/stocks/dat-freight-index-march-truckload-volume-rises-rates-lag-1001918520,negative,0.8635982871055603
17,4/13/2017 12:40:00 PM,"Machinery Stocks under Scanner -- Roper, Actuant, Hudson, and Generac",PR Newswire,/news/stocks/machinery-stocks-under-scanner-roper-actuant-hudson-and-generac-1001920196,neutral,0.645519495010376
18,4/26/2017 4:53:00 PM,Horizon Software Recognized as one of the 10 Hottest K12 Solution Providers for 2017,PR Newswire,/news/stocks/horizon-software-recognized-as-one-of-the-10-hottest-k12-solution-providers-for-2017-1001952358,negative,0.8613970279693604
19,4/28/2017 1:02:40 PM,Roper Technologies Inc. Reveals 4% Increase In Q1 Profit,RTTNews,/news/stocks/roper-technologies-inc-reveals-4-increase-in-q1-profit-1001961322,negative,0.9461607336997986
