,datetime,title,source,link,sentiment_class,sentiment_score
0,5/21/2021 4:08:34 PM,"Benzinga's Top Ratings Upgrades, Downgrades For May 21, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-may-21-2021-1030455360,neutral,0.597612202167511
1,6/9/2021 1:43:50 PM,10 Biggest Price Target Changes For Wednesday,Benzinga,/news/stocks/10-biggest-price-target-changes-for-wednesday-1030507094,positive,0.8142690658569336
2,6/9/2021 5:41:13 PM,Expert Ratings for Seagate Technology,Benzinga,/news/stocks/expert-ratings-for-seagate-technology-1030508567,positive,0.8332653641700745
3,6/11/2021 5:18:42 PM,Analyst Ratings for Seagate Technology,Benzinga,/news/stocks/analyst-ratings-for-seagate-technology-1030516264,positive,0.9098732471466064
4,6/11/2021 5:31:59 PM,"Benzinga's Top Ratings Upgrades, Downgrades For June 11, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-june-11-2021-1030516293,neutral,0.6008860468864441
5,6/24/2021 5:36:42 PM,What 20 Analyst Ratings Have To Say About Seagate Technology,Benzinga,/news/stocks/what-20-analyst-ratings-have-to-say-about-seagate-technology-1030552139,positive,0.9396487474441528
6,6/30/2021 12:03:35 PM,A Peek Into The Markets: US Stock Futures Down Ahead Of ADP Report,Benzinga,/news/stocks/a-peek-into-the-markets-us-stock-futures-down-ahead-of-adp-report-1030566159,neutral,0.9163837432861328
7,6/30/2021 4:16:19 PM,"Benzinga's Top Ratings Upgrades, Downgrades For June 30, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-june-30-2021-1030567677,neutral,0.5646983981132507
8,6/30/2021 6:47:42 PM,Analyst Ratings For Seagate Technology,Benzinga,/news/stocks/analyst-ratings-for-seagate-technology-1030568464,positive,0.9098732471466064
9,6/30/2021 6:47:50 PM,Where Seagate Technology Stands With Analysts,Benzinga,/news/stocks/where-seagate-technology-stands-with-analysts-1030568463,positive,0.8879611492156982
10,7/16/2021 8:52:35 PM,Where Seagate Technology Stands With Analysts,Benzinga,/news/stocks/where-seagate-technology-stands-with-analysts-1030616087,positive,0.8879611492156982
11,7/19/2021 3:01:28 PM,Here's what to expect from Seagate Technology's earnings report,Markets Insider Automation,/news/stocks/seagate_technology_1-quarter-earnings-preview-q4-1030620335,positive,0.9179031848907471
12,7/22/2021 6:35:08 PM,What 26 Analyst Ratings Have To Say About Seagate Technology,Benzinga,/news/stocks/what-26-analyst-ratings-have-to-say-about-seagate-technology-1030636261,positive,0.9370638728141785
13,8/12/2021 1:54:55 PM,10 Biggest Price Target Changes For Thursday,Benzinga,/news/stocks/10-biggest-price-target-changes-for-thursday-1030723932,positive,0.7969076037406921
