,datetime,title,source,link,sentiment_class,sentiment_score
0,7/2/2024 7:00:00 AM,"Sodexo Q3 Fiscal 2024: continued robust growth, in line with expectations",GlobeNewswire,/news/stocks/sodexo-q3-fiscal-2024-continued-robust-growth-in-line-with-expectations-1033521532,negative,0.9529564380645752
1,7/23/2024 7:30:00 PM,Sodexo is pleased to announce the simplification of its ownership structure and payment of an interim dividend of €6.24 per share,GlobeNewswire,/news/stocks/sodexo-is-pleased-to-announce-the-simplification-of-its-ownership-structure-and-payment-of-an-interim-dividend-of-6-24-per-share-1033583998,negative,0.7932770252227783
2,7/24/2024 8:10:24 PM,International Paper Q2 Earnings Surpass Estimates,Benzinga,/news/stocks/international-paper-q2-earnings-surpass-estimates-1033590517,negative,0.811164379119873
3,7/25/2024 7:25:00 PM,Sodexo successfully completes €1.75bn refinancing of the Sustainability linked Syndicated Revolving Credit Facility ,GlobeNewswire,/news/stocks/sodexo-successfully-completes-1-75bn-refinancing-of-the-sustainability-linked-syndicated-revolving-credit-facility-1033596141,negative,0.9457657337188721
4,7/26/2024 3:35:03 PM,Sea declares $0.3025 dividend,Seeking Alpha,https://seekingalpha.com/news/4129033-smurfit-westrock-plc-declares-0_3025-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.947402834892273
5,7/29/2024 8:40:46 AM,Assessing the Complex Integration and Future Prospects of Smurfit Westrock: A Cautious Hold Rating,TipRanks,/news/stocks/assessing-the-complex-integration-and-future-prospects-of-smurfit-westrock-a-cautious-hold-rating-1033605673,positive,0.81331866979599
6,7/30/2024 8:39:50 PM,"Sea GAAP EPS of $0.51 misses by $0.29, revenue of $2.97B",Seeking Alpha,https://seekingalpha.com/news/4130629-sea-gaap-eps-of-0_51-misses-0_29-revenue-of-2_97b?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.8036785125732422
7,7/31/2024 10:22:16 AM,Analysts’ Opinions Are Mixed on These Consumer Goods Stocks: Smurfit Westrock (SW) and Mondelez International (MDLZ),TipRanks,/news/stocks/analysts-opinions-are-mixed-on-these-consumer-goods-stocks-smurfit-westrock-sw-and-mondelez-international-mdlz-1033618469,neutral,0.8168597221374512
8,7/31/2024 10:35:03 AM,Analysts Offer Insights on Consumer Goods Companies: Smurfit Westrock (SW) and Constellation Brands (STZ),TipRanks,/news/stocks/analysts-offer-insights-on-consumer-goods-companies-smurfit-westrock-sw-and-constellation-brands-stz-1033618551,positive,0.9083011746406555
9,7/31/2024 1:49:47 PM,Bank of America Securities Reaffirms Their Buy Rating on Smurfit Westrock (SW),TipRanks,/news/stocks/bank-of-america-securities-reaffirms-their-buy-rating-on-smurfit-westrock-sw-1033620197,positive,0.8404185175895691
10,8/1/2024 6:57:11 AM,Barclays Keeps Their Buy Rating on Smurfit Westrock (SW),TipRanks,/news/stocks/barclays-keeps-their-buy-rating-on-smurfit-westrock-sw-1033625157,positive,0.9156928062438965
11,8/12/2024 9:01:55 AM,Analysts’ Opinions Are Mixed on These Consumer Goods Stocks: Kraft Heinz (KHC) and Smurfit Westrock (SW),TipRanks,/news/stocks/analysts-opinions-are-mixed-on-these-consumer-goods-stocks-kraft-heinz-khc-and-smurfit-westrock-sw-1033676758,neutral,0.7029942274093628
12,8/19/2024 8:27:41 AM,"SW Stock Earnings: Smurfit WestRock Misses EPS, Misses Revenue for Q2 2024",InvestorPlace,/news/stocks/sw-stock-earnings-smurfit-westrock-for-q2-of-2024-1033703398,neutral,0.9468331933021545
13,8/23/2024 8:59:00 AM,Sodexo announces the completion of the sale of Sofinsod for € 918 million and the payment of a special interim dividend,GlobeNewswire,/news/stocks/sodexo-announces-the-completion-of-the-sale-of-sofinsod-for-918-million-and-the-payment-of-a-special-interim-dividend-1033717110,positive,0.8480277061462402
14,8/30/2024 9:20:18 AM,Analysts Offer Insights on Consumer Goods Companies: Smurfit Westrock (SW) and Campbell Soup (CPB),TipRanks,/news/stocks/analysts-offer-insights-on-consumer-goods-companies-smurfit-westrock-sw-and-campbell-soup-cpb-1033736596,positive,0.9252362251281738
15,10/3/2024 6:45:52 AM,Barclays Sticks to Its Buy Rating for Smurfit Westrock (SW),TipRanks,/news/stocks/barclays-sticks-to-its-buy-rating-for-smurfit-westrock-sw-1033817604,positive,0.8687870502471924
