,datetime,title,source,link,sentiment_class,sentiment_score
0,6/5/2020 8:35:00 PM,Trane Technologies declares $0.53 dividend,Seeking Alpha,https://seekingalpha.com/news/3580903-trane-technologies-declares-0_53-dividend?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9433040022850037
1,7/28/2020 3:01:59 PM,Here's what to expect from Ingersoll-Rand's earnings,Markets Insider Automation,/news/stocks/ingersoll-rand_2-q2-earnings-preview-1029439036,positive,0.9377884864807129
2,10/8/2020 10:32:31 AM,Trane Technologies declares $0.53 dividend,Seeking Alpha,https://seekingalpha.com/news/3620694-trane-technologies-declares-0_53-dividend?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9433040022850037
3,10/27/2020 3:02:09 PM,Ingersoll-Rand is about to announce its earnings — here's what to expect,Markets Insider Automation,/news/stocks/ingersoll-rand_2-stock-price-q3-earnings-preview-1029727690,positive,0.9353341460227966
4,10/27/2020 4:20:10 PM,Notable earnings before Wednesday's open,Seeking Alpha,https://seekingalpha.com/news/3626522-notable-earnings-wednesdays-open?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.855887770652771
5,10/27/2020 5:47:02 PM,Trane Technologies Q3 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3626616-trane-technologies-q3-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.6825999617576599
6,10/28/2020 10:34:16 AM,"Trane Technologies EPS beats by $0.38, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3627046-trane-technologies-eps-beats-0_38-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.8053460121154785
7,11/11/2020 8:31:43 PM,Trane double-downgraded at BofA as valuation runs its course,Seeking Alpha,https://seekingalpha.com/news/3635106-trane-double-downgraded-bofa-valuation-runs-course?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.9516836404800415
8,11/19/2020 4:32:35 PM,"Biden's vote for climate change makes these stocks, ETFs attractive",Seeking Alpha,https://seekingalpha.com/news/3637738-bidens-vote-for-climate-change-makes-stocks-etfs-attractive?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.914892852306366
9,12/11/2020 8:30:29 PM,Seeking Alpha Catalyst Watch,Seeking Alpha,https://seekingalpha.com/news/3643803-seeking-alpha-catalyst-watch?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.8980498313903809
10,2/3/2021 3:02:05 PM,What Wall Street expects from Ingersoll-Rand's earnings,Markets Insider Automation,/news/stocks/ingersoll-rand_2-stock-q4-earnings-preview-1030038624,positive,0.938248336315155
11,2/4/2021 6:05:16 PM,Notable earnings before Friday's open,Seeking Alpha,https://seekingalpha.com/news/3658555-notable-earnings-before-fridays-open?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.8830810189247131
12,2/4/2021 6:16:37 PM,Trane Technologies Q4 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3658581-trane-technologies-q4-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.6915270686149597
13,2/5/2021 11:33:56 AM,"Trane Technologies EPS beats by $0.10, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3658975-trane-technologies-eps-beats-0_10-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.7695465087890625
14,4/8/2021 8:21:44 PM,Trane Technologies declares $0.59 dividend,Seeking Alpha,https://seekingalpha.com/news/3680515-trane-technologies-declares-0_59-dividend?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9376964569091797
