datetime,title,source,link,sentiment_class,sentiment_score
12/29/2012 2:05:52 AM,"Boeing, Textron win $1.4 billion deal for 21 V-22 Opreys: Pentagon",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/d3GeRPsKhWc/us-boeing-textron-v-idUSBRE8BR0MP20121229,positive,0.9070571660995483
8/14/2013 2:09:07 AM,"Textron Systems eyes rising foreign demand for drones, weapons",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/RIm4W1MAaE4/story01.htm,positive,0.8578699827194214
12/27/2013 3:22:10 AM,Textron to buy Beechcraft for $1.4 billion,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/HGaoetZxXfs/story01.htm,neutral,0.8995029330253601
7/9/2015 12:17:28 AM,"Exclusive: Lockheed, Textron final suitors for Sikorsky Aircraft - sources",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/71eHSi3eE5w/story01.htm,neutral,0.9373770952224731
11/16/2015 2:04:49 PM,"GE, Textron team up to make new turboprop engine, aircraft",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/czhoyy7E3dM/story01.htm,neutral,0.5453106164932251
11/17/2015 12:26:05 AM,"GE, Textron plan to develop new turboprop engine, plane",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Vgg7UbisTQ4/story01.htm,neutral,0.6358754634857178
10/3/2016 11:30:23 PM,"BRIEF-Textron Inc- on September 30, 2016, entered into a senior unsecured revolving credit facility-SEC filing (TXT)",Reuters,/news/stocks/brief-textron-inc-on-september-30-2016-entered-into-a-senior-unsecured-revolving-credit-facility-sec-filing-txt-1001433757,neutral,0.9190914034843445
10/20/2016 2:18:23 PM,BRIEF-Textron Q3 earnings per share $1.10 from continuing ops (TXT),Reuters,http://www.businessinsider.com/r-brief-textron-q3-earnings-per-share-110-from-continuing-ops-2016-10,neutral,0.7720073461532593
10/20/2016 2:30:25 PM,BRIEF-Textron says decided to take additional restructuring actions (TXT),Reuters,http://www.businessinsider.com/r-brief-textron-says-decided-to-take-additional-restructuring-actions-2016-10,neutral,0.6114986538887024
10/20/2016 5:10:20 PM,BRIEF-Textron says bulk of added restructuring would be in aviation biz - Conf call (TXT),Reuters,http://www.businessinsider.com/r-brief-textron-says-bulk-of-added-restructuring-would-be-in-aviation-biz---conf-call-2016-10,neutral,0.9374924302101135
10/24/2016 1:00:20 PM,"Embraer negotiating $495 mln aircraft sale to Surf Air -paper (EMBR3, ERJ, TXT)",Reuters,http://www.businessinsider.com/r-embraer-negotiating-495-mln-aircraft-sale-to-surf-air--paper-2016-10,neutral,0.6064186692237854
10/26/2016 8:08:21 PM,"UPDATE 1-General Dynamics revenue misses as Gulfstream jet unit drags (GD, TXT)",Reuters,http://www.businessinsider.com/r-update-1-general-dynamics-revenue-misses-as-gulfstream-jet-unit-drags-2016-10,negative,0.9620577692985535
11/1/2016 1:37:36 AM,"Textron goes ahead with new Cessna jet, chooses engines",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/cyh1KkA9V3A/us-textron-jets-idUSKBN12W2NA,neutral,0.87066650390625
12/14/2016 4:14:07 AM,"UPDATE 1-United States grounds Osprey aircraft in Japan after Okinawa crash (BA, TXT)",Reuters,http://www.businessinsider.com/r-update-1-united-states-grounds-osprey-aircraft-in-japan-after-okinawa-crash-2016-12,neutral,0.6838414669036865
1/9/2017 11:06:06 AM,"BRIEF-Textron says Arijit Ghosh named president, managing director of Textron India Private Ltd (TXT)",Reuters,http://www.businessinsider.com/r-brief-textron-says-arijit-ghosh-named-president-managing-director-of-textron-india-private-ltd-2017-1,neutral,0.9440575838088989
1/9/2017 1:16:10 PM,"BRIEF-Mueller Water Products says announces sale of Anvil International (MWA, TXT)",Reuters,http://www.businessinsider.com/r-brief-mueller-water-products-says-announces-sale-of-anvil-international-2017-1,neutral,0.9334913492202759
1/11/2017 4:46:04 PM,"BRIEF-U.S. CPSC says Textron recalls about 1,100 Bad Boy off-road utility vehicles (TXT)",Reuters,http://www.businessinsider.com/r-brief-us-cpsc-says-textron-recalls-about-1100-bad-boy-off-road-utility-vehicles-2017-1,negative,0.933618426322937
1/25/2017 1:00:12 PM,"BRIEF-Textron sees FY 2017 revenue about $14.3 billion (TXT, ACAT)",Reuters,http://www.businessinsider.com/r-brief-textron-sees-fy-2017-revenue-about-143-billion-2017-1,neutral,0.9392983913421631
1/25/2017 1:20:08 PM,"BRIEF-Arctic Cat says they will become part of Textron's specialized vehicles business (ACAT, TXT)",Reuters,http://www.businessinsider.com/r-brief-arctic-cat-says-they-will-become-part-of-textrons-specialized-vehicles-business-2017-1,neutral,0.9267062544822693
1/25/2017 3:14:05 PM,"BRIEF-Arctic Cat upon termination of deal under specified circumstances to pay Textron of $7.4 mln (ACAT, TXT)",Reuters,http://www.businessinsider.com/r-brief-arctic-cat-upon-termination-of-deal-under-specified-circumstances-to-pay-textron-of-74-mln-2017-1,neutral,0.9089687466621399
1/25/2017 3:16:05 PM,"BRIEF-Textron says price pressure in Q4 hurt business jet volume - Conf call (ACAT, TXT)",Reuters,http://www.businessinsider.com/r-brief-textron-says-price-pressure-in-q4-hurt-business-jet-volume---conf-call-2017-1,negative,0.9573213458061218
2/2/2017 3:10:08 PM,"BRIEF-Textron unit offers to buy Arctic Cat at $18.50/shr - SEC filing (ACAT, TXT)",Reuters,http://www.businessinsider.com/r-brief-textron-unit-offers-to-buy-arctic-cat-at-1850-shr---sec-filing-2017-2,neutral,0.907806932926178
2/7/2017 6:40:11 PM,BRIEF-Textron says awarded 5-yr follow-on contract from U.S. Air force (TXT),Reuters,http://www.businessinsider.com/r-brief-textron-says-awarded-5-yr-follow-on-contract-from-us-air-force-2017-2,positive,0.9424256682395935
2/27/2017 2:52:13 PM,BRIEF-Textron files for potential notes offering due 2027 - SEC filing (TXT),Reuters,http://www.businessinsider.com/r-brief-textron-files-for-potential-notes-offering-due-2027---sec-filing-2017-2,neutral,0.9372984170913696
2/28/2017 11:45:00 PM,William Lyon Homes Set to Join S&P SmallCap 600,PR Newswire,/news/stocks/william-lyon-homes-set-to-join-s-p-smallcap-600-1001792393,neutral,0.9333909153938293
3/7/2017 12:10:21 AM,BRIEF-Textron announces acquisition of Arctic Cat (TXT),Reuters,http://www.businessinsider.com/r-brief-textron-announces-acquisition-of-arctic-cat-2017-3,neutral,0.9400793313980103
3/15/2017 1:00:00 PM,"Research Reports Coverage on Industrial Goods Stocks -- Textron, Northrop Grumman, Hexcel, and Aerojet Rocketdyne",PR Newswire,/news/stocks/research-reports-coverage-on-industrial-goods-stocks-textron-northrop-grumman-hexcel-and-aerojet-rocketdyne-1001837311,neutral,0.9456538558006287
3/27/2017 6:52:50 AM,"Honda faces long haul to recoup jet costs (7267, TXT, EMBR3)",Reuters,http://www.businessinsider.com/r-honda-faces-long-haul-to-recoup-jet-costs-2017-3,positive,0.6990222930908203
