datetime,title,source,link,sentiment_class,sentiment_score
11/8/2016 4:48:04 PM,"The companies that could be the biggest winners from either a Trump or Clinton victory (KSU, HCA, UHS, OI, ALXN, NEM)",Business Insider,http://www.businessinsider.com/biggest-company-stock-winners-from-trump-clinton-election-victory-2016-11,neutral,0.6013641953468323
11/9/2016 3:37:15 PM,"Obamacare stocks are getting slammed as the future of the law is in question (THC, HCA, UHS, AET, LPT, UNH)",Business Insider,http://www.businessinsider.com/obamacare-stocks-slammed-donald-trump-election-2016-11,negative,0.918519914150238
11/14/2016 3:06:17 PM,"BRIEF-Jana Partners LLC cuts sole share stake in CSRA, ups sole share stake in Computer Sciences (CSC, SEM, UHS)",Reuters,http://www.businessinsider.com/r-brief-jana-partners-llc-cuts-sole-share-stake-in-csra-ups-sole-share-stake-in-computer-sciences-2016-11,negative,0.7443432211875916
12/5/2016 12:22:05 PM,BRIEF-Cambian to sell its adult services business for 377 mln stg (UHS),Reuters,http://www.businessinsider.com/r-brief-cambian-to-sell-its-adult-services-business-for-377-mln-stg-2016-12,neutral,0.9289759993553162
12/5/2016 12:44:03 PM,UK health firm Cambian to sell adult services unit for 377 mln stg (UHS),Reuters,http://www.businessinsider.com/r-uk-health-firm-cambian-to-sell-adult-services-unit-for-377-mln-stg-2016-12,neutral,0.8935239911079407
12/5/2016 5:30:06 PM,BRIEF-Universal Health Services buys Cambian Group's adult services division (UHS),Reuters,http://www.businessinsider.com/r-brief-universal-health-services-buys-cambian-groups-adult-services-division-2016-12,neutral,0.9185037016868591
12/8/2016 2:16:03 PM,BRIEF-Universal Health Services issues statement regarding recent media report (UHS),Reuters,http://www.businessinsider.com/r-brief-universal-health-services-issues-statement-regarding-recent-media-report-2016-12,neutral,0.8860357403755188
12/29/2016 11:50:02 AM,BRIEF-Uk's CMA says served initial enforcement order on Cygnet-Cambian deal (UHS),Reuters,http://www.businessinsider.com/r-brief-uks-cma-says-served-initial-enforcement-order-on-cygnet-cambian-deal-2016-12,negative,0.6126290559768677
1/24/2017 7:48:05 AM,U.S. fund managers betting Trump fails to rewrite Obamacare,Reuters,http://www.businessinsider.com/r-us-fund-managers-betting-trump-fails-to-rewrite-obamacare-2017-1,negative,0.8857912421226501
2/15/2017 9:16:10 PM,"U.S. hospital stocks start 2017 strong as some Obamacare fears ease (LPNT, XLV, HCA, THC, UHS, CYH, IHF)",Reuters,http://www.businessinsider.com/r-us-hospital-stocks-start-2017-strong-as-some-obamacare-fears-ease-2017-2,positive,0.9355803728103638
