,datetime,title,source,link,sentiment_class,sentiment_score
0,8/30/2005 4:57:00 PM,Premcor Announces Shareholder Approval of Pending Merger With Valero,PR Newswire,/news/stocks/premcor-announces-shareholder-approval-of-pending-merger-with-valero-763321,positive,0.8128634095191956
1,9/19/2013 11:52:58 PM,Valero Energy Partners files for IPO of up to $345 million,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/KgzaDOH6IL4/story01.htm,positive,0.8681576251983643
2,3/3/2014 3:45:11 PM,Valero Energy CEO Bill Klesse to step down in May,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/cYu1UPXglEM/story01.htm,positive,0.6097993850708008
3,3/3/2014 6:28:03 PM,Valero Energy CEO Bill Klesse to retire in May,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/RmQGL4R2dG4/story01.htm,positive,0.7815436124801636
4,10/28/2015 12:23:34 PM,Valero Energy profit rises 30 percent on higher refining margins,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/RoV45wH97sc/story01.htm,negative,0.9540223479270935
5,9/28/2016 1:20:25 PM,"China slaps anti-subsidy duties on U.S. distillers' dried grains (VLO, ADM, ANDE)",Reuters,/news/stocks/china-slaps-anti-subsidy-duties-on-u-s-distillers-dried-grains-vlo-adm-ande-1001422296,neutral,0.9180943369865417
6,9/28/2016 10:40:22 PM,"UPDATE 1-China slaps anti-subsidy duties on U.S. distillers' dried grains (VLO, ADM, ANDE)",Reuters,/news/stocks/update-1-china-slaps-anti-subsidy-duties-on-u-s-distillers-dried-grains-vlo-adm-ande-1001424811,neutral,0.9197823405265808
7,10/10/2016 8:30:22 AM,"Crude realities for Bakken oil as Shell ditches W. Coast rail plan (RDSA, VLO)",Reuters,/news/stocks/crude-realities-for-bakken-oil-as-shell-ditches-w-coast-rail-plan-rdsa-vlo-1001445023,positive,0.6937590837478638
8,10/12/2016 11:20:23 PM,"Venezuelan crude sales to the United States rose 10 pct in Sept (VLO, CVX)",Reuters,/news/stocks/venezuelan-crude-sales-to-the-united-states-rose-10-pct-in-sept-vlo-cvx-1001452734,negative,0.9459758400917053
9,10/21/2016 11:30:20 PM,"Lyondell's Houston refinery draws bids from Aramco, Valero, Suncor -sources (VLO, LYB, SU)",Reuters,http://www.businessinsider.com/r-lyondells-houston-refinery-draws-bids-from-aramco-valero-suncor--sources-2016-10,positive,0.5068690776824951
10,10/25/2016 1:30:19 PM,Refiner Valero's profit halves as margins fall (VLO),Reuters,http://www.businessinsider.com/r-refiner-valeros-profit-halves-as-margins-fall-2016-10,neutral,0.9673572778701782
11,10/25/2016 1:34:20 PM,"BRIEF-Valero Energy Q3 adj EPS $1.24, oper rev $19.65 bln (VLO)",Reuters,http://www.businessinsider.com/r-brief-valero-energy-q3-adj-eps-124-oper-rev-1965-bln-2016-10,positive,0.9106858372688293
12,10/25/2016 2:22:19 PM,UPDATE 1-Cost cuts help refiner Valero beat profit estimate (VLO),Reuters,http://www.businessinsider.com/r-update-1-cost-cuts-help-refiner-valero-beat-profit-estimate-2016-10,negative,0.9351310729980469
13,11/3/2016 9:18:20 PM,"Venezuelan crude sales to the United States tumbled 23 pct in Oct (VLO, CVX)",Reuters,http://www.businessinsider.com/r-venezuelan-crude-sales-to-the-united-states-tumbled-23-pct-in-oct-2016-11,neutral,0.9688583612442017
14,11/9/2016 10:20:20 PM,UPDATE 2-NARL Refining to layoff up to 130 workers at Canadian refinery -sources (VLO),Reuters,http://www.businessinsider.com/r-update-2-narl-refining-to-layoff-up-to-130-workers-at-canadian-refinery--sources-2016-11,neutral,0.9637873768806458
15,11/10/2016 8:30:18 PM,U.S. EPA set to deny refiner requests to change biofuels program (VLO),Reuters,http://www.businessinsider.com/r-us-epa-set-to-deny-refiner-requests-to-change-biofuels-program-2016-11,positive,0.8633267283439636
