,datetime,title,source,link,sentiment_class,sentiment_score
0,5/22/2013 2:52:27 PM,Pfizer to spin off Zoetis stake to shareholders,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/kEaqKieITPg/story01.htm,positive,0.9251846671104431
1,6/24/2013 4:28:40 PM,Pfizer says shareholders snap up remaining Zoetis shares,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/TXHDd_Trs2w/story01.htm,neutral,0.8262594938278198
2,6/25/2015 10:35:18 PM,Valeant offers to buy Zoetis: WSJ,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/7O8mvLT1f38/story01.htm,positive,0.8955289721488953
3,5/10/2016 12:57:59 AM,Ackman's Pershing Square seeks to sell Zoetis shares for $800 million: NYT,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/rUP3e8pggQA/us-zoetis-pershing-square-stake-idUSKCN0Y02L3,positive,0.946827232837677
4,2/27/2017 1:10:00 PM,"Technical Reports on Generic Drugs Stocks -- Zoetis, Mallinckrodt, Akorn, and MYOS RENS Technology",PR Newswire,/news/stocks/technical-reports-on-generic-drugs-stocks-zoetis-mallinckrodt-akorn-and-myos-rens-technology-1001785550,positive,0.9469272494316101
5,4/4/2017 12:20:00 PM,"Generic Drugs Stocks on Investors' Radar -- Zoetis, Mallinckrodt, Akorn, and MYOS RENS Technology",PR Newswire,/news/stocks/generic-drugs-stocks-on-investors-radar-zoetis-mallinckrodt-akorn-and-myos-rens-technology-1001893670,positive,0.8829818964004517
6,4/13/2017 6:43:22 PM,Pet Medicine Merger: Zoetis Agrees To But Nexvet ,RTTNews,/news/stocks/pet-medicine-merger-zoetis-agrees-to-but-nexvet-1001921651,positive,0.7919611930847168
7,4/14/2017 8:19:21 AM,Zoetis To Acquire Nexvet Biopharma In $85 Mln Deal ,RTTNews,/news/stocks/zoetis-to-acquire-nexvet-biopharma-in-85-mln-deal-1001922317,positive,0.9004614353179932
8,4/17/2017 6:24:50 AM,"FDA Says No To INCY, ZTS Snaps Up NVET, MDXG On The Move ",RTTNews,/news/stocks/fda-says-no-to-incy-zts-snaps-up-nvet-mdxg-on-the-move-1001923443,positive,0.8315284848213196
9,6/14/2017 2:45:00 PM,Patented Biotechnology Formulations Resulting in New Generation of Animal Healthcare Medications and Treatments,PR Newswire,/news/stocks/patented-biotechnology-formulations-resulting-in-new-generation-of-animal-healthcare-medications-and-treatments-1002092780,positive,0.5165343284606934
10,6/14/2017 2:45:00 PM,Patented Biotechnology Formulations Resulting in New Generation of Animal Healthcare Medications and Treatments,PR Newswire,/news/stocks/patented-biotechnology-formulations-resulting-in-new-generation-of-animal-healthcare-medications-and-treatments-1002092769,positive,0.5165343284606934
11,8/21/2017 12:35:00 PM,"Generic Drugs Stock Performance Review -- Patheon, Zoetis, Ironwood Pharma, and Medicines Co.",PR Newswire,/news/stocks/generic-drugs-stock-performance-review-patheon-zoetis-ironwood-pharma-and-medicines-co-1002271757,positive,0.9201297163963318
12,8/31/2017 10:42:00 PM,Zoetis Inc. -- Moody's upgrades Zoetis to Baa1; affirms Prime-2 rating; outlook stable,Moodys,/news/bonds/zoetis-inc-moody-s-upgrades-zoetis-to-baa1-affirms-prime-2-rating-outlook-stable-1002300140,negative,0.9381208419799805
13,9/5/2017 4:40:00 PM,Zoetis Inc. -- Moody's assigns Baa1 rating to Zoetis' bond offering,Moodys,/news/bonds/zoetis-inc-moody-s-assigns-baa1-rating-to-zoetis-bond-offering-1002316967,positive,0.8490869402885437
14,12/18/2017 11:30:00 PM,BMO Asset Management Inc. Announces Annual Reinvested Distributions for BMO Exchange Traded Funds,PR Newswire,/news/stocks/bmo-asset-management-inc-announces-annual-reinvested-distributions-for-bmo-exchange-traded-funds-1011626034,positive,0.9054149389266968
15,12/18/2017 11:30:00 PM,BMO Asset Management Inc. Announces Annual Reinvested Distributions for BMO Exchange Traded Funds,PR Newswire,/news/stocks/bmo-asset-management-inc-announces-annual-reinvested-distributions-for-bmo-exchange-traded-funds-1011626033,positive,0.9054149389266968
16,2/9/2018 10:29:00 PM,BMO Asset Management Inc. Announces Risk-Rating Changes to Select BMO ETFs,PR Newswire,/news/stocks/bmo-asset-management-inc-announces-risk-rating-changes-to-select-bmo-etfs-1015247262,positive,0.8622640371322632
17,2/9/2018 10:29:00 PM,BMO Asset Management Inc. Announces Risk-Rating Changes to Select BMO ETFs,PR Newswire,/news/stocks/bmo-asset-management-inc-announces-risk-rating-changes-to-select-bmo-etfs-1015247263,positive,0.8622640371322632
18,4/2/2018 1:43:46 PM,BRIEF-Zoetis Says CEO Juan Alaix's 2017 Total Compensation Was $10.5 Mln Vs $9.5 Mln In 2016,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/kaIt28_HlFE/brief-zoetis-says-ceo-juan-alaixs-2017-total-compensation-was-10-5-mln-vs-9-5-mln-in-2016-idUSFWN1RF06G,neutral,0.8356985449790955
19,4/26/2018 9:02:19 AM,"BRIEF-Zoetis Inc To Expand Animal Vaccine Research And Manufacturing In Suzhou, China",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/h81hNu3jxXo/brief-zoetis-inc-to-expand-animal-vaccine-research-and-manufacturing-in-suzhou-china-idUSFWN1S30ET,negative,0.8593271970748901
20,5/16/2018 1:06:55 PM,Zoetis to buy Abaxis for $1.9 bln in cash,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/-3YB0LGMa40/zoetis-to-buy-abaxis-for-1-9-bln-in-cash-idUSL3N1SN4EQ,positive,0.9129543304443359
