Unnamed: 0,datetime,title,source,link
0.0,5/31/2006 10:07:00 PM,SWEPCO Announces Plans For New Generation,PR Newswire,/news/stocks/swepco-announces-plans-for-new-generation-1027468801
1.0,10/25/2016 4:50:20 PM,BRIEF-American Electric Power Co raises dividend by 5.4 pct (AEP),Reuters,http://www.businessinsider.com/r-brief-american-electric-power-co-raises-dividend-by-54-pct-2016-10
2.0,11/9/2016 5:52:18 PM,BRIEF-AEP names Satterwhite president of Kentucky Power (AEP),Reuters,http://www.businessinsider.com/r-brief-aep-names-satterwhite-president-of-kentucky-power-2016-11
3.0,11/28/2016 3:30:07 PM,BRIEF-American Electric Power unit AEP Ohio files proposal to extend current electric security plan (AEP),Reuters,http://www.businessinsider.com/r-brief-american-electric-power-unit-aep-ohio-files-proposal-to-extend-current-electric-security-plan-2016-11
4.0,2/1/2017 11:30:07 PM,BRIEF-AEP Ohio's plan to expand advanced energy delivery system approved (AEP),Reuters,http://www.businessinsider.com/r-brief-aep-ohios-plan-to-expand-advanced-energy-delivery-system-approved-2017-2
5.0,2/7/2017 9:34:09 PM,BRIEF-American Electric Power Co says seeking offers for coal supply (AEP),Reuters,http://www.businessinsider.com/r-brief-american-electric-power-co-says-seeking-offers-for-coal-supply-2017-2
6.0,2/21/2017 9:38:12 PM,BRIEF-American Electric Power announces retirement of Vice Chairman (AEP),Reuters,http://www.businessinsider.com/r-brief-american-electric-power-announces-retirement-of-vice-chairman-2017-2
7.0,2/23/2017 11:05:00 PM,AEP And Dynegy To Transfer Ownership Of Co-owned Power Plants,PR Newswire,/news/stocks/aep-and-dynegy-to-transfer-ownership-of-co-owned-power-plants-1001779256
8.0,2/24/2017 12:10:12 AM,"BRIEF-AEP and Dynegy to transfer ownership of co-owned power plants (AEP, DYN)",Reuters,http://www.businessinsider.com/r-brief-aep-and-dynegy-to-transfer-ownership-of-co-owned-power-plants-2017-2
9.0,2/27/2017 11:30:04 PM,"BRIEF-American Electric says Vice Chairman Robert Powers indicated his intention to retire, effective Aug 4 (AEP)",Reuters,http://www.businessinsider.com/r-brief-american-electric-says-vice-chairman-robert-powers-indicated-his-intention-to-retire-effective-aug-4-2017-2
10.0,3/15/2017 1:26:44 PM,BRIEF-American Electric Power Company says CEO Akins's 2016 total compensation was $11.5 mln (AEP),Reuters,http://www.businessinsider.com/r-brief-american-electric-power-company-says-ceo-akinss-2016-total-compensation-was-115-mln-2017-3
