Unnamed: 0,datetime,title,source,link
0.0,5/13/2006 12:32:00 AM,"Class Action Filed Against American International Group, Inc. by the Law Firm of Schiffrin & Barroway, LLP on Behalf of Purchasers of Fidelity Mutual Funds",PR Newswire,/news/stocks/class-action-filed-against-american-international-group-inc-by-the-law-firm-of-schiffrin-&-barroway-llp-on-behalf-of-purchasers-of-fidelity-mutual-funds-1000051125
1.0,5/31/2006 1:02:00 AM,"Class Action Filed Against American International Group, Inc. by the Law Firm of Schiffrin & Barroway, LLP on Behalf of Purchasers of Hartford Mutual Funds",PR Newswire,/news/stocks/class-action-filed-against-american-international-group-inc-by-the-law-firm-of-schiffrin-barroway-llp-on-behalf-of-purchasers-of-hartford-mutual-funds-1028546355
2.0,5/25/2011 2:41:01 AM,U.S. Treasury says sells AIG shares at $29,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/uVP2Bo9ZLwA/idINIndia-57256720110525
3.0,5/25/2011 4:12:32 PM,AIG stock falls after $8.7 billion share sale,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/dy6FRA5aY30/idINIndia-57274820110525
4.0,8/26/2011 10:37:38 AM,AIG chief unhappy with stock analysts' view - WSJ,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/tVAyI_OsH-8/idINIndia-58987120110826
5.0,8/30/2011 7:31:39 PM,EXCLUSIVE - Bank of America kept AIG legal threat under wraps,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/EgMiDQTOIA0/idINIndia-59056320110830
6.0,11/21/2011 5:36:41 PM,U.S. sued for $25 bln over AIG takeover,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/I_Q3G1BoZaQ/idINIndia-60647220111121
7.0,3/5/2012 5:38:41 AM,"AIG selling $6 bln of AIA shares, to repay U.S. bail-out",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/EQNnAaMHdgI/aia-aig-idINDEE82403V20120305
8.0,3/6/2012 2:18:55 AM,AIG raises $6 bln in sale of AIA stake,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/GUNk6Q0o0cc/update-1-aig-raises-6-bln-in-sale-of-aia-idINDEE82501920120306
9.0,12/11/2012 7:07:33 AM,"U.S. to sell rest of AIG stock, ending $182 billion rescue",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/vM3VtuB5Ffc/us-usa-treasury-aig-idUSBRE8B919020121211
10.0,12/11/2012 1:32:58 PM,U.S. Treasury exits AIG with bailout profit of $22.7 billion,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/pMNXm3iy_k0/us-aig-ustreasury-sale-idUSBRE8BA0GY20121211
11.0,12/14/2012 5:57:41 PM,Treasury says has completed final sale of AIG stock,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/DATzjA0QrBA/us-aig-treasury-sale-idUSBRE8BD0W020121214
12.0,12/17/2012 4:54:00 AM,AIG to raise up to $6.5 billion through AIA share sale: sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/-ibJGHlh-gY/us-aia-aig-idUSBRE8BG01020121217
13.0,12/18/2012 3:59:00 AM,AIG marks end of era with $6.45 billion AIA stake sale,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/w-IEKvuIpWk/us-aia-aig-idUSBRE8BG01020121218
14.0,12/18/2012 4:06:08 AM,AIG marks end of era with $6.45 bln AIA stake sale,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/N3oQizzxZj4/aia-aig-stake-sale-idINDEE8BH02420121218
15.0,1/8/2013 2:14:01 PM,AIG may join bailout suit against U.S. government,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/GWG70NUITIg/us-aig-lawsuit-government-idUSBRE9070GR20130108
16.0,1/8/2013 10:34:57 PM,AIG may join bailout lawsuit against U.S. government,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/-iVCw0da7GE/aig-lawsuit-government-idINDEE9070E820130108
17.0,1/9/2013 2:35:49 AM,AIG may join bailout lawsuit against U.S. government,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/QuHU7MAuqMs/us-aig-lawsuit-government-idUSBRE9070GR20130109
18.0,1/9/2013 4:59:31 PM,AIG board meets on possible lawsuit vs. government as public rages,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/3qTBFvIuA6E/us-aig-lawsuit-government-idUSBRE9080S720130109
19.0,1/10/2013 4:31:15 AM,"As public fumes, AIG says will not sue U.S. over bailout",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/LjCgHTxrGVg/us-aig-lawsuit-government-idUSBRE9080S720130110
20.0,1/10/2013 4:57:27 AM,"As public fumes, AIG says will not sue U.S. over bailout",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/J0axpokTy4o/aig-lawsuit-government-idINDEE90901G20130110
21.0,1/24/2013 6:58:17 AM,AIG counsel told board Greenberg lawsuit has low chance of success,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/UUoR6td9iKc/us-aig-lawsuit-government-idUSBRE90N05T20130124
22.0,2/1/2013 6:43:10 PM,Journalist has no right to AIG documents: court,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/rLky3ElUqRI/us-usa-aig-ruling-idUSBRE91010T20130201
