Unnamed: 0,datetime,title,source,link
0.0,6/6/2005 10:32:00 PM,"BorgWarner Names Bernd Matthes President and General Manager, BorgWarner Transmission Systems; Mark Perlick Appointed Vice President, Technology",PR Newswire,/news/stocks/borgwarner-names-bernd-matthes-president-and-general-manager-borgwarner-transmission-systems;-mark-perlick-appointed-vice-president-technology-211707
1.0,8/16/2007 2:57:00 PM,BorgWarner Turbo Powers New Hyundai Grand Starex,PR Newswire,/news/stocks/borgwarner-turbo-powers-new-hyundai-grand-starex-1028612762
2.0,10/3/2016 6:10:26 PM,BRIEF-Borgwarner agrees to sell REMY light vehicle aftermarket business to torque capital (BWA),Reuters,/news/stocks/brief-borgwarner-agrees-to-sell-remy-light-vehicle-aftermarket-business-to-torque-capital-bwa-1001433215
3.0,10/27/2016 3:40:18 PM,BRIEF-BorgWarner Q3 earnings per share $0.39 (BWA),Reuters,http://www.businessinsider.com/r-brief-borgwarner-q3-earnings-per-share-039-2016-10
4.0,11/3/2016 8:36:22 PM,"UPDATE 2-American Axle's $1.6 bln Metaldyne buy to help grow beyond GM (AXL, MG, MPG, BWA)",Reuters,http://www.businessinsider.com/r-update-2-american-axles-16-bln-metaldyne-buy-to-help-grow-beyond-gm-2016-11
5.0,2/9/2017 12:38:23 PM,EARNINGS SUMMARY: Details of Borg Warner Inc. Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-borg-warner-inc-q4-earnings-report-1001736882
6.0,2/9/2017 12:42:09 PM,BRIEF-BorgWarner reports Q4 adj. earnings per share $0.85 (BWA),Reuters,http://www.businessinsider.com/r-brief-borgwarner-reports-q4-adj-earnings-per-share-085-2017-2
7.0,2/17/2017 4:28:11 PM,"BRIEF-Borgwarner files for potential mixed shelf offering, size not disclosed (BWA)",Reuters,http://www.businessinsider.com/r-brief-borgwarner-files-for-potential-mixed-shelf-offering-size-not-disclosed-2017-2
8.0,3/1/2017 3:26:00 PM,BorgWarner Plant Manager Skotti Fietsam Honored with Women in Manufacturing STEP Ahead Award,PR Newswire,/news/stocks/borgwarner-plant-manager-skotti-fietsam-honored-with-women-in-manufacturing-step-ahead-award-1001795175
9.0,3/2/2017 2:00:00 PM,BorgWarner Expands Product Leadership with Gasoline VTG Turbocharger for the Mass Market,PR Newswire,/news/stocks/borgwarner-expands-product-leadership-with-gasoline-vtg-turbocharger-for-the-mass-market-1001798976
10.0,3/17/2017 2:34:43 PM,BRIEF-Borgwarner CEO James Verrier's 2016 total compensation was $12.4 mln vs $17.4 mln in 2015 (BWA),Reuters,http://www.businessinsider.com/r-brief-borgwarner-ceo-james-verriers-2016-total-compensation-was-124-mln-vs-174-mln-in-2015-2017-3
11.0,3/23/2017 12:05:00 PM,"Research Reports on Auto Parts Equities -- Johnson Controls, Delphi Automotive, BorgWarner, and Gentex",PR Newswire,/news/stocks/research-reports-on-auto-parts-equities-johnson-controls-delphi-automotive-borgwarner-and-gentex-1001861484
12.0,3/23/2017 10:02:00 PM,Webcast Alert: BorgWarner 2017 First Quarter Results Conference Call,PR Newswire,/news/stocks/webcast-alert-borgwarner-2017-first-quarter-results-conference-call-1001863988
13.0,3/31/2017 5:41:00 PM,BorgWarner's Dual-clutch Module Improves Efficiency for ChangAn's New Transmission,PR Newswire,/news/stocks/borgwarner-s-dual-clutch-module-improves-efficiency-for-changan-s-new-transmission-1001886823
