Unnamed: 0,datetime,title,source,link
0.0,3/3/2017 1:45:00 PM,"Technical Roundup on IT Services Stocks -- Ciber, CDW Corp., Helios and Matheson Analytics, and EPAM Systems",PR Newswire,/news/stocks/technical-roundup-on-it-services-stocks-ciber-cdw-corp-helios-and-matheson-analytics-and-epam-systems-1001802746
1.0,4/19/2017 12:55:00 PM,"How These IT Services Stocks are Faring? -- Internap, CDW Corp., Unisys, and Gartner",PR Newswire,/news/stocks/how-these-it-services-stocks-are-faring-internap-cdw-corp-unisys-and-gartner-1001930093
2.0,9/6/2017 12:40:00 PM,"Pre-Market Technical Pulse on IT Services Stocks -- Accenture, DXC Technology, Unisys, and CDW Corp.",PR Newswire,/news/stocks/pre-market-technical-pulse-on-it-services-stocks-accenture-dxc-technology-unisys-and-cdw-corp-1002344693
3.0,10/19/2017 12:00:00 AM,CDW to Announce Third Quarter 2017 Results on November 1,GlobeNewswire,/news/stocks/cdw-to-announce-third-quarter-2017-results-on-november-1-1004823567
4.0,10/31/2017 2:09:58 PM,"CDW to Participate in the 2017 RBC Capital Markets Technology, Internet, Media and Telecommunications Conference",GlobeNewswire,/news/stocks/cdw-to-participate-in-the-2017-rbc-capital-markets-technology-internet-media-and-telecommunications-conference-1006308358
5.0,11/1/2017 12:00:00 PM,CDW Reports Record Quarterly Net Sales of $4 Billion,GlobeNewswire,/news/stocks/cdw-reports-record-quarterly-net-sales-of-4-billion-1006438273
6.0,11/1/2017 12:05:00 PM,CDW Declares Cash Dividend of $0.21 Per ShareReinforcing Ongoing Commitment to Delivering Value to Stockholders,GlobeNewswire,/news/stocks/cdw-declares-cash-dividend-of-0-21-per-sharereinforcing-ongoing-commitment-to-delivering-value-to-stockholders-1006438277
7.0,11/28/2017 11:30:00 PM,"CDW to Participate in the 2017 Barclays Global Technology, Media and Telecommunications Conference",GlobeNewswire,/news/stocks/cdw-to-participate-in-the-2017-barclays-global-technology-media-and-telecommunications-conference-1009842468
8.0,1/26/2018 6:59:02 PM,CDW to Announce Fourth Quarter and Full Year 2017 Results on February 7,GlobeNewswire,/news/stocks/cdw-to-announce-fourth-quarter-and-full-year-2017-results-on-february-7-1014151760
9.0,2/7/2018 1:00:00 PM,CDW Reports Record Fourth Quarter and Full Year Net Sales,GlobeNewswire,/news/stocks/cdw-reports-record-fourth-quarter-and-full-year-net-sales-1015042913
10.0,2/7/2018 1:05:00 PM,CDW Declares Cash Dividend of $0.21 Per ShareReinforces Ongoing Commitment to Delivering Value to Stockholders,GlobeNewswire,/news/stocks/cdw-declares-cash-dividend-of-0-21-per-sharereinforces-ongoing-commitment-to-delivering-value-to-stockholders-1015042917
11.0,2/23/2018 10:17:17 PM,CDW to Present at the Raymond James 39th Annual Institutional Investors Conference,GlobeNewswire,/news/stocks/cdw-to-present-at-the-raymond-james-39th-annual-institutional-investors-conference-1016893360
12.0,4/19/2018 12:00:00 AM,CDW to Announce First Quarter 2018 Results on May 2,GlobeNewswire,/news/stocks/cdw-to-announce-first-quarter-2018-results-on-may-2-1021527939
13.0,5/2/2018 1:00:00 PM,CDW Reports Record First Quarter Net Sales,GlobeNewswire,/news/stocks/cdw-reports-record-first-quarter-net-sales-1023127189
14.0,5/2/2018 1:05:00 PM,CDW Declares Cash Dividend of $0.21 Per ShareReinforces Ongoing Commitment to Delivering Value to Stockholders,GlobeNewswire,/news/stocks/cdw-declares-cash-dividend-of-0-21-per-sharereinforces-ongoing-commitment-to-delivering-value-to-stockholders-1023127205
15.0,5/25/2018 1:00:00 PM,"CDW to Present at the Baird 2018 Global Consumer, Technology and Services Conference",GlobeNewswire,/news/stocks/cdw-to-present-at-the-baird-2018-global-consumer-technology-and-services-conference-1025287701
16.0,5/30/2018 1:00:00 PM,CDW to Present at the NASDAQ 38th Investor Conference,GlobeNewswire,/news/stocks/cdw-to-present-at-the-nasdaq-38th-investor-conference-1025834509
17.0,7/20/2018 1:00:00 PM,CDW to Announce Second Quarter 2018 Results on August 2,GlobeNewswire,/news/stocks/cdw-to-announce-second-quarter-2018-results-on-august-2-1027385488
18.0,7/31/2018 3:02:53 PM,CDW earnings preview: what to expect,Markets Insider Automation,/news/stocks/cdw_2-q2-quarterly-earnings-preview-stock-1027416735
19.0,8/2/2018 1:00:00 PM,CDW Reports Record Second Quarter Net Sales,GlobeNewswire,/news/stocks/cdw-reports-record-second-quarter-net-sales-1027425487
20.0,8/2/2018 1:05:00 PM,CDW Declares Cash Dividend of $0.21 Per Share,GlobeNewswire,/news/stocks/cdw-declares-cash-dividend-of-0-21-per-share-1027425493
21.0,8/30/2018 1:00:00 PM,CDW to Present at the Deutsche Bank 2018 Technology Conference,GlobeNewswire,/news/stocks/cdw-to-present-at-the-deutsche-bank-2018-technology-conference-1027496666
22.0,9/18/2018 2:30:00 PM,CDW Announces CEO Succession Plan: Thomas E. Richards to Retire as CEO at Year-End and become Executive Chairman; Christine A. Leahy to Become Chief Executive Officer,GlobeNewswire,/news/stocks/cdw-announces-ceo-succession-plan-thomas-e-richards-to-retire-as-ceo-at-year-end-and-become-executive-chairman-christine-a-leahy-to-become-chief-executive-officer-1027543495
23.0,10/18/2018 1:00:00 PM,CDW to Announce Third Quarter 2018 Results on October 31,GlobeNewswire,/news/stocks/cdw-to-announce-third-quarter-2018-results-on-october-31-1027629374
24.0,10/29/2018 3:02:58 PM,CDW earnings: here's what to expect,Markets Insider Automation,/news/stocks/cdw_2-stock-price-quarter-earnings-preview-q3-1027666210
25.0,10/31/2018 12:00:00 PM,CDW Reports Record Third Quarter Net Sales,GlobeNewswire,/news/stocks/cdw-reports-record-third-quarter-net-sales-1027675464
26.0,10/31/2018 12:05:00 PM,CDW Declares Cash Dividend of $0.295 Per Share,GlobeNewswire,/news/stocks/cdw-declares-cash-dividend-of-0-295-per-share-1027675448
27.0,11/15/2018 6:34:00 PM,CDW Corporation -- Moody's upgrades CDW's CFR to Ba1; outlook changed to stable,Moodys,/news/bonds/cdw-corporation-moody-s-upgrades-cdw-s-cfr-to-ba1-outlook-changed-to-stable-1027731983
28.0,11/21/2018 1:00:00 PM,"CDW to Present at the Credit Suisse 22nd Annual Technology, Media and Telecom Conference",GlobeNewswire,/news/stocks/cdw-to-present-at-the-credit-suisse-22nd-annual-technology-media-and-telecom-conference-1027745900
29.0,1/24/2019 1:00:00 PM,CDW to Announce Fourth Quarter 2018 Results on February 7,GlobeNewswire,/news/stocks/cdw-to-announce-fourth-quarter-2018-results-on-february-7-1027892644
30.0,2/5/2019 3:02:23 PM,CDW is about to announce earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/cdw_2-q4-earnings-preview-stock-1027925574
31.0,2/7/2019 1:00:00 PM,CDW Reports Record Fourth Quarter and Full Year Net Sales,GlobeNewswire,/news/stocks/cdw-reports-record-fourth-quarter-and-full-year-net-sales-1027933102
32.0,2/7/2019 1:05:00 PM,CDW Authorizes $1 Billion Share Repurchase Program Increase and Declares Cash Dividend of $0.295 Per Share,GlobeNewswire,/news/stocks/cdw-authorizes-1-billion-share-repurchase-program-increase-and-declares-cash-dividend-of-0-295-per-share-1027933124
33.0,2/21/2019 1:00:00 PM,CDW to Participate in Upcoming Investor Conferences,GlobeNewswire,/news/stocks/cdw-to-participate-in-upcoming-investor-conferences-1027971496
34.0,4/17/2019 1:00:00 PM,CDW to Announce First Quarter 2019 Results on May 1,GlobeNewswire,/news/stocks/cdw-to-announce-first-quarter-2019-results-on-may-1-1028117863
35.0,4/29/2019 3:02:38 PM,CDW earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/cdw_2-q1-earnings-preview-1028148772
36.0,5/1/2019 1:00:00 PM,CDW Reports Record First Quarter Net Sales,GlobeNewswire,/news/stocks/cdw-reports-record-first-quarter-net-sales-1028157297
37.0,5/1/2019 1:05:00 PM,CDW Declares Cash Dividend of $0.295 Per Share,GlobeNewswire,/news/stocks/cdw-declares-cash-dividend-of-0-295-per-share-1028157301
38.0,5/10/2019 1:00:00 PM,"CDW to Participate in the J.P. Morgan 47th Annual Technology, Media & Communications Conference",GlobeNewswire,/news/stocks/cdw-to-participate-in-the-j-p-morgan-47th-annual-technology-media-communications-conference-1028189621
39.0,6/5/2019 10:30:00 PM,CDW to Present at the NASDAQ 40th Investor Conference,GlobeNewswire,/news/stocks/cdw-to-present-at-the-nasdaq-40th-investor-conference-1028257962
40.0,7/17/2019 1:00:00 PM,CDW to Announce Second Quarter 2019 Results on July 31,GlobeNewswire,/news/stocks/cdw-to-announce-second-quarter-2019-results-on-july-31-1028359918
41.0,7/29/2019 3:02:47 PM,What Wall Street expects from CDW's earnings,Markets Insider Automation,/news/stocks/cdw_2-q2-quarterly-earnings-preview-stock-1028393799
42.0,7/31/2019 1:00:00 PM,CDW Reports Record Second Quarter Net Sales,GlobeNewswire,/news/stocks/cdw-reports-record-second-quarter-net-sales-1028402700
43.0,7/31/2019 1:05:00 PM,CDW Declares Cash Dividend of $0.295 Per Share,GlobeNewswire,/news/stocks/cdw-declares-cash-dividend-of-0-295-per-share-1028402692
44.0,9/12/2019 1:05:41 PM,CDW Corporation Announces Proposed Registered Offering of $550 Million of Senior Notes due 2028,GlobeNewswire,/news/stocks/cdw-corporation-announces-proposed-registered-offering-of-550-million-of-senior-notes-due-2028-1028519235
45.0,9/12/2019 6:53:00 PM,CDW LLC -- Moody's assigns Ba2 to CDW's new notes,Moodys,/news/bonds/cdw-llc-moody-s-assigns-ba2-to-cdw-s-new-notes-1028521166
46.0,9/12/2019 6:59:00 PM,CDW Corporation -- Moody's assigns Ba2 to CDW's new notes,Moodys,/news/bonds/cdw-corporation-moody-s-assigns-ba2-to-cdw-s-new-notes-1028521204
47.0,9/12/2019 7:09:00 PM,CDW LLC -- Moody's assigns Ba2 to CDW's new notes,Moodys,/news/bonds/cdw-llc-moody-s-assigns-ba2-to-cdw-s-new-notes-1028521236
48.0,9/12/2019 10:45:00 PM,CDW Corporation Announces Upsizing and Pricing of Registered Offering of $600 Million of Senior Notes due 2028,GlobeNewswire,/news/stocks/cdw-corporation-announces-upsizing-and-pricing-of-registered-offering-of-600-million-of-senior-notes-due-2028-1028521707
49.0,9/23/2019 4:16:00 PM,CDW LLC -- Moody's assigns Baa3 rating to CDW's new term loan,Moodys,/news/bonds/cdw-llc-moody-s-assigns-baa3-rating-to-cdw-s-new-term-loan-1028545241
50.0,10/17/2019 1:00:00 PM,CDW to Announce Third Quarter 2019 Results on October 31,GlobeNewswire,/news/stocks/cdw-to-announce-third-quarter-2019-results-on-october-31-1028606958
51.0,10/31/2019 12:00:05 PM,CDW Reports Record Third Quarter Net Sales,GlobeNewswire,/news/stocks/cdw-reports-record-third-quarter-net-sales-1028647517
52.0,10/31/2019 12:05:05 PM,"CDW Declares Quarterly Cash Dividend of $0.38 Per Share, Updates Payout Ratio Target",GlobeNewswire,/news/stocks/cdw-declares-quarterly-cash-dividend-of-0-38-per-share-updates-payout-ratio-target-1028647513
53.0,11/12/2019 4:50:00 PM,CDW Corporation -- Moody's announces completion of a periodic review of ratings of CDW Corporation,Moodys,/news/bonds/cdw-corporation-moody-s-announces-completion-of-a-periodic-review-of-ratings-of-cdw-corporation-1028681858
54.0,11/20/2019 10:15:00 PM,CDW to Participate in the Credit Suisse 23rd Annual Technology Conference,GlobeNewswire,/news/stocks/cdw-to-participate-in-the-credit-suisse-23rd-annual-technology-conference-1028705983
55.0,1/2/2020 4:22:33 PM,10 2019 Winners That Will Be 2020 Losers,InvestorPlace,/news/stocks/10-2019-winners-2020-losers-roku-stock-1028791912
56.0,1/21/2020 3:20:00 PM,CDW Names Christina Corley Chief Commercial and Operating Officer and Welcomes Sona Chawla as Chief Growth and Innovation Officer,GlobeNewswire,/news/stocks/cdw-names-christina-corley-chief-commercial-and-operating-officer-and-welcomes-sona-chawla-as-chief-growth-and-innovation-officer-1028832500
57.0,1/23/2020 1:00:00 PM,CDW to Announce Fourth Quarter and Full Year 2019 Results on February 6,GlobeNewswire,/news/stocks/cdw-to-announce-fourth-quarter-and-full-year-2019-results-on-february-6-1028838939
58.0,2/5/2020 3:02:20 PM,What Wall Street expects from CDW's earnings,Markets Insider Automation,/news/stocks/cdw_2-quarter-earnings-preview-q4-1028876878
59.0,2/6/2020 1:00:00 PM,CDW Reports Record Fourth Quarter and Full Year Net Sales,GlobeNewswire,/news/stocks/cdw-reports-record-fourth-quarter-and-full-year-net-sales-1028880545
60.0,2/6/2020 1:05:00 PM,CDW Declares Quarterly Cash Dividend of $0.380 Per Share,GlobeNewswire,/news/stocks/cdw-declares-quarterly-cash-dividend-of-0-380-per-share-1028880533
61.0,2/6/2020 1:53:52 PM,CDW Corporation Q4 adjusted earnings Beat Estimates,RTTNews,/news/stocks/cdw-corporation-q4-adjusted-earnings-beat-estimates-1028880820
62.0,2/25/2020 10:15:00 PM,CDW to Present at the Raymond James 41st Annual Institutional Investors Conference,GlobeNewswire,/news/stocks/cdw-to-present-at-the-raymond-james-41st-annual-institutional-investors-conference-1028938128
63.0,4/16/2020 1:38:49 PM,CDW Corporation raises $500M via senior notes due 2025,Seeking Alpha,https://seekingalpha.com/news/3561307-cdw-corporation-raises-500m-via-senior-notes-due-2025?utm_source=markets.businessinsider.com&utm_medium=referral
64.0,4/16/2020 2:01:54 PM,CDW expects Q1 results above estimates,Seeking Alpha,https://seekingalpha.com/news/3561322-cdw-expects-q1-results-above-estimates?utm_source=markets.businessinsider.com&utm_medium=referral
65.0,4/16/2020 2:46:06 PM,CDW Provides Business Updates on Impact of COVID-19,GlobeNewswire,/news/stocks/cdw-provides-business-updates-on-impact-of-covid-19-1029098498
66.0,4/16/2020 2:55:19 PM,CDW Corporation Announces Proposed Registered Offering of $500 Million of Senior Notes due 2025,GlobeNewswire,/news/stocks/cdw-corporation-announces-proposed-registered-offering-of-500-million-of-senior-notes-due-2025-1029098504
67.0,4/16/2020 6:22:00 PM,CDW LLC -- Moody's assigns Ba2 to CDW's new senior unsecured notes,Moodys,/news/bonds/cdw-llc-moody-s-assigns-ba2-to-cdw-s-new-senior-unsecured-notes-1029099567
68.0,4/17/2020 1:30:10 AM,CDW Corporation Announces Upsizing and Pricing of Registered Offering of $600 Million of Senior Notes due 2025,GlobeNewswire,/news/stocks/cdw-corporation-announces-upsizing-and-pricing-of-registered-offering-of-600-million-of-senior-notes-due-2025-1029100620
69.0,4/17/2020 9:51:26 AM,CDW Corporation prices upsized registered offering of $600M senior notes due 2025,Seeking Alpha,https://seekingalpha.com/news/3561579-cdw-corporation-prices-upsized-registered-offering-of-600m-senior-notes-due-2025?utm_source=markets.businessinsider.com&utm_medium=referral
70.0,4/21/2020 3:36:00 PM,CDW LLC -- Moody's assigns Ba2 to CDW's new senior unsecured notes,Moodys,/news/bonds/cdw-llc-moody-s-assigns-ba2-to-cdw-s-new-senior-unsecured-notes-1029112823
71.0,4/22/2020 1:00:10 PM,CDW to Announce First Quarter 2020 Results on May 6,GlobeNewswire,/news/stocks/cdw-to-announce-first-quarter-2020-results-on-may-6-1029116865
72.0,4/28/2020 10:30:10 PM,CDW Announces Move to Virtual Annual Meeting of Stockholders for 2020,GlobeNewswire,/news/stocks/cdw-announces-move-to-virtual-annual-meeting-of-stockholders-for-2020-1029140546
73.0,5/5/2020 3:01:45 PM,CDW is about to announce its earnings — here's what to expect,Markets Insider Automation,/news/stocks/cdw_2-q1-earnings-preview-stock-1029165948
74.0,5/6/2020 1:00:10 PM,CDW Reports First Quarter 2020 Earnings,GlobeNewswire,/news/stocks/cdw-reports-first-quarter-2020-earnings-1029169938
75.0,5/6/2020 1:05:10 PM,CDW Declares Quarterly Cash Dividend of $0.38 Per Share,GlobeNewswire,/news/stocks/cdw-declares-quarterly-cash-dividend-of-0-38-per-share-1029169957
76.0,5/6/2020 1:59:27 PM,CDW Corporation Q1 adjusted earnings Beat Estimates,RTTNews,/news/stocks/cdw-corporation-q1-adjusted-earnings-beat-estimates-1029170252
77.0,5/22/2020 1:00:10 PM,CDW to Participate in the BofA Securities 2020 Global Technology Conference,GlobeNewswire,/news/stocks/cdw-to-participate-in-the-bofa-securities-2020-global-technology-conference-1029226420
78.0,7/22/2020 1:00:10 PM,CDW to Announce Second Quarter 2020 Results on August 5,GlobeNewswire,/news/stocks/cdw-to-announce-second-quarter-2020-results-on-august-5-1029419245
79.0,8/4/2020 3:03:46 PM,Here's what Wall Street expects from CDW's earnings report,Markets Insider Automation,/news/stocks/cdw_2-q2-quarterly-earnings-preview-1029467200
80.0,8/5/2020 1:00:10 PM,CDW Reports Second Quarter 2020 Earnings,GlobeNewswire,/news/stocks/cdw-reports-second-quarter-2020-earnings-1029471909
81.0,8/5/2020 1:05:10 PM,CDW Declares Quarterly Cash Dividend of $0.38 Per Share,GlobeNewswire,/news/stocks/cdw-declares-quarterly-cash-dividend-of-0-38-per-share-1029471901
82.0,8/5/2020 1:40:20 PM,CDW Corporation Q2 adjusted earnings Beat Estimates,RTTNews,/news/stocks/cdw-corporation-q2-adjusted-earnings-beat-estimates-1029472149
83.0,8/10/2020 1:38:09 PM,CDW Corporation Announces Proposed Registered Offering of $630 Million of Senior Notes due 2029,GlobeNewswire,/news/stocks/cdw-corporation-announces-proposed-registered-offering-of-630-million-of-senior-notes-due-2029-1029486887
84.0,8/10/2020 6:29:00 PM,CDW LLC -- Moody's assigns Ba2 to CDW's proposed $630 million of new notes,Moodys,/news/bonds/cdw-llc-moody-s-assigns-ba2-to-cdw-s-proposed-630-million-of-new-notes-1029488387
85.0,8/10/2020 10:06:04 PM,CDW Corporation Announces Upsizing and  Pricing of Registered Offering of $700 Million of Senior Notes due 2029,GlobeNewswire,/news/stocks/cdw-corporation-announces-upsizing-and-pricing-of-registered-offering-of-700-million-of-senior-notes-due-2029-1029488975
86.0,9/29/2020 9:46:00 PM,CDW Corporation -- Moody's announces completion of a periodic review of ratings of CDW Corporation,Moodys,/news/bonds/cdw-corporation-moody-s-announces-completion-of-a-periodic-review-of-ratings-of-cdw-corporation-1029632525
87.0,11/1/2020 12:56:40 PM,Notable earnings before Monday's open,Seeking Alpha,https://seekingalpha.com/news/3629346-notable-earnings-mondays-open?utm_source=markets.businessinsider.com&utm_medium=referral
88.0,11/1/2020 2:03:16 PM,CDW Q3 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3629373-cdw-q3-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral
89.0,11/1/2020 3:01:30 PM,What Wall Street expects from CDW's earnings,Markets Insider Automation,/news/stocks/cdw_2-q3-earnings-preview-1029750547
90.0,11/2/2020 12:01:36 PM,"CDW EPS beats by $0.32, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3629502-cdw-eps-beats-0_32-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral
91.0,11/2/2020 12:06:41 PM,"CDW declares $0.40 dividend, 5.3% increase",Seeking Alpha,https://seekingalpha.com/news/3629500-cdw-declares-0_40-dividend-5_3-increase?utm_source=markets.businessinsider.com&utm_medium=referral
