Unnamed: 0,datetime,title,source,link
0.0,6/11/2015 4:04:41 PM,"Startups are going to make billions doing a (safer) version of what Wall Street did with home loans (GS, MS, LC, CFG, WFC)",Business Insider Contributor ,http://www.businessinsider.com/startups-are-securitizing-student-loans-2015-6
1.0,3/13/2017 1:22:05 PM,"RBC: Fed rate hikes will benefit these banks the most (BAC, CMA, CFG, RF, JPM)",Business Insider,http://markets.businessinsider.com/news/stocks/banks-that-will-gain-the-most-from-rising-rates-2017-3-1001824472
2.0,3/30/2017 1:09:00 AM,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Citizens Financial Group Inc. - CFG,PR Newswire,/news/stocks/shareholder-alert-pomerantz-law-firm-investigates-claims-on-behalf-of-investors-of-citizens-financial-group-inc-cfg-1001879846
3.0,3/31/2017 12:50:00 PM,"Banking Stocks Under Scanner -- Citizens Financial, Synovus Financial, BankUnited, and United Bankshares",PR Newswire,/news/stocks/banking-stocks-under-scanner-citizens-financial-synovus-financial-bankunited-and-united-bankshares-1001885504
4.0,4/26/2017 4:10:00 PM,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against Citizens Financial Group, Inc. (CFG) & Lead Plaintiff Deadline: June 26, 2017",PR Newswire,/news/stocks/shareholder-alert-bronstein-gewirtz-grossman-llc-notifies-investors-of-class-action-against-citizens-financial-group-inc-cfg-lead-plaintiff-deadline-june-26-2017-1001952117
5.0,5/2/2017 10:29:00 PM,"IMPORTANT INVESTOR ALERT: Khang & Khang LLP Announces a Securities Class Action Lawsuit against Citizens Financial Group, Inc. and Encourages Investors with Losses to Contact the Firm",PR Newswire,/news/stocks/important-investor-alert-khang-khang-llp-announces-a-securities-class-action-lawsuit-against-citizens-financial-group-inc-and-encourages-investors-with-losses-to-contact-the-firm-1001971433
6.0,5/3/2017 11:37:00 PM,"IMPORTANT EQUITY ALERT: Lundin Law PC Announces a Securities Class Action Lawsuit against Citizens Financial Group, Inc. and Encourages Investors with Losses to Contact the Firm",PR Newswire,/news/stocks/important-equity-alert-lundin-law-pc-announces-a-securities-class-action-lawsuit-against-citizens-financial-group-inc-and-encourages-investors-with-losses-to-contact-the-firm-1001976778
7.0,5/8/2017 11:44:00 PM,"Harwood Feffer LLP Announces Investigation of Citizens Financial Group, Inc.",PR Newswire,/news/stocks/harwood-feffer-llp-announces-investigation-of-citizens-financial-group-inc-1001656208
8.0,5/9/2017 10:27:00 PM,"SHAREHOLDER ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Investing In Citizens Financial Group, Inc. To Contact The Firm",PR Newswire,/news/stocks/shareholder-alert-faruqi-faruqi-llp-encourages-investors-who-suffered-losses-investing-in-citizens-financial-group-inc-to-contact-the-firm-1001996078
9.0,5/16/2017 12:55:00 PM,"Banking Stocks Under Scanner -- Citizens Financial, United Bankshares, United Community Banks, and BankUnited",PR Newswire,/news/stocks/banking-stocks-under-scanner-citizens-financial-united-bankshares-united-community-banks-and-bankunited-1002016387
10.0,6/9/2017 9:36:00 PM,"EQUITY ALERT: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Citizens Financial Group, Inc. - CFG",PR Newswire,/news/stocks/equity-alert-rosen-law-firm-announces-filing-of-securities-class-action-lawsuit-against-citizens-financial-group-inc-cfg-1002083030
11.0,6/23/2017 11:34:00 PM,"CFG NOTICE: Rosen Law Firm Reminds Citizens Financial Group, Inc. Investors of Important June 26 Deadline in Class Action - CFG",PR Newswire,/news/stocks/cfg-notice-rosen-law-firm-reminds-citizens-financial-group-inc-investors-of-important-june-26-deadline-in-class-action-cfg-1002121067
12.0,8/7/2017 12:25:00 PM,"Initiating Research Reports on Banking Equities -- Citizens Financial, Signature Bank, United Bankshares, and United Community Banks",PR Newswire,/news/stocks/initiating-research-reports-on-banking-equities-citizens-financial-signature-bank-united-bankshares-and-united-community-banks-1002236579
13.0,9/14/2017 12:35:00 PM,"Banking Stock Performance Review -- Signature Bank, United Bankshares, BankUnited, and Citizens Financial",PR Newswire,/news/stocks/banking-stock-performance-review-signature-bank-united-bankshares-bankunited-and-citizens-financial-1002369660
14.0,3/26/2018 11:35:17 PM,"BRIEF-Citizens Financial Group Announces Pricing Of $750 Mln Of Citizens Bank, N.A. Senior Notes",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/EL19sA4ZURQ/brief-citizens-financial-group-announces-pricing-of-750-mln-of-citizens-bank-n-a-senior-notes-idUSASC09TPB
15.0,4/20/2018 12:35:20 PM,BRIEF-Citizens Financial Group Reports First Quarter Net Income Of $388 Million And Diluted EPS Of $0.78,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/4unPbyKAANs/brief-citizens-financial-group-reports-first-quarter-net-income-of-388-million-and-diluted-eps-of-0-78-idUSASC09WN2
16.0,7/18/2018 3:01:34 PM,What Wall Street expects from Citizens Financial Group's earnings,Markets Insider Automation,/news/stocks/citizens_financial_group-q2-earnings-preview-1027378253
17.0,9/17/2018 4:10:00 PM,Moody's: US banks' net interest margin expansion to moderate as noninterest-bearing deposits decline,Moodys,/news/bonds/moody-s-us-banks-net-interest-margin-expansion-to-moderate-as-noninterest-bearing-deposits-decline-1027540239
18.0,10/17/2018 3:01:26 PM,Citizens Financial Group earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/citizens_financial_group-q3-quarterly-earnings-preview-1027625564
19.0,1/16/2019 3:01:21 PM,Citizens Financial Group is about to announce earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/citizens_financial_group-stock-q4-earnings-preview-1027872947
20.0,4/17/2019 3:01:30 PM,Here's what Wall Street expects from Citizens Financial Group's earnings report,Markets Insider Automation,/news/stocks/citizens_financial_group-q1-quarterly-earnings-preview-1028118432
21.0,7/17/2019 3:01:30 PM,Citizens Financial Group earnings: here's what to expect,Markets Insider Automation,/news/stocks/citizens_financial_group-q2-quarterly-earnings-preview-1028360596
22.0,7/31/2019 12:03:20 PM,Citizens Bank is committing $50 million to accelerate its digital transformation (CFG),Business Insider,https://www.businessinsider.com/citizens-bank-investing-in-digital-transformation-2019-7
23.0,10/16/2019 3:01:18 PM,Here's what to expect from Citizens Financial Group's earnings report,Markets Insider Automation,/news/stocks/citizens_financial_group-q3-quarterly-earnings-preview-stock-1028603661
24.0,1/15/2020 3:01:15 PM,What Wall Street expects from Citizens Financial Group's earnings,Markets Insider Automation,/news/stocks/citizens_financial_group-stock-price-q4-earnings-preview-1028819563
25.0,2/7/2020 8:21:14 PM,"2020 Fed stress test to be tougher for card issuers, brokers",Seeking Alpha,https://seekingalpha.com/news/3539812-2020-fed-stress-test-to-be-tougher-for-card-issuers-brokers?utm_source=markets.businessinsider.com&utm_medium=referral
26.0,2/13/2020 2:35:43 PM,Citizens Financial bolsters advisory business with Trinity Capital deal,Seeking Alpha,https://seekingalpha.com/news/3541758-citizens-financial-bolsters-advisory-business-trinity-capital-deal?utm_source=markets.businessinsider.com&utm_medium=referral
27.0,2/24/2020 8:59:34 PM,Citizens Financial adds Robert Leary to slate of director candidates,Seeking Alpha,https://seekingalpha.com/news/3544940-citizens-financial-adds-robert-leary-to-slate-of-director-candidates?utm_source=markets.businessinsider.com&utm_medium=referral
28.0,3/2/2020 6:26:34 PM,"Baird gets bullish on Regions, Fifth Third, First Horizon",Seeking Alpha,https://seekingalpha.com/news/3547614-baird-gets-bullish-on-regions-fifth-third-first-horizon?utm_source=markets.businessinsider.com&utm_medium=referral
29.0,3/4/2020 6:50:44 PM,KBW lists banks that should hold up in challenging rates environment,Seeking Alpha,https://seekingalpha.com/news/3548671-kbw-lists-banks-should-hold-up-in-challenging-rates-environment?utm_source=markets.businessinsider.com&utm_medium=referral
30.0,3/9/2020 6:15:34 PM,"Baird gets bullish on AmEx, Huntington Bancorp",Seeking Alpha,https://seekingalpha.com/news/3549850-baird-gets-bullish-on-amex-huntington-bancorp?utm_source=markets.businessinsider.com&utm_medium=referral
31.0,3/17/2020 2:27:24 PM,Citizens Financial Group to temporarily suspend share repurchase activity,Seeking Alpha,https://seekingalpha.com/news/3552530-citizens-financial-group-to-temporarily-suspend-share-repurchase-activity?utm_source=markets.businessinsider.com&utm_medium=referral
32.0,4/16/2020 3:01:19 PM,Here's what Wall Street expects from Citizens Financial Group's earnings report,Markets Insider Automation,/news/stocks/citizens_financial_group-stock-q1-earnings-preview-1029098433
33.0,4/16/2020 9:30:03 PM,Notable earnings before Friday's open,Seeking Alpha,https://seekingalpha.com/news/3561398-notable-earnings-fridays-open?utm_source=markets.businessinsider.com&utm_medium=referral
34.0,4/16/2020 9:30:50 PM,Citizens Financial Q1 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3561436-citizens-financial-q1-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral
35.0,4/17/2020 10:41:49 AM,"Citizens Financial EPS misses by $0.58, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3561592-citizens-financial-eps-misses-0_58-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral
36.0,4/17/2020 12:43:09 PM,"Citizens Financial Group, Inc. Q1 Earnings Decline",RTTNews,/news/stocks/citizens-financial-group-inc-q1-earnings-decline-1029101759
