Unnamed: 0,datetime,title,source,link
0.0,9/26/2016 10:50:20 PM,BRIEF-Socore Energy to buy 22 Minnesota solar projects from SunEdison (EIX),Reuters,/news/stocks/brief-socore-energy-to-buy-22-minnesota-solar-projects-from-sunedison-eix-1001419389
1.0,10/26/2016 1:48:20 PM,"Clouds gather in rooftop solar's biggest U.S. market (SRE, PCG, EIX, TSLA)",Reuters,http://www.businessinsider.com/r-clouds-gather-in-rooftop-solars-biggest-us-market-2016-10
2.0,11/3/2016 11:58:18 PM,BRIEF-San Onofre Community Engagement Panel to discuss decommissioning progress (EIX),Reuters,http://www.businessinsider.com/r-brief-san-onofre-community-engagement-panel-to-discuss-decommissioning-progress-2016-11
3.0,12/9/2016 8:50:05 AM,BRIEF-Edison International raises common stock dividend 13 pct (EIX),Reuters,http://www.businessinsider.com/r-brief-edison-international-raises-common-stock-dividend-13-pct-2016-12
4.0,12/14/2016 7:28:05 AM,BRIEF-Southern California Edison says disappointed by ruling on San Onofre settlement (EIX),Reuters,http://www.businessinsider.com/r-brief-southern-california-edison-says-disappointed-by-ruling-on-san-onofre-settlement-2016-12
5.0,12/16/2016 10:22:03 PM,U.S. court revives long-running case over Edison Int'l 401(k) plan (EIX),Reuters,http://www.businessinsider.com/r-us-court-revives-long-running-case-over-edison-intl-401k-plan-2016-12
6.0,1/23/2017 11:22:07 PM,"California utilities seek $1 bln for vehicle electrification (SRE, PCG, EIX)",Reuters,http://www.businessinsider.com/r-california-utilities-seek-1-bln-for-vehicle-electrification-2017-1
7.0,1/31/2017 4:08:00 PM,Tesla Announces Large Battery Storage Facility.,RTTNews,/news/stocks/tesla-announces-large-battery-storage-facility-1001709577
8.0,2/15/2017 7:44:10 AM,"RPT-INSIGHT-California demand for wind power energizes transmission firms (DUK, FTS, EIX, RDSA)",Reuters,http://www.businessinsider.com/r-rpt-insight-california-demand-for-wind-power-energizes-transmission-firms-2017-2
9.0,2/21/2017 10:04:58 PM,Edison International Announces 16% Increase In Q4 Bottom Line,RTTNews,/news/stocks/edison-international-announces-16-increase-in-q4-bottom-line-1001769814
10.0,2/21/2017 10:26:12 PM,BRIEF-Edison International Q4 adjusted core EPS $1.02 (EIX),Reuters,http://www.businessinsider.com/r-brief-edison-international-q4-adjusted-core-eps-102-2017-2
11.0,2/21/2017 11:37:29 PM,Edison Introduces 2017 Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/edison-introduces-2017-earnings-guidance-quick-facts-1001770156
12.0,3/13/2017 11:24:26 PM,"BRIEF-Southern California Edison- Edison international's units got decision from ICC international court of arbitration on claims against Mitsubishi Heavy (7011, EIX, SCE.)",Reuters,http://www.businessinsider.com/r-brief-southern-california-edison--edison-internationals-units-got-decision-from-icc-international-court-of-arbitration-on-claims-against-mitsubishi-heavy-2017-3
13.0,3/14/2017 5:46:26 AM,"Mitsubishi Heavy shares jump on favourable ruling in $6.7-bln claim (7011, EIX, )",Reuters,http://www.businessinsider.com/r-mitsubishi-heavy-shares-jump-on-favourable-ruling-in-67-bln-claim-2017-3
14.0,4/4/2017 12:05:00 PM,"Research Reports on Utilities Equities -- PG&E, CMS Energy, NextEra Energy, and Edison",PR Newswire,/news/stocks/research-reports-on-utilities-equities-pg-e-cms-energy-nextera-energy-and-edison-1001893625
15.0,4/18/2017 1:23:03 AM,"Edison, GE unveil new battery systems at California gas plants (GE, 006400, TSLA, EIX)",Reuters,http://www.businessinsider.com/r-edison-ge-unveil-new-battery-systems-at-california-gas-plants-2017-4
16.0,5/1/2017 10:05:55 PM,Edison International Q1 Earnings Advance 35%,RTTNews,/news/stocks/edison-international-q1-earnings-advance-35-1001966657
17.0,5/1/2017 10:24:05 PM,BRIEF-Edison International Q1 earnings per share $1.11 (EIX),Reuters,http://www.businessinsider.com/r-brief-edison-international-q1-earnings-per-share-111-2017-5
18.0,6/30/2017 12:25:00 PM,"Daily Technical Summary Reports on Electric Utilities Stocks -- Consolidated Edison, Edison Intl., Companhia Paranaense de Energia, and Enel Americas",PR Newswire,/news/stocks/daily-technical-summary-reports-on-electric-utilities-stocks-consolidated-edison-edison-intl-companhia-paranaense-de-energia-and-enel-americas-1002138242
19.0,7/27/2017 10:34:10 PM,Edison International Q2 Earnings Fall 1%,RTTNews,/news/stocks/edison-international-q2-earnings-fall-1-1002212478
20.0,7/27/2017 11:53:04 PM,Edison Increases 2017 Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/edison-increases-2017-earnings-guidance-quick-facts-1002212767
21.0,8/17/2017 2:42:03 PM,BRIEF-Edison International files for potential offering of senior notes due 2022 (EIX),Reuters,http://www.businessinsider.com/r-brief-edison-international-files-for-potential-offering-of-senior-notes-due-2022-2017-8
22.0,8/18/2017 12:45:00 PM,"Pre-Market Technical Pulse on Electric Utilities Stocks -- Consolidated Edison, Edison Intl., Ameren, and CMS Energy",PR Newswire,/news/stocks/pre-market-technical-pulse-on-electric-utilities-stocks-consolidated-edison-edison-intl-ameren-and-cms-energy-1002268320
23.0,8/28/2017 10:47:07 PM,BRIEF-Southern California Edison-‍parties in lawsuit challenging permit allowing temporary storage of used nuclear fuel at San Onofre nuclear plant settled case (EIX),Reuters,http://www.businessinsider.com/r-brief-southern-california-edison-parties-in-lawsuit-challenging-permit-allowing-temporary-storage-of-used-nuclear-fuel-at-san-onofre-nuclear-plant-settled-case-2017-8
24.0,10/23/2017 10:22:00 PM,Berkshire Hathaway Energy Company -- Moody's upgrades Solar Star's senior secured bonds to Baa2 from Baa3. Outlook is positive.,Moodys,/news/bonds/berkshire-hathaway-energy-company-moody-s-upgrades-solar-star-s-senior-secured-bonds-to-baa2-from-baa3-outlook-is-positive-1005367181
25.0,10/30/2017 9:13:38 PM,Edison International Q3 Income Advances 12%,RTTNews,/news/stocks/edison-international-q3-income-advances-12-1006213575
26.0,10/30/2017 9:27:51 PM,Edison International Increases 2017 Core Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/edison-international-increases-2017-core-earnings-guidance-quick-facts-1006214506
27.0,10/30/2017 9:47:12 PM,BRIEF-Edison International Q3 earnings per share $1.44 (EIX),Reuters,http://www.businessinsider.com/r-brief-edison-international-q3-earnings-per-share-144-2017-10
28.0,12/5/2017 10:17:03 PM,BRIEF-Southern California Edison Responds To Wildfires In Service Territory (EIX),Reuters,http://www.businessinsider.com/r-brief-southern-california-edison-responds-to-wildfires-in-service-territory-2017-12
29.0,12/7/2017 11:12:03 PM,BRIEF-Edison International Raises Common Stock Dividend 11.5 Pct (EIX),Reuters,http://www.businessinsider.com/r-brief-edison-international-raises-common-stock-dividend-115-pct-2017-12
30.0,12/8/2017 10:37:03 PM,"BUZZ-U.S. stocks weekly: Still in business (EIX, CVS, AET)",Reuters,http://www.businessinsider.com/r-buzz-us-stocks-weekly-still-in-business-2017-12
31.0,12/11/2017 1:22:04 PM,"RPT-BUZZ-U.S. stocks weekly: Still in business (EIX, CVS, AET)",Reuters,http://www.businessinsider.com/r-rpt-buzz-us-stocks-weekly-still-in-business-2017-12
32.0,1/31/2018 4:41:55 AM,SCE : Settlement Reached In San Onofre Nuclear Plant Closure ,RTTNews,/news/stocks/sce-settlement-reached-in-san-onofre-nuclear-plant-closure-1014632227
33.0,2/22/2018 10:46:40 PM,EARNINGS SUMMARY: Details of Edison International Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-edison-international-q4-earnings-report-1016762490
34.0,3/23/2018 1:10:00 AM,"AES Corporation, (The) -- Moody's Affirms AES' Ba2 CFR; Changes Rating Outlook to Positive from Stable",Moodys,/news/bonds/aes-corporation-the-moody-s-affirms-aes-ba2-cfr-changes-rating-outlook-to-positive-from-stable-1019107116
35.0,3/23/2018 1:12:00 AM,"AES Corporation, (The) -- Moody's Affirms AES' Ba2 CFR; Changes Rating Outlook to Positive from Stable",Moodys,/news/bonds/aes-corporation-the-moody-s-affirms-aes-ba2-cfr-changes-rating-outlook-to-positive-from-stable-1019107117
36.0,3/23/2018 3:36:00 PM,"AES Corporation, (The) -- Moody's Affirms AES' Ba2 CFR; Changes Rating Outlook to Positive from Stable",Moodys,/news/bonds/aes-corporation-the-moody-s-affirms-aes-ba2-cfr-changes-rating-outlook-to-positive-from-stable-1019164285
37.0,3/29/2018 8:47:00 PM,"AES Corporation, (The) -- Moody's Affirms AES' Ba2 CFR; Changes Rating Outlook to Positive from Stable",Moodys,/news/bonds/aes-corporation-the-moody-s-affirms-aes-ba2-cfr-changes-rating-outlook-to-positive-from-stable-1019877877
38.0,4/12/2018 3:02:00 AM,California Statewide Communities Dev. Auth. -- Moody's Changes Edison International and Southern California Edison's Rating Outlooks to Negative,Moodys,/news/bonds/california-statewide-communities-dev-auth-moody-s-changes-edison-international-and-southern-california-edison-s-rating-outlooks-to-negative-1021236182
39.0,5/1/2018 10:12:41 PM,Edison International Q1 adjusted earnings Miss Estimates,RTTNews,/news/stocks/edison-international-q1-adjusted-earnings-miss-estimates-1023050871
40.0,7/24/2018 3:02:13 PM,Edison International earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/edison_international-stock-quarter-earnings-preview-q2-1027394421
41.0,7/26/2018 10:55:05 PM,Edison International Reveals Decline In Q2 Earnings,RTTNews,/news/stocks/edison-international-reveals-decline-in-q2-earnings-1027405219
42.0,9/7/2018 1:14:00 AM,California Statewide Communities Dev. Auth. -- Moody's downgrades Southern California Edison to A3 from A2 and Edison International to Baa1 from A3; outlooks stable,Moodys,/news/bonds/california-statewide-communities-dev-auth-moody-s-downgrades-southern-california-edison-to-a3-from-a2-and-edison-international-to-baa1-from-a3-outlooks-stable-1027515786
43.0,9/7/2018 8:54:00 PM,SCE Trust VI -- Moody's downgrades Southern California Edison to A3 from A2 and Edison International to Baa1 from A3; outlooks stable,Moodys,/news/bonds/sce-trust-vi-moody-s-downgrades-southern-california-edison-to-a3-from-a2-and-edison-international-to-baa1-from-a3-outlooks-stable-1027518221
44.0,9/12/2018 9:05:00 PM,"SCE Trust III -- Correction to Text, September 06, 2018 Release: Moody's downgrades Southern California Edison to A3 from A2 and Edison International to Baa1 from A3; outlooks stable",Moodys,/news/bonds/sce-trust-iii-correction-to-text-september-06-2018-release-moody-s-downgrades-southern-california-edison-to-a3-from-a2-and-edison-international-to-baa1-from-a3-outlooks-stable-1027529688
45.0,9/12/2018 9:06:00 PM,SCE Trust VI -- Moody's downgrades Southern California Edison to A3 from A2 and Edison International to Baa1 from A3; outlooks stable,Moodys,/news/bonds/sce-trust-vi-moody-s-downgrades-southern-california-edison-to-a3-from-a2-and-edison-international-to-baa1-from-a3-outlooks-stable-1027529687
46.0,9/13/2018 1:52:00 PM,SCE TRUST V -- Moody's downgrades Southern California Edison to A3 from A2 and Edison International to Baa1 from A3; outlooks stable,Moodys,/news/bonds/sce-trust-v-moody-s-downgrades-southern-california-edison-to-a3-from-a2-and-edison-international-to-baa1-from-a3-outlooks-stable-1027531870
47.0,10/24/2018 3:34:00 AM,Berkshire Hathaway Energy Company -- Moody's upgrades Solar Star's senior secured bonds to Baa1 from Baa2; Outlook changed to stable,Moodys,/news/bonds/berkshire-hathaway-energy-company-moody-s-upgrades-solar-star-s-senior-secured-bonds-to-baa1-from-baa2-outlook-changed-to-stable-1027646735
48.0,10/28/2018 3:02:08 PM,Edison International earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/edison_international-q3-quarterly-earnings-preview-1027662500
49.0,10/30/2018 9:27:07 PM,Edison International Profit Climbs In Q3,RTTNews,/news/stocks/edison-international-profit-climbs-in-q3-1027673149
50.0,12/3/2018 10:09:00 PM,Southern California Edison Company -- Moody's revises the ratings outlook of Southern California Edison and Edison International to negative,Moodys,/news/bonds/southern-california-edison-company-moody-s-revises-the-ratings-outlook-of-southern-california-edison-and-edison-international-to-negative-1027776886
