Unnamed: 0,datetime,title,source,link
0.0,2/20/2007 3:07:00 PM,Sean Dougherty Promoted to Group Vice President in MWW Group's New York Office,PR Newswire,/news/stocks/sean-dougherty-promoted-to-group-vice-president-in-mww-group-s-new-york-office-1030603867
1.0,6/13/2007 6:48:00 PM,Deutsch Inc. Names Michael Duda as Chief Corporate Strategy Officer,PR Newswire,/news/stocks/deutsch-inc-names-michal-duda-as-chief-corporate-strategy-officer-141604
2.0,9/17/2007 12:30:00 PM,MWW Group Named Agency of Record for Prodea Systems,PR Newswire,/news/stocks/mww-group-named-agency-of-record-for-prodea-systems-810188
3.0,10/29/2007 12:00:00 PM,Peter Brown Joins MWW Group as Vice President,PR Newswire,/news/stocks/peter-brown-joins-mww-group-as-vice-president-262089
4.0,4/18/2008 3:23:00 PM,National Football League Appoints Octagon to Support UK Commercial Strategy,PR Newswire,/news/stocks/national-football-league-appoints-octagon-to-support-uk-commercial-strategy-1030722554
5.0,6/4/2008 5:16:00 PM,ID Media President Gaye Sussman Appointed 1st Vice Chairman of the BPA Executive Committee,PR Newswire,/news/stocks/id-media-president-gaye-sussman-appointed-1st-vice-chairman-of-the-bpa-executive-committee-1030218458
6.0,10/21/2016 3:58:20 PM,BRIEF-Interpublic Group of Companies reports Q3 EPS of $0.32 (IPG),Reuters,http://www.businessinsider.com/r-brief-interpublic-group-of-companies-reports-q3-eps-of-032-2016-10
7.0,10/21/2016 4:20:21 PM,BRIEF-Interpublic reports Q3 EPS $0.32 (IPG),Reuters,http://www.businessinsider.com/r-brief-interpublic-reports-q3-eps-032-2016-10
8.0,11/17/2016 9:44:17 PM,Interpublic CEO forecasts a 12 pct operating margin in 2016 (IPG),Reuters,http://www.businessinsider.com/r-interpublic-ceo-forecasts-a-12-pct-operating-margin-in-2016-2016-11
9.0,11/23/2016 11:18:27 AM,"Google and Facebook's threat to ad agencies has been 'over-stated' (GOOG, FB, WPPGY, PUB, OMC, IPG)",Business Insider,http://www.businessinsider.com/credit-suisse-says-google-and-facebook-threat-to-agencies-is-over-stated-2016-11
10.0,12/6/2016 9:40:06 PM,"BRIEF-Justice Department investigates rigging of contracts in advertising industry- WSJ,citing sources (IPG, OMC, PUB, WPP)",Reuters,http://www.businessinsider.com/r-brief-justice-department-investigates-rigging-of-contracts-in-advertising-industry--wsjciting-sources-2016-12
11.0,12/7/2016 5:36:07 PM,BRIEF-IPG confirms one domestic agency has been contacted by DoJ antitrust division (IPG),Reuters,http://www.businessinsider.com/r-brief-ipg-confirms-one-domestic-agency-has-been-contacted-by-doj-antitrust-division-2016-12
12.0,12/7/2016 6:34:07 PM,Ad company Interpublic Group confirms DoJ probe,Reuters,http://www.businessinsider.com/r-ad-company-interpublic-group-confirms-doj-probe-2016-12
13.0,12/7/2016 9:06:03 PM,"UPDATE 1-Interpublic says U.S. govt sought video production data (PUB, IPG, WPP, OMC)",Reuters,http://www.businessinsider.com/r-update-1-interpublic-says-us-govt-sought-video-production-data-2016-12
14.0,1/23/2017 6:21:28 PM,"ITV, Mediaset and Ascential are the big M&A targets in European media in 2017 (IPG, HAV, ITV)",Business Insider,http://www.businessinsider.com/itv-mediaset-havas-ascential-are-2017-merger-acquisition-targets-in-european-media-2017-1
15.0,1/26/2017 9:25:53 PM,The new CEO of Publicis Groupe will be Arthur Sadoun (PUB),Reuters,http://www.businessinsider.com/r-arthur-sadoun-to-take-over-as-ceo-of-ad-firm-publicis-groupe-2017-1
16.0,2/2/2017 6:14:31 PM,Snapchat has partnered with an ad agency to begin investing in tech startups,Business Insider,http://www.businessinsider.com/snapchat-rga-and-ipg-launch-marketing-tech-venture-studio-2017-2
17.0,2/10/2017 1:14:09 PM,Interpublic Group quarterly revenue rises 3.1 percent (IPG),Reuters,http://www.businessinsider.com/r-interpublic-group-quarterly-revenue-rises-31-percent-2017-2
18.0,2/10/2017 1:56:31 PM,Interpublic Group Of Companies Inc. Earnings Rise 12% In Q4,RTTNews,/news/stocks/interpublic-group-of-companies-inc-earnings-rise-12-in-q4-1001741101
19.0,2/10/2017 2:06:11 PM,BRIEF-Interpublic Q4 EPS $0.75 excluding items (IPG),Reuters,http://www.businessinsider.com/r-brief-interpublic-q4-eps-075-excluding-items-2017-2
20.0,2/15/2017 6:50:10 AM,Paul Singer's hedge fund dissolves stake in Interpublic (IPG),Reuters,http://www.businessinsider.com/r-paul-singers-hedge-fund-dissolves-stake-in-interpublic-2017-2
21.0,2/28/2017 5:00:00 PM,McCann Worldgroup's Marcy Q. Samet and Devika Bulchandani Honored as 'Working Mothers of the Year' by She Runs It,PR Newswire,/news/stocks/mccann-worldgroup-s-marcy-q-samet-and-devika-bulchandani-honored-as-working-mothers-of-the-year-by-she-runs-it-1001791206
22.0,2/28/2017 7:12:00 PM,Los Angeles 2024 Olympic and Paralympic Bid Committee Engages Weber Shandwick as Global Public Relations Agency,PR Newswire,/news/stocks/los-angeles-2024-olympic-and-paralympic-bid-committee-engages-weber-shandwick-as-global-public-relations-agency-1001791732
23.0,3/3/2017 9:28:19 AM,"UPDATE 1-WPP sees tougher 2017 after hitting 2016 net sales target (WPP, OMC, PUB, IPG)",Reuters,http://www.businessinsider.com/r-update-1-wpp-sees-tougher-2017-after-hitting-2016-net-sales-target-2017-3
24.0,3/6/2017 6:06:00 PM,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of The Interpublic Group of Companies - IPG,PR Newswire,/news/stocks/shareholder-alert-pomerantz-law-firm-investigates-claims-on-behalf-of-investors-of-the-interpublic-group-of-companies-ipg-1001807865
25.0,3/6/2017 6:17:00 PM,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Announces Investigation of The Interpublic Group of Companies (IPG)",PR Newswire,/news/stocks/shareholder-alert-bronstein-gewirtz-grossman-llc-announces-investigation-of-the-interpublic-group-of-companies-ipg-1001807893
26.0,3/6/2017 8:00:00 PM,"Gary Sheffer Joins Weber Shandwick as Senior Corporate Strategist to Focus on Corporate Reputation, Culture and Executive Engagement",PR Newswire,/news/stocks/gary-sheffer-joins-weber-shandwick-as-senior-corporate-strategist-to-focus-on-corporate-reputation-culture-and-executive-engagement-1001808174
27.0,3/7/2017 5:00:00 PM,MRM//McCann's Kate MacNevin Honored With She Runs It Impact Award,PR Newswire,/news/stocks/mrm-mccann-s-kate-macnevin-honored-with-she-runs-it-impact-award-1001812088
28.0,3/9/2017 2:00:00 PM,Carmichael Lynch Names Marcus Fischer CEO,PR Newswire,/news/stocks/carmichael-lynch-names-marcus-fischer-ceo-1001819819
29.0,3/9/2017 2:56:22 PM,BRIEF-Carmichael Lynch names Marcus Fischer Ceo (IPG),Reuters,http://www.businessinsider.com/r-brief-carmichael-lynch-names-marcus-fischer-ceo-2017-3
30.0,3/16/2017 12:54:24 PM,Ad agency R/GA wants to 'disrupt management consultants' (IPG),Business Insider,http://www.businessinsider.com/creative-agency-rga-is-taking-on-consulting-companies-2017-3
31.0,3/16/2017 7:14:00 PM,"Weber Shandwick Study Finds CEOs Embrace Social Media, But Struggle To Take It To Engagement Level",PR Newswire,/news/stocks/weber-shandwick-study-finds-ceos-embrace-social-media-but-struggle-to-take-it-to-engagement-level-1001843559
32.0,3/20/2017 1:00:17 PM,"IPG CEO on YouTube advertiser boycott: 'The best way to fix it is to hold them economically accountable' (IPG, GOOG)",Business Insider,http://www.businessinsider.com/ipg-ceo-hold-google-economically-accountable-to-fix-extremist-ads-2017-3
33.0,3/20/2017 2:20:00 PM,PRWeek U.S. Names Weber Shandwick Agency of the Year for Third Consecutive Year,PR Newswire,/news/stocks/prweek-u-s-names-weber-shandwick-agency-of-the-year-for-third-consecutive-year-1001850275
34.0,3/20/2017 2:49:00 PM,82 Percent of Americans Register Concern About the Impact of Fake News,PR Newswire,/news/stocks/82-percent-of-americans-register-concern-about-the-impact-of-fake-news-1001850402
35.0,3/27/2017 7:00:00 PM,"MRM//McCann Makes Significant Move to Leaders Quadrant in Gartner's 2017 ""Magic Quadrant for Global Digital Marketing Agencies"" Report",PR Newswire,/news/stocks/mrm-mccann-makes-significant-move-to-leaders-quadrant-in-gartner-s-2017-magic-quadrant-for-global-digital-marketing-agencies-report-1001871027
36.0,3/29/2017 7:00:00 PM,McCann Worldgroup Names Singleton Beato to Lead Diversity,PR Newswire,/news/stocks/mccann-worldgroup-names-singleton-beato-to-lead-diversity-1001879086
37.0,3/30/2017 2:45:00 PM,Retail Management Combined With Innovative Branding Solutions Forming New Revenue Generating Opportunities,PR Newswire,/news/stocks/retail-management-combined-with-innovative-branding-solutions-forming-new-revenue-generating-opportunities-1001882015
38.0,3/30/2017 2:45:00 PM,Retail Management Combined With Innovative Branding Solutions Forming New Revenue Generating Opportunities,PR Newswire,/news/stocks/retail-management-combined-with-innovative-branding-solutions-forming-new-revenue-generating-opportunities-1001882019
39.0,3/30/2017 7:24:52 PM,"Viacom looks to rival major U.S. cable channels with Paramount Network (CMCSA, TWX, WPP, IPG)",Reuters,http://www.businessinsider.com/r-viacom-looks-to-rival-major-us-cable-channels-with-paramount-network-2017-3
40.0,4/3/2017 11:05:00 PM,"Politically Divided USA Is Also Challenging Brands, McCann Finds in New 'Truth About America' Study",PR Newswire,/news/stocks/politically-divided-usa-is-also-challenging-brands-mccann-finds-in-new-truth-about-america-study-1001892143
41.0,4/3/2017 11:42:49 PM,"UPDATE 1-Trump to hold town hall meeting with about 50 business leaders (C, JBLU, MA, GE, IPG)",Reuters,http://www.businessinsider.com/r-update-1-trump-to-hold-town-hall-meeting-with-about-50-business-leaders-2017-4
42.0,4/4/2017 2:27:00 PM,"Dress for Success Celebrates 20th Anniversary with the Launch of the #OpenDoorProject, Its First Global Social Movement to Empower Women",PR Newswire,/news/stocks/dress-for-success-celebrates-20th-anniversary-with-the-launch-of-the-opendoorproject-its-first-global-social-movement-to-empower-women-531939
