Unnamed: 0,datetime,title,source,link
0.0,10/20/2016 1:24:24 PM,"U.S. RESEARCH ROUNDUP-AMC Networks, Expedia, Ventas (AGN, AMCX, APH, BJRI, CTXS, CTBI, BDN, CYBE, EMKR, EXPE, GPC, FLT, HZNP, KMI, LRCX, MAA, PPBI, PCRX, OKSB, STX, VTR)",Reuters,http://www.businessinsider.com/r-us-research-roundup-amc-networks-expedia-ventas-2016-10
1.0,10/27/2016 11:26:21 PM,BRIEF-MAA reports third quarter results (MAA),Reuters,http://www.businessinsider.com/r-brief-maa-reports-third-quarter-results-2016-10
2.0,11/10/2016 11:26:21 PM,"BRIEF-MAA and Post Properties shareholders approve merger (MAA, PPS)",Reuters,http://www.businessinsider.com/r-brief-maa-and-post-properties-shareholders-approve-merger-2016-11
3.0,12/8/2016 11:36:05 PM,BRIEF-Mid-America Apartment to increase common dividend by 6 pct (MAA),Reuters,http://www.businessinsider.com/r-brief-mid-america-apartment-to-increase-common-dividend-by-6-pct-2016-12
4.0,2/1/2017 11:06:07 PM,BRIEF-MAA Q4 core FFO per share $1.50 (MAA),Reuters,http://www.businessinsider.com/r-brief-maa-q4-core-ffo-per-share-150-2017-2
5.0,3/1/2017 10:20:00 PM,MAA Announces Regular Quarterly Preferred Dividend,PR Newswire,/news/stocks/maa-announces-regular-quarterly-preferred-dividend-1001796695
6.0,3/9/2017 1:45:00 PM,"REIT Stocks Under Scanner -- UDR Inc., Mid-America Apartment, Apartment Investment, and Independence Realty Trust",PR Newswire,/news/stocks/reit-stocks-under-scanner-udr-inc-mid-america-apartment-apartment-investment-and-independence-realty-trust-1001819747
7.0,3/23/2017 9:34:52 PM,BRIEF-Mid-America Apartment Communities sets quarterly dividend of $0.87per share (MAA),Reuters,http://www.businessinsider.com/r-brief-mid-america-apartment-communities-sets-quarterly-dividend-of-087per-share-2017-3
8.0,3/24/2017 12:02:00 AM,/C O R R E C T I O N -- MAA/,PR Newswire,/news/stocks/c-o-r-r-e-c-t-i-o-n-maa-1001863832
9.0,4/3/2017 10:20:00 PM,"MAA Announces Date of First Quarter 2017 Earnings Release, Conference Call",PR Newswire,/news/stocks/maa-announces-date-of-first-quarter-2017-earnings-release-conference-call-1001891988
10.0,4/11/2017 12:55:00 PM,"Research Reports Coverage on REIT Stocks -- UDR Inc., Apartment Investment and Management, Orchid Island, and Mid-America",PR Newswire,/news/stocks/research-reports-coverage-on-reit-stocks-udr-inc-apartment-investment-and-management-orchid-island-and-mid-america-1001913320
11.0,4/26/2017 10:20:00 PM,MAA Reports First Quarter Results,PR Newswire,/news/stocks/maa-reports-first-quarter-results-1001953461
12.0,4/26/2017 11:09:08 PM,BRIEF-Mid-America Apartment Communities reports Q1 adjusted FFO per share $1.36 (MAA),Reuters,http://www.businessinsider.com/r-brief-mid-america-apartment-communities-reports-q1-adjusted-ffo-per-share-136-2017-4
13.0,4/27/2017 12:37:51 AM,Mid-America Apartment Communities Updates 2017 Guidance - Quick Facts ,RTTNews,/news/stocks/mid-america-apartment-communities-updates-2017-guidance-quick-facts-1001953873
14.0,5/2/2017 10:32:00 PM,MAA Announces Pricing of Senior Unsecured Notes Offering,PR Newswire,/news/stocks/maa-announces-pricing-of-senior-unsecured-notes-offering-1001639463
15.0,5/3/2017 12:06:07 AM,BRIEF-Mid-America Apartment announces pricing of senior unsecured notes offering (MAA),Reuters,http://www.businessinsider.com/r-brief-mid-america-apartment-announces-pricing-of-senior-unsecured-notes-offering-2017-5
16.0,6/1/2017 10:20:00 PM,MAA Announces Regular Quarterly Preferred Dividend,PR Newswire,/news/stocks/maa-announces-regular-quarterly-preferred-dividend-1002061204
17.0,7/26/2017 10:21:00 PM,MAA Reports Second Quarter Results,PR Newswire,/news/stocks/maa-reports-second-quarter-results-1002207674
