Unnamed: 0,datetime,title,source,link
0.0,10/11/2016 7:40:24 PM,BRIEF-T. Rowe Price Associates reports 11.1 pct passive stake in Coty - SEC filing (TROW),Reuters,/news/stocks/brief-t-rowe-price-associates-reports-11-1-pct-passive-stake-in-coty-sec-filing-trow-1001449758
1.0,10/11/2016 8:40:23 PM,BRIEF-T. Rowe Price Associates reports 13.6 pct passive stake in Gentherm Inc (TROW),Reuters,/news/stocks/brief-t-rowe-price-associates-reports-13-6-pct-passive-stake-in-gentherm-inc-trow-1001449793
2.0,10/27/2016 10:36:18 PM,BRIEF-T. Rowe Price Group says increased number of directors from 12 to 13 - SEC filing (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-group-says-increased-number-of-directors-from-12-to-13---sec-filing-2016-10
3.0,11/18/2016 11:23:20 AM,Here's how money managers at an $813 billion investment giant tweaked their strategy after Trump won (TROW),Business Insider,http://markets.businessinsider.com/news/stocks/Heres-how-money-managers-at-an-$813-billion-investment-giant-tweaked-their-strategy-after-Trump-won-TROW-1001531407
4.0,11/18/2016 11:36:56 AM,Here's how money managers at an $813 billion investment giant tweaked their strategy after Trump won (TROW),Business Insider,http://www.businessinsider.com/what-t-rowe-price-portfolio-managers-changed-after-trump-won-2016-11
5.0,1/20/2017 2:08:07 AM,BRIEF-T. Rowe Price to not contest plan by Snap Inc (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-to-not-contest-plan-by-snap-inc-2017-1
6.0,1/20/2017 4:46:04 PM,T. Rowe Price to recover $100 mln from insurance after voting error (TROW),Reuters,http://www.businessinsider.com/r-t-rowe-price-to-recover-100-mln-from-insurance-after-voting-error-2017-1
7.0,1/20/2017 4:56:04 PM,UPDATE 1-T. Rowe Price to recover $100 mln from insurance after Dell error (TROW),Reuters,http://www.businessinsider.com/r-update-1-t-rowe-price-to-recover-100-mln-from-insurance-after-dell-error-2017-1
8.0,1/26/2017 4:36:06 PM,BRIEF-T. Rowe Price posts Q4 adjusted earnings per share $1.21 (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-posts-q4-adjusted-earnings-per-share-121-2017-1
9.0,2/2/2017 10:06:07 PM,BRIEF-T. Rowe Price says goal to achieve 1-3 pct organic growth rate on AUM over next 3-4 years (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-says-goal-to-achieve-1-3-pct-organic-growth-rate-on-aum-over-next-3-4-years-2017-2
10.0,2/3/2017 10:10:07 PM,"Lacking voting rights, Snap IPO to test fund governance talk",Reuters,http://www.businessinsider.com/r-lacking-voting-rights-snap-ipo-to-test-fund-governance-talk-2017-2
11.0,2/22/2017 9:56:12 PM,"Fund managers look to Mexican 'staples and savings' amid Trump fears (TROW, FII, WMT, SANMEXB, ALSEA*, ASURB)",Reuters,http://www.businessinsider.com/r-fund-managers-look-to-mexican-staples-and-savings-amid-trump-fears-2017-2
12.0,2/24/2017 7:12:13 PM,"Fidelity, T. Rowe poised for gains on Snap IPO (TROW)",Reuters,http://www.businessinsider.com/r-fidelity-t-rowe-poised-for-gains-on-snap-ipo-2017-2
13.0,2/27/2017 10:05:00 PM,T. Rowe Price To Acquire U.S. High Yield Fixed Income Fund And Portfolio Team From Henderson Global Investors,PR Newswire,/news/stocks/t-rowe-price-to-acquire-u-s-high-yield-fixed-income-fund-and-portfolio-team-from-henderson-global-investors-1001787455
14.0,2/27/2017 10:44:13 PM,BRIEF-T. Rowe Price to acquire U.S. High Yield Fixed Income Fund and portfolio team from Henderson Global Investors (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-to-acquire-us-high-yield-fixed-income-fund-and-portfolio-team-from-henderson-global-investors-2017-2
15.0,3/8/2017 8:14:21 PM,"FTSE Russell turns to investors on Snap voting rights quandary (LSE, BLK, TROW, STT)",Reuters,http://www.businessinsider.com/r-ftse-russell-turns-to-investors-on-snap-voting-rights-quandary-2017-3
16.0,3/16/2017 3:30:00 PM,"T. Rowe Price Launches T. Rowe Price® ActivePlus Portfolios, A Digital Investment Advisory Program",PR Newswire,/news/stocks/t-rowe-price-launches-t-rowe-price-activeplus-portfolios-a-digital-investment-advisory-program-1001842696
17.0,3/17/2017 9:36:50 PM,BRIEF-T. Rowe Price CEO William Stromberg's FY 2016 compensation $9.1 mln vs $8.45 mln (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-ceo-william-strombergs-fy-2016-compensation-91-mln-vs-845-mln-2017-3
18.0,3/23/2017 3:30:00 PM,T. Rowe Price: Parents Are Likely To Pass Down Good And Bad Financial Habits To Their Kids,PR Newswire,/news/stocks/t-rowe-price-parents-are-likely-to-pass-down-good-and-bad-financial-habits-to-their-kids-1001862697
19.0,3/31/2017 12:46:50 AM,"Investors add $5.6 bln to U.S.-based taxable-bond funds -Lipper (WDR, BLK, TROW, BEN, LM)",Reuters,http://www.businessinsider.com/r-investors-add-56-bln-to-us-based-taxable-bond-funds--lipper-2017-3
20.0,4/3/2017 5:17:00 PM,T. Rowe Price Investor Class Funds Debut With No Transaction Fee On Charles Schwab's Mutual Fund OneSource® Service,PR Newswire,/news/stocks/t-rowe-price-investor-class-funds-debut-with-no-transaction-fee-on-charles-schwabs-mutual-fund-onesource-service-527424
21.0,4/4/2017 5:56:52 AM,FTSE Russell to announce in July decision on adding Snap shares,Reuters,http://www.businessinsider.com/r-ftse-russell-to-announce-in-july-decision-on-adding-snap-shares-2017-4
22.0,4/7/2017 12:10:00 PM,"Asset Management Stocks Under Scanner -- T. Rowe Price, Voya Financial, Legg Mason, and Janus Capital",PR Newswire,/news/stocks/asset-management-stocks-under-scanner-t-rowe-price-voya-financial-legg-mason-and-janus-capital-1001906025
23.0,4/10/2017 5:20:54 AM,Fox to investigate sexual harassment claim against O'Reilly,Reuters,http://www.businessinsider.com/r-fox-to-investigate-sexual-harassment-claim-against-oreilly-2017-4
24.0,4/13/2017 1:00:59 AM,"O'Reilly's ratings stay strong despite sexual harassment claims (ALL, TROW)",Reuters,http://www.businessinsider.com/r-oreillys-ratings-stay-strong-despite-sexual-harassment-claims-2017-4
25.0,4/19/2017 6:31:06 PM,"Top-rated host Bill O'Reilly is out at Fox News -New York magazine (BMW, ALL, SAN, TROW)",Reuters,http://www.businessinsider.com/r-top-rated-host-bill-oreilly-is-out-at-fox-news--new-york-magazine-2017-4
26.0,4/19/2017 8:35:06 PM,"UPDATE 1-Top-rated host Bill O'Reilly is out at Fox News -New York magazine (BMW, ALL, SAN, TROW)",Reuters,http://www.businessinsider.com/r-update-1-top-rated-host-bill-oreilly-is-out-at-fox-news--new-york-magazine-2017-4
27.0,4/25/2017 1:30:00 PM,T. Rowe Price Group Reports First Quarter 2017 Results,PR Newswire,/news/stocks/t-rowe-price-group-reports-first-quarter-2017-results-1001606960
28.0,4/25/2017 1:45:02 PM,T. Rowe Price Group Reports 12% Drop In Q1 Earnings,RTTNews,/news/stocks/t-rowe-price-group-reports-12-drop-in-q1-earnings-1001946087
29.0,4/25/2017 2:21:08 PM,BRIEF-T. Rowe Price Group posts Q1 adj. earnings $1.18/shr (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-group-posts-q1-adj-earnings-118-shr-2017-4
30.0,4/26/2017 8:29:00 PM,T. Rowe Price Group Declares Quarterly Dividend and Announces Annual Meeting Voting Results,PR Newswire,/news/stocks/t-rowe-price-group-declares-quarterly-dividend-and-announces-annual-meeting-voting-results-1001953095
31.0,4/26/2017 10:11:06 PM,BRIEF-T. Rowe Price Group sets quarterly dividend of $0.57per share (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-group-sets-quarterly-dividend-of-057per-share-2017-4
32.0,4/27/2017 4:41:07 PM,"Symphony adds large asset management clients in chat tool push (TROW, TRI, GS, BLK)",Reuters,http://www.businessinsider.com/r-symphony-adds-large-asset-management-clients-in-chat-tool-push-2017-4
33.0,5/2/2017 4:00:00 PM,"T. Rowe Price Target Date Funds Have Outperformed Passive Benchmarks Over Longer Time Periods, Firm's New Study Shows",PR Newswire,/news/stocks/t-rowe-price-target-date-funds-have-outperformed-passive-benchmarks-over-longer-time-periods-firm-s-new-study-shows-1001970053
34.0,5/24/2017 7:20:51 PM,T. Rowe Price Moves Notably Lower On Downgrade By UBS ,RTTNews,/news/stocks/t-rowe-price-moves-notably-lower-on-downgrade-by-ubs-1002041014
35.0,5/30/2017 7:17:00 PM,T. Rowe Price Launches U.S. High Yield Fixed Income Fund,PR Newswire,/news/stocks/t-rowe-price-launches-u-s-high-yield-fixed-income-fund-1002051754
36.0,6/9/2017 12:25:00 PM,"Initiating Research Reports on Asset Management Equities -- T.Rowe Price, Ameriprise Financial, Lazard, and Northern Trust",PR Newswire,/news/stocks/initiating-research-reports-on-asset-management-equities-t-rowe-price-ameriprise-financial-lazard-and-northern-trust-1002081459
37.0,6/26/2017 4:00:00 PM,T. Rowe Price Finds Significant Increase Of Plan Sponsors Offering Roth Contributions in 401(k) Plans,PR Newswire,/news/stocks/t-rowe-price-finds-significant-increase-of-plan-sponsors-offering-roth-contributions-in-401-k-plans-1001798353
38.0,6/27/2017 5:13:00 PM,T. Rowe Price Launches Retirement Income 2020 Fund,PR Newswire,/news/stocks/t-rowe-price-launches-retirement-income-2020-fund-1002128298
39.0,7/5/2017 7:58:00 PM,Daniel Morgan Graduate School Accepted as Candidate for Accreditation,PR Newswire,/news/stocks/daniel-morgan-graduate-school-accepted-as-candidate-for-accreditation-1001820942
40.0,7/13/2017 2:48:08 PM,BRIEF-T. Rowe Price Group reports preliminary month-end assets under management (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-group-reports-preliminary-month-end-assets-under-management-2017-7
41.0,7/13/2017 10:18:05 PM,Vanguard CIO Buckley to take over as CEO from McNabb Jan. 1 (TROW),Reuters,http://www.businessinsider.com/r-vanguard-cio-buckley-to-take-over-as-ceo-from-mcnabb-jan-1-2017-7
42.0,7/14/2017 12:22:06 AM,UPDATE 1-Vanguard CIO Buckley to take over as CEO from McNabb on Jan. 1 (TROW),Reuters,http://www.businessinsider.com/r-update-1-vanguard-cio-buckley-to-take-over-as-ceo-from-mcnabb-on-jan-1-2017-7
43.0,7/25/2017 1:30:00 PM,T. Rowe Price Group Reports Second Quarter 2017 Results,PR Newswire,/news/stocks/t-rowe-price-group-reports-second-quarter-2017-results-1002201617
44.0,7/25/2017 1:42:41 PM,T. Rowe Price Group Reports 11% Rise In Q2 Earnings,RTTNews,/news/stocks/t-rowe-price-group-reports-11-rise-in-q2-earnings-1002201662
45.0,7/25/2017 1:53:12 PM,T. Rowe Price Group Q2 Profit Surges ,RTTNews,/news/stocks/t-rowe-price-group-q2-profit-surges-1002201704
46.0,7/25/2017 1:58:03 PM,BRIEF-T. Rowe Price group Q2 reports Q2 earnings per share $1.50 including items (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-group-q2-reports-q2-earnings-per-share-150-including-items-2017-7
47.0,7/25/2017 3:18:05 PM,BRIEF-T. Rowe Price reports Q2 earnings per share $1.50 including items (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-reports-q2-earnings-per-share-150-including-items-2017-7
48.0,8/10/2017 2:30:00 PM,T. Rowe Price Group Reports Preliminary Month-End Assets Under Management For July 2017,PR Newswire,/news/stocks/t-rowe-price-group-reports-preliminary-month-end-assets-under-management-for-july-2017-1002248459
49.0,8/10/2017 3:02:06 PM,BRIEF-T. Rowe Price reports preliminary month-end assets under management for July 2017 (TROW),Reuters,http://www.businessinsider.com/r-brief-t-rowe-price-reports-preliminary-month-end-assets-under-management-for-july-2017-2017-8
50.0,8/18/2017 1:22:04 PM,"Top fund investors pumped brakes on fast-rising Tesla -filings (TSLA, TROW, F)",Reuters,http://www.businessinsider.com/r-top-fund-investors-pumped-brakes-on-fast-rising-tesla--filings-2017-8
51.0,8/21/2017 2:30:00 PM,T. Rowe Price Group Declares Quarterly Dividend,PR Newswire,/news/stocks/t-rowe-price-group-declares-quarterly-dividend-1002272172
