Unnamed: 0,datetime,title,source,link
0.0,9/26/2016 1:30:24 PM,"UPDATE 1-Aldi plans 300 mln stg UK store refresh as 2015 profit falls (TSCO, SBRY, MRW, WMT)",Reuters,/news/stocks/update-1-aldi-plans-300-mln-stg-uk-store-refresh-as-2015-profit-falls-tsco-sbry-mrw-wmt-1001417521
1.0,9/26/2016 1:40:20 PM,"Investors urge food companies to shift from meat to plants (GIS, OCDO, AV., MKS, MRW, KR, SBRY, TSCO, ULVR, UNA, WMT, COST, WFM)",Reuters,/news/stocks/investors-urge-food-companies-to-shift-from-meat-to-plants-gis-ocdo-av-mks-mrw-kr-sbry-tsco-ulvr-una-wmt-cost-wfm-1001417517
2.0,9/29/2016 11:20:23 PM,BRIEF-Tractor Supply Company reports of Petsense (TSCO),Reuters,/news/stocks/brief-tractor-supply-company-reports-of-petsense-tsco-1001427961
3.0,10/3/2016 1:00:22 PM,"PRESS DIGEST- British Business - Oct 3 (TSCO, TALK, GS, PIL)",Reuters,/news/stocks/press-digest-british-business-oct-3-tsco-talk-gs-pil-1001432100
4.0,10/3/2016 1:00:22 PM,"PRESS DIGEST- Financial Times - Oct 3 (DBK, TSCO)",Reuters,/news/stocks/press-digest-financial-times-oct-3-dbk-tsco-1001432096
5.0,10/4/2016 8:10:24 PM,BRIEF-Winona Capital Management announces sale of Petsense to Tractor Supply Co (TSCO),Reuters,/news/stocks/brief-winona-capital-management-announces-sale-of-petsense-to-tractor-supply-co-tsco-1001435791
6.0,10/5/2016 2:00:21 PM,"UPDATE 1-UK Stocks-Factors to watch on Oct 5 (BLT, BP., TSCO, BHP, SAB, AB1)",Reuters,/news/stocks/update-1-uk-stocks-factors-to-watch-on-oct-5-blt-bp-tsco-bhp-sab-ab1-1001437224
7.0,10/5/2016 2:10:26 PM,"European shares fall on ECB concerns, Tesco soars (TSCO)",Reuters,/news/stocks/european-shares-fall-on-ecb-concerns-tesco-soars-tsco-1001437308
8.0,10/5/2016 2:10:26 PM,"UPDATE 2-British retailer Tesco lifts margin target as recovery takes hold (TSCO, SBRY, MRW)",Reuters,/news/stocks/update-2-british-retailer-tesco-lifts-margin-target-as-recovery-takes-hold-tsco-sbry-mrw-1001437309
9.0,10/5/2016 10:20:21 PM,"European shares fall led by utilities, real estate; Tesco soars (TSCO)",Reuters,/news/stocks/european-shares-fall-led-by-utilities-real-estate;-tesco-soars-tsco-1001437511
10.0,10/6/2016 1:20:22 PM,"PRESS DIGEST- British Business - Oct 6 (TSCO, GS, SVI, DBK, TALK)",Reuters,/news/stocks/press-digest-british-business-oct-6-tsco-gs-svi-dbk-talk-1001439507
