date,close,volume,open,high,low
2025-03-13,119.38,7669670,124.99,126.22,119.15
2025-03-12,126.55,4834071,127.0,127.48,123.531
2025-03-11,125.44,9318416,129.98,130.7686,123.7
2025-03-10,132.15,7493002,134.57,135.94,130.2
2025-03-07,134.39,5616851,134.71,134.73,130.37
2025-03-06,134.77,5924270,140.325,140.325,134.61
2025-03-05,142.58,3881642,141.87,142.79,139.21
2025-03-04,141.42,4799516,139.995,143.23,137.82
2025-03-03,140.98,6688879,140.34,144.75,139.9012
2025-02-28,138.87,6253063,139.5,140.16,137.59
2025-02-27,139.45,4411760,144.63,145.69,139.05
2025-02-26,144.03,2910748,143.16,145.13,142.2201
2025-02-25,141.55,6189194,144.785,145.16,140.4
2025-02-24,144.82,4478917,147.0,147.07,143.88
2025-02-21,146.07,7356423,154.565,154.565,145.75
2025-02-20,155.31,5099655,156.32,157.75,152.47
2025-02-19,157.98,6906074,160.0,160.0,155.21
2025-02-18,160.6,8144501,161.04,162.5761,158.07
2025-02-14,161.42,21649320,158.185,163.93,156.93
2025-02-13,141.04,12745330,139.64,141.94,138.76
2025-02-12,140.52,6147194,133.07,141.2,132.79
2025-02-11,134.52,4042978,134.91,136.25,134.09
2025-02-10,135.24,4760053,136.3,136.36,133.16
2025-02-07,134.98,5933237,134.7,139.5,133.9056
2025-02-06,132.57,3704352,130.16,133.19,130.15
2025-02-05,129.6,3001069,130.27,130.34,128.1
2025-02-04,130.74,2687169,129.58,131.49,129.08
2025-02-03,129.78,2745002,129.19,130.955,127.515
2025-01-31,131.17,3047116,132.28,134.45,130.57
2025-01-30,131.79,2440541,133.56,134.3714,130.85
2025-01-29,132.58,3627926,131.42,134.05,130.89
2025-01-28,131.05,5929900,128.67,131.42,126.86
2025-01-27,128.96,4806967,125.94,129.06,125.64
2025-01-24,127.09,6966883,132.61,132.72,126.72
2025-01-23,133.24,3968199,132.4,133.64,131.775
2025-01-22,132.5,5028540,133.0,135.0,132.34
2025-01-21,133.07,5396777,135.47,135.64,131.24
2025-01-17,135.12,3751223,134.17,135.62,132.69
2025-01-16,132.16,2904932,132.0,132.95,129.82
2025-01-15,132.52,3732921,130.19,133.15,130.16
2025-01-14,127.6,3999323,129.82,131.1,127.17
2025-01-13,128.85,3510639,128.585,130.13,128.0835
2025-01-10,129.63,4325415,131.3,133.05,128.8
2025-01-08,130.8,3204678,131.2,131.63,130.1
2025-01-07,131.29,4290458,135.35,136.765,130.8096
2025-01-06,135.2,4174471,137.0,138.1,134.58
2025-01-03,135.71,3607355,131.98,136.36,131.94
2025-01-02,131.48,2606269,131.87,134.23,130.41
2024-12-31,131.41,2312564,132.46,133.19,131.27
2024-12-30,131.81,2458835,131.31,132.61,129.85
2024-12-27,133.385,2650366,133.59,134.5,132.16
2024-12-26,135.32,2067513,134.24,136.27,134.24
2024-12-24,134.99,1677060,134.33,135.07,132.83
2024-12-23,134.52,4728474,134.81,135.58,132.21
2024-12-20,134.21,15471730,128.63,135.82,128.34
2024-12-19,129.35,4745008,129.13,131.08,127.91
2024-12-18,127.54,4236662,132.025,133.71,127.23
2024-12-17,132.24,3126163,132.2,132.61,130.88
2024-12-16,132.2,4136299,131.22,133.28,129.17
2024-12-13,130.95,5288524,136.65,137.019,130.75
2024-12-12,137.47,4254067,138.1,139.1,134.4001
2024-12-11,138.84,4096469,138.68,140.17,137.21
2024-12-10,138.3,4777826,137.19,139.8899,136.62
2024-12-09,137.27,3648659,137.0,138.97,136.59
2024-12-06,136.92,4295842,137.75,138.86,136.56
2024-12-05,136.32,6174926,138.84,140.38,135.51
2024-12-04,139.07,3893417,136.55,139.15,134.85
2024-12-03,137.46,4681376,136.97,138.37,135.3762
2024-12-02,137.49,3608673,136.01,137.6,135.69
2024-11-29,136.11,2664219,138.53,139.53,135.8333
2024-11-27,138.28,2657033,139.67,140.41,137.68
2024-11-26,139.67,3228419,140.78,141.75,139.18
2024-11-25,140.93,7930535,138.01,141.0,137.75
2024-11-22,137.34,6301099,133.3,140.76,133.3
2024-11-21,133.26,4061137,134.18,134.95,132.58
2024-11-20,135.25,5537419,130.22,135.38,130.22
2024-11-19,131.44,5172381,131.15,131.96,129.87
2024-11-18,132.19,4511595,132.56,133.4499,131.58
2024-11-15,132.5,4798719,134.2,134.53,131.31
2024-11-14,134.56,4777628,133.97,136.66,133.15
2024-11-13,132.76,4922621,133.83,135.13,131.3305
2024-11-12,133.2,6903453,135.65,136.12,133.13
2024-11-11,137.4,6535059,136.0,139.16,135.12
2024-11-08,134.61,19189000,134.67,137.71,132.76
2024-11-07,147.37,11988900,141.76,148.64,141.7
2024-11-06,140.91,5110922,141.98,142.95,139.41
2024-11-05,137.82,4989187,137.55,140.87,137.07
2024-11-04,136.87,2459746,136.23,137.55,135.45
2024-11-01,136.46,3707590,133.96,136.88,133.8052
2024-10-31,134.79,5049074,137.7,138.06,134.26
2024-10-30,136.5,3010462,136.47,138.66,136.31
2024-10-29,137.78,2871886,135.33,138.35,135.2438
2024-10-28,135.78,3260682,136.3,137.3,135.4
2024-10-25,134.58,2552060,133.38,135.28,133.17
2024-10-24,132.75,2678040,133.55,133.75,131.66
2024-10-23,131.92,3444561,135.0,136.2,131.27
2024-10-22,135.59,2408385,136.11,136.35,135.3316
2024-10-21,137.19,2900530,135.66,137.99,135.13
2024-10-18,136.45,2391131,136.81,136.89,135.16
2024-10-17,136.02,3813990,135.7,136.65,135.11
2024-10-16,135.15,3691540,134.73,137.395,134.32
2024-10-15,133.27,3502678,133.51,134.0,132.3
2024-10-14,134.79,2313963,133.97,134.98,133.42
2024-10-11,134.4,2714747,132.3,135.355,132.3
2024-10-10,132.81,3060026,135.55,136.37,132.52
2024-10-09,135.49,3731800,133.4,135.76,132.84
2024-10-08,132.5,3304421,130.15,134.43,130.15
2024-10-07,130.23,2847769,129.085,131.31,128.77
2024-10-04,129.85,2988440,128.42,129.93,127.27
2024-10-03,125.29,2246999,124.6,125.555,123.58
2024-10-02,126.18,2707663,125.33,126.44,124.55
2024-10-01,125.47,3895531,127.35,128.2,123.71
2024-09-30,126.81,3810992,127.32,128.23,125.92
2024-09-27,128.25,2525697,130.16,130.31,128.17
2024-09-26,129.25,3825948,132.706,133.34,129.146
2024-09-25,130.71,2310696,131.31,131.9,130.3
2024-09-24,131.48,4189105,130.58,131.67,129.59
2024-09-23,129.03,3682591,131.5,131.64,128.9
2024-09-20,131.18,12476320,129.83,131.95,129.03
2024-09-19,128.75,7691622,127.93,131.35,127.44
2024-09-18,122.42,3861293,122.32,125.66,122.0
2024-09-17,122.12,6323569,119.87,124.74,119.485
2024-09-16,117.55,3229853,117.99,118.3,116.16
2024-09-13,117.75,3514203,117.75,119.21,117.15
2024-09-12,117.36,3076184,116.33,117.38,115.05
2024-09-11,115.96,3644976,115.09,116.17,112.55
2024-09-10,115.12,4080373,117.01,117.4063,112.86
2024-09-09,116.36,4178558,115.11,117.92,114.985
2024-09-06,114.28,4072379,116.37,117.26,113.24
2024-09-05,116.16,3593436,114.64,116.45,114.6
2024-09-04,115.21,3281564,114.27,115.99,114.19
2024-09-03,114.98,4678840,116.395,117.835,114.13
2024-08-30,117.31,3279531,116.94,118.05,116.29
2024-08-29,116.6,3330982,118.17,119.38,116.42
2024-08-28,117.53,3463705,116.0,117.73,115.76
2024-08-27,116.74,3457429,115.3,117.42,115.17
2024-08-26,115.71,4948158,116.85,117.39,115.35
2024-08-23,116.85,4998414,116.64,118.7,116.37
2024-08-22,115.45,4875497,117.68,118.395,115.3
2024-08-21,117.68,5028525,118.04,118.27,116.7
2024-08-20,117.38,3940048,118.94,119.28,117.175
2024-08-19,119.14,4184729,116.93,119.3,116.44
2024-08-16,116.31,4592024,117.9,118.8,116.22
2024-08-15,118.88,5266295,118.195,119.133,116.37
2024-08-14,116.24,3504796,117.72,118.74,116.18
2024-08-13,116.9,4662047,114.39,117.77,114.05
2024-08-12,113.62,3980998,115.48,115.5,113.27
2024-08-09,115.08,4764351,114.465,116.26,112.6
2024-08-08,114.64,8006214,113.98,116.43,112.42
2024-08-07,113.01,29027860,112.44,115.55,110.38
2024-08-06,130.47,11148440,126.905,131.45,126.3
2024-08-05,125.31,7521889,123.77,125.95,122.06
2024-08-02,128.23,7745494,129.31,129.6,126.5
2024-08-01,135.09,5166851,139.7,139.78,132.9
2024-07-31,139.56,3331392,140.79,141.2199,139.1
2024-07-30,138.99,2996153,140.65,140.99,137.9
2024-07-29,140.29,2723157,141.24,142.4299,140.0
2024-07-26,140.1,5101418,141.9,141.91,139.03
2024-07-25,140.03,5626549,141.25,141.945,137.58
2024-07-24,144.23,5461901,146.73,147.11,142.98
2024-07-23,148.75,2676905,150.56,151.25,147.83
2024-07-22,150.18,3672064,148.14,150.37,146.55
2024-07-19,147.99,3131618,147.03,149.16,147.03
2024-07-18,146.88,3593705,148.17,150.145,146.75
2024-07-17,148.0,3242315,149.24,150.1,147.26
2024-07-16,151.26,4079268,148.47,151.64,147.88
2024-07-15,147.22,3546065,145.88,148.47,144.75
2024-07-12,146.78,2923457,146.83,148.0,146.19
2024-07-11,146.0,6289510,150.55,152.0,144.13
2024-07-10,151.84,3263527,153.11,153.2,150.09
2024-07-09,152.45,4329182,152.92,155.66,151.965
2024-07-08,151.96,3228334,152.65,154.2,150.755
2024-07-05,152.5,3836132,152.4,152.88,151.44
2024-07-03,152.73,1725631,153.91,154.43,152.3
2024-07-02,154.34,3526073,151.29,155.21,151.29
2024-07-01,151.63,2904962,152.2,152.2,149.14
2024-06-28,151.63,3842498,151.54,152.93,150.68
2024-06-27,151.61,3588639,150.46,151.88,149.39
2024-06-26,150.0,3797877,149.73,150.385,149.37
2024-06-25,150.91,5008296,148.97,151.275,148.85
2024-06-24,148.39,4530892,149.15,150.04,146.71
2024-06-21,149.57,7648402,148.76,150.0,147.25
2024-06-20,147.88,2874248,147.77,149.75,147.6
2024-06-18,147.29,3316730,149.9,150.549,146.9
2024-06-17,149.5,5158771,147.0,150.12,146.775
2024-06-14,145.97,2754612,145.5,146.05,144.28
2024-06-13,146.1,4450397,148.99,149.0,143.73
2024-06-12,149.32,3579847,149.99,150.29,148.621
2024-06-11,147.75,3285755,147.97,148.795,146.48
2024-06-10,148.07,3080317,146.01,148.32,146.0
2024-06-07,146.66,2595555,146.2,147.03,145.38
2024-06-06,147.0,3463102,145.51,148.79,145.155
2024-06-05,145.78,3121512,147.98,148.7,145.141
2024-06-04,147.08,3048535,145.82,147.92,145.44
2024-06-03,146.25,3843406,145.74,146.96,144.36
2024-05-31,144.93,3778585,145.78,146.43,142.57
2024-05-30,145.52,3576681,145.4,147.59,144.41
2024-05-29,146.61,2570900,144.88,147.13,144.7342
2024-05-28,147.01,5741611,146.0,147.87,145.11
2024-05-24,144.47,4497760,142.5,145.97,142.3
2024-05-23,141.04,3900851,142.58,143.44,140.82
2024-05-22,142.71,3190821,143.94,144.21,142.36
2024-05-21,144.1,4484983,145.71,145.71,144.09
2024-05-20,146.37,3747439,146.18,146.48,145.21
2024-05-17,145.66,3279035,146.81,147.495,145.305
2024-05-16,147.19,3827765,146.34,147.79,145.85
2024-05-15,145.8,5996014,147.57,147.69,144.75
2024-05-14,146.7,4167440,149.4,149.4,146.31
2024-05-13,149.13,5647508,147.05,149.24,145.7
2024-05-10,146.32,5524840,147.75,148.12,144.63
2024-05-09,147.05,14802560,146.6,150.005,145.5701
2024-05-08,157.9,8236465,157.1,158.62,155.84
2024-05-07,159.81,2916232,161.81,162.88,159.75
2024-05-06,162.0,2912176,161.0,162.41,160.17
2024-05-03,159.71,4529908,161.81,165.5,159.15
2024-05-02,158.33,4778430,157.21,158.4,153.2
2024-05-01,156.16,2752108,157.58,160.95,156.0
2024-04-30,158.57,3017911,160.56,162.09,158.52
2024-04-29,162.25,2312554,164.75,165.5,161.28
2024-04-26,164.23,2821077,163.68,165.16,162.77
2024-04-25,163.01,2401828,161.51,163.73,159.5
2024-04-24,162.84,3854493,164.475,166.7446,161.09
2024-04-23,160.95,3455413,157.24,161.14,156.7
2024-04-22,156.61,3029952,156.19,157.25,153.765
2024-04-19,155.01,3904759,159.54,160.335,154.56
2024-04-18,160.1,3930357,159.6,162.94,159.21
2024-04-17,158.37,3905042,158.45,159.7,156.41
2024-04-16,156.66,2728607,155.83,158.94,155.3
2024-04-15,155.6,3723317,161.81,162.9,154.41
2024-04-12,159.37,3700504,162.42,162.7123,158.78
2024-04-11,165.42,3580302,159.0,166.22,158.9
2024-04-10,160.28,2478757,159.63,160.96,158.63
2024-04-09,162.66,2290960,161.55,163.205,159.91
2024-04-08,160.27,2299005,160.36,161.18,159.29
2024-04-05,161.77,2225889,159.15,162.71,158.9
2024-04-04,158.84,3539700,161.22,163.65,158.52
2024-04-03,159.34,2288078,158.75,161.33,158.58
2024-04-02,160.11,4000867,160.95,160.98,158.68
