date,close,volume,open,high,low
2025-03-13,149.95,5702173,148.89,153.0588,148.37
2025-03-12,149.06,8482229,151.72,151.72,148.44
2025-03-11,146.99,7739928,148.97,150.5106,145.37
2025-03-10,149.99,8008387,152.42,154.45,147.88
2025-03-07,155.68,5537838,151.46,156.3474,150.19
2025-03-06,151.54,6967778,151.54,154.05,149.605
2025-03-05,155.32,5859954,153.135,155.87,150.0
2025-03-04,152.87,8538627,153.06,156.23,149.55
2025-03-03,152.13,9259111,159.73,160.32,150.67
2025-02-28,158.07,9427575,157.29,160.05,153.9513
2025-02-27,156.64,9543635,170.25,170.57,156.375
2025-02-26,168.51,5048546,167.38,170.25,166.42
2025-02-25,165.54,8570278,168.12,169.68,164.45
2025-02-24,168.57,7126206,173.77,175.23,168.34
2025-02-21,171.98,7365350,176.13,176.25,170.6
2025-02-20,176.01,6687264,175.14,178.37,174.5
2025-02-19,174.06,5797047,172.305,174.9,171.13
2025-02-18,172.0,10704880,171.79,173.76,169.1
2025-02-14,169.2,12452810,174.84,176.0,168.61
2025-02-13,184.27,10302000,180.31,184.5175,179.62
2025-02-12,180.89,6640831,179.42,181.53,178.29
2025-02-11,183.2,3913262,181.795,183.58,181.09
2025-02-10,183.66,5744135,182.86,184.03,181.42
2025-02-07,180.0,4991954,183.14,183.54,178.73
2025-02-06,182.8,4479079,179.61,183.08,178.56
2025-02-05,180.67,3959496,176.73,181.01,175.28
2025-02-04,178.56,4687114,175.47,179.3,175.45
2025-02-03,178.8,5321278,175.32,180.25,174.24
2025-01-31,180.35,5902833,182.585,186.44,180.0612
2025-01-30,181.72,6013770,179.395,183.27,177.46
2025-01-29,175.28,5679925,180.0,180.21,173.78
2025-01-28,172.85,7360510,173.75,174.83,170.0
2025-01-27,174.57,12150240,179.55,179.56,170.4201
2025-01-24,186.75,6088398,190.89,191.275,185.61
2025-01-23,190.7,6307345,190.13,191.2,187.79
2025-01-22,195.51,7288595,196.825,200.55,195.325
2025-01-21,192.87,7959064,194.74,195.22,190.82
2025-01-17,192.05,8115101,193.0,193.16,188.79
2025-01-16,186.48,10825450,185.8,191.71,183.01
2025-01-15,178.38,5908559,176.75,179.51,175.88
2025-01-14,173.65,3842111,171.86,173.7,170.315
2025-01-13,170.86,5465785,169.1,171.61,167.73
2025-01-10,171.65,6325342,174.72,174.72,169.505
2025-01-08,176.99,4581723,177.75,178.17,174.84
2025-01-07,177.82,7332112,180.07,181.84,176.3967
2025-01-06,177.48,8475462,174.975,180.375,174.86
2025-01-03,170.06,5721416,165.38,170.42,164.77
2025-01-02,163.87,4169023,164.47,166.71,162.83
2024-12-31,162.63,3565535,164.43,165.18,161.97
2024-12-30,163.64,4763085,164.0,164.97,161.97
2024-12-27,166.83,3599555,166.15,167.2,164.63
2024-12-26,167.55,2796316,167.35,168.8499,166.75
2024-12-24,168.37,2595759,167.43,168.72,166.9
2024-12-23,167.46,5040203,164.77,167.69,164.165
2024-12-20,163.59,15336720,159.98,164.73,158.958
2024-12-19,161.44,9252641,162.785,165.24,161.03
2024-12-18,165.45,9000741,170.94,174.43,164.55
