date,close,volume,open,high,low
2025-03-13,172.91,1721265,176.6,176.955,172.42
2025-03-12,177.21,943505,180.91,181.65,176.62
2025-03-11,178.86,1238482,179.69,179.885,176.68
2025-03-10,179.37,1814090,181.16,183.39,178.58
2025-03-07,183.99,1773293,182.99,184.5,180.97
2025-03-06,184.14,1436861,183.76,184.84,181.18
2025-03-05,185.04,2119208,183.81,185.75,183.02
2025-03-04,183.33,1605857,184.11,184.93,181.75
2025-03-03,186.55,1108258,190.17,191.83,185.6
2025-02-28,189.3,2096782,188.03,190.03,185.91
2025-02-27,187.33,851353,188.7,190.25,186.94
2025-02-26,188.18,1180278,187.85,190.17,187.22
2025-02-25,186.95,1483200,185.38,187.89,184.77
2025-02-24,185.78,1087547,186.11,187.82,184.51
2025-02-21,186.19,1202713,188.4,189.19,184.455
2025-02-20,188.78,1036217,188.86,189.29,187.51
2025-02-19,188.86,1104173,183.8,188.9,183.16
2025-02-18,184.36,1104848,184.46,185.36,182.9701
2025-02-14,183.54,1041782,184.11,185.0,182.69
2025-02-13,184.43,855274,185.58,186.22,183.74
2025-02-12,185.5,1394729,182.93,186.15,181.98
2025-02-11,185.32,1139560,185.25,186.13,182.92
2025-02-10,185.97,1226437,185.61,186.53,182.96
2025-02-07,184.51,1646797,184.94,186.4,182.9
2025-02-06,182.9,1226653,180.81,182.96,180.23
2025-02-05,180.23,2095315,182.3,182.45,178.69
2025-02-04,180.5,3000102,176.0,183.68,175.635
2025-02-03,184.13,2025706,180.61,184.97,180.07
2025-01-31,184.56,1117011,186.07,186.9,184.56
2025-01-30,186.0,1120413,183.46,186.94,182.945
2025-01-29,182.52,764964,183.37,184.41,182.1
2025-01-28,182.89,1030039,183.93,184.49,181.69
2025-01-27,184.95,1177125,186.12,187.98,183.92
2025-01-24,187.98,1314209,190.2,190.71,187.49
2025-01-23,190.43,1487856,189.08,191.18,187.8
2025-01-22,188.7,1832781,186.19,189.0,185.0
2025-01-21,184.7,2765975,182.21,185.09,180.84
2025-01-17,180.73,2612858,184.5,184.5,180.075
2025-01-16,180.86,1698871,182.0,182.93,180.21
