date,close,volume,open,high,low
2025-03-13,256.43,4194194,259.65,261.51,253.52
2025-03-12,260.75,5514889,260.18,262.82,255.0
2025-03-11,255.39,4925622,257.46,260.24,253.54
2025-03-10,261.32,4284073,267.715,268.59,257.45
2025-03-07,273.21,3817261,273.66,274.17,264.71
2025-03-06,275.64,2944193,279.8,282.16,274.53
2025-03-05,284.18,2569425,283.0,286.12,280.63
2025-03-04,283.47,5901177,291.57,291.775,277.58
2025-03-03,295.49,2342901,301.43,303.465,293.11
2025-02-28,300.96,3336314,296.29,301.07,294.97
2025-02-27,294.2,2032094,296.0,301.0,293.04
2025-02-26,296.1,1899367,295.14,299.3411,293.67
2025-02-25,293.34,2511713,296.99,298.409,289.53
2025-02-24,295.53,2450586,297.11,298.98,292.42
2025-02-21,295.4,3280197,304.94,304.94,293.8528
2025-02-20,303.86,2830301,309.72,309.96,298.69
2025-02-19,309.92,2148248,310.38,311.9999,306.87
2025-02-18,312.85,2024496,313.39,313.685,309.03
2025-02-14,311.04,1725509,307.43,311.85,307.42
2025-02-13,307.5,1975609,307.55,309.63,305.88
2025-02-12,306.4,2238615,306.85,307.96,303.91
2025-02-11,309.57,1856192,308.53,310.505,306.3444
2025-02-10,310.26,3227021,318.45,318.45,306.01
2025-02-07,316.77,1607256,320.83,321.4025,316.29
2025-02-06,320.15,1730588,323.1,323.25,317.205
2025-02-05,320.53,2065654,317.94,320.71,315.1
2025-02-04,315.83,1884457,315.25,317.36,313.11
2025-02-03,316.53,1997553,312.19,317.0,309.19
2025-01-31,317.45,2034005,320.91,321.6365,315.51
2025-01-30,318.95,2517669,317.0,321.894,316.0
2025-01-29,315.25,2155365,316.63,319.48,314.14
2025-01-28,317.04,2431418,316.64,317.87,310.72
2025-01-27,316.42,3099121,318.13,318.83,311.8386
2025-01-24,321.34,6260113,324.4,324.47,313.73
2025-01-23,325.87,3935820,323.55,326.275,321.9903
2025-01-22,322.25,2927409,318.31,322.82,317.677
2025-01-21,317.95,2779104,316.94,319.7,315.0
2025-01-17,312.56,2183457,313.02,315.4,310.77
2025-01-16,311.48,2361199,312.7,314.0,310.13
2025-01-15,312.32,3099514,305.0,313.96,304.21
2025-01-14,300.36,2370931,299.6,300.54,296.73
2025-01-13,297.02,2202977,292.52,297.71,291.1557
2025-01-10,293.3,2685527,300.43,301.315,293.16
2025-01-08,302.85,2061411,301.9,304.2,298.85
2025-01-07,302.02,2059050,304.0,304.375,296.85
2025-01-06,301.88,2713975,304.32,305.1536,300.1701
2025-01-03,303.08,1979833,300.68,303.425,297.53
2025-01-02,298.43,1930118,300.0,300.34,294.619
2024-12-31,296.79,1231551,298.05,298.87,295.67
2024-12-30,297.33,2393051,297.35,299.7,294.13
2024-12-27,301.05,1676011,300.85,305.09,298.71
2024-12-26,303.99,1228978,301.48,304.8899,301.01
2024-12-24,303.46,862881,299.29,303.615,298.0
2024-12-23,298.8,1902436,296.48,299.76,295.185
2024-12-20,298.65,6232414,292.35,302.72,292.0
2024-12-19,293.08,3541351,293.02,296.86,291.2
2024-12-18,287.78,3541224,302.6,303.59,286.43
2024-12-17,301.34,3611578,302.33,303.03,299.7
2024-12-16,303.57,1813997,303.7,304.2,300.835
2024-12-13,302.14,1661963,302.46,304.32,301.245
2024-12-12,300.3,1668441,303.63,304.45,300.26
2024-12-11,302.34,2071545,303.37,304.1299,299.54
2024-12-10,302.11,2968061,297.43,304.98,296.51
2024-12-09,296.72,2377947,304.07,305.07,296.16
2024-12-06,303.99,1797667,301.64,304.74,300.62
2024-12-05,300.53,2793669,302.28,303.425,300.32
2024-12-04,302.6,1561228,302.0,303.53,300.71
2024-12-03,302.11,2128671,303.84,304.99,301.14
2024-12-02,302.26,2167054,306.21,306.85,299.91
2024-11-29,304.68,1326646,307.25,307.79,304.67
2024-11-27,304.25,1697344,307.0,307.82,302.7901
2024-11-26,305.57,2130705,305.61,306.97,302.0
2024-11-25,305.21,3478440,303.05,305.8,302.5001
2024-11-22,301.3,3788898,293.4,301.92,292.51
2024-11-21,293.0,2410469,289.82,294.07,287.53
2024-11-20,287.71,2387656,286.15,288.33,285.09
2024-11-19,285.55,2512936,281.89,286.6199,281.31
2024-11-18,285.54,2074634,286.94,287.52,283.61
2024-11-15,286.87,2614568,288.0,290.55,285.49
2024-11-14,288.3,2979782,288.34,290.555,287.355
2024-11-13,287.64,2118132,287.92,290.61,287.435
2024-11-12,288.51,2251660,292.0,293.55,287.58
2024-11-11,292.97,2299530,290.49,294.18,290.43
2024-11-08,287.6,1814377,286.68,290.1002,285.945
2024-11-07,286.82,3877331,292.32,293.035,284.6474
2024-11-06,295.16,5380812,288.0,296.83,286.81
2024-11-05,275.94,1859581,271.72,276.18,271.1935
2024-11-04,270.19,1944015,272.33,272.82,269.71
2024-11-01,272.69,2508471,272.3,274.7453,270.95
2024-10-31,270.08,2315384,273.7,274.08,268.64
2024-10-30,274.08,2152864,271.0,275.07,270.27
2024-10-29,270.43,1748966,270.3,271.8,269.5801
2024-10-28,271.47,2336884,269.24,271.97,267.675
2024-10-25,267.35,2993298,271.65,273.17,266.345
2024-10-24,269.98,3490640,270.23,271.23,268.71
2024-10-23,271.23,2051063,272.0,273.35,268.96
2024-10-22,272.4,2595361,270.62,272.83,268.58
2024-10-21,270.74,4092739,275.0,276.3643,269.53
2024-10-18,276.79,7884358,276.8,279.2,269.05
2024-10-17,285.78,3571930,284.0,286.36,282.4818
2024-10-16,281.68,2243627,278.88,281.87,277.69
2024-10-15,277.31,2264560,280.57,281.42,276.9
2024-10-14,276.52,1398955,276.16,277.7,275.1101
2024-10-11,276.16,1723286,271.38,277.11,271.0
2024-10-10,270.47,2052769,270.93,272.9,269.88
2024-10-09,271.42,2086991,268.81,271.59,268.415
2024-10-08,269.11,3332787,271.25,272.5,266.16
2024-10-07,273.79,3287461,274.35,276.31,271.55
2024-10-04,275.97,2240183,272.25,276.79,270.0
2024-10-03,268.59,1614588,269.64,271.1,267.638
2024-10-02,270.92,2009621,268.6,271.39,266.25
2024-10-01,268.6,2429482,271.28,271.83,266.5167
2024-09-30,271.2,2113106,270.1,271.48,267.29
2024-09-27,271.06,2231903,268.0,272.68,267.42
2024-09-26,268.15,1430575,268.29,268.99,266.34
2024-09-25,266.17,2116345,267.09,268.72,265.55
2024-09-24,266.21,2340349,267.77,268.5,263.03
2024-09-23,267.3,2534914,271.36,272.41,267.0517
2024-09-20,268.99,5847242,268.4,271.49,266.95
2024-09-19,268.75,2973435,267.83,270.1,266.35
2024-09-18,262.18,2577368,264.4,266.35,261.0
2024-09-17,265.4,2765723,261.52,267.2184,261.345
2024-09-16,261.09,2170169,261.31,262.85,259.15
2024-09-13,259.0,2199187,256.23,260.21,255.75
2024-09-12,255.15,2279719,254.16,257.0,252.59
2024-09-11,254.18,3149868,244.4,254.625,243.5018
2024-09-10,245.42,3630857,251.72,252.5,240.59
2024-09-09,250.92,3080770,248.25,253.15,247.53
2024-09-06,244.06,3652963,251.29,253.565,243.32
2024-09-05,251.84,2711284,252.71,253.17,248.37
2024-09-04,251.74,3062610,254.99,256.58,250.66
2024-09-03,254.31,2970272,255.77,257.48,252.79
2024-08-30,258.65,3442125,260.49,261.75,256.1
2024-08-29,259.84,2423526,258.0,261.565,256.825
2024-08-28,257.09,2557059,254.21,258.63,253.75
2024-08-27,255.03,2518173,253.7,256.68,253.7
2024-08-26,253.88,1931103,252.42,256.16,251.95
2024-08-23,251.3,1868199,248.0,252.17,248.0
2024-08-22,247.76,1981273,246.77,248.92,245.755
2024-08-21,246.3,3502452,249.64,249.82,243.35
2024-08-20,253.08,1659736,254.22,254.62,252.26
2024-08-19,254.05,1653379,252.0,254.11,251.84
2024-08-16,251.71,2149718,249.39,251.75,249.13
2024-08-15,249.5,2656834,247.77,250.36,245.35
2024-08-14,243.76,2132461,239.81,244.09,239.51
2024-08-13,238.99,1913334,238.71,239.27,236.4701
2024-08-12,237.05,1746952,238.2,238.99,235.395
2024-08-09,237.85,1956562,233.52,238.34,233.09
2024-08-08,233.54,2239218,231.05,234.5,231.01
2024-08-07,228.8,2665313,234.02,236.17,228.5102
2024-08-06,231.12,3148178,226.96,233.18,226.5
2024-08-05,225.92,4890744,226.64,230.775,222.03
2024-08-02,232.28,6902632,244.51,244.65,230.05
2024-08-01,248.68,3929730,253.85,255.0,246.4101
2024-07-31,253.04,2180687,253.11,256.24,252.43
2024-07-30,252.48,2498841,249.46,253.68,249.23
2024-07-29,247.89,2059335,246.63,247.96,244.3101
2024-07-26,245.89,2174459,241.93,246.39,241.88
2024-07-25,240.18,3828806,240.0,244.96,239.39
2024-07-24,240.99,2838067,245.0,245.62,240.67
2024-07-23,246.9,2564233,246.96,248.99,245.04
2024-07-22,244.75,2589997,243.01,245.61,239.9
