date,close,volume,open,high,low
2025-03-13,73.59,1572459,73.18,74.01,72.66
2025-03-12,73.13,1297013,73.67,73.875,71.89
2025-03-11,74.41,1869799,76.25,76.92,74.31
2025-03-10,76.31,1871558,76.36,78.07,75.7281
2025-03-07,75.6,2070909,74.35,77.08,73.735
2025-03-06,74.65,1526049,71.95,75.0834,71.41
2025-03-05,71.71,1406727,71.87,72.95,71.04
2025-03-04,71.7,2103307,71.41,72.83,70.89
2025-03-03,71.83,1490005,74.4,74.86,71.29
2025-02-28,74.19,2340551,73.34,74.59,73.17
2025-02-27,73.25,1108617,73.01,73.65,72.62
2025-02-26,73.26,1177537,73.87,73.92,72.75
2025-02-25,74.27,1620941,73.62,74.665,73.35
2025-02-24,73.58,1717774,73.06,75.41,72.73
2025-02-21,73.06,2081421,71.48,73.99,71.48
2025-02-20,71.26,1764375,70.21,71.33,69.44
2025-02-19,70.18,1138752,69.68,71.08,69.65
2025-02-18,69.88,1469603,69.71,69.95,68.57
2025-02-14,70.5,1276685,70.07,70.9599,69.71
2025-02-13,69.79,1717895,68.88,71.59,68.88
2025-02-12,69.07,1631338,69.5,70.4008,68.7
2025-02-11,69.92,2005350,69.25,70.61,68.7
2025-02-10,69.16,2784798,69.45,69.729,67.81
2025-02-07,69.6,1613125,69.61,69.86,68.27
2025-02-06,69.29,3336586,70.77,70.87,67.4
2025-02-05,69.87,3597109,71.26,73.7599,69.73
2025-02-04,75.02,2267235,75.16,75.5867,73.74
2025-02-03,75.16,1519944,75.3,75.782,74.47
2025-01-31,76.13,1470180,77.19,77.7695,75.72
2025-01-30,77.65,1052645,78.52,78.93,77.05
2025-01-29,78.22,1159514,77.05,78.445,77.05
2025-01-28,77.26,988592,78.96,79.255,76.86
2025-01-27,78.68,1989052,78.38,79.33,77.04
2025-01-24,77.19,1237846,78.84,78.88,77.0
2025-01-23,78.67,969063,78.16,79.31,77.9
2025-01-22,77.91,1254808,78.32,78.81,77.64
2025-01-21,78.63,1601270,78.92,79.62,78.34
2025-01-17,79.54,1362862,79.58,80.22,79.02
2025-01-16,79.4,1875198,79.88,80.48,78.6
