date,close,volume,open,high,low
2025-03-13,53.09,2055683,52.75,54.34,52.39
2025-03-12,52.79,2155415,54.36,54.77,52.51
2025-03-11,54.61,2680822,55.2,55.23,53.6
2025-03-10,54.22,3241987,54.96,56.78,53.7201
2025-03-07,55.32,2280918,54.28,55.6,54.12
2025-03-06,55.22,2922246,55.21,56.28,54.21
2025-03-05,54.33,5829545,48.765,54.43,48.765
2025-03-04,48.21,5325470,46.58,49.1,45.94
2025-03-03,47.02,4647363,51.8,52.1,46.99
2025-02-28,50.94,12600180,50.0,51.74,49.22
2025-02-27,50.54,4213125,52.13,52.36,50.51
2025-02-26,52.65,3312010,55.01,55.27,52.64
2025-02-25,54.42,3939406,52.99,55.185,52.62
2025-02-24,52.93,4729982,52.84,53.02,50.82
2025-02-21,52.76,5330917,53.55,53.6499,51.24
2025-02-20,52.61,6258693,54.83,54.83,51.515
2025-02-19,54.91,13110570,55.4,58.8499,52.97
2025-02-18,69.91,3209472,68.51,70.3,68.35
2025-02-14,68.06,3262265,68.24,70.51,67.75
2025-02-13,65.3,1916679,66.75,67.0,65.16
2025-02-12,66.41,1605048,66.145,67.47,65.65
2025-02-11,66.81,1864822,66.71,67.8554,65.9
2025-02-10,66.95,1461646,68.68,68.725,66.94
2025-02-07,68.05,1264878,69.05,69.065,67.82
2025-02-06,68.89,2525143,70.73,71.25,68.525
2025-02-05,69.94,2059555,71.08,71.13,69.565
2025-02-04,71.37,2506038,69.35,71.83,69.35
2025-02-03,68.77,3285376,69.03,70.26,66.54
2025-01-31,71.04,5392069,71.72,72.62,70.51
2025-01-30,72.17,2193458,70.97,72.46,69.45
2025-01-29,70.94,1104588,71.7,72.24,70.74
2025-01-28,71.87,2024691,74.42,75.3,71.6
2025-01-27,74.12,1993883,75.0,75.84,73.67
2025-01-24,74.01,1704707,74.38,74.61,72.95
2025-01-23,73.73,1312681,73.11,73.94,72.73
2025-01-22,73.06,1873675,74.02,74.27,72.99
2025-01-21,74.02,2543850,73.26,74.84,73.26
2025-01-17,72.61,1737593,72.32,72.77,71.54
2025-01-16,71.9,1316706,70.69,72.0236,70.21
2025-01-15,71.01,2028551,72.0,72.23,70.23
2025-01-14,71.0,2292171,70.63,72.0799,70.13
2025-01-13,67.38,1667104,65.27,67.53,64.9733
2025-01-10,65.01,1939841,64.55,65.7522,64.05
2025-01-08,64.94,2651829,65.63,65.71,64.36
2025-01-07,66.3,1789998,66.1,67.9499,65.785
2025-01-06,66.05,3530050,66.51,67.99,65.5
2025-01-03,66.13,1866736,68.53,68.94,66.11
2025-01-02,68.42,1825708,69.51,70.79,68.21
2024-12-31,69.21,1193210,68.5,69.7399,68.305
2024-12-30,68.22,1698707,68.48,68.57,67.05
2024-12-27,68.76,2000760,68.84,70.14,68.28
2024-12-26,69.15,1222128,68.34,69.27,68.06
2024-12-24,68.4,1487187,69.17,69.41,68.14
2024-12-23,69.2,2011601,68.49,69.63,68.15
2024-12-20,68.25,7876543,66.78,68.6,66.73
2024-12-19,67.03,2354495,68.15,68.74,66.99
2024-12-18,67.94,3003442,68.41,70.09,67.65
2024-12-17,68.41,2237740,67.83,68.75,67.51
2024-12-16,68.16,3099662,67.61,69.08,67.4
2024-12-13,68.58,2360283,68.1,68.69,67.025
2024-12-12,68.85,2005464,68.62,69.32,67.86
2024-12-11,68.04,2724584,69.61,69.75,67.64
2024-12-10,69.65,2780764,71.42,72.33,69.53
2024-12-09,72.42,3305056,72.25,75.41,72.0293
2024-12-06,70.54,2854823,70.25,70.62,68.88
2024-12-05,69.44,5437142,71.5,71.5,69.02
2024-12-04,70.9,2735779,71.81,72.16,70.4
2024-12-03,72.5,2179260,74.55,74.77,72.21
2024-12-02,74.22,2798036,73.44,74.39,72.7
2024-11-29,73.21,2884923,72.74,74.45,72.5
2024-11-27,72.91,1559110,73.11,74.49,72.84
2024-11-26,72.85,2417469,75.45,75.88,72.77
2024-11-25,76.5,2691802,75.18,77.43,74.7
2024-11-22,74.7,2839209,74.98,76.0999,74.57
2024-11-21,75.0,5050436,72.84,76.17,72.335
2024-11-20,72.9,3538965,72.0,73.22,71.38
2024-11-19,72.2,4904461,71.5,73.41,71.45
2024-11-18,73.0,2820441,74.02,74.165,72.8
2024-11-15,73.78,2374629,74.12,74.76,72.78
2024-11-14,73.94,2590255,74.3,74.825,72.94
2024-11-13,74.0,3144635,75.91,76.395,73.55
2024-11-12,75.71,3882057,77.52,78.1,75.26
2024-11-11,78.61,4732348,83.8,84.37,78.44
2024-11-08,84.8,4420699,88.6,89.24,84.75
2024-11-07,89.72,3369222,92.94,92.94,89.12
2024-11-06,92.44,4808677,93.0,93.295,91.41
2024-11-05,91.0,10733470,99.86,102.0,90.5068
2024-11-04,123.5,1337404,126.05,126.36,123.48
2024-11-01,124.81,935923,125.63,126.73,124.57
2024-10-31,125.97,674535,127.17,127.57,125.83
2024-10-30,127.02,757723,126.33,129.07,125.39
2024-10-29,126.88,811541,128.09,128.575,126.77
2024-10-28,129.97,418354,129.78,130.505,129.095
2024-10-25,128.87,518830,129.99,130.94,128.79
2024-10-24,129.78,499836,130.34,130.34,127.33
2024-10-23,128.94,615094,130.46,131.82,127.63
2024-10-22,131.38,355992,133.0,133.0,130.52
2024-10-21,133.0,746487,135.67,135.67,132.46
2024-10-18,135.97,460807,136.47,136.47,134.26
2024-10-17,135.49,645203,136.2,136.55,133.32
2024-10-16,134.97,862004,135.06,136.68,134.875
2024-10-15,133.77,700290,134.67,136.29,133.5
2024-10-14,135.66,420787,135.13,135.95,133.645
2024-10-11,136.18,509141,134.67,137.36,134.67
2024-10-10,134.85,498276,133.32,135.31,132.905
2024-10-09,133.25,881013,129.35,133.735,128.635
2024-10-08,129.38,1212839,132.1,132.54,128.825
2024-10-07,135.58,823414,133.63,136.18,133.63
2024-10-04,136.67,636978,136.18,137.38,135.455
2024-10-03,133.9,1014857,133.52,134.33,131.01
2024-10-02,134.87,543496,134.88,135.68,133.91
2024-10-01,135.01,689643,136.05,136.05,132.84
2024-09-30,135.96,859200,138.8,139.02,134.83
2024-09-27,139.29,949956,140.98,142.54,138.77
2024-09-26,139.82,2121012,132.95,141.34,132.005
2024-09-25,130.03,624384,133.2,133.23,129.47
2024-09-24,132.56,961605,129.8,133.69,129.4
2024-09-23,127.73,987951,127.34,128.11,126.42
2024-09-20,126.9,3459852,128.98,129.385,126.3365
2024-09-19,130.09,1177112,130.16,131.755,128.825
2024-09-18,126.37,952218,125.99,128.96,124.95
2024-09-17,125.76,840322,124.59,127.14,124.34
2024-09-16,123.8,673551,123.14,125.135,122.39
2024-09-13,123.14,914113,121.14,123.7,120.74
2024-09-12,119.88,651486,120.47,121.09,118.87
2024-09-11,120.5,1064594,119.45,120.67,116.88
2024-09-10,119.16,1405135,120.39,120.565,118.0
2024-09-09,120.36,1102568,120.44,121.82,120.14
2024-09-06,120.04,1048136,121.07,122.29,119.63
2024-09-05,121.44,1082532,123.68,123.875,120.9
2024-09-04,124.31,767048,125.25,126.205,124.15
2024-09-03,125.25,991449,128.55,129.75,125.22
2024-08-30,130.6,924747,130.98,131.1475,128.61
2024-08-29,130.06,917019,130.65,131.39,128.36
2024-08-28,128.82,650385,130.06,131.27,128.65
2024-08-27,130.99,458368,131.26,131.55,130.055
2024-08-26,131.5,571828,133.02,134.1,131.3
2024-08-23,131.97,725090,130.54,133.43,130.16
2024-08-22,129.53,583361,130.17,131.02,128.98
2024-08-21,130.73,734153,130.18,131.085,129.4
2024-08-20,128.5,429539,129.41,130.175,128.34
2024-08-19,129.71,466818,129.38,130.18,128.59
2024-08-16,129.06,684137,128.93,129.39,127.68
2024-08-15,129.33,812507,128.0,130.05,127.89
2024-08-14,125.74,903541,127.6,128.24,125.29
2024-08-13,127.13,1017480,125.78,127.22,125.26
2024-08-12,125.19,912190,126.14,126.45,124.42
2024-08-09,126.5,942085,126.45,127.81,124.67
2024-08-08,126.4,1191250,126.07,127.35,126.07
2024-08-07,125.04,1145295,129.34,129.53,124.83
2024-08-06,127.09,1443527,126.86,130.44,126.6
2024-08-05,125.99,1622779,126.33,127.64,124.67
2024-08-02,131.55,1558092,130.43,133.33,128.18
2024-08-01,137.55,1067681,141.48,144.59,136.555
2024-07-31,141.15,900295,140.55,143.9,140.02
2024-07-30,139.45,599579,138.11,140.34,138.11
2024-07-29,139.14,520192,139.5,139.88,137.99
2024-07-26,139.08,718328,137.94,139.38,136.32
2024-07-25,136.9,878699,135.72,139.61,134.63
2024-07-24,136.13,504427,138.81,140.14,135.87
2024-07-23,138.85,752253,140.04,140.04,137.95
2024-07-22,139.73,533481,139.83,139.96,137.46
2024-07-19,138.86,982719,143.0,143.0,138.36
2024-07-18,143.52,641488,144.61,147.32,143.345
2024-07-17,145.86,727652,147.06,147.855,145.38
2024-07-16,147.51,694416,143.21,147.81,142.99
2024-07-15,142.84,516167,142.25,144.16,141.1834
2024-07-12,142.24,898456,139.93,142.65,138.51
2024-07-11,139.19,885186,136.85,140.2,136.85
2024-07-10,134.69,696466,131.69,134.72,131.43
2024-07-09,131.4,538804,133.0,133.715,131.19
2024-07-08,133.99,864906,133.3,134.86,133.21
2024-07-05,132.18,1259105,133.67,133.67,130.915
2024-07-03,134.76,439738,133.51,135.48,133.2764
2024-07-02,132.88,598885,131.68,133.3714,131.4
2024-07-01,131.68,668484,135.38,135.615,131.52
2024-06-28,134.89,1868139,136.18,136.93,134.36
2024-06-27,135.97,587960,137.51,138.61,135.57
2024-06-26,138.47,1030043,134.12,138.71,133.705
2024-06-25,134.4,900366,137.94,138.42,134.16
2024-06-24,139.05,1006525,138.37,139.96,136.6459
2024-06-21,137.0,2278622,137.53,138.4489,135.89
2024-06-20,138.05,814980,138.47,139.32,137.84
2024-06-18,139.13,690420,139.48,139.8,138.84
2024-06-17,139.35,1085583,139.31,139.68,138.48
2024-06-14,139.39,710430,142.13,142.8,139.2
2024-06-13,144.14,769035,145.07,146.0,143.49
2024-06-12,145.79,591649,149.19,150.31,144.63
2024-06-11,145.02,459509,144.82,145.92,143.33
2024-06-10,144.94,599612,142.81,145.205,142.5
2024-06-07,146.47,652609,145.61,147.06,144.5
2024-06-06,147.2,422563,147.07,148.59,146.31
