date,close,volume,open,high,low
2025-03-13,209.87,3654305,216.77,216.77,203.72
2025-03-12,215.35,7320373,219.42,224.33,210.0
2025-03-11,208.58,5051002,203.99,211.64,199.925
2025-03-10,202.21,7689548,203.61,208.24,195.56
2025-03-07,212.54,4986183,208.1,216.14,203.1
2025-03-06,207.69,7710756,220.19,222.78,204.71
2025-03-05,229.32,3840233,230.65,233.54,223.42
2025-03-04,231.65,5525511,227.5,239.63,221.25
2025-03-03,232.29,5315016,249.38,249.7215,229.24
2025-02-28,250.545,6029597,246.42,251.5388,241.61
2025-02-27,249.74,5130960,276.39,280.6,248.79
2025-02-26,270.14,4729045,272.75,279.95,268.05
2025-02-25,264.31,5094557,264.78,268.05,248.56
2025-02-24,267.72,7221426,290.01,290.01,262.65
2025-02-21,284.44,6477999,310.0,310.46,277.77
2025-02-20,309.42,3860027,317.49,322.0,304.18
2025-02-19,321.665,3079053,323.81,329.888,318.1301
2025-02-18,325.6,3252998,323.84,329.5699,315.815
2025-02-14,317.3,2192984,311.185,318.19,306.22
2025-02-13,311.49,2707225,316.36,317.7376,305.09
2025-02-12,313.8,1766373,305.43,317.43,303.79
2025-02-11,313.58,2642897,317.31,319.16,309.44
2025-02-10,321.83,2729799,312.63,322.0,312.575
2025-02-07,309.79,2297980,314.48,319.61,309.305
2025-02-06,311.8,2480096,315.325,316.58,305.87
2025-02-05,313.83,3580102,310.53,318.37,302.85
2025-02-04,306.33,2996304,298.227,307.09,293.5
2025-02-03,306.31,3723535,285.4,308.65,284.02
2025-01-31,299.98,4725954,312.0,312.0,297.945
2025-01-30,308.55,6023142,301.0,310.69,298.79
2025-01-29,291.89,6638519,279.03,294.19,276.06
2025-01-28,278.8,9989311,281.55,284.37,259.09
2025-01-27,275.0,16083200,292.46,302.67,270.44
2025-01-24,347.44,3226556,347.75,350.0,341.95
2025-01-23,346.22,4853539,333.13,352.0,333.0
2025-01-22,332.47,4576601,329.0,336.4475,319.0
2025-01-21,323.64,4032296,326.0,330.3399,318.33
2025-01-17,316.36,2819968,320.16,320.16,311.0401
2025-01-16,315.24,5269115,302.47,320.51,302.4698
2025-01-15,300.77,4140669,297.09,305.1084,293.0202
2025-01-14,288.87,4852380,283.895,294.4,281.4
2025-01-13,279.24,6920564,297.495,300.46,278.86
