date,close,volume,open,high,low
2025-03-13,259.84,3286142,256.26,261.08,254.96
2025-03-12,256.72,4086319,258.43,258.885,251.5
2025-03-11,260.43,4312634,262.61,263.65,257.24
2025-03-10,262.28,4407425,254.82,262.51,254.302
2025-03-07,254.57,2698454,252.78,256.4999,250.51
2025-03-06,254.04,2247950,253.73,254.34,249.51
2025-03-05,254.48,2363985,251.98,257.11,251.88
2025-03-04,251.98,2301238,257.96,258.78,251.33
2025-03-03,256.88,2640586,253.9,257.78,253.78
2025-02-28,253.77,2157509,251.6,254.4,249.66
2025-02-27,249.85,1461135,248.12,251.8999,247.08
2025-02-26,247.99,1941635,250.82,250.92,247.24
2025-02-25,250.82,2131767,248.86,251.8,247.74
2025-02-24,247.75,1205462,249.85,250.37,247.45
2025-02-21,248.87,1769919,248.32,249.23,246.91
2025-02-20,248.32,1248672,249.63,249.73,246.685
2025-02-19,250.75,1171264,248.12,251.32,247.41
2025-02-18,247.85,1316714,245.82,248.09,244.43
2025-02-14,245.48,1444262,248.73,250.31,245.2
2025-02-13,250.11,1683240,250.44,251.71,248.73
2025-02-12,248.96,2575201,245.86,253.5275,245.24
2025-02-11,241.74,1359348,241.54,242.6,239.7
2025-02-10,241.81,1717221,244.38,245.2384,241.16
2025-02-07,244.83,1096100,244.29,246.74,243.6682
2025-02-06,244.41,1446586,243.0,244.96,242.2
2025-02-05,241.64,1421621,243.33,243.33,241.06
2025-02-04,242.53,2056007,240.1,242.86,238.12
2025-02-03,240.65,2536837,239.8,241.56,238.14
2025-01-31,236.52,1981749,235.28,237.09,233.66
2025-01-30,235.92,1586525,233.74,239.35,233.12
2025-01-29,232.5,1640436,233.19,234.23,232.32
2025-01-28,234.39,1468879,235.46,236.4699,233.65
2025-01-27,236.95,1941110,235.86,237.89,234.54
2025-01-24,234.68,1644699,233.82,236.17,233.48
2025-01-23,233.38,2396819,232.53,234.39,230.96
2025-01-22,232.53,1684734,232.08,232.73,230.8
2025-01-21,232.25,2041375,232.89,234.2799,230.19
2025-01-17,232.71,1908709,233.28,235.75,232.1
2025-01-16,232.31,1572635,228.23,232.47,227.89
2025-01-15,227.88,2703625,232.17,233.04,225.465
2025-01-14,231.73,1427827,228.44,231.94,228.3475
2025-01-13,229.45,1650044,228.75,230.55,228.26
2025-01-10,229.2,2739765,228.93,229.89,226.92
2025-01-08,229.3,2002451,227.62,229.41,226.275
2025-01-07,227.01,2121004,226.67,228.05,224.62
2025-01-06,225.82,2297668,229.35,231.01,225.43
2025-01-03,232.5,1597939,231.64,232.76,230.49
2025-01-02,232.72,2246601,232.49,234.14,231.81
2024-12-31,232.23,1041940,232.72,233.16,231.62
2024-12-30,231.53,1224626,232.76,233.505,231.19
2024-12-27,233.5,1384045,231.71,234.8,231.71
2024-12-26,239.21,1174716,238.47,239.63,238.24
2024-12-24,239.47,478413,238.07,239.56,238.02
2024-12-23,238.01,1620098,238.0,238.582,235.81
2024-12-20,238.53,3172716,237.0,240.31,235.6011
2024-12-19,236.82,2854306,236.83,240.21,236.585
2024-12-18,237.08,2864960,235.12,239.785,235.0
2024-12-17,235.99,1613059,236.08,236.7,234.06
2024-12-16,235.92,1840993,237.85,238.6,235.27
2024-12-13,237.19,1810833,235.27,237.5,234.08
2024-12-12,235.95,1695837,235.71,236.8,234.33
2024-12-11,234.3,3689291,238.16,239.19,234.155
2024-12-10,239.19,2164665,236.0,240.25,234.94
2024-12-09,236.72,2125370,239.04,240.0,234.885
2024-12-06,239.38,3162626,244.8,245.16,239.29
2024-12-05,246.02,3253004,245.68,249.02,241.57
2024-12-04,243.0,5095970,240.45,243.55,238.96
2024-12-03,240.73,3601081,236.9,241.5,236.235
2024-12-02,235.61,2683734,238.19,238.78,234.86
2024-11-29,238.0,1161320,237.46,238.97,235.8988
2024-11-27,237.33,2129150,235.18,238.12,234.22
2024-11-26,234.39,2752881,229.77,235.18,229.08
2024-11-25,229.37,3149002,229.98,229.98,227.01
2024-11-22,229.04,3050367,227.5,229.94,226.905
2024-11-21,226.56,1864641,229.18,229.18,226.02
2024-11-20,228.0,2114027,230.54,230.59,226.2
2024-11-19,229.66,1971885,226.77,230.7399,225.69
2024-11-18,227.56,1347238,225.47,228.26,225.02
2024-11-15,225.28,2125179,223.71,226.6685,222.56
2024-11-14,223.42,1817088,228.04,228.92,222.875
2024-11-13,228.14,1960002,226.73,228.58,226.186
2024-11-12,226.31,1496424,226.71,227.96,225.775
2024-11-11,225.93,1263917,226.93,227.93,225.56
2024-11-08,225.66,1798000,223.72,227.5199,222.88
2024-11-07,222.04,1999485,221.77,223.0,220.41
2024-11-06,221.17,3663325,226.14,226.38,213.94
2024-11-05,225.19,1182956,223.24,225.44,223.0
2024-11-04,223.08,1193268,223.71,225.04,221.01
2024-11-01,223.61,1318587,224.55,225.67,223.4
2024-10-31,225.36,1662999,228.23,228.23,224.86
2024-10-30,227.26,1211316,226.07,227.85,225.47
2024-10-29,227.09,1286162,228.96,229.11,227.06
2024-10-28,228.12,1327357,226.1,228.81,225.57
2024-10-25,226.14,974728,229.47,229.47,225.3
2024-10-24,229.69,1360452,226.78,230.36,226.215
2024-10-23,227.14,2044145,221.01,227.79,220.945
2024-10-22,226.17,1933648,226.8,227.24,225.41
2024-10-21,227.05,1138187,226.61,228.03,225.99
2024-10-18,228.32,1203010,227.23,229.14,226.0
2024-10-17,227.23,1816833,228.21,230.12,226.875
2024-10-16,227.17,1248203,223.77,227.28,223.68
2024-10-15,224.82,1589898,224.31,225.885,222.95
2024-10-14,224.2,1429407,221.63,224.29,221.42
2024-10-11,221.72,1123088,221.86,221.93,220.3
2024-10-10,221.25,958079,222.0,222.35,220.11
2024-10-09,221.46,1488878,221.09,223.01,220.56
2024-10-08,221.68,2138388,222.85,223.84,220.56
2024-10-07,221.73,3023063,225.13,226.5,221.25
2024-10-04,224.43,1585768,224.27,224.8149,222.05
2024-10-03,224.27,1820134,224.66,226.78,223.68
2024-10-02,223.57,2191723,225.95,225.95,221.15
2024-10-01,225.28,2043429,221.0,225.32,218.09
2024-09-30,220.65,1835837,219.0,221.36,217.23
2024-09-27,218.3,1840225,218.47,220.0,218.09
2024-09-26,218.47,2076295,217.54,218.98,216.74
2024-09-25,217.52,1973727,218.52,219.35,216.515
2024-09-24,218.16,2292279,215.86,218.24,213.97
2024-09-23,215.86,1550584,213.47,216.27,212.605
2024-09-20,213.16,2898629,213.64,215.07,212.382
2024-09-19,214.76,2888671,216.54,217.11,214.5865
2024-09-18,216.3,1868495,218.0,218.36,214.94
2024-09-17,218.18,1976862,218.19,219.29,216.8
2024-09-16,218.53,1740148,216.05,219.49,216.05
