date,close,volume,open,high,low
2025-03-13,312.92,1573209,318.55,330.5,312.44
2025-03-12,330.71,1194064,335.89,339.225,328.68
2025-03-11,329.4,1606327,333.0,335.065,326.81
2025-03-10,334.24,1367385,337.6,339.945,330.74
2025-03-07,342.13,1399132,341.93,345.14,333.22
2025-03-06,344.86,850380,344.65,351.34,342.43
2025-03-05,347.32,1311524,347.27,349.4,340.54
2025-03-04,347.32,856199,350.09,352.72,341.42
2025-03-03,355.97,625864,372.33,372.96,354.98
2025-02-28,368.18,1139809,363.57,371.1,362.955
2025-02-27,364.16,861833,367.41,373.17,363.97
2025-02-26,366.72,533864,368.77,371.87,364.335
2025-02-25,361.05,1186925,361.65,363.9,355.7
2025-02-24,360.47,850188,367.71,368.72,360.24
2025-02-21,366.92,802340,383.32,383.32,365.8
2025-02-20,384.39,641237,385.27,386.7657,380.87
2025-02-19,386.07,944050,379.4,387.44,379.26
2025-02-18,379.13,838824,374.69,379.67,371.81
2025-02-14,373.78,802017,370.72,373.87,368.87
2025-02-13,369.32,521485,364.2,370.72,362.89
2025-02-12,364.55,634033,366.03,368.61,363.79
2025-02-11,372.55,580073,372.44,373.3299,369.0
2025-02-10,373.9,925312,374.0,376.87,369.2801
2025-02-07,371.86,907515,370.82,373.525,369.3365
2025-02-06,369.15,750202,372.36,373.92,366.07
2025-02-05,369.91,1232637,365.54,371.03,362.0
2025-02-04,363.51,2020768,361.0,368.6,359.92
2025-02-03,348.21,1270503,348.59,352.2029,344.11
2025-01-31,356.25,671368,360.5,361.7,356.05
2025-01-30,359.68,916029,357.06,363.05,356.88
2025-01-29,354.02,861102,351.57,358.06,351.43
2025-01-28,350.27,876171,347.81,352.0,345.33
2025-01-27,348.84,1397060,360.0,360.0,345.03
2025-01-24,367.62,614754,370.2,374.31,366.4397
2025-01-23,368.91,1046561,365.86,369.48,364.28
2025-01-22,366.0,1061672,367.08,368.68,363.81
2025-01-21,367.17,1038933,367.92,369.68,365.64
2025-01-17,366.34,816200,369.2,370.2,364.51
2025-01-16,366.33,577493,361.57,368.18,361.55
2025-01-15,360.8,753461,368.32,369.86,360.58
2025-01-14,364.25,582896,364.64,366.3,361.605
2025-01-13,361.07,595810,353.02,361.3,351.92
2025-01-10,354.88,688528,357.01,357.96,353.9601
2025-01-08,359.75,437818,359.09,360.4,354.83
2025-01-07,359.98,568118,358.31,362.5,358.07
2025-01-06,358.04,587001,356.03,360.84,355.56
2025-01-03,354.35,623410,348.44,354.75,346.0001
2025-01-02,347.65,529559,350.68,352.4,347.19
2024-12-31,348.6,318031,349.87,351.3397,347.412
2024-12-30,348.41,409269,348.62,350.54,345.7692
2024-12-27,351.15,240311,352.32,355.01,349.39
2024-12-26,354.15,299085,351.96,354.71,351.68
2024-12-24,353.85,182493,350.26,353.93,350.1129
2024-12-23,351.13,466952,349.94,351.99,347.7701
2024-12-20,351.38,2167868,348.31,355.79,346.2664
2024-12-19,349.7,667183,355.01,358.2214,349.36
2024-12-18,350.69,643806,362.24,363.73,350.27
2024-12-17,361.23,623425,365.0,366.055,360.48
2024-12-16,366.97,676985,365.63,367.88,363.1001
2024-12-13,367.51,675030,368.22,369.955,365.83
2024-12-12,370.57,537509,370.2,372.8967,368.125
2024-12-11,370.15,1329705,380.39,380.39,368.68
2024-12-10,377.72,641554,379.89,381.53,375.08
2024-12-09,383.42,1022133,383.86,387.9,382.705
2024-12-06,379.6,752410,380.39,382.86,379.35
2024-12-05,378.57,787965,376.82,381.93,375.2688
2024-12-04,378.33,511521,377.55,378.88,375.05
2024-12-03,375.74,465431,378.39,379.55,371.68
2024-12-02,377.3,563025,377.57,378.81,373.36
2024-11-29,375.04,362901,372.44,377.55,372.31
2024-11-27,371.03,549974,377.28,379.66,370.13
2024-11-26,377.39,400973,375.67,377.69,373.5
2024-11-25,375.27,737316,375.0,377.64,373.8901
2024-11-22,372.62,409997,366.9,373.35,365.52
2024-11-21,368.86,514097,362.2,370.64,360.04
2024-11-20,360.95,488822,361.67,363.06,357.73
2024-11-19,361.86,419001,359.52,364.93,358.12
2024-11-18,364.02,476108,362.03,365.86,361.66
2024-11-15,361.85,536110,362.92,365.33,360.285
2024-11-14,363.73,625676,365.21,366.9999,361.59
2024-11-13,366.34,960560,360.05,367.08,359.37
2024-11-12,355.08,474838,358.79,359.6866,354.69
2024-11-11,358.43,529297,360.18,360.18,357.0
2024-11-08,356.46,735636,351.94,357.1,351.61
2024-11-07,354.72,631542,357.01,360.23,354.22
2024-11-06,356.01,1155936,365.23,370.21,352.89
2024-11-05,354.46,1346519,328.0,356.685,325.67
2024-11-04,325.62,690432,329.83,330.38,324.74
2024-11-01,328.51,387603,328.82,331.51,328.26
2024-10-31,328.98,642366,330.01,331.0,327.33
2024-10-30,331.84,514921,329.44,333.98,327.95
2024-10-29,331.14,337195,333.93,334.015,329.99
2024-10-28,334.66,588742,331.74,335.56,329.6
2024-10-25,329.17,604435,334.36,334.74,328.26
2024-10-24,332.48,476921,332.14,333.256,329.41
2024-10-23,329.97,389028,330.14,333.12,328.78
2024-10-22,330.7,571168,331.69,332.86,326.46
2024-10-21,333.63,465465,335.15,337.0,333.09
2024-10-18,335.51,1534690,335.0,340.82,333.08
2024-10-17,332.99,474249,335.0,335.0,332.0
2024-10-16,333.87,717489,333.67,335.0,331.24
2024-10-15,332.68,545576,337.39,339.78,332.24
2024-10-14,338.37,442748,335.25,338.78,333.61
2024-10-11,336.07,412743,333.73,337.5963,333.03
2024-10-10,332.85,446401,333.75,333.75,330.09
2024-10-09,333.05,405680,331.5,334.99,329.94
2024-10-08,329.61,609536,330.0,332.0,324.4
2024-10-07,331.71,408845,330.7,333.48,329.17
2024-10-04,331.74,691513,327.5,331.89,326.03
2024-10-03,327.35,541868,323.9,327.726,322.03
2024-10-02,325.05,383092,325.05,327.5,323.13
2024-10-01,326.28,803046,323.5,327.32,321.85
2024-09-30,323.79,565963,325.35,325.92,321.33
2024-09-27,326.4,553567,324.81,328.68,324.69
2024-09-26,324.62,991222,322.3,333.43,322.245
2024-09-25,317.5,705721,324.85,325.52,317.285
2024-09-24,323.56,1043963,316.21,328.1,316.21
2024-09-23,313.48,566663,308.65,314.0,308.39
2024-09-20,308.24,991530,307.12,308.97,305.55
2024-09-19,309.14,618791,305.84,309.75,302.41
2024-09-18,300.65,567426,302.79,306.42,300.0
2024-09-17,301.59,738999,302.24,306.07,299.11
2024-09-16,301.07,858354,303.8,305.93,301.0
