date,close,volume,open,high,low
2025-03-13,57.96,4048250,58.33,58.85,57.31
2025-03-12,58.45,6274371,58.17,60.955,56.915
2025-03-11,58.57,6016939,59.68,59.69,56.99
2025-03-10,59.44,5977418,60.29,61.345,59.33
2025-03-07,60.03,5511138,59.16,60.88,58.96
2025-03-06,59.45,3813828,58.9,59.69,58.2
2025-03-05,59.0,4761961,58.02,59.59,57.79
2025-03-04,57.87,4059068,58.325,59.36,57.87
2025-03-03,58.59,3987472,58.33,58.9228,57.83
2025-02-28,58.16,7527132,57.98,58.52,57.07
2025-02-27,58.19,5074829,57.6,59.21,57.41
2025-02-26,56.9,6202915,60.79,60.865,56.39
2025-02-25,61.33,5559478,58.94,61.495,58.94
2025-02-24,58.93,4428225,57.68,59.05,56.82
2025-02-21,57.68,4754514,56.65,58.785,56.61
2025-02-20,58.48,5538532,57.57,58.87,57.5
2025-02-19,57.66,6235489,56.08,58.01,55.82
2025-02-18,55.93,3776755,57.05,57.0895,55.72
2025-02-14,56.86,3447825,57.15,57.3305,56.48
2025-02-13,56.81,6555330,56.92,56.92,55.17
2025-02-12,56.45,4731598,57.39,59.1499,55.91
2025-02-11,57.39,4943995,58.91,59.28,56.97
2025-02-10,58.91,3451107,59.04,59.3265,58.25
2025-02-07,58.94,3382218,59.06,59.275,58.3
2025-02-06,58.63,7311881,60.09,60.197,57.9
2025-02-05,60.73,5908562,60.91,61.59,60.21
2025-02-04,61.29,8469945,60.25,63.04,59.95
2025-02-03,64.82,4836386,63.8,66.81,63.8
2025-01-31,64.03,2585044,64.1,64.75,63.89
2025-01-30,64.62,2895589,64.17,64.76,63.3175
2025-01-29,63.91,4690503,64.95,64.95,63.33
2025-01-28,64.72,5333519,65.78,66.29,63.3
2025-01-27,65.89,2877937,65.51,66.52,65.19
2025-01-24,64.58,3320274,64.49,64.7,63.69
2025-01-23,65.12,4276646,64.94,65.75,63.565
2025-01-22,63.53,3257501,63.1,63.83,62.12
2025-01-21,63.66,4760154,62.79,63.75,62.27
2025-01-17,62.25,4389697,62.8,63.13,62.07
2025-01-16,62.87,3540235,62.35,63.7,61.71
2025-01-15,63.15,2828621,63.44,63.65,62.12
2025-01-14,63.4,2911131,63.57,64.1,62.91
2025-01-13,63.7,4623434,62.55,63.935,62.355
2025-01-10,61.83,5179058,62.89,63.95,60.38
2025-01-08,63.17,5515634,62.25,63.61,61.71
2025-01-07,62.61,4208162,62.88,63.18,62.0925
2025-01-06,62.69,4930263,61.76,63.76,61.625
2025-01-03,61.48,4999665,60.68,62.05,60.33
2025-01-02,60.51,3822028,61.11,61.78,60.38
2024-12-31,60.58,2989943,60.65,61.34,60.25
2024-12-30,60.36,2589857,60.35,60.66,59.75
2024-12-27,60.6,3302665,60.77,61.27,60.32
2024-12-26,60.91,3115001,60.35,61.125,60.17
2024-12-24,60.83,1135011,60.2,60.83,59.75
2024-12-23,60.25,4147218,59.402,60.5,58.88
2024-12-20,59.58,26122380,60.0,60.7,58.995
2024-12-19,59.71,16575570,59.14,60.17,58.27
2024-12-18,59.49,5847395,58.37,60.0,58.305
2024-12-17,57.81,7273750,58.83,59.8,57.345
2024-12-16,59.17,5987233,59.021,59.75,58.82
2024-12-13,59.42,7063954,59.0,60.34,58.24
2024-12-12,58.0,6357634,58.5,59.36,57.43
2024-12-11,56.9,6310236,56.47,57.19,55.07
2024-12-10,56.71,5481336,56.755,57.06,55.03
2024-12-09,58.49,5384199,57.0,59.23,56.75
2024-12-06,56.76,4968713,58.4,58.75,56.44
2024-12-05,57.95,4060446,59.68,59.75,57.86
2024-12-04,59.77,4948147,59.42,59.99,58.74
2024-12-03,59.41,5300954,60.25,60.4,58.88
2024-12-02,60.06,3895851,60.31,60.34,59.0183
2024-11-29,60.0,2380159,59.68,60.41,59.44
2024-11-27,59.93,3468386,60.11,60.65,59.67
2024-11-26,60.0,5544056,61.4,61.81,59.89
2024-11-25,61.43,6401929,60.85,61.91,60.725
2024-11-22,60.37,4143310,60.19,60.72,59.84
2024-11-21,60.35,6849309,59.4,60.43,58.5
2024-11-20,59.1,4562927,58.2,59.44,58.0
2024-11-19,57.81,7426932,58.25,58.79,57.76
2024-11-18,58.83,5238332,57.37,58.93,57.2
2024-11-15,57.46,8033605,58.7,59.2,57.25
2024-11-14,58.68,6854855,58.27,59.86,58.23
2024-11-13,58.04,7003908,58.75,59.19,57.56
2024-11-12,58.6,6229922,60.85,61.25,58.56
2024-11-11,60.75,5376901,61.42,62.24,60.73
2024-11-08,60.15,6328533,62.84,62.84,60.14
2024-11-07,62.52,6586269,62.7,63.54,62.1
2024-11-06,62.56,9724771,60.0,63.09,59.94
2024-11-05,64.8,6210983,63.48,64.885,62.93
2024-11-04,63.82,5930159,64.0,65.4,63.73
2024-11-01,63.52,6313021,62.32,63.915,62.25
2024-10-31,62.26,6450040,61.78,62.76,61.28
2024-10-30,61.78,6635484,60.49,62.34,60.49
2024-10-29,60.62,6383035,61.6,61.71,60.39
2024-10-28,61.65,8623431,63.65,63.715,61.295
2024-10-25,64.22,12143200,70.0,70.11,64.16
2024-10-24,61.62,10130990,61.6,62.89,61.3
2024-10-23,59.82,6306774,61.09,61.485,59.77
2024-10-22,61.06,5269246,60.91,61.36,60.65
2024-10-21,61.0,14953440,61.97,62.53,60.97
2024-10-18,62.02,5846017,63.14,63.14,61.62
2024-10-17,63.0,14593550,63.0,63.46,62.095
2024-10-16,69.3,4706324,68.74,69.36,68.21
2024-10-15,68.48,6868147,69.55,71.04,68.41
2024-10-14,72.9,3666701,72.47,73.14,71.81
2024-10-11,72.44,3541797,71.9,73.5,71.75
2024-10-10,71.62,3987918,72.65,72.65,71.105
2024-10-09,72.35,2059655,71.62,72.695,71.605
