date,close,volume,open,high,low
2025-03-13,890.62,3447210,922.0,923.5,887.47
2025-03-12,927.08,2331610,938.0,944.38,923.25
2025-03-11,930.49,3204869,931.0,938.0,921.2
2025-03-10,934.41,4459854,955.47,959.66,924.03
2025-03-07,964.31,5510718,995.15,1002.42,942.78
2025-03-06,1026.62,2594563,1032.95,1045.89,1019.0544
2025-03-05,1047.75,1898604,1033.08,1050.98,1028.5
2025-03-04,1036.87,2536792,1045.73,1047.93,1028.73
2025-03-03,1046.85,2422451,1051.74,1066.0,1041.14
2025-02-28,1048.61,3307117,1030.61,1049.38,1023.99
2025-02-27,1021.71,1629074,1034.0,1042.5299,1018.8272
2025-02-26,1031.97,1555684,1050.14,1058.89,1030.18
2025-02-25,1055.66,2083802,1040.73,1057.02,1037.4583
2025-02-24,1035.6,1759749,1028.54,1038.185,1025.22
2025-02-21,1035.03,1816308,1034.605,1036.2099,1024.6801
2025-02-20,1034.83,2000545,1053.64,1053.64,1033.85
2025-02-19,1062.54,1349634,1056.06,1063.18,1053.0
2025-02-18,1056.03,2090589,1069.21,1071.0,1045.24
2025-02-14,1071.85,1410728,1076.48,1077.49,1068.01
2025-02-13,1076.86,1623281,1067.01,1078.235,1064.65
2025-02-12,1065.12,1662315,1054.15,1067.0,1051.0002
2025-02-11,1058.34,1748505,1059.91,1065.9999,1049.04
2025-02-10,1061.92,2036894,1052.0,1063.0,1046.0
2025-02-07,1043.81,1632854,1047.0,1056.71,1035.51
2025-02-06,1050.99,2218045,1050.0,1063.0,1044.2
2025-02-05,1042.88,2050058,1020.0,1043.09,1020.0
2025-02-04,1021.86,2001641,1005.4,1024.35,999.65
2025-02-03,1005.83,2751018,972.385,1009.6105,968.94
2025-01-31,979.88,1875713,976.24,991.0,975.78
2025-01-30,979.01,1788180,970.3,986.75,970.0975
2025-01-29,964.02,1713749,957.8,968.257,955.0
2025-01-28,958.67,2166375,961.83,965.71,954.0657
2025-01-27,965.25,3044682,930.0,966.99,927.1801
2025-01-24,939.68,1562422,942.16,946.0404,933.555
2025-01-23,942.16,1352440,941.69,943.39,936.485
2025-01-22,944.7,2154991,951.225,951.94,939.24
2025-01-21,947.73,2042443,945.25,956.55,943.5
2025-01-17,943.19,2375012,930.0,943.8,924.565
2025-01-16,919.75,1352957,924.73,927.4,917.82
2025-01-15,923.5,1839386,927.26,932.87,918.3001
2025-01-14,917.23,1683757,924.3,927.7616,909.918
2025-01-13,924.7,1693763,934.0,934.99,921.0
2025-01-10,936.94,2765797,933.36,944.28,923.5
2025-01-08,927.37,1774763,922.975,930.4999,915.415
2025-01-07,921.37,1887982,923.84,931.305,916.43
2025-01-06,922.71,1970405,917.98,927.4099,913.27
2025-01-03,916.58,1614211,914.33,924.21,911.0001
2025-01-02,909.81,1767658,915.0,925.77,902.0
2024-12-31,916.27,1742939,923.65,924.739,912.54
2024-12-30,922.21,1881241,931.0,934.17,915.5
2024-12-27,939.7,1943440,948.72,950.45,932.0001
2024-12-26,956.14,969936,956.82,959.41,954.0
2024-12-24,958.82,939029,950.74,959.38,945.45
2024-12-23,949.91,1856831,953.88,954.255,937.0
2024-12-20,954.07,5373797,949.39,961.9414,943.05
2024-12-19,954.8,2610843,974.51,974.64,953.51
2024-12-18,964.74,2725300,982.0,985.6,964.0
2024-12-17,982.08,2050219,994.0,996.92,980.76
2024-12-16,992.87,2581292,989.045,1008.25,986.37
2024-12-13,989.35,2951921,981.0,1006.6799,965.73
2024-12-12,988.39,2344334,1001.68,1002.47,987.21
2024-12-11,994.69,1903635,995.0,1007.8,993.59
2024-12-10,993.4,1556751,989.73,994.99,985.8825
2024-12-09,987.86,1855470,997.01,997.01,980.5
2024-12-06,992.61,1737317,982.26,997.7068,982.26
2024-12-05,982.26,2089430,986.66,990.13,978.2
2024-12-04,990.92,1784687,982.0,991.15,977.55
2024-12-03,982.15,1653910,974.69,983.0,970.76
2024-12-02,975.0,1955774,971.36,976.5,964.76
2024-11-29,971.88,1095860,968.09,973.27,962.4671
2024-11-27,961.55,1499464,971.46,972.29,958.59
2024-11-26,971.5,1438037,964.0,974.37,960.89
2024-11-25,960.89,3240929,975.0,975.0,949.69
2024-11-22,964.01,2078740,962.74,976.3,958.5201
2024-11-21,955.65,2320548,935.0,958.4899,930.0
2024-11-20,928.08,1452130,925.08,928.8,916.5
2024-11-19,930.15,1690536,928.0,934.0,916.36
2024-11-18,919.51,1797786,910.64,925.94,907.1069
2024-11-15,907.07,2269945,917.74,920.5499,905.5613
2024-11-14,923.89,1859919,927.0,931.15,922.1715
2024-11-13,933.73,1757645,930.0,937.5899,923.2
2024-11-12,932.38,1691807,935.95,939.56,927.0
2024-11-11,932.88,2181815,943.8,951.28,931.435
2024-11-08,943.8,3277090,914.0,962.0,913.75
2024-11-07,913.93,2145454,898.62,919.48,894.37
2024-11-06,899.25,2437420,898.28,899.9,886.28
2024-11-05,890.17,1622264,888.0,895.58,886.7975
2024-11-04,886.07,1577144,881.34,887.0,876.73
2024-11-01,877.31,1625161,874.27,879.4108,867.3401
2024-10-31,874.18,1771876,877.2,877.65,868.65
2024-10-30,879.09,1412209,886.38,886.5699,877.37
2024-10-29,886.99,1361681,890.0,891.17,874.09
2024-10-28,890.96,912507,895.99,895.99,890.0
2024-10-25,891.22,1425842,895.65,901.6191,890.0
2024-10-24,893.42,1649565,901.5,903.5,888.26
2024-10-23,899.17,2193473,896.02,905.68,894.99
2024-10-22,893.49,1189653,890.98,894.89,884.31
2024-10-21,886.77,1184880,889.0,891.4,883.7
2024-10-18,889.56,1654015,885.76,890.61,883.75
2024-10-17,885.29,1321463,891.555,895.33,882.8
2024-10-16,887.38,1475495,889.92,891.325,879.5001
2024-10-15,894.61,1613905,892.09,900.65,889.55
2024-10-14,889.76,1431497,892.45,895.1716,886.26
2024-10-11,889.03,1527294,894.5,894.5,885.5001
2024-10-10,893.63,1765785,910.0,910.0,891.84
