date,close,volume,open,high,low
2025-03-13,116.75,898004,118.68,119.195,116.11
2025-03-12,118.4,797003,120.55,121.04,117.88
2025-03-11,120.48,938973,122.21,122.32,119.445
2025-03-10,122.03,1451274,122.79,124.595,121.62
2025-03-07,121.49,731214,122.34,123.49,120.93
2025-03-06,121.82,694526,123.37,124.11,120.82
2025-03-05,124.42,1589010,121.67,124.61,121.52
2025-03-04,123.24,866234,126.06,126.55,123.03
2025-03-03,125.53,1129963,123.86,126.01,123.56
2025-02-28,124.06,1539757,125.05,125.31,122.64
2025-02-27,123.23,1139957,120.81,124.07,120.54
2025-02-26,121.1,669480,122.26,122.445,120.76
2025-02-25,122.04,1155031,121.48,122.85,121.28
2025-02-24,121.18,936272,120.07,121.48,119.535
2025-02-21,119.89,805397,120.84,121.08,118.22
2025-02-20,120.84,835491,118.95,121.5,118.275
2025-02-19,118.9,1012606,119.09,119.73,117.56
2025-02-18,119.37,936266,118.97,119.93,118.68
2025-02-14,119.07,604305,119.78,120.77,119.02
2025-02-13,119.16,817661,118.53,120.28,118.16
2025-02-12,118.4,1147300,116.85,119.12,116.69
2025-02-11,119.83,1571866,118.3,120.12,118.16
2025-02-10,119.34,854508,118.89,119.8,117.2601
2025-02-07,119.16,1580713,117.7,121.12,117.28
2025-02-06,117.7,1192275,116.99,118.0,116.28
2025-02-05,116.27,708925,115.23,116.7,114.34
2025-02-04,114.26,886592,112.76,114.78,111.66
2025-02-03,113.5,762676,113.2,114.12,111.42
2025-01-31,113.71,916780,113.18,114.79,113.05
2025-01-30,113.2,1101150,112.14,114.145,111.48
2025-01-29,110.58,756186,113.0,113.16,110.16
2025-01-28,112.59,660645,114.09,114.64,112.31
2025-01-27,113.98,662604,111.34,114.36,111.235
2025-01-24,110.64,543118,109.95,111.7,109.52
2025-01-23,110.01,914680,110.8,110.95,108.8
2025-01-22,110.98,1066490,111.83,112.09,110.61
2025-01-21,112.77,861397,113.01,114.1,111.78
2025-01-17,112.6,1064948,112.57,112.91,111.73
2025-01-16,112.65,973174,112.2,112.71,110.81
2025-01-15,111.84,643154,115.6,115.6,111.77
2025-01-14,112.52,491326,111.66,113.015,111.66
2025-01-13,111.66,537754,108.92,111.82,108.92
2025-01-10,109.16,1106857,109.35,110.85,108.46
2025-01-08,111.04,882140,110.23,111.18,109.02
2025-01-07,110.31,1619746,114.07,115.0,110.01
2025-01-06,113.46,861979,116.8,117.02,112.98
2025-01-03,117.07,540451,114.55,117.2,114.26
2025-01-02,114.68,547444,115.66,116.155,114.25
2024-12-31,116.04,502876,115.73,116.13,114.59
2024-12-30,114.77,359108,114.33,115.01,113.2
2024-12-27,115.23,301649,115.92,116.69,114.91
2024-12-26,116.4,295903,115.73,116.69,115.73
2024-12-24,116.43,225259,115.24,116.51,115.0
2024-12-23,115.25,507402,114.32,115.41,113.86
2024-12-20,114.91,1757135,113.08,115.62,113.08
2024-12-19,112.52,696036,113.33,115.06,112.41
2024-12-18,113.35,693980,117.31,119.07,113.28
2024-12-17,118.59,1042057,119.17,120.22,118.1
2024-12-16,120.36,445952,119.91,122.075,119.64
2024-12-13,120.17,611481,120.58,121.02,119.52
2024-12-12,120.95,760494,120.48,122.265,119.92
2024-12-11,120.46,1169208,122.56,123.0,120.1
2024-12-10,121.93,668428,123.23,123.29,121.315
2024-12-09,122.77,643184,121.52,122.95,121.05
2024-12-06,121.9,492992,121.89,122.205,120.82
2024-12-05,121.47,562814,121.48,121.925,120.25
2024-12-04,122.14,505050,122.62,122.7,121.56
2024-12-03,122.61,494416,124.09,124.23,122.53
2024-12-02,123.95,651182,125.01,125.1,123.36
2024-11-29,125.8,428802,127.03,127.3,125.61
2024-11-27,127.03,581320,126.51,127.65,126.42
2024-11-26,125.76,881507,123.92,126.155,123.6
2024-11-25,123.92,941620,124.0,124.595,123.435
2024-11-22,122.9,452826,122.35,123.34,122.24
2024-11-21,121.99,477548,120.59,122.47,120.375
2024-11-20,120.56,537551,120.5,121.465,119.965
2024-11-19,121.29,746647,119.48,121.62,118.7
