date,close,volume,open,high,low
2025-03-13,75.44,3124235,76.62,77.57,75.21
2025-03-12,76.86,3845036,76.92,77.22,75.695
2025-03-11,76.87,4279086,79.9,80.045,76.73
2025-03-10,79.91,4751936,79.63,83.03,79.19
2025-03-07,79.39,3741042,76.68,79.67,75.79
2025-03-06,76.86,5227357,77.06,78.57,76.77
2025-03-05,77.81,5482464,75.22,78.2,75.21
2025-03-04,75.58,6322082,75.15,76.0,74.08
2025-03-03,75.39,6448054,76.01,77.35,75.2
2025-02-28,76.25,6197320,75.63,76.4,74.14
2025-02-27,74.36,4277463,76.64,76.68,73.65
2025-02-26,76.92,3574284,77.23,78.6,76.83
2025-02-25,77.6,3584470,77.47,77.79,76.88
2025-02-24,77.49,4316408,77.44,77.85,76.34
2025-02-21,76.79,4667024,78.33,79.04,76.485
2025-02-20,78.33,4804688,79.21,79.45,77.91
2025-02-19,79.21,7407869,72.83,79.32,72.5
2025-02-18,75.46,5453479,74.355,75.62,73.9
2025-02-14,74.06,3413095,74.1,74.455,73.32
2025-02-13,73.56,2900993,73.43,74.02,72.515
2025-02-12,73.27,2595782,74.11,74.53,72.86
2025-02-11,76.0,1975365,76.21,77.0,75.29
2025-02-10,76.97,1927941,77.72,77.72,76.52
2025-02-07,77.25,2224443,78.39,78.39,77.17
2025-02-06,78.19,2023289,78.09,78.39,77.09
2025-02-05,77.72,3129435,76.62,77.96,75.64
2025-02-04,77.46,2808904,76.51,78.1,76.23
2025-02-03,76.8,2823303,76.52,77.9,76.08
2025-01-31,76.6,2620807,76.19,77.43,76.06
2025-01-30,76.52,1543491,76.81,77.53,75.91
2025-01-29,75.65,1896620,76.28,76.8,75.46
2025-01-28,76.12,3048035,75.87,77.54,75.715
2025-01-27,76.44,2307494,73.52,76.53,73.49
2025-01-24,74.16,1702785,74.0,75.4099,73.11
2025-01-23,74.38,2135251,73.6,74.95,73.16
2025-01-22,74.01,2098768,74.16,75.04,73.51
2025-01-21,74.16,2194298,74.45,74.99,73.97
2025-01-17,73.85,2189277,75.06,75.06,72.99
2025-01-16,73.42,2226066,73.16,73.55,71.82
2025-01-15,73.22,3786658,71.14,74.38,71.14
2025-01-14,69.61,3775856,69.43,70.21,68.41
2025-01-13,69.29,2735738,69.81,70.1,68.77
2025-01-10,69.87,2769250,70.33,70.74,69.44
2025-01-08,71.34,2214489,70.63,71.61,70.29
2025-01-07,70.36,2098577,71.22,72.21,70.28
2025-01-06,71.21,1953079,72.16,73.0,71.13
2025-01-03,72.25,1848688,70.86,72.4,70.7
2025-01-02,70.83,2471661,72.17,72.94,70.5
2024-12-31,71.59,2124995,72.035,72.49,70.74
2024-12-30,71.82,2352363,71.69,72.395,71.0
2024-12-27,72.22,1702431,72.28,72.8,71.69
2024-12-26,73.1,1292989,72.38,73.52,71.8
2024-12-24,72.95,1159695,72.33,73.0,71.93
2024-12-23,72.74,2638063,70.12,72.86,70.11
2024-12-20,71.44,7036135,69.89,71.86,69.61
2024-12-19,69.84,3860966,70.65,72.1,69.75
2024-12-18,70.77,4020389,73.12,74.26,70.76
2024-12-17,73.13,2823144,74.76,76.447,73.08
2024-12-16,75.22,2371023,75.05,76.995,74.37
2024-12-13,75.07,2325172,77.69,78.12,74.59
2024-12-12,78.25,1533174,77.72,78.52,76.91
2024-12-11,77.58,1673768,77.14,78.13,76.89
2024-12-10,76.43,2003203,78.46,78.46,76.08
2024-12-09,78.65,2335936,77.36,79.11,77.06
2024-12-06,77.32,2480749,77.4,78.36,77.04
2024-12-05,77.03,3286664,79.38,79.485,74.36
2024-12-04,79.75,2079131,80.17,80.85,79.58
2024-12-03,80.15,1524302,79.27,80.64,79.0866
2024-12-02,80.07,1550882,80.7,81.23,79.9197
2024-11-29,81.34,1062956,82.36,82.49,81.1
2024-11-27,81.97,1754033,80.53,82.23,80.17
2024-11-26,79.92,1913802,80.41,81.14,79.48
2024-11-25,80.28,3044944,80.87,81.75,79.8
2024-11-22,79.81,3842535,76.9,80.61,76.9
2024-11-21,77.0,2001125,76.82,77.2,74.9
2024-11-20,76.27,4391412,71.52,76.4552,71.51
2024-11-19,72.09,2026207,72.87,73.3,71.96
2024-11-18,73.35,3527538,71.35,73.465,70.77
2024-11-15,71.25,3569653,74.96,74.98,71.06
2024-11-14,75.04,2697507,75.46,76.36,74.85
2024-11-13,75.77,1736636,75.46,76.33,75.34
2024-11-12,75.41,2535016,75.7,76.155,75.11
2024-11-11,75.87,3044960,77.86,78.0,75.85
2024-11-08,77.39,2277981,76.5,77.64,76.49
2024-11-07,76.3,2602613,74.8,76.91,74.735
2024-11-06,74.87,3496878,76.89,76.99,74.35
2024-11-05,75.34,2419554,74.02,75.905,73.71
2024-11-04,73.83,2681395,72.69,74.41,72.68
2024-11-01,72.5,1926886,72.71,73.745,71.96
2024-10-31,72.79,2342852,73.42,74.18,72.79
2024-10-30,73.46,2447892,73.3,74.29,73.09
2024-10-29,73.24,2984841,75.22,75.605,73.2
2024-10-28,74.31,5792027,74.97,75.47,73.485
2024-10-25,74.48,4795674,74.39,75.62,73.8601
2024-10-24,73.91,7892325,72.56,74.84,71.63
2024-10-23,72.82,14631270,72.435,72.96,68.256
2024-10-22,76.87,2881570,77.57,77.74,75.9888
