date,close,volume,open,high,low
2025-03-13,190.58,1609728,191.86,192.19,189.37
2025-03-12,192.21,2339470,197.09,197.6633,191.87
2025-03-11,196.56,1887604,201.45,201.57,195.71
2025-03-10,200.61,1823966,201.875,205.6499,199.715
2025-03-07,203.06,1805054,199.84,203.69,198.34
2025-03-06,200.6,1947931,203.8,203.8,198.4504
2025-03-05,205.29,1281754,202.3,206.65,202.26
2025-03-04,204.56,1661992,208.3,209.72,204.3535
2025-03-03,207.43,1685275,206.86,210.155,206.28
2025-02-28,207.5,1839518,204.52,207.67,204.41
2025-02-27,203.37,1688784,204.93,206.87,203.29
2025-02-26,204.31,1519566,203.39,207.52,202.57
2025-02-25,205.82,2205974,202.235,207.49,202.235
2025-02-24,203.35,1613660,204.62,206.4667,203.2
2025-02-21,204.43,2302597,205.93,206.33,203.62
2025-02-20,205.93,1340292,206.9,207.215,204.63
2025-02-19,208.14,2326370,204.36,208.66,204.21
2025-02-18,203.74,1388110,202.72,204.01,201.62
2025-02-14,204.22,1062603,206.0,207.22,204.2
2025-02-13,205.99,1272975,205.18,206.84,204.92
2025-02-12,204.61,1309096,203.31,205.54,202.135
2025-02-11,205.4,1093615,204.29,205.6655,202.41
2025-02-10,203.97,1530464,203.55,205.19,201.87
2025-02-07,202.06,2114635,205.0,205.63,201.84
2025-02-06,204.29,1343958,202.12,204.54,201.16
2025-02-05,201.6,2009292,201.3,202.17,198.96
2025-02-04,200.61,1452077,201.01,202.39,199.66
2025-02-03,202.21,1789100,202.418,203.0,198.59
2025-01-31,200.57,1321576,201.13,202.54,200.06
2025-01-30,202.18,883858,199.42,202.32,199.42
2025-01-29,198.56,836269,201.45,201.72,198.42
2025-01-28,200.43,1471178,202.75,203.12,200.36
2025-01-27,202.56,2637912,195.5,202.94,195.22
2025-01-24,197.39,874024,197.06,198.4208,197.01
2025-01-23,197.8,1114217,198.53,198.78,196.935
2025-01-22,199.02,1578125,201.23,201.45,198.95
2025-01-21,201.23,2237797,198.96,202.32,198.96
2025-01-17,198.31,1673347,201.31,201.31,197.55
2025-01-16,198.05,1417892,196.4,199.24,196.245
2025-01-15,195.7,1466838,194.86,196.05,194.0
2025-01-14,192.28,1585371,190.04,192.36,189.365
2025-01-13,190.6,1587843,188.6,191.18,187.67
2025-01-10,189.3,2331026,191.5,194.24,189.19
2025-01-08,192.65,3206403,189.34,193.11,188.33
2025-01-07,188.72,3618460,187.52,192.89,186.465
2025-01-06,185.1,2589566,185.65,187.025,184.08
