date,close,volume,open,high,low
2025-03-13,26.63,5213536,27.22,27.47,26.42
2025-03-12,27.32,5019435,28.4,28.645,27.06
2025-03-11,27.84,7765423,27.33,28.19,26.91
2025-03-10,27.26,6264763,28.15,28.49,26.84
2025-03-07,28.48,9478905,28.72,28.89,26.92
2025-03-06,28.91,6625409,30.18,30.3,28.85
2025-03-05,30.37,7141225,30.82,31.32,29.77
2025-03-04,30.73,7588986,30.87,31.42,29.27
2025-03-03,31.47,6571083,33.61,34.22,31.37
2025-02-28,33.22,6666216,33.16,33.82,32.61
2025-02-27,33.25,4888337,34.64,34.68,33.235
2025-02-26,34.56,6314564,35.79,36.2599,34.21
2025-02-25,34.87,6200937,34.88,35.35,33.98
2025-02-24,35.04,4501786,35.84,35.85,34.58
2025-02-21,35.34,6998688,38.0,38.085,35.031
2025-02-20,37.76,3169748,37.82,38.43,37.52
2025-02-19,37.97,4278611,38.92,39.03,37.75
2025-02-18,39.53,3585212,39.86,39.86,39.02
2025-02-14,39.76,3592949,39.39,40.0,39.02
2025-02-13,38.87,8685511,37.31,38.9,37.18
2025-02-12,35.6,3592346,35.21,35.7239,34.62
2025-02-11,35.49,4820044,35.15,36.15,35.15
2025-02-10,35.57,5450487,35.79,35.85,34.71
2025-02-07,35.72,4092015,36.632,36.7,35.485
2025-02-06,36.4,3304843,36.62,37.13,36.03
2025-02-05,36.31,1968815,36.27,36.41,35.7
2025-02-04,36.13,2692732,35.7,36.18,35.4
2025-02-03,35.53,3160187,34.874,35.79,34.455
2025-01-31,36.05,2896849,36.325,36.6,35.865
2025-01-30,36.23,4238308,35.95,36.62,35.855
2025-01-29,35.58,5248538,35.63,35.815,35.15
2025-01-28,35.74,3492046,34.89,35.78,34.73
2025-01-27,35.02,4726503,34.32,35.18,34.32
2025-01-24,34.59,4696833,34.02,35.22,34.02
2025-01-23,34.15,2856806,33.76,34.4,33.61
2025-01-22,33.76,3406177,34.21,34.26,33.51
2025-01-21,34.23,5182881,34.39,34.615,33.86
2025-01-17,34.05,6973589,33.82,34.26,33.51
2025-01-16,33.32,6686974,33.32,33.7,32.82
2025-01-15,33.38,5027705,34.6,34.75,33.29
2025-01-14,33.19,4248288,32.39,33.51,32.215
2025-01-13,32.07,4922281,31.024,32.455,30.95
2025-01-10,31.43,6037017,31.27,31.67,30.7838
2025-01-08,31.98,4430907,32.7,32.75,31.79
2025-01-07,33.05,4082555,33.83,34.33,31.66
2025-01-06,33.39,4247033,32.99,34.15,32.99
2025-01-03,32.51,4122451,32.65,32.85,31.86
2025-01-02,32.59,4677900,33.66,34.085,32.35
2024-12-31,33.42,3808323,32.92,33.76,32.81
2024-12-30,32.82,4404620,32.54,33.284,32.11
2024-12-27,33.09,3446060,33.08,33.355,32.74
2024-12-26,33.33,3651262,33.1,33.51,33.0
2024-12-24,33.33,2414489,32.85,33.54,32.6101
2024-12-23,32.89,5357699,32.8,33.34,32.42
