date,close,volume,open,high,low
2025-03-13,54.09,3448769,53.92,54.4,53.62
2025-03-12,53.72,5081494,54.52,54.795,53.52
2025-03-11,55.14,4316665,56.69,56.97,55.0
2025-03-10,56.54,6307310,55.49,57.13,55.05
2025-03-07,55.22,6524643,53.73,55.535,53.53
2025-03-06,53.69,3471258,54.08,54.3497,53.27
2025-03-05,54.1,4346668,54.03,54.53,53.78
2025-03-04,54.33,8397801,56.92,57.25,53.7
2025-03-03,56.87,6791675,56.54,57.21,56.33
2025-02-28,56.62,7862334,56.4,56.79,55.8
2025-02-27,56.48,5773509,56.91,57.79,56.465
2025-02-26,57.11,4422351,57.27,57.65,56.88
2025-02-25,57.43,3867418,57.45,57.64,56.9573
2025-02-24,56.87,4323646,57.6,57.7,56.76
2025-02-21,57.43,5117705,56.25,57.54,56.0
2025-02-20,56.32,4128576,55.5,56.64,55.28
2025-02-19,55.67,4744768,55.71,55.86,55.335
2025-02-18,55.61,3512691,55.54,55.85,54.97
2025-02-14,55.59,3663900,56.92,56.99,55.45
2025-02-13,56.71,4995748,56.18,57.0,55.66
2025-02-12,55.93,5075979,55.29,56.37,54.56
2025-02-11,55.71,5604060,55.1,55.76,54.5
2025-02-10,55.31,4839232,54.5,55.34,54.4
2025-02-07,54.63,3067945,54.19,54.88,53.93
2025-02-06,54.38,3247842,54.25,54.445,53.9074
2025-02-05,54.1,6157436,54.6,54.76,53.83
2025-02-04,53.96,9350784,55.725,55.725,52.93
2025-02-03,56.32,3921717,55.19,56.685,54.9
2025-01-31,55.59,4289261,55.68,55.91,55.26
2025-01-30,55.81,3171313,55.63,55.995,55.38
2025-01-29,55.1,3611808,55.31,56.13,55.08
2025-01-28,55.31,4575996,55.56,56.13,54.975
2025-01-27,55.73,6517711,53.95,55.82,53.66
2025-01-24,53.48,4277469,53.0,53.72,52.9
2025-01-23,53.21,5134725,53.2,53.8699,52.88
2025-01-22,52.93,5963376,55.73,55.73,52.85
2025-01-21,55.91,5751857,55.61,56.58,55.24
2025-01-17,55.28,4655520,54.9,55.71,54.65
2025-01-16,55.06,4578089,53.53,55.13,53.5
2025-01-15,53.65,4547351,54.44,54.56,53.48
2025-01-14,53.69,4735840,53.57,53.93,53.295
2025-01-13,53.46,3972509,53.44,53.549,52.95
2025-01-10,53.39,4196478,54.46,54.94,53.22
2025-01-08,54.6,4430456,53.9,54.65,53.47
2025-01-07,54.03,3865349,53.8,54.46,53.71
2025-01-06,53.66,3748830,55.12,55.12,53.26
2025-01-03,54.73,3366676,54.77,54.95,54.5
2025-01-02,54.4,3683404,54.28,54.605,53.93
2024-12-31,53.86,2714940,54.01,54.26,53.345
2024-12-30,53.87,3202195,53.75,54.03,53.35
2024-12-27,53.93,2932353,53.36,54.1,53.33
2024-12-26,53.71,1835264,53.54,53.87,53.495
2024-12-24,53.77,1329385,53.32,53.82,53.24
2024-12-23,53.68,4063266,53.56,53.68,53.05
2024-12-20,53.66,8702811,53.005,53.82,52.946
2024-12-19,52.99,4216089,52.67,53.6,52.44
2024-12-18,52.63,5895918,53.51,53.9,52.6
2024-12-17,53.59,3513217,53.19,53.82,53.1
2024-12-16,53.53,3427111,54.08,54.29,53.51
2024-12-13,54.04,2985389,53.83,54.44,53.72
2024-12-12,53.83,6079943,54.45,54.5099,53.54
2024-12-11,54.27,4155426,55.06,55.21,54.0
2024-12-10,55.01,5099083,55.37,55.41,54.22
2024-12-09,55.59,6352622,56.05,56.26,55.43
