date,close,volume,open,high,low
2025-03-13,52.18,2096452,52.87,52.915,51.51
2025-03-12,53.33,1392832,54.36,54.845,53.27
2025-03-11,53.72,2799202,54.28,55.03,53.32
2025-03-10,54.71,3205772,54.82,55.88,53.98
2025-03-07,55.42,2975522,55.215,55.92,53.76
2025-03-06,54.67,2534517,56.1,56.8,54.47
2025-03-05,57.23,2627023,56.94,57.87,56.63
2025-03-04,57.07,2685765,59.24,59.24,56.87
2025-03-03,59.42,3235417,58.96,61.25,57.44
2025-02-28,61.99,2293883,61.7,62.01,60.82
2025-02-27,61.64,1734437,62.71,62.95,61.62
2025-02-26,62.6,1472706,63.09,64.49,62.38
2025-02-25,62.96,1602528,64.19,64.46,62.885
2025-02-24,64.43,1672690,64.89,64.99,63.17
2025-02-21,64.65,2006796,67.39,67.64,64.56
2025-02-20,67.28,1076228,68.36,68.79,66.99
2025-02-19,68.27,1543256,67.23,68.28,66.71
2025-02-18,67.68,1873140,66.43,67.72,66.4
2025-02-14,66.42,1344575,66.98,67.65,66.29
2025-02-13,66.68,1762481,65.1,66.68,64.53
2025-02-12,64.81,1707899,64.44,64.92,63.5
2025-02-11,65.25,1019350,65.2,65.76,64.8995
2025-02-10,65.76,1648543,65.82,66.75,65.06
2025-02-07,65.03,1522820,66.09,67.3,64.57
2025-02-06,65.67,2828958,66.98,67.19,64.72
2025-02-05,66.0,6239568,67.03,68.1,63.07
2025-02-04,71.74,2304931,71.1,72.28,70.8
2025-02-03,71.08,1765803,69.04,71.21,67.625
2025-01-31,70.74,1715110,71.08,72.14,70.36
2025-01-30,70.57,1151484,71.58,72.21,69.88
2025-01-29,71.4,1056541,73.9,74.03,71.39
2025-01-28,74.08,2073612,72.37,75.14,72.0
2025-01-27,72.35,2209640,70.26,74.25,70.245
2025-01-24,71.02,978401,70.0,71.42,69.8
2025-01-23,70.0,1356281,69.5,70.14,69.265
2025-01-22,69.9,1523606,69.56,70.17,69.0
2025-01-21,69.59,2383030,70.12,70.5,68.47
2025-01-17,69.62,1450938,71.27,71.27,69.52
2025-01-16,70.18,1541097,70.06,70.7,69.42
2025-01-15,70.23,2142637,71.33,72.27,69.99
2025-01-14,70.5,1380431,70.69,71.28,69.79
2025-01-13,70.42,985150,69.67,70.69,69.39
2025-01-10,70.29,1158029,69.0,70.52,68.82
2025-01-08,70.13,1701480,69.97,70.43,69.01
2025-01-07,71.23,900319,73.92,73.98,70.89
2025-01-06,73.74,1302833,72.97,74.66,72.735
2025-01-03,72.52,983589,71.95,72.72,71.425
2025-01-02,71.39,1233819,73.48,73.49,70.71
2024-12-31,72.64,616352,72.91,73.23,72.33
2024-12-30,72.49,623312,72.81,73.165,71.44
2024-12-27,73.72,835905,73.29,74.33,72.71
2024-12-26,74.15,695601,73.95,74.72,73.525
2024-12-24,74.23,435040,73.96,74.39,73.7
2024-12-23,73.99,717286,74.64,74.64,73.53
2024-12-20,74.84,3719187,73.52,75.8,73.52
2024-12-19,74.0,1912994,74.26,75.25,72.34
2024-12-18,73.59,1538579,77.31,77.52,73.28
2024-12-17,77.46,1297973,76.98,78.03,76.725
2024-12-16,77.39,1462341,77.12,78.06,76.92
2024-12-13,77.17,1284292,77.29,77.98,76.67
2024-12-12,77.53,822546,77.99,78.5,77.06
2024-12-11,78.29,820253,78.45,79.13,78.055
2024-12-10,77.95,1216608,79.0,79.33,77.41
2024-12-09,79.23,1235197,78.8,79.63,78.43
2024-12-06,78.56,1225134,77.96,79.18,77.585
2024-12-05,77.21,2301882,80.94,80.975,77.19
2024-12-04,80.71,1243895,81.01,81.93,80.49
2024-12-03,80.49,1076030,80.94,81.6099,79.68
2024-12-02,81.39,1308824,80.1,81.9,79.7
2024-11-29,79.99,798713,80.0,80.5,79.58
2024-11-27,79.87,1509923,79.76,80.23,78.39
2024-11-26,79.68,5322402,81.0,81.68,79.39
2024-11-25,81.8,2987458,80.93,82.69,80.21
2024-11-22,79.79,1101316,78.7,80.19,78.23
2024-11-21,78.7,1166092,76.11,78.73,76.075
2024-11-20,75.91,956636,74.63,76.29,73.94
2024-11-19,74.76,1042658,73.05,75.08,72.436
2024-11-18,74.65,1154270,74.64,75.13,74.09
2024-11-15,74.56,1342390,76.26,76.9301,74.49
2024-11-14,76.74,1355691,77.0,78.29,76.42
2024-11-13,77.17,2209070,79.23,79.885,76.84
