date,close,volume,open,high,low
2025-03-13,132.71,1214056,131.6,133.01,130.93
2025-03-12,131.36,993614,131.4,132.42,130.95
2025-03-11,132.03,1499213,132.29,132.83,131.11
2025-03-10,132.01,2422643,132.26,133.94,130.15
2025-03-07,131.68,2407953,130.88,132.55,130.57
2025-03-06,130.54,844970,132.01,132.01,129.69
2025-03-05,132.05,1703259,131.02,133.09,130.72
2025-03-04,131.94,1298326,135.99,136.28,131.63
2025-03-03,135.24,1082160,133.32,135.24,132.95
2025-02-28,133.7,1161945,133.07,134.11,131.72
2025-02-27,131.84,698014,131.82,133.0,131.19
2025-02-26,132.65,877364,132.87,133.4162,131.84
2025-02-25,133.39,993573,132.39,133.49,132.39
2025-02-24,132.38,782932,132.4,133.45,130.85
2025-02-21,131.99,1079846,130.76,132.8799,129.8
2025-02-20,131.18,1505954,129.61,131.84,128.27
2025-02-19,130.38,1038181,129.02,130.53,128.97
2025-02-18,129.55,1427597,129.8,130.36,128.57
2025-02-14,129.04,1891687,128.67,130.22,128.34
2025-02-13,127.81,2582930,123.71,128.74,123.475
2025-02-12,124.19,1340132,123.56,124.545,122.85
2025-02-11,124.89,924533,123.22,124.94,122.215
2025-02-10,123.71,1095279,122.64,123.815,122.12
2025-02-07,122.7,1177399,122.21,122.88,121.445
2025-02-06,122.56,1056701,122.78,123.0,121.58
2025-02-05,122.69,1253600,121.84,123.24,121.19
2025-02-04,120.65,848310,120.17,121.13,119.0
2025-02-03,120.9,1478739,119.06,121.4,118.2
2025-01-31,119.88,1394007,119.02,120.73,118.82
2025-01-30,119.33,1106231,118.88,119.73,118.25
2025-01-29,117.6,1262962,118.87,119.6729,117.56
2025-01-28,118.6,1214975,121.25,121.26,118.06
2025-01-27,121.73,1342873,120.4,122.13,118.11
2025-01-24,119.1,1107890,119.45,120.25,118.855
2025-01-23,119.51,2738795,120.82,121.25,116.3
2025-01-22,120.23,1103718,123.32,123.42,119.9
2025-01-21,123.89,1209348,124.31,125.602,123.44
2025-01-17,123.66,697185,122.75,124.0928,122.4
2025-01-16,122.99,903631,120.28,123.0,120.28
2025-01-15,120.61,843020,121.36,121.725,120.11
2025-01-14,119.43,823231,118.29,120.15,117.95
2025-01-13,118.22,710465,119.08,119.08,116.76
2025-01-10,119.02,1082780,120.14,120.8,118.36
2025-01-08,121.01,814858,119.57,121.09,118.95
2025-01-07,120.38,844652,119.74,121.425,119.695
2025-01-06,119.67,893390,121.57,121.605,119.46
2025-01-03,121.58,906111,121.24,122.3,120.75
2025-01-02,121.07,693198,122.83,122.83,120.65
2024-12-31,120.75,646040,120.61,121.43,120.02
2024-12-30,120.55,734971,121.0,121.0,119.43
2024-12-27,121.35,1075024,120.39,122.08,120.1
2024-12-26,121.09,533388,120.25,121.35,120.04
2024-12-24,120.76,309908,120.07,120.81,120.07
2024-12-23,120.25,899035,120.05,120.41,118.9219
2024-12-20,120.18,3036059,116.94,120.485,116.7
2024-12-19,118.11,1358486,116.92,119.28,116.65
2024-12-18,117.53,1410147,120.3,120.81,117.49
2024-12-17,120.7,1857226,120.82,122.94,120.23
2024-12-16,121.35,2428811,120.31,123.07,119.84
2024-12-13,121.28,1439497,120.87,121.93,120.43
2024-12-12,120.78,1302873,121.48,121.69,120.62
2024-12-11,121.0,1448200,121.93,122.28,120.8
2024-12-10,121.97,1381341,121.56,122.26,119.52
2024-12-09,121.8,1454335,121.39,122.25,121.15
2024-12-06,121.57,1382119,122.5,122.65,121.15
2024-12-05,122.42,1094874,122.33,123.17,122.075
2024-12-04,122.29,1047598,122.89,123.4,121.77
2024-12-03,122.98,1207399,125.31,125.435,122.91
2024-12-02,123.6,1095190,125.77,125.85,123.42
2024-11-29,125.78,608746,126.31,126.355,125.25
2024-11-27,126.08,1127702,125.98,127.53,125.88
2024-11-26,125.45,1148531,125.36,125.63,124.63
2024-11-25,125.18,1567863,125.01,125.6,124.69
2024-11-22,124.6,1178646,124.07,125.05,123.98
2024-11-21,123.98,1550615,122.39,124.09,121.85
2024-11-20,122.18,1575805,121.7,122.425,121.27
2024-11-19,121.68,2337986,120.13,121.76,119.89
2024-11-18,120.5,1552095,119.67,121.09,119.32
2024-11-15,120.09,3097978,119.12,120.34,118.945
2024-11-14,119.41,1625090,118.97,120.535,118.96
2024-11-13,118.62,1458680,120.75,120.82,117.895
2024-11-12,120.07,1578350,119.49,120.74,119.49
2024-11-11,119.73,1320996,117.79,119.92,117.77
2024-11-08,117.8,3021522,117.65,119.36,117.15
2024-11-07,117.04,3753828,122.15,123.17,115.59
2024-11-06,121.57,1570307,122.75,123.67,120.975
2024-11-05,123.43,749801,121.63,123.53,121.41
2024-11-04,121.63,911319,121.04,122.01,120.26
2024-11-01,121.29,992514,124.19,124.535,121.09
2024-10-31,124.22,900619,123.72,125.355,123.72
2024-10-30,124.14,1002939,124.78,125.0,123.5
2024-10-29,123.93,823408,125.89,125.89,123.77
2024-10-28,126.63,939654,127.48,127.64,126.51
2024-10-25,126.57,1276027,130.06,130.145,126.46
2024-10-24,129.77,1575114,130.0,131.665,129.18
2024-10-23,129.99,1389086,128.04,130.04,127.85
2024-10-22,128.23,747799,127.6,128.529,126.955
2024-10-21,127.96,892718,129.02,129.35,127.32
2024-10-18,128.9,776960,128.78,129.275,127.8685
2024-10-17,128.44,1137338,128.52,128.95,128.035
2024-10-16,128.47,780697,127.6,128.87,127.38
2024-10-15,127.39,1901473,126.43,128.06,126.4
2024-10-14,125.58,830766,124.92,125.94,124.75
2024-10-11,124.87,880721,124.13,125.21,123.92
2024-10-10,123.68,789387,124.75,125.53,123.59
2024-10-09,124.52,1871468,125.39,126.11,124.09
2024-10-08,125.48,844444,126.1,126.55,125.4
2024-10-07,125.29,962916,126.7,126.7,125.03
2024-10-04,126.98,721390,126.15,127.27,125.7
2024-10-03,127.55,868538,128.76,128.93,127.3
2024-10-02,128.7,763534,127.43,129.0,126.75
2024-10-01,128.7,780379,128.58,129.53,127.97
2024-09-30,128.41,1117743,128.0,128.48,126.72
2024-09-27,127.38,990768,126.21,127.89,126.04
2024-09-26,125.58,639368,125.26,126.5,125.05
2024-09-25,125.54,964788,126.13,126.13,124.2
2024-09-24,125.29,744237,125.59,127.01,124.995
2024-09-23,126.41,969439,125.45,126.77,124.76
2024-09-20,125.09,1834168,123.6,125.48,123.04
2024-09-19,123.53,2089801,123.78,124.27,122.88
2024-09-18,124.42,1301389,125.76,126.0417,122.84
2024-09-17,125.68,832373,126.18,126.71,125.19
2024-09-16,126.36,1018504,126.37,126.77,125.685
2024-09-13,125.95,806489,124.8,125.99,123.67
2024-09-12,124.49,933108,124.37,124.835,123.59
2024-09-11,124.38,1162443,125.28,125.28,123.21
2024-09-10,125.55,1278757,124.69,126.08,124.46
2024-09-09,124.62,1030729,123.15,124.95,122.58
2024-09-06,123.19,1709129,124.04,124.965,122.95
2024-09-05,123.66,2609848,127.31,127.31,122.73
2024-09-04,126.32,709546,126.08,127.59,125.33
2024-09-03,125.54,793815,125.0,126.58,124.79
2024-08-30,125.02,656194,124.78,125.18,123.89
2024-08-29,124.59,580526,124.4,124.63,123.22
2024-08-28,124.4,701771,124.26,125.335,124.015
2024-08-27,123.88,549307,124.5,125.005,123.2801
2024-08-26,124.67,442166,124.23,125.51,123.7
2024-08-23,123.82,489286,123.86,124.15,123.26
2024-08-22,123.34,757823,123.48,123.83,122.37
2024-08-21,123.32,579213,123.1,123.79,122.77
2024-08-20,122.93,580652,123.52,124.015,122.67
2024-08-19,123.27,744312,121.91,123.36,121.91
2024-08-16,121.89,2423752,122.44,122.94,121.44
2024-08-15,121.98,987658,121.23,122.19,120.765
2024-08-14,122.03,767569,120.95,122.79,120.5437
2024-08-13,121.3,743903,120.99,121.6,120.44
2024-08-12,120.6,639844,119.62,120.65,119.38
2024-08-09,119.91,634234,120.05,120.3,117.91
2024-08-08,119.89,804246,119.25,120.55,119.15
2024-08-07,120.1,1012215,119.45,121.37,118.78
2024-08-06,119.07,1430692,118.79,120.55,118.13
2024-08-05,118.79,1099791,124.27,124.42,118.65
2024-08-02,123.24,1256165,125.0,126.76,121.69
2024-08-01,123.38,1101916,121.07,123.54,120.47
2024-07-31,120.53,1046710,120.69,120.88,119.56
2024-07-30,120.63,807545,119.01,120.84,118.49
2024-07-29,119.11,882121,118.21,119.56,117.44
2024-07-26,118.19,1712734,119.32,119.32,117.0
2024-07-25,118.19,1063497,118.32,120.54,117.21
2024-07-24,117.91,954024,117.16,118.35,116.39
2024-07-23,115.9,647171,117.04,117.155,115.8
2024-07-22,117.21,760917,116.65,117.39,115.97
2024-07-19,116.09,671547,117.59,117.59,115.4811
2024-07-18,116.68,1018925,116.36,118.58,116.335
2024-07-17,117.34,1274864,115.16,118.53,114.77
2024-07-16,114.7,1118338,113.58,114.865,113.14
2024-07-15,113.13,1133643,113.84,114.83,112.65
2024-07-12,114.48,1039226,113.62,115.25,113.25
2024-07-11,113.18,1903969,109.87,113.5,109.73
2024-07-10,109.08,1025568,109.21,109.45,108.4
2024-07-09,108.67,968231,108.75,109.86,108.57
2024-07-08,109.01,972113,109.75,110.0,108.71
2024-07-05,109.77,937889,109.32,110.17,108.955
2024-07-03,109.24,350282,109.39,110.7,109.2
2024-07-02,109.4,727910,109.53,109.83,109.0
2024-07-01,109.12,890941,111.44,111.75,108.8
2024-06-28,111.01,1566147,111.7,111.72,110.43
2024-06-27,111.25,669367,110.55,111.42,110.14
2024-06-26,110.45,957156,109.37,110.81,108.95
2024-06-25,110.02,1208099,112.14,112.57,109.95
2024-06-24,112.8,839710,110.96,113.165,110.84
2024-06-21,110.91,1884679,111.63,112.45,110.76
2024-06-20,111.12,902048,110.6,111.84,110.13
2024-06-18,110.57,946019,110.4,110.79,109.57
2024-06-17,110.76,1178423,110.32,111.465,109.83
2024-06-14,112.14,766328,112.04,112.95,111.68
2024-06-13,112.54,1521202,112.51,113.2,111.4401
2024-06-12,112.63,999361,115.2,115.3,112.32
2024-06-11,113.74,1390330,111.69,113.8599,111.365
2024-06-10,112.64,1093642,112.2,113.4,111.84
2024-06-07,112.33,747980,112.15,113.15,112.075
2024-06-06,113.54,746041,114.06,114.89,113.43
2024-06-05,114.54,822482,115.95,116.28,114.39
2024-06-04,116.53,753733,115.92,116.86,115.14
2024-06-03,116.24,1034988,116.49,117.03,115.69
2024-05-31,116.53,1519679,113.17,116.61,112.63
2024-05-30,112.75,760390,111.52,112.81,111.48
2024-05-29,110.97,788790,112.29,112.36,110.92
2024-05-28,113.0,879108,112.85,114.05,112.842
2024-05-24,112.96,661319,112.4,113.0,111.78
2024-05-23,112.06,733842,114.21,114.48,112.02
2024-05-22,115.06,901100,116.41,117.0,114.81
2024-05-21,117.18,596884,116.67,117.445,116.21
2024-05-20,116.35,734936,117.0,117.3,115.88
2024-05-17,116.6,791493,116.94,116.94,116.16
2024-05-16,116.78,757813,116.01,117.17,115.86
2024-05-15,116.09,599125,116.0,116.63,115.685
2024-05-14,114.78,723586,115.89,115.93,114.17
2024-05-13,115.31,796186,115.57,116.41,115.09
