date,close,volume,open,high,low
2025-03-13,118.21,5370328,116.95,118.34,116.37
2025-03-12,116.64,4668383,116.72,117.3,115.65
2025-03-11,117.7,6297774,118.28,119.51,117.2
2025-03-10,118.5,5022388,116.95,119.26,116.91
2025-03-07,116.74,3479260,114.81,116.94,114.32
2025-03-06,114.84,3756140,115.5,115.68,113.805
2025-03-05,115.23,3491413,115.61,116.91,115.045
2025-03-04,116.41,3889014,119.27,119.68,116.37
2025-03-03,118.67,4264853,117.32,118.72,116.66
2025-02-28,117.49,5403409,117.1,117.98,115.8
2025-02-27,115.89,3239220,115.62,116.785,115.0035
2025-02-26,116.31,3021476,116.91,117.135,115.8
2025-02-25,117.29,3111973,116.42,117.705,116.0101
2025-02-24,115.92,2731462,115.9,116.97,114.79
2025-02-21,115.55,4424151,112.69,115.96,112.56
2025-02-20,113.16,3159643,111.51,113.26,111.04
2025-02-19,111.79,3860557,111.32,112.11,110.95
2025-02-18,110.89,4726621,111.5,112.23,110.51
2025-02-14,111.6,3581632,113.27,113.95,111.53
2025-02-13,113.95,5658505,115.3,115.66,112.88
2025-02-12,116.37,4149937,114.74,116.48,114.34
2025-02-11,116.69,2404801,115.42,116.81,113.98
2025-02-10,115.6,2606811,114.99,115.62,113.66
2025-02-07,114.99,3476873,114.18,115.695,113.92
2025-02-06,114.52,2593314,114.03,114.91,113.36
2025-02-05,113.86,4858590,113.14,114.21,112.45
2025-02-04,112.43,2087911,112.64,112.83,111.32
2025-02-03,113.2,4830239,111.98,113.46,111.2
2025-01-31,111.99,3538011,112.26,112.45,111.375
2025-01-30,112.26,2204828,112.02,112.4,110.81
2025-01-29,110.62,2744228,111.48,112.21,110.54
2025-01-28,111.31,3664805,112.38,112.7,111.28
2025-01-27,112.62,3585222,111.0,112.76,109.43
2025-01-24,109.86,2695309,108.85,110.25,108.7373
2025-01-23,109.34,2612827,109.3,109.735,108.675
2025-01-22,108.82,4276877,110.55,110.62,108.63
2025-01-21,110.77,3144239,110.0,111.35,109.3
2025-01-17,109.26,2928407,108.73,109.9,108.45
2025-01-16,109.06,2899141,106.1,109.08,105.9021
2025-01-15,106.45,3791797,108.1,108.1,106.35
2025-01-14,106.85,2866270,106.16,106.88,105.61
2025-01-13,106.14,2387914,106.47,106.56,105.2
2025-01-10,105.87,2998165,107.47,108.59,105.44
2025-01-08,108.23,3209462,106.56,108.445,106.49
2025-01-07,106.81,2976392,106.68,107.85,106.3
2025-01-06,106.37,4358676,107.35,107.4201,105.9
2025-01-03,107.78,2299376,108.07,108.67,107.65
2025-01-02,107.82,2865548,108.48,108.88,107.44
2024-12-31,107.74,2987454,107.88,108.12,107.18
2024-12-30,107.71,2217287,108.0,108.125,107.05
2024-12-27,108.34,2127272,107.6,109.0,107.5
