date,close,volume,open,high,low
2025-03-13,236.73,940556,235.93,237.45,233.92
2025-03-12,239.38,1425738,239.1,240.71,231.4
2025-03-11,239.45,1044194,250.26,250.77,239.32
2025-03-10,249.92,1653568,251.77,260.525,248.95
2025-03-07,254.69,1352904,245.6,255.05,245.58
2025-03-06,245.76,1031434,241.42,246.58,240.32
2025-03-05,244.92,827375,242.47,245.3,240.49
2025-03-04,243.13,1099229,244.21,246.77,241.355
2025-03-03,244.51,892113,245.22,247.27,242.56
2025-02-28,245.2,960629,242.31,245.37,240.31
2025-02-27,242.62,732050,243.27,246.26,241.53
2025-02-26,243.62,913361,245.9,247.27,242.83
2025-02-25,245.39,1569245,239.47,246.66,239.47
2025-02-24,239.87,1006750,238.94,242.1,236.155
2025-02-21,238.03,849913,240.44,240.7313,234.3228
2025-02-20,241.22,1258712,242.3,244.0175,239.7
2025-02-19,243.24,1202889,245.0,246.25,242.64
2025-02-18,246.67,902143,249.5,250.22,245.05
2025-02-14,249.5,943637,251.42,255.16,249.15
2025-02-13,250.87,1697496,255.3,257.25,249.92
2025-02-12,254.36,1250818,248.18,255.4,247.56
2025-02-11,253.0,796385,249.38,253.22,248.655
2025-02-10,252.9,1003631,250.59,254.28,245.77
2025-02-07,248.28,1520604,249.18,250.06,245.26
2025-02-06,247.48,4083791,254.83,260.05,245.6638
2025-02-05,270.23,1169311,268.64,270.865,266.74
2025-02-04,266.77,931522,265.35,269.41,263.37
2025-02-03,267.52,1359817,268.42,269.995,262.62
2025-01-31,274.78,760541,277.24,279.0797,274.12
2025-01-30,278.34,592178,274.74,279.73,274.74
2025-01-29,271.18,528417,273.15,274.98,270.69
2025-01-28,273.35,625977,272.3,277.75,270.69
2025-01-27,274.94,1337130,266.53,281.07,266.07
2025-01-24,268.82,592802,269.35,271.39,267.79
2025-01-23,268.88,663867,271.17,273.14,266.52
2025-01-22,271.88,1201862,272.3,274.09,270.9
2025-01-21,272.27,953076,265.5,273.1,265.14
2025-01-17,262.87,712062,266.85,267.6,262.63
2025-01-16,264.24,816560,263.53,266.98,262.23
2025-01-15,263.53,1233107,259.4,264.54,258.1
2025-01-14,252.34,867932,248.89,252.49,248.875
2025-01-13,247.56,1028336,243.12,247.66,242.9
2025-01-10,244.35,1206369,243.17,244.78,242.0
2025-01-08,248.11,853191,244.65,248.64,244.28
2025-01-07,245.5,1043661,248.68,249.62,244.46
2025-01-06,248.76,923314,253.82,255.66,248.62
2025-01-03,253.39,492236,251.09,254.185,249.52
2025-01-02,251.13,666942,256.59,257.42,250.28
2024-12-31,254.85,617429,256.63,258.091,254.06
2024-12-30,255.22,621300,254.85,256.55,250.32
2024-12-27,255.98,406585,256.37,259.0462,254.68
2024-12-26,258.8,432489,258.33,262.0,258.305
2024-12-24,261.27,208666,257.39,261.575,254.2
2024-12-23,258.49,480451,257.39,259.3,255.68
2024-12-20,258.43,1788059,254.9,262.94,254.5817
2024-12-19,253.66,1323491,256.54,259.63,251.795
2024-12-18,256.83,1839224,274.56,279.11,256.69
2024-12-17,273.67,1878384,271.91,277.48,271.1001
2024-12-16,273.5,1142960,267.19,273.9,266.74
2024-12-13,265.81,816277,265.3,266.01,261.5
2024-12-12,265.29,692210,261.66,268.74,261.06
2024-12-11,262.74,1084752,263.17,264.22,260.31
2024-12-10,260.55,933092,264.55,266.09,259.7
2024-12-09,264.86,1464873,265.97,267.62,263.119
2024-12-06,266.82,776420,263.22,267.6675,262.78
2024-12-05,260.78,663688,260.93,261.82,258.56
