date,close,volume,open,high,low
2025-03-13,349.59,430585,349.19,354.425,347.89
2025-03-12,347.75,414509,354.46,354.46,345.43
2025-03-11,354.19,489917,358.57,358.57,351.705
2025-03-10,357.2,568225,355.0,364.72,351.76
2025-03-07,363.76,359689,362.35,366.77,361.57
2025-03-06,363.54,424581,356.51,364.33,354.23
2025-03-05,358.64,580987,356.32,361.705,352.6946
2025-03-04,355.37,541818,355.74,361.94,353.67
2025-03-03,356.1,432587,355.73,358.06,352.39
2025-02-28,353.22,503690,349.52,353.69,348.5
2025-02-27,347.41,331017,344.78,349.68,344.78
2025-02-26,343.58,328781,343.07,346.58,342.37
2025-02-25,343.2,405992,341.89,346.314,341.89
2025-02-24,340.92,398710,338.7,342.31,338.495
2025-02-21,337.14,407838,338.63,341.3,335.12
2025-02-20,338.21,414201,335.71,339.155,334.08
2025-02-19,336.29,394868,337.49,338.44,331.06
2025-02-18,338.18,419004,334.1,339.19,333.46
2025-02-14,332.69,398901,335.15,335.4,331.62
2025-02-13,335.41,273601,332.31,335.86,330.3107
2025-02-12,331.58,372793,334.81,335.65,330.61
2025-02-11,335.63,468800,333.49,339.09,327.37
2025-02-10,333.47,447476,338.11,340.79,333.27
2025-02-07,338.03,560146,336.49,340.14,333.05
2025-02-06,336.3,400049,341.0,343.32,335.95
2025-02-05,339.82,653350,340.44,342.6302,335.34
2025-02-04,341.72,768679,340.9,351.34,336.495
2025-02-03,345.27,589213,344.29,348.0,341.0
2025-01-31,347.51,560271,347.55,352.0,345.86
2025-01-30,352.09,536847,348.66,357.23,348.66
2025-01-29,351.51,829700,362.54,365.735,351.35
2025-01-28,367.47,694404,369.27,372.0,361.25
2025-01-27,373.0,344990,368.17,373.23,367.66
2025-01-24,365.14,282884,363.88,368.0,363.88
2025-01-23,363.25,396343,364.11,366.6299,361.54
2025-01-22,363.71,321753,365.05,367.35,362.77
2025-01-21,364.33,408360,363.12,369.73,362.44
2025-01-17,362.17,370657,362.65,365.85,360.2265
2025-01-16,360.24,323604,358.52,363.08,358.01
2025-01-15,357.89,319416,363.23,363.23,355.95
2025-01-14,358.34,316821,350.0,358.8,349.15
2025-01-13,351.69,296574,353.55,356.6817,350.95
2025-01-10,353.52,612080,362.48,365.355,353.31
2025-01-08,368.43,354878,367.21,369.1845,361.5
2025-01-07,371.02,318533,363.0,373.05,362.75
2025-01-06,361.67,354447,365.0,370.58,361.05
2025-01-03,365.14,292635,365.0,365.7846,360.55
2025-01-02,363.33,321388,365.17,366.98,359.56
2024-12-31,362.46,274604,361.53,363.66,360.435
2024-12-30,359.68,206574,359.1,360.93,355.41
2024-12-27,359.95,191190,359.27,362.96,358.3438
2024-12-26,362.13,145980,361.87,363.51,360.12
2024-12-24,362.38,84496,359.3,362.38,357.8463
2024-12-23,359.35,301351,353.75,359.74,353.71
2024-12-20,356.64,772247,346.48,359.69,346.09
2024-12-19,349.36,410684,347.88,351.9821,347.75
2024-12-18,348.33,505348,355.24,359.44,348.12
2024-12-17,355.06,379833,354.62,356.13,352.405
2024-12-16,357.77,348637,365.1,365.1,356.99
2024-12-13,362.81,288939,365.49,365.49,361.96
2024-12-12,362.62,298390,365.43,367.63,361.44
2024-12-11,362.35,328272,362.88,363.048,359.02
2024-12-10,362.45,325210,367.04,367.34,357.42
2024-12-09,368.17,364239,369.68,375.25,367.64
2024-12-06,371.4,257828,373.88,374.99,368.68
2024-12-05,374.71,404466,380.26,380.26,374.57
2024-12-04,378.77,340822,386.05,386.05,377.86
2024-12-03,385.21,579064,384.1,388.48,381.5
2024-12-02,383.73,379630,388.19,388.19,382.77
2024-11-29,387.56,264896,389.31,391.98,387.29
2024-11-27,389.0,330936,386.98,392.11,386.535
2024-11-26,387.5,398032,386.72,390.61,383.925
2024-11-25,390.1,1768614,391.66,392.7775,387.16
2024-11-22,389.0,519602,386.38,390.92,386.38
2024-11-21,385.15,446049,379.54,388.2,375.8301
2024-11-20,376.87,418745,371.45,377.49,370.11
2024-11-19,370.44,320195,368.01,371.825,367.0
2024-11-18,373.33,234442,366.72,373.45,366.72
2024-11-15,371.33,355523,368.48,372.52,367.36
2024-11-14,366.5,350193,368.16,370.0,364.61
2024-11-13,370.68,340985,367.7,373.085,365.89
2024-11-12,368.71,398036,367.29,370.24,366.52
2024-11-11,369.42,525714,371.55,371.55,366.0301
2024-11-08,368.29,408387,370.27,370.27,366.21
2024-11-07,362.05,463898,370.0,370.0,361.21
2024-11-06,366.6,414763,372.31,372.31,358.99
2024-11-05,354.61,492627,347.75,354.81,347.38
2024-11-04,347.75,373103,351.0,352.74,346.785
2024-11-01,350.97,552538,353.68,357.12,350.112
