date,close,volume,open,high,low
2025-03-13,55.83,3505393,55.48,56.38,55.26
2025-03-12,55.48,2862160,56.38,56.6,54.74
2025-03-11,56.06,4606826,56.99,57.21,55.16
2025-03-10,56.99,5143641,56.575,58.17,56.1
2025-03-07,56.4,3749891,55.07,56.86,54.94
2025-03-06,55.08,2958890,54.7,55.31,53.81
2025-03-05,55.19,5457930,55.03,55.5,53.87
2025-03-04,54.82,3917856,55.43,56.1,54.58
2025-03-03,55.27,5295545,54.65,56.34,54.452
2025-02-28,54.44,12161950,51.7,55.39,51.5
2025-02-27,51.34,4440450,52.19,52.38,50.72
2025-02-26,52.61,5605908,52.32,52.81,51.78
2025-02-25,52.16,6782997,52.35,52.59,51.16
2025-02-24,52.23,5246419,52.75,52.75,51.37
2025-02-21,52.17,6204204,52.0,52.21,51.24
2025-02-20,51.9,3676589,52.38,52.675,51.475
2025-02-19,52.42,4284716,51.2,52.82,51.15
2025-02-18,51.3,5189900,50.41,51.4086,49.89
2025-02-14,50.06,4675755,50.7,52.14,50.04
2025-02-13,51.52,3783822,52.8,52.92,51.05
2025-02-12,52.68,5683874,50.25,52.835,50.08
2025-02-11,50.81,4593305,49.76,50.86,49.39
2025-02-10,50.17,6735939,49.94,50.48,49.06
2025-02-07,50.09,5562519,51.0,51.5,49.92
2025-02-06,51.15,5684862,52.75,52.93,50.98
2025-02-05,52.44,4372284,52.29,53.0653,51.63
2025-02-04,51.72,4422269,52.5,52.8899,51.58
2025-02-03,52.44,6874482,53.24,53.485,51.64
2025-01-31,54.0,12046990,54.48,55.67,53.26
2025-01-30,54.06,7986863,56.34,56.34,53.52
2025-01-29,55.8,4849856,56.21,56.34,55.58
2025-01-28,56.11,4838617,57.84,58.475,55.6
2025-01-27,57.74,8062243,57.13,58.85,56.34
2025-01-24,58.87,4892428,57.38,59.03,57.3
2025-01-23,57.28,6590579,58.37,59.29,56.975
2025-01-22,58.29,7132842,61.86,61.865,58.04
2025-01-21,62.23,5987442,62.34,62.81,61.2295
2025-01-17,62.7,5677248,60.97,63.97,60.69
2025-01-16,61.16,7409759,61.83,62.415,59.7
2025-01-15,61.3,10967450,61.75,63.9,60.68
2025-01-14,58.43,10563620,57.39,59.59,56.44
2025-01-13,57.27,17350680,64.2,64.34,55.27
2025-01-10,65.0,13048640,69.15,70.5,64.12
2025-01-08,69.5,12055000,75.76,75.76,66.7
2025-01-07,77.38,2143464,77.61,78.36,77.25
2025-01-06,78.44,2250502,79.8,79.9,78.31
2025-01-03,79.8,2118254,80.28,80.905,79.42
2025-01-02,80.01,1375958,80.76,81.02,79.65
2024-12-31,79.84,1553884,79.59,80.22,79.185
2024-12-30,79.68,2780687,79.59,79.89,78.68
