date,close,volume,open,high,low
2025-03-13,145.8,2641928,145.31,146.91,142.6
2025-03-12,146.55,2410995,144.47,148.36,143.25
2025-03-11,144.65,2319291,141.87,146.0,141.25
2025-03-10,140.58,3438433,139.75,141.94,137.09
2025-03-07,140.11,2814035,140.8,144.15,139.51
2025-03-06,139.9,3351736,141.13,142.44,138.9396
2025-03-05,142.7,3759226,143.42,143.76,139.57
2025-03-04,145.04,5029933,145.99,147.53,140.81
2025-03-03,148.0,3495001,159.96,160.44,147.7
2025-02-28,158.96,3361366,155.01,159.41,152.61
2025-02-27,155.59,3137217,155.62,156.98,151.74
2025-02-26,152.43,3302171,151.83,154.0,151.0
2025-02-25,151.92,4696081,157.21,161.47,151.69
2025-02-24,155.23,3883428,156.12,156.8,155.03
2025-02-21,156.12,3936423,160.89,161.48,155.59
2025-02-20,162.09,2352500,160.3,162.84,159.46
2025-02-19,160.26,2086288,158.83,162.39,158.52
2025-02-18,156.76,2500232,161.19,161.59,154.38
2025-02-14,156.99,3074005,156.88,160.58,153.26
2025-02-13,156.17,2256918,155.46,157.15,154.29
2025-02-12,155.46,2391444,161.19,161.31,155.14
2025-02-11,162.01,1722415,162.9,164.64,161.7
2025-02-10,161.66,1697545,159.69,161.75,159.325
2025-02-07,158.13,1974276,160.66,161.0,157.9
2025-02-06,160.03,2122271,166.24,166.405,158.99
2025-02-05,164.76,1985523,165.9,165.9,161.515
2025-02-04,166.3,1991656,163.84,167.59,160.57
2025-02-03,164.48,2217691,165.18,165.9815,161.59
2025-01-31,164.36,2917910,169.53,169.87,163.94
2025-01-30,170.41,1284486,172.32,173.015,169.44
2025-01-29,170.86,1316335,168.99,171.58,167.72
2025-01-28,169.25,1731472,171.45,173.46,167.16
2025-01-27,171.6,1773148,173.66,175.6899,170.21
2025-01-24,173.26,1940401,177.16,177.694,172.51
2025-01-23,176.63,1888683,179.08,180.29,175.832
2025-01-22,177.59,1608631,176.23,179.6484,174.97
2025-01-21,176.95,2151539,178.44,178.73,175.77
2025-01-17,180.18,1812047,180.36,180.9084,178.53
2025-01-16,179.12,1377846,178.62,180.17,177.65
2025-01-15,179.56,1669856,178.49,180.25,177.68
2025-01-14,177.68,1734373,177.0,178.8734,175.685
2025-01-13,177.61,3038513,176.07,180.09,175.71
2025-01-10,174.77,2725496,174.89,177.26,171.7
2025-01-08,170.99,1665969,171.55,173.0,169.47
2025-01-07,172.42,2127628,170.24,173.28,169.25
2025-01-06,169.64,2121355,171.775,175.08,168.82
2025-01-03,170.96,2016764,168.35,171.93,167.6801
2025-01-02,166.78,1788920,166.15,168.2234,165.2
2024-12-31,163.83,2491860,160.99,164.26,160.689
2024-12-30,160.98,2087054,158.51,161.9469,157.3601
2024-12-27,158.34,1723550,157.87,159.55,156.77
2024-12-26,158.03,1163773,158.28,159.59,156.7
2024-12-24,157.77,823239,157.43,158.1,155.2
2024-12-23,156.1,2107541,154.96,156.58,153.73
2024-12-20,154.94,7837444,152.16,156.22,152.0
2024-12-19,153.06,2963143,158.6,159.34,152.83
2024-12-18,156.08,2547221,161.02,161.74,155.97
2024-12-17,160.14,2714376,157.9,160.335,155.8
2024-12-16,158.93,2370846,162.66,162.66,158.51
2024-12-13,163.34,1718361,162.61,164.0413,161.0
2024-12-12,162.23,1627914,163.71,164.045,161.925
2024-12-11,163.9,2662901,164.36,164.8,162.54
2024-12-10,163.15,2299320,167.72,167.8873,162.58
2024-12-09,167.12,1775718,169.52,169.98,166.73
2024-12-06,166.83,3105123,171.85,171.9,164.81
2024-12-05,172.68,2157370,171.45,174.13,171.45
2024-12-04,170.99,2437858,176.0,176.32,168.69
2024-12-03,175.76,1804440,178.04,178.27,174.33
2024-12-02,175.83,1719419,177.77,178.28,173.93
2024-11-29,177.59,820286,176.2,178.41,176.01
2024-11-27,176.19,1490383,176.52,178.8,175.9
2024-11-26,175.97,2466844,179.73,180.55,175.13
2024-11-25,179.55,2957926,184.49,184.59,178.9214
2024-11-22,185.29,2188946,182.0,186.0738,181.5
2024-11-21,182.7,2140416,183.25,185.68,182.5
2024-11-20,181.46,1647790,180.04,182.58,180.0
2024-11-19,180.12,1632902,180.62,182.7499,179.09
2024-11-18,181.9,1967827,178.49,183.65,177.6
