date,close,volume,open,high,low
2025-03-13,257.42,709246,266.03,266.07,255.645
2025-03-12,266.06,537267,270.15,271.1114,265.87
2025-03-11,265.31,569236,265.8,269.87,263.555
2025-03-10,266.5,634401,270.55,270.855,263.34
2025-03-07,275.63,547677,275.62,278.03,268.75
2025-03-06,275.76,699555,278.76,280.11,273.045
2025-03-05,282.73,794458,279.91,283.19,276.0
2025-03-04,280.11,686082,280.9,283.815,273.14
2025-03-03,284.15,724798,295.46,298.54,282.16
2025-02-28,292.43,840598,291.23,292.765,285.21
2025-02-27,290.97,353741,296.74,297.26,290.31
2025-02-26,294.82,484839,293.18,298.01,292.61
2025-02-25,292.98,590442,292.67,293.64,287.64
2025-02-24,293.21,505786,296.05,296.255,290.005
2025-02-21,295.56,467946,305.51,305.51,294.78
2025-02-20,304.6,415897,308.88,308.88,301.34
2025-02-19,310.08,441436,306.99,310.2,304.88
2025-02-18,307.59,611101,310.18,312.9999,305.62
2025-02-14,310.18,435746,310.45,310.8599,308.02
2025-02-13,310.45,453746,311.78,312.7604,308.54
2025-02-12,310.6,789800,303.76,310.63,301.34
2025-02-11,308.39,513322,307.03,310.76,307.03
2025-02-10,308.35,441803,309.21,310.775,306.56
2025-02-07,306.6,520482,307.31,310.14,304.43
2025-02-06,307.44,618037,304.35,308.32,303.81
2025-02-05,303.32,477409,298.47,303.51,297.17
2025-02-04,299.78,806675,294.0,301.02,293.77
2025-02-03,295.19,867808,293.4,295.45,287.565
2025-01-31,297.26,681646,302.29,304.0,296.98
2025-01-30,301.48,919363,304.36,307.49,299.6578
2025-01-29,300.46,2423121,307.0,308.0,277.14
2025-01-28,269.72,1321576,263.47,270.03,262.11
2025-01-27,263.01,919156,266.19,268.32,258.06
2025-01-24,272.99,414346,272.21,274.64,270.997
2025-01-23,272.91,425655,271.27,273.09,269.5
2025-01-22,272.08,538173,268.45,272.5,268.45
2025-01-21,267.74,381949,264.25,267.96,264.25
2025-01-17,263.95,384594,267.48,267.74,263.54
2025-01-16,263.86,335151,263.0,266.06,262.395
2025-01-15,262.3,512996,262.15,263.795,260.16
2025-01-14,258.11,535602,255.83,260.24,255.16
2025-01-13,255.16,393519,252.09,255.75,250.63
2025-01-10,254.32,789944,256.07,257.22,253.9
2025-01-08,258.84,428597,255.88,259.89,254.865
2025-01-07,257.29,444861,259.7,261.59,255.865
2025-01-06,259.7,485307,254.36,260.77,254.36
2025-01-03,254.36,410978,252.11,255.15,251.74
2025-01-02,251.75,409403,252.0,255.38,249.6798
2024-12-31,251.47,280866,252.82,253.34,250.74
2024-12-30,252.48,254585,252.34,254.42,249.735
2024-12-27,255.63,212244,254.11,256.87,253.67
2024-12-26,257.12,204527,255.63,257.9,254.6961
2024-12-24,256.2,172640,253.99,257.04,253.9
2024-12-23,254.41,269677,251.75,254.81,250.88
2024-12-20,252.25,1233823,249.26,254.005,248.02
2024-12-19,250.41,481520,252.45,255.43,249.38
2024-12-18,252.0,428260,261.92,264.0,251.8
2024-12-17,259.8,508722,262.1,263.435,259.36
2024-12-16,263.36,501239,261.59,264.03,260.82
2024-12-13,261.81,564530,261.51,264.5,260.54
2024-12-12,261.57,587186,260.64,263.31,258.57
2024-12-11,260.07,918989,256.63,260.75,256.155
2024-12-10,255.6,654224,257.72,258.16,254.27
2024-12-09,257.92,510198,256.9,260.01,256.9
2024-12-06,257.14,649378,256.5,259.75,256.5
2024-12-05,257.05,478311,254.94,258.0,252.97
2024-12-04,254.13,358660,252.28,254.97,251.95
2024-12-03,251.13,385511,251.18,253.06,249.53
2024-12-02,252.14,479757,250.0,253.615,250.0
2024-11-29,250.35,294717,250.73,252.1875,249.95
2024-11-27,250.07,345362,251.9,252.3,248.09
2024-11-26,251.92,391757,248.2,252.16,247.26
2024-11-25,248.74,1351809,248.52,250.46,247.79
2024-11-22,246.98,346441,245.17,247.7,245.07
2024-11-21,244.29,318259,243.46,245.91,242.22
2024-11-20,242.02,314771,239.87,242.365,238.705
2024-11-19,239.67,451252,236.5,241.185,234.0
2024-11-18,239.99,399445,239.32,241.54,238.51
2024-11-15,238.36,491461,241.74,242.87,238.188
2024-11-14,242.05,517454,247.04,247.42,241.48
2024-11-13,246.86,660287,243.43,248.39,242.9235
2024-11-12,244.0,612972,241.86,244.17,241.86
2024-11-11,242.67,387052,242.12,243.875,241.05
2024-11-08,241.31,544002,241.88,244.315,240.875
2024-11-07,241.88,440692,239.04,241.92,239.04
2024-11-06,240.12,625974,237.5,241.62,235.59
2024-11-05,232.92,378822,230.61,233.36,230.61
2024-11-04,231.2,619589,230.32,233.49,229.5
2024-11-01,232.2,665447,233.79,234.55,231.13
2024-10-31,233.88,798323,238.4,241.96,233.37
2024-10-30,238.95,1110910,240.01,241.0,236.45
2024-10-29,240.33,3007580,242.03,250.46,236.85
2024-10-28,218.36,1357792,217.9,219.28,216.16
2024-10-25,216.87,726336,215.28,217.19,214.095
2024-10-24,213.57,519194,216.99,216.99,213.24
2024-10-23,215.41,336094,217.33,217.81,214.375
2024-10-22,217.06,391363,216.29,217.85,215.67
2024-10-21,217.95,457456,217.67,218.74,216.47
2024-10-18,217.48,579537,218.48,218.85,217.0
2024-10-17,217.0,681220,216.39,217.23,215.51
2024-10-16,215.86,484941,216.91,217.135,215.39
2024-10-15,217.0,608543,219.0,220.945,216.91
2024-10-14,219.43,599486,221.0,221.0,218.57
2024-10-11,222.62,423273,222.82,224.47,222.13
2024-10-10,221.99,376869,221.14,223.05,220.02
