date,close,volume,open,high,low
2025-03-13,94.7,1091988,96.87,97.665,94.58
2025-03-12,97.12,768182,98.11,98.9,96.78
2025-03-11,98.28,767498,100.02,100.57,97.51
2025-03-10,99.73,1013622,101.52,102.53,99.04
2025-03-07,101.31,630730,101.22,102.17,100.3456
2025-03-06,100.93,652189,102.72,102.855,100.84
2025-03-05,103.54,693224,102.4,104.01,101.805
2025-03-04,103.02,700345,105.5,106.11,102.97
2025-03-03,105.48,726849,105.19,106.4,104.68
2025-02-28,105.42,974424,105.06,105.68,103.93
2025-02-27,104.01,683878,104.82,105.35,103.65
2025-02-26,105.04,480828,105.82,106.485,104.8
2025-02-25,105.61,506911,105.45,106.58,105.44
2025-02-24,105.63,642367,104.62,106.01,104.2
2025-02-21,104.25,620881,104.7,105.01,103.65
2025-02-20,104.53,536019,104.5,105.14,103.88
2025-02-19,105.01,724560,104.14,105.75,104.14
2025-02-18,104.71,1427564,105.0,105.205,103.66
2025-02-14,105.03,1771959,111.5,111.5,104.74
2025-02-13,111.82,884326,110.5,111.82,110.19
2025-02-12,110.55,707051,109.52,110.65,109.03
2025-02-11,110.97,575367,108.99,110.97,108.99
2025-02-10,109.8,553228,111.0,111.32,109.45
2025-02-07,110.98,721178,110.85,111.545,110.19
2025-02-06,110.72,697307,110.65,110.93,109.3
2025-02-05,109.93,649543,109.34,110.11,108.08
2025-02-04,108.13,518868,107.32,108.4925,107.32
2025-02-03,108.23,631950,107.51,108.9,106.78
2025-01-31,108.63,2372142,108.2,109.594,108.05
2025-01-30,108.29,476269,108.4,109.13,107.29
2025-01-29,107.18,594946,108.98,109.24,106.995
2025-01-28,108.71,507381,109.44,110.99,108.48
2025-01-27,109.94,775637,107.59,110.13,107.5
2025-01-24,106.54,525401,105.04,106.64,104.54
2025-01-23,105.09,651703,104.55,105.29,103.27
2025-01-22,104.47,606346,105.61,106.14,104.09
2025-01-21,106.35,626893,105.57,106.71,105.47
2025-01-17,105.39,546382,105.63,106.18,105.145
2025-01-16,105.39,405386,104.17,105.42,103.8
2025-01-15,104.02,708902,106.25,106.35,103.53
2025-01-14,103.97,713747,103.3,104.0,102.49
2025-01-13,103.22,729629,101.65,103.34,101.33
2025-01-10,101.65,698299,102.9,103.57,101.5
2025-01-08,104.56,659416,104.91,105.33,103.63
2025-01-07,104.9,875819,106.73,107.18,104.39
2025-01-06,106.54,594317,109.03,109.655,106.45
2025-01-03,109.63,429168,109.24,110.32,108.855
