date,close,volume,open,high,low
2025-03-13,162.76,31756210,166.035,166.13,162.11
2025-03-12,167.11,28372400,166.58,167.6399,163.53
2025-03-11,164.04,39587410,164.91,166.75,161.37
2025-03-10,165.87,43604030,168.26,168.46,163.69
2025-03-07,173.86,27385810,171.26,174.97,170.27
2025-03-06,172.35,28301950,170.53,174.81,170.5
2025-03-05,173.02,30954920,170.52,173.78,169.06
2025-03-04,170.92,45388000,166.24,173.2946,165.8
2025-03-03,167.01,40770450,171.925,173.37,165.93
2025-02-28,170.28,48130570,168.68,170.61,166.77
2025-02-27,168.5,39991020,173.99,174.56,167.94
2025-02-26,172.73,35431270,175.07,176.08,171.5807
2025-02-25,175.42,41913410,178.04,178.74,174.6939
2025-02-24,179.25,29854210,181.99,183.12,178.885
2025-02-21,179.66,35199240,185.15,185.34,179.08
2025-02-20,184.56,20441460,184.8,185.31,182.72
2025-02-19,185.27,19549400,184.07,185.46,183.59
2025-02-18,183.77,29916680,185.6,185.96,181.7401
2025-02-14,185.23,20448440,185.055,186.4,184.32
2025-02-13,186.14,21402520,184.32,186.28,183.14
2025-02-12,183.61,22072560,183.22,185.11,181.83
2025-02-11,185.32,21239520,185.03,186.94,184.28
2025-02-10,186.47,23105650,187.35,188.2,185.86
2025-02-07,185.34,49314960,191.05,191.18,183.24
2025-02-06,191.6,29297440,189.5,192.1,188.72
2025-02-05,191.33,70461770,191.07,192.75,188.03
2025-02-04,206.38,43856430,203.39,207.05,202.81
2025-02-03,201.23,27838350,200.69,203.75,200.1
2025-01-31,204.02,32041950,202.0,205.48,201.8
2025-01-30,200.87,24354680,198.0,201.4,197.67
2025-01-29,195.41,18218260,195.555,196.785,193.43
2025-01-28,195.3,24157930,192.745,195.48,190.68
2025-01-27,191.81,41728890,192.41,196.88,190.73
2025-01-24,200.21,23877520,198.1,200.9,198.0
2025-01-23,197.98,26951360,198.14,200.3,195.2
2025-01-22,198.37,26200620,199.06,200.48,197.53
2025-01-21,198.05,29971290,199.07,202.29,197.87
2025-01-17,196.0,27735090,196.53,197.23,193.75
2025-01-16,192.91,17815430,194.14,195.48,192.81
2025-01-15,195.55,21775970,193.09,196.36,191.86
2025-01-14,189.66,17174850,191.24,191.98,188.3082
2025-01-13,191.01,21823700,190.07,191.18,187.36
2025-01-10,192.04,26665210,194.295,196.52,190.31
2025-01-08,193.95,24864770,192.57,196.29,192.38
2025-01-07,195.49,26487240,197.11,201.0,194.6
2025-01-06,196.87,29563640,193.98,198.2222,193.85
2025-01-03,191.79,18596160,191.37,193.21,189.975
2025-01-02,189.43,20370830,190.65,192.0,187.5
2024-12-31,189.3,17466920,191.075,191.96,188.51
2024-12-30,191.24,14264660,189.8,192.55,189.12
2024-12-27,192.76,18891360,194.95,195.32,190.65
2024-12-26,195.6,12057210,195.15,196.748,194.375
2024-12-24,196.11,10403260,194.84,196.11,193.78
2024-12-23,194.63,25675010,192.62,195.1,190.15
2024-12-20,191.41,63462930,185.78,192.89,185.22
2024-12-19,188.51,32265240,191.625,193.03,188.38
2024-12-18,188.4,34166070,195.22,197.0,187.74
2024-12-17,195.42,43504030,197.25,201.42,194.98
2024-12-16,196.66,44934900,192.87,199.0,192.62
2024-12-13,189.82,25143500,191.01,192.73,189.64
2024-12-12,191.96,34817490,195.0,195.18,191.71
2024-12-11,195.4,67894070,185.31,195.61,184.85
2024-12-10,185.17,54813020,182.845,186.36,181.05
2024-12-09,175.37,25389630,173.96,176.26,173.65
2024-12-06,174.71,21462390,172.03,175.08,171.86
2024-12-05,172.64,21356240,175.36,176.06,172.33
2024-12-04,174.37,31615140,171.145,174.91,171.06
2024-12-03,171.34,22248710,171.49,172.68,170.85
2024-12-02,171.49,23789080,168.765,172.075,168.57
2024-11-29,168.95,14257240,168.5,169.43,167.16
2024-11-27,169.23,19266510,169.0,169.4832,168.02
2024-11-26,169.12,20486720,167.63,169.82,167.58
2024-11-25,167.65,33135260,166.09,168.63,165.6072
2024-11-22,164.76,38604590,165.85,166.46,163.9
2024-11-21,167.63,59734380,173.9,174.13,163.7
2024-11-20,175.98,18997110,177.34,177.675,173.78
2024-11-19,178.12,23434930,173.72,178.87,173.56
