date,close,volume,open,high,low
2025-03-13,119.43,1430692,121.36,122.61,119.12
2025-03-12,121.33,1458302,122.5,122.5121,120.35
2025-03-11,123.58,2433568,128.08,128.08,123.57
2025-03-10,129.02,1761999,127.42,131.98,126.1665
2025-03-07,127.17,1428411,124.57,127.815,123.88
2025-03-06,125.93,1289907,120.93,126.355,120.57
2025-03-05,123.62,1528449,122.8,124.6,122.42
2025-03-04,122.87,1409844,123.01,124.69,122.46
2025-03-03,124.0,1813520,125.75,126.76,123.61
2025-02-28,124.88,1814394,123.63,125.04,123.63
2025-02-27,122.69,1182620,121.86,123.3,121.51
2025-02-26,122.1,2195293,123.35,123.61,121.13
2025-02-25,123.13,1229436,122.69,124.27,122.4157
2025-02-24,122.18,1150332,121.8,122.53,120.5049
2025-02-21,121.63,1466231,123.51,123.51,121.61
2025-02-20,123.27,1709125,122.71,123.825,121.71
2025-02-19,122.07,1754687,120.34,122.56,119.5
2025-02-18,121.65,3047335,124.38,124.38,118.61
2025-02-14,124.9,1974003,125.38,126.685,124.13
2025-02-13,124.68,1572232,123.1,124.8,122.46
2025-02-12,122.26,1229324,120.1,122.3,120.1
2025-02-11,121.7,2012058,117.36,122.01,117.36
2025-02-10,118.44,1462269,118.57,119.07,117.57
2025-02-07,117.74,1440932,117.99,119.6731,117.15
2025-02-06,118.04,1973128,119.09,120.2,117.16
2025-02-05,118.34,1519566,117.99,118.8,117.56
2025-02-04,117.52,1308253,115.34,118.24,115.34
2025-02-03,115.92,1258513,114.43,116.375,113.29
2025-01-31,116.25,2336551,117.43,118.23,115.78
2025-01-30,118.16,1573797,117.0,118.52,116.56
2025-01-29,116.34,1755925,117.13,117.61,115.83
2025-01-28,117.31,1438328,119.43,119.58,117.23
2025-01-27,120.14,1705155,117.96,120.28,117.96
2025-01-24,117.23,1311809,118.2,118.595,116.64
2025-01-23,118.32,1223612,118.51,118.88,117.08
2025-01-22,117.66,4289828,120.22,120.22,115.545
2025-01-21,120.07,1451185,118.52,120.4,118.06
2025-01-17,118.52,2448066,118.0,119.0737,116.59
2025-01-16,119.42,1625919,119.12,119.98,117.6
2025-01-15,117.38,1225041,118.71,119.16,116.98
2025-01-14,117.02,1208440,116.58,117.795,116.14
2025-01-13,116.51,1301485,115.95,117.43,115.1715
2025-01-10,115.91,1245009,115.23,116.715,114.8
2025-01-08,116.53,941106,116.01,116.73,114.89
2025-01-07,116.61,848221,118.25,119.24,116.33
2025-01-06,117.37,1076893,117.14,119.2,116.87
2025-01-03,116.86,1218074,116.31,117.2223,114.8503
2025-01-02,116.06,1041385,117.36,118.84,115.8716
2024-12-31,116.76,880039,116.11,117.46,116.08
2024-12-30,115.82,1295263,116.19,117.005,115.34
2024-12-27,116.96,846166,115.99,117.6499,115.6075
2024-12-26,116.55,884935,116.33,117.66,116.225
2024-12-24,117.29,346621,116.1,117.29,115.565
2024-12-23,116.18,1134086,114.85,117.5,114.37
2024-12-20,115.73,2689411,114.36,116.67,113.48
2024-12-19,114.62,1589268,115.64,117.2,114.54
2024-12-18,115.59,1281108,118.35,119.7,115.53
2024-12-17,118.49,1280263,117.97,119.65,117.435
2024-12-16,118.58,1376888,121.15,121.38,118.51
2024-12-13,121.22,936494,121.66,122.5,120.28
2024-12-12,121.78,937663,122.85,122.935,120.0201
2024-12-11,122.99,1473954,125.48,125.48,122.82
2024-12-10,125.4,928364,125.61,126.54,123.23
2024-12-09,125.92,1291155,124.2,127.58,124.1027
2024-12-06,123.42,931746,124.99,125.625,122.6702
2024-12-05,124.62,1144255,125.87,126.155,123.86
2024-12-04,125.89,796618,126.74,127.52,125.78
2024-12-03,127.37,923973,127.25,127.92,126.105
2024-12-02,127.53,3119753,127.59,128.54,126.55
2024-11-29,126.73,554476,126.52,127.68,126.33
2024-11-27,126.87,908029,128.0,128.73,126.59
2024-11-26,127.9,917520,128.65,129.025,127.34
2024-11-25,129.47,1648818,126.53,130.6,126.345
2024-11-22,124.8,953331,123.3,125.06,123.0
2024-11-21,122.69,973485,121.52,122.767,120.29
2024-11-20,120.76,1043354,121.67,121.67,119.75
2024-11-19,121.26,1053892,122.75,124.0,121.19
2024-11-18,124.19,905822,123.11,125.0,122.85
2024-11-15,122.62,1077356,124.46,124.95,122.38
2024-11-14,123.85,1430046,124.99,126.35,123.81
2024-11-13,123.68,1438688,122.39,124.475,122.095
2024-11-12,122.7,1535273,122.08,123.16,121.4
2024-11-11,122.36,957990,123.22,124.58,122.0171
2024-11-08,122.41,1220592,122.78,123.33,122.16
2024-11-07,123.04,1696267,123.19,124.79,122.38
2024-11-06,123.28,2574383,120.0,123.55,119.085
2024-11-05,116.6,1068269,116.03,116.69,115.255
2024-11-04,116.05,1216440,114.01,116.795,113.975
2024-11-01,113.61,1318782,114.86,115.5199,113.29
2024-10-31,114.7,2763124,116.0,116.97,114.08
2024-10-30,116.27,1532421,118.1,119.01,115.925
2024-10-29,117.28,2502178,117.19,118.52,116.575
2024-10-28,118.35,3932740,115.65,119.08,115.37
2024-10-25,114.24,2138120,113.0,114.9587,113.0
2024-10-24,113.11,2219367,114.42,115.86,112.925
2024-10-23,116.24,2768429,114.01,116.5,113.15
2024-10-22,113.11,6715564,120.44,122.5399,112.74
2024-10-21,143.12,990109,143.67,144.21,142.47
2024-10-18,143.17,852075,144.29,144.29,142.45
2024-10-17,143.63,750489,143.12,143.97,142.18
2024-10-16,143.16,879677,142.22,143.81,141.53
2024-10-15,140.41,1153892,139.46,142.245,139.46
2024-10-14,139.44,1025507,136.91,139.6,136.6686
2024-10-11,137.24,864529,133.68,137.735,133.68
2024-10-10,133.44,613233,133.76,134.57,133.01
2024-10-09,133.76,807673,134.14,134.97,133.12
2024-10-08,133.67,716893,134.0,134.3,132.76
2024-10-07,134.99,619793,136.03,136.57,134.8
2024-10-04,136.7,649623,137.46,138.31,136.28
2024-10-03,136.57,553422,137.85,138.025,136.31
2024-10-02,138.77,666305,138.74,139.675,137.8815
2024-10-01,139.65,764912,139.55,140.5077,138.01
2024-09-30,139.68,680735,141.34,141.34,138.91
2024-09-27,141.24,618195,142.34,143.58,141.03
2024-09-26,141.5,686403,139.2,141.63,138.7819
2024-09-25,138.52,888317,140.16,140.16,138.0401
2024-09-24,139.66,846492,137.4,139.9,137.06
2024-09-23,137.74,932233,137.13,137.93,136.11
2024-09-20,137.02,1358220,138.59,138.68,135.97
2024-09-19,139.14,528018,139.61,140.0,138.2
2024-09-18,138.09,489708,139.4,141.105,137.85
2024-09-17,137.33,529930,137.97,139.25,137.17
2024-09-16,137.35,756188,138.32,139.42,136.88
2024-09-13,137.35,874325,137.06,137.8533,136.13
2024-09-12,136.21,669310,135.06,136.24,133.21
2024-09-11,135.05,775857,135.0,135.29,132.3101
2024-09-10,135.76,726627,136.84,136.89,134.72
2024-09-09,136.61,824065,134.91,136.84,133.24
2024-09-06,134.3,932280,136.31,137.79,134.05
2024-09-05,137.34,1620458,141.38,141.885,135.01
