date,close,volume,open,high,low
2025-03-13,195.51,755108,191.57,198.14,191.57
2025-03-12,191.73,498965,194.37,195.85,188.01
2025-03-11,195.01,947106,196.9,196.9,190.35
2025-03-10,197.03,1039601,193.34,204.27,193.1535
2025-03-07,195.97,929276,191.91,197.8445,190.49
2025-03-06,193.93,1178310,191.91,195.42,187.39
2025-03-05,193.59,1782898,186.5,195.25,181.005
2025-03-04,172.3,921726,170.05,175.65,167.7
2025-03-03,172.68,1292393,178.63,178.96,170.86
2025-02-28,175.58,2520949,173.16,175.75,171.56
2025-02-27,174.28,769512,173.62,175.88,172.575
2025-02-26,173.19,727943,175.79,176.635,172.08
2025-02-25,175.48,1143101,169.0,175.91,168.83
2025-02-24,168.81,820663,171.67,172.73,168.76
2025-02-21,170.29,830205,177.53,178.29,170.2
2025-02-20,177.89,903787,174.34,179.89,173.78
2025-02-19,173.77,1099041,171.0,174.515,170.84
2025-02-18,169.71,1212357,165.0,171.46,164.685
2025-02-14,161.27,848384,161.98,163.385,159.41
2025-02-13,160.82,787525,165.0,165.73,160.69
2025-02-12,163.49,721344,166.22,167.92,162.86
2025-02-11,167.77,567283,167.5,168.21,165.5534
2025-02-10,168.27,801276,169.24,173.0,167.5
2025-02-07,168.49,1683147,162.02,169.96,161.955
2025-02-06,159.75,2389532,171.185,175.0,158.88
2025-02-05,195.58,645757,197.36,197.87,194.115
2025-02-04,195.76,395484,195.65,197.54,194.76
2025-02-03,196.56,549678,195.05,197.895,191.61
2025-01-31,197.26,388538,196.13,198.22,194.23
2025-01-30,195.5,469275,193.27,195.81,190.88
2025-01-29,192.89,559747,195.31,197.04,191.94
2025-01-28,195.77,495196,203.2,203.2,193.79
2025-01-27,202.99,414358,203.35,206.595,201.64
2025-01-24,202.72,337871,203.71,204.1963,201.84
2025-01-23,204.14,482253,206.33,207.17,199.87
2025-01-22,205.17,590085,207.51,207.675,204.8575
2025-01-21,208.61,549279,204.79,209.24,204.5
2025-01-17,202.55,640658,202.5,204.07,200.58
2025-01-16,201.02,411167,198.19,202.315,196.65
2025-01-15,198.7,346307,200.37,200.45,196.69
2025-01-14,197.43,429523,195.13,197.55,193.14
2025-01-13,195.14,464003,190.55,195.88,189.04
2025-01-10,190.02,370192,188.01,190.4,187.01
2025-01-08,189.66,342127,188.97,190.7495,186.25
2025-01-07,189.05,469816,187.87,191.1,187.335
2025-01-06,186.7,493023,189.29,190.306,186.3
2025-01-03,188.08,403664,187.86,188.94,187.2864
2025-01-02,187.61,328590,189.84,190.99,187.09
2024-12-31,188.97,342764,188.89,190.83,187.33
2024-12-30,188.41,366125,188.26,190.29,186.36
2024-12-27,190.42,332379,190.55,192.405,189.085
2024-12-26,191.83,359487,192.11,194.335,191.68
2024-12-24,192.46,142010,190.0,192.47,189.8
2024-12-23,190.41,606843,190.2,193.63,188.58
2024-12-20,190.45,2470381,191.13,197.94,190.38
2024-12-19,187.61,716325,194.43,195.49,187.39
2024-12-18,194.44,988413,196.0,206.115,194.23
2024-12-17,193.49,481165,196.45,197.9794,193.2
2024-12-16,198.27,752902,192.14,199.17,192.09
2024-12-13,192.14,523695,190.3,193.37,190.3
2024-12-12,190.85,511159,191.1,193.42,190.0
2024-12-11,191.52,696415,191.26,192.3356,187.75
2024-12-10,190.98,536063,193.08,193.415,188.53
2024-12-09,193.25,824583,187.9,194.08,187.875
2024-12-06,187.95,609017,190.0,191.34,187.76
2024-12-05,188.88,685162,193.23,193.73,188.6
2024-12-04,192.9,558708,191.51,194.8228,190.5
2024-12-03,191.87,471293,194.9,194.965,190.67
2024-12-02,194.84,537926,198.02,198.02,194.56
2024-11-29,197.92,271719,198.2,200.07,196.9
2024-11-27,199.37,595687,198.45,201.45,198.45
2024-11-26,197.98,573857,198.02,199.46,196.49
2024-11-25,198.88,939572,200.23,202.34,198.04
2024-11-22,198.95,659252,196.0,200.7655,195.46
2024-11-21,195.3,564260,191.9,195.6,190.0
2024-11-20,190.25,521753,191.74,192.335,189.07
2024-11-19,191.61,584093,196.5,196.935,191.41
2024-11-18,196.3,520319,194.0,197.0947,192.72
2024-11-15,193.56,493576,195.0,196.8228,192.2601
2024-11-14,195.33,541116,203.76,204.27,194.66
2024-11-13,204.0,420937,204.01,207.4799,202.16
2024-11-12,204.6,477649,207.41,208.19,203.9923
2024-11-11,206.63,505244,205.78,208.24,204.4144
2024-11-08,202.66,431717,199.03,203.276,199.03
2024-11-07,197.82,795820,203.27,204.415,196.79
2024-11-06,203.21,963187,206.0,209.5399,200.01
2024-11-05,193.24,624400,191.0,193.93,187.8871
2024-11-04,191.04,849912,189.2,193.15,188.29
2024-11-01,189.23,1492688,185.12,191.56,185.01
2024-10-31,184.96,2606175,215.0,217.275,184.29
2024-10-30,250.49,726906,255.74,258.12,250.12
2024-10-29,253.76,320192,254.91,258.12,253.25
2024-10-28,255.16,241006,254.2,256.035,253.215
2024-10-25,253.83,274148,257.24,258.4699,252.55
2024-10-24,254.7,172409,255.15,257.5631,254.05
2024-10-23,256.0,196077,257.0,257.27,253.07
2024-10-22,257.11,175678,260.69,260.69,255.5001
2024-10-21,261.24,185709,262.82,263.46,259.77
2024-10-18,261.53,205198,262.91,262.91,260.91
2024-10-17,261.87,170341,261.26,261.97,258.54
2024-10-16,260.66,246665,259.25,261.744,259.13
2024-10-15,259.33,302372,261.44,262.5405,256.15
2024-10-14,260.84,179711,259.75,261.88,257.96
2024-10-11,259.39,227832,253.04,259.595,253.04
2024-10-10,252.85,351587,249.13,253.74,247.2551
2024-10-09,258.08,167928,257.2,259.785,256.39
2024-10-08,257.91,267921,258.0,259.42,255.38
2024-10-07,256.38,184914,257.18,258.88,255.655
2024-10-04,258.3,247616,258.83,259.615,255.85
2024-10-03,257.45,275734,261.03,261.03,256.85
2024-10-02,261.52,238994,265.14,266.8,261.16
2024-10-01,264.65,349474,264.19,267.54,259.59
2024-09-30,264.38,245860,263.07,265.145,261.5
2024-09-27,263.07,233421,260.34,263.945,256.56
2024-09-26,260.36,398011,257.27,260.95,257.06
2024-09-25,257.02,390107,258.91,262.1,256.6
2024-09-24,257.32,563663,267.27,267.27,256.32
2024-09-23,268.13,272883,267.87,270.34,267.61
2024-09-20,267.51,2262430,267.99,270.07,266.44
2024-09-19,268.03,360184,272.0,272.37,267.8
2024-09-18,269.02,373209,267.97,270.62,264.97
2024-09-17,265.41,387415,262.69,268.26,262.39
2024-09-16,265.21,360675,264.68,267.6,262.1
2024-09-13,261.55,350595,259.05,262.02,257.0
2024-09-12,258.28,322173,257.55,259.83,255.715
2024-09-11,257.62,374600,261.02,261.395,253.52
2024-09-10,260.87,473277,268.55,268.65,259.867
2024-09-09,267.74,287430,269.57,270.78,267.48
2024-09-06,269.21,203945,271.46,276.22,268.27
2024-09-05,270.93,280608,274.59,274.59,269.46
2024-09-04,274.27,252414,275.0,276.98,272.86
2024-09-03,275.45,211011,282.34,282.955,274.46
2024-08-30,282.77,384026,281.73,284.48,279.235
2024-08-29,282.86,187574,282.12,285.425,278.721
2024-08-28,280.05,214766,277.24,280.575,277.24
2024-08-27,276.91,184470,276.76,278.7,274.6
2024-08-26,276.84,126403,275.81,277.985,274.1901
2024-08-23,274.51,157116,273.0,275.45,272.12
2024-08-22,272.11,177037,271.54,272.91,268.895
2024-08-21,271.44,226534,275.94,275.94,268.84
2024-08-20,275.23,305932,270.58,275.49,268.84
2024-08-19,270.9,185554,270.2,272.97,269.0239
2024-08-16,270.57,208497,269.91,271.49,268.175
2024-08-15,269.63,278203,268.56,271.07,265.75
2024-08-14,266.63,298607,262.58,268.14,262.48
2024-08-13,262.77,176926,265.0,265.8,260.52
2024-08-12,263.73,374719,259.86,265.32,258.11
2024-08-09,259.43,184993,257.11,261.15,257.11
2024-08-08,256.56,200888,253.89,259.23,253.89
2024-08-07,253.44,306806,257.47,259.225,253.26
2024-08-06,256.55,316017,256.63,260.67,255.865
2024-08-05,256.03,392733,258.64,260.98,252.7
2024-08-02,263.35,344827,265.72,268.96,260.71
2024-08-01,267.0,623637,283.2,285.81,260.7701
2024-07-31,279.98,301881,279.45,282.845,277.3
2024-07-30,279.76,307472,278.0,280.86,276.7
2024-07-29,277.36,309161,277.0,278.713,276.3
2024-07-26,276.03,297115,274.54,277.67,273.4
2024-07-25,273.95,316837,267.95,276.03,267.95
2024-07-24,265.3,329873,267.39,268.235,263.83
2024-07-23,266.69,282439,267.22,271.3995,266.5
2024-07-22,266.13,208692,264.19,266.21,262.86
2024-07-19,263.42,367539,268.66,268.66,262.78
2024-07-18,267.21,240699,266.63,271.2,266.63
2024-07-17,267.14,266853,268.15,268.83,266.19
2024-07-16,267.46,449931,256.27,269.045,256.27
2024-07-15,255.52,270402,251.88,257.64,251.18
2024-07-12,250.94,228674,254.12,254.12,250.84
2024-07-11,251.7,195098,247.44,252.18,247.44
2024-07-10,246.68,194140,242.56,246.95,242.415
2024-07-09,241.93,333581,243.07,243.7174,241.01
2024-07-08,243.0,201282,243.73,246.36,242.99
2024-07-05,243.07,309171,245.79,245.79,241.84
2024-07-03,246.12,118178,247.19,249.0399,246.12
2024-07-02,247.48,192475,246.19,248.788,244.5135
2024-07-01,246.79,170903,247.96,249.105,245.71
2024-06-28,246.33,367528,249.01,250.49,245.49
2024-06-27,247.92,387042,250.45,250.82,247.46
2024-06-26,249.56,209266,250.97,251.98,248.795
2024-06-25,251.52,248830,250.96,252.0,248.91
2024-06-24,251.2,338365,249.57,253.44,248.72
2024-06-21,248.91,877730,247.43,249.67,244.195
2024-06-20,247.36,306412,244.94,248.53,243.71
