date,close,volume,open,high,low
2025-03-13,206.69,3530967,205.66,207.9,205.11
2025-03-12,206.35,3812680,207.09,207.79,204.73
2025-03-11,208.59,5243484,213.49,213.75,206.92
2025-03-10,213.82,4177089,214.29,218.4742,213.58
2025-03-07,214.52,5682735,211.25,215.36,210.79
2025-03-06,211.26,5042728,208.94,211.74,207.9048
2025-03-05,209.62,5295803,208.0,210.43,206.79
2025-03-04,208.0,6961807,211.7,212.53,207.83
2025-03-03,212.02,5333469,213.72,216.055,211.03
2025-02-28,212.89,3976646,212.99,213.77,210.59
2025-02-27,212.27,2755384,211.79,214.885,211.62
2025-02-26,211.33,3126930,210.83,212.71,209.7526
2025-02-25,212.0,3798426,211.15,213.82,211.02
2025-02-24,209.91,6742157,211.76,215.19,209.72
2025-02-21,211.94,6222122,211.16,212.5,209.4
2025-02-20,211.35,3635989,209.59,211.5,208.87
2025-02-19,210.81,5064594,207.93,211.7,207.92
2025-02-18,208.04,4897883,204.415,208.39,202.78
2025-02-14,202.75,5351415,204.82,205.14,201.54
2025-02-13,205.27,3382403,206.51,207.3,204.61
2025-02-12,205.01,3413222,205.585,206.29,204.25
2025-02-11,206.94,3077514,206.57,209.34,205.78
2025-02-10,208.52,6628210,206.55,209.155,205.08
2025-02-07,205.52,6696581,212.0,213.4,205.375
2025-02-06,209.82,12185280,215.0,215.24,206.18
2025-02-05,222.35,4596931,223.55,224.205,219.25
2025-02-04,223.55,3442900,224.57,225.7,223.11
2025-02-03,222.41,3220569,222.5,223.3,219.6633
2025-01-31,223.72,2481816,222.85,225.95,222.545
2025-01-30,224.06,1813433,222.05,224.7,221.58
2025-01-29,221.05,1916268,220.95,222.8,220.65
2025-01-28,220.7,3599491,224.72,224.72,220.17
2025-01-27,225.71,3111027,220.25,225.87,220.1
2025-01-24,221.51,6332908,225.0,227.15,221.28
2025-01-23,225.66,3036822,223.45,226.07,222.75
2025-01-22,223.09,2972518,224.0,224.54,222.64
2025-01-21,225.07,4656600,223.37,227.73,223.1901
2025-01-17,222.58,3349234,226.84,226.87,222.29
2025-01-16,222.69,4611744,220.0,224.53,219.9238
2025-01-15,219.54,4647771,219.78,220.53,216.19
2025-01-14,218.5,4021811,220.34,220.51,214.6
2025-01-13,219.1,5392319,217.67,228.97,217.42
2025-01-10,218.19,3585164,219.97,220.0,216.28
2025-01-08,220.17,3120530,220.09,221.38,219.2
2025-01-07,220.63,3016422,221.5,223.08,219.9065
2025-01-06,221.74,3829308,224.68,226.92,221.36
2025-01-03,226.52,2637525,225.98,227.42,225.86
2025-01-02,225.52,2089908,227.07,227.99,224.65
2024-12-31,225.89,1936889,227.15,227.545,225.6
2024-12-30,226.6,2371579,227.15,227.43,225.4
2024-12-27,229.51,3053908,231.0,231.56,228.8
2024-12-26,231.86,3072184,228.78,232.01,228.42
2024-12-24,228.9,1873589,226.65,229.28,225.65
2024-12-23,227.14,3467872,227.77,228.25,225.95
2024-12-20,228.32,6833319,225.16,229.75,224.62
2024-12-19,226.88,4871103,228.62,233.5,226.3
2024-12-18,226.86,6428865,233.7,234.7,226.41
2024-12-17,233.13,5382412,238.16,238.31,231.64
2024-12-16,236.0,8197292,232.46,237.9432,230.15
2024-12-13,227.62,2432344,225.94,229.09,225.87
2024-12-12,227.69,2715885,227.75,229.94,227.34
2024-12-11,229.06,4382520,231.89,234.0,227.86
2024-12-10,229.08,3547932,225.16,229.54,224.58
2024-12-09,225.09,2542823,226.64,227.735,224.94
2024-12-06,226.38,3180066,227.29,227.96,225.71
2024-12-05,226.29,5183727,229.95,230.14,225.5101
2024-12-04,229.79,2654773,227.395,230.14,226.79
2024-12-03,226.96,4023330,228.14,229.2,223.16
2024-12-02,229.95,3225380,233.19,233.7128,229.81
2024-11-29,232.93,1917465,229.41,233.27,229.41
2024-11-27,229.64,2870048,232.18,232.96,229.47
2024-11-26,230.4,4203200,231.8,232.5,229.85
2024-11-25,230.6,3837698,231.12,231.99,229.7
2024-11-22,229.11,3834380,227.75,230.12,227.1201
2024-11-21,226.09,5630844,228.0,228.87,224.82
2024-11-20,226.67,4633042,227.24,228.89,225.41
2024-11-19,228.2,3696895,227.33,228.91,226.27
2024-11-18,228.85,3446209,229.48,230.07,228.27
2024-11-15,228.99,3707893,229.0,231.2,228.39
2024-11-14,230.67,3837299,232.99,234.57,230.285
2024-11-13,233.07,5531218,235.0,236.53,232.18
2024-11-12,233.91,11088660,239.36,242.77,229.58
2024-11-11,225.24,7298570,219.2,225.32,219.2
2024-11-08,219.49,5694771,217.45,219.71,216.5101
2024-11-07,217.5,5373275,216.95,218.35,215.42
2024-11-06,216.4,6152479,212.06,216.89,209.09
2024-11-05,208.78,7377556,208.2,211.84,206.62
2024-11-04,207.54,4030035,208.83,208.83,206.42
2024-11-01,209.19,4484366,206.29,209.53,205.78
2024-10-31,205.68,4654890,204.65,206.15,203.385
2024-10-30,204.2,5354151,204.45,206.63,203.09
2024-10-29,205.98,6070779,205.03,207.6,203.03
2024-10-28,206.1,6094811,208.06,208.7145,204.91
2024-10-25,208.0,6088157,209.1,210.36,206.64
2024-10-24,209.1,8700221,214.37,216.2,208.9
2024-10-23,220.34,6183773,221.54,222.62,219.1688
2024-10-22,222.35,4011812,220.55,222.84,219.755
2024-10-21,221.5,3690081,221.97,222.98,220.09
2024-10-18,222.02,4033830,217.72,222.07,217.72
2024-10-17,219.55,3135029,219.0,220.08,218.3529
2024-10-16,218.96,2596527,217.07,219.61,216.56
2024-10-15,217.27,3948448,218.0,219.22,216.48
2024-10-14,217.6,1849911,216.24,217.72,215.2601
2024-10-11,215.99,3809522,215.18,216.57,213.73
2024-10-10,213.6,4957712,211.5,213.67,211.1205
2024-10-09,213.7,5082641,207.02,214.03,206.9
2024-10-08,207.0,4132402,208.69,209.68,203.79
2024-10-07,203.33,1801376,202.208,204.33,201.72
2024-10-04,203.78,1643484,204.57,205.08,201.64
2024-10-03,202.88,2047574,202.5,203.57,201.6
2024-10-02,203.88,1841857,205.57,206.05,203.66
2024-10-01,206.07,2300363,206.43,208.0,204.83
2024-09-30,206.71,2624435,208.1,208.795,204.23
2024-09-27,207.63,2454314,207.5,210.8508,207.13
2024-09-26,207.03,1597994,207.72,208.5,206.5589
2024-09-25,206.78,2858263,206.2,207.76,205.26
2024-09-24,205.27,2581852,203.77,206.0,202.69
2024-09-23,203.77,2263834,204.01,204.05,202.6124
2024-09-20,203.35,3829991,203.79,203.79,201.96
2024-09-19,203.7,2695351,204.162,205.5399,202.18
2024-09-18,201.64,2391512,204.24,204.7199,200.59
2024-09-17,204.24,1441683,205.0,205.74,203.55
