date,close,volume,open,high,low
2025-03-13,251.73,1074953,247.99,252.92,245.0
2025-03-12,249.11,1150879,250.23,252.86,247.0
2025-03-11,250.2,1387815,252.16,255.14,247.891
2025-03-10,251.25,2108547,258.51,263.6699,249.02
2025-03-07,259.76,1553129,262.42,268.5,259.13
2025-03-06,265.76,1434814,261.6,267.345,260.005
2025-03-05,262.12,1033835,262.58,264.84,259.1
2025-03-04,262.78,1316985,260.51,266.44,259.39
2025-03-03,261.54,1561165,270.72,272.78,260.9
2025-02-28,270.42,2250687,260.39,271.28,260.39
2025-02-27,261.44,1448495,259.04,263.19,256.785
2025-02-26,255.07,1490924,257.66,259.05,252.25
2025-02-25,259.27,1770962,254.93,259.725,248.8
2025-02-24,255.0,1721542,258.03,259.88,253.85
2025-02-21,255.91,2863161,258.0,264.0,253.15
2025-02-20,271.3,1037837,263.34,272.13,262.0805
2025-02-19,265.52,1233336,256.55,265.92,255.118
2025-02-18,257.24,1418988,252.91,259.17,251.085
2025-02-14,253.83,2386589,254.0,258.31,249.88
2025-02-13,252.88,1734988,261.99,263.25,251.98
2025-02-12,260.03,2649884,259.4,268.355,258.47
2025-02-11,257.34,4535180,273.63,273.63,242.75
2025-02-10,266.8,3030543,272.74,272.74,259.07
2025-02-07,274.33,985014,279.58,281.54,273.21
2025-02-06,279.58,1523485,289.24,291.65,277.34
2025-02-05,290.53,1102586,294.9,295.35,286.47
2025-02-04,295.53,1577055,290.07,297.555,286.24
2025-02-03,293.0,1555873,291.23,295.61,289.96
2025-01-31,293.23,1250795,296.0,297.0,292.71
2025-01-30,296.91,1196022,292.85,298.01,288.7123
2025-01-29,294.23,1252852,302.34,304.87,292.1
2025-01-28,303.11,1134420,296.7,303.96,296.5
2025-01-27,297.76,2177884,298.15,303.65,296.75
2025-01-24,294.63,1216051,291.6,298.5,289.82
2025-01-23,293.8,5077615,289.66,307.28,282.16
2025-01-22,284.92,908380,281.13,285.87,278.29
2025-01-21,284.67,958727,283.15,284.95,280.36
2025-01-17,282.63,1835540,275.4,287.06,270.8625
2025-01-16,275.8,1600290,275.01,279.32,268.44
2025-01-15,279.49,1204698,280.75,284.3699,279.27
2025-01-14,282.63,1092777,283.51,288.3,281.2
2025-01-13,287.36,1989194,281.85,290.67,278.95
2025-01-10,269.04,1660791,268.0,275.5,267.12
2025-01-08,268.13,892297,266.62,268.91,260.45
2025-01-07,267.21,976848,265.85,271.46,265.03
2025-01-06,264.29,1736896,263.89,271.36,263.175
2025-01-03,262.47,1373935,253.49,265.815,251.6953
2025-01-02,252.65,878531,256.955,259.0892,252.0
2024-12-31,253.71,873888,253.87,258.57,251.29
2024-12-30,254.26,951197,253.6,256.35,250.4976
2024-12-27,255.64,1050064,254.0,257.37,253.0
2024-12-26,256.14,846910,254.44,258.3699,253.5897
2024-12-24,255.52,483239,254.3,256.65,252.479
2024-12-23,255.74,2089754,247.27,256.5,244.51
2024-12-20,247.1,4223637,235.34,252.54,234.66
2024-12-19,235.78,2424575,237.925,240.0,231.65
2024-12-18,239.85,2677863,237.18,242.4,235.5001
2024-12-17,233.89,5641336,258.41,260.208,233.0
2024-12-16,260.46,3129628,271.75,276.116,257.39
2024-12-13,274.12,1383466,271.79,274.22,269.13
2024-12-12,272.78,1666300,278.0,279.91,272.74
2024-12-11,278.2,1812835,283.21,288.16,275.625
2024-12-10,285.82,1131446,287.01,290.75,284.78
2024-12-09,286.24,1125594,282.31,288.99,281.87
2024-12-06,281.73,1751061,284.6,284.6,274.53
2024-12-05,283.06,1081313,288.44,288.44,281.91
2024-12-04,288.08,1269710,289.75,291.13,283.26
2024-12-03,291.13,1046060,290.97,294.91,286.8241
2024-12-02,293.13,1261279,296.0,297.035,291.6801
2024-11-29,296.38,533889,294.92,298.92,294.845
2024-11-27,296.68,995819,296.67,299.19,294.96
2024-11-26,295.59,1555989,304.0,304.0,294.47
2024-11-25,304.18,2656941,312.0,313.0,303.63
2024-11-22,298.11,1450563,296.0,303.03,295.41
2024-11-21,295.71,1214847,293.21,296.52,291.63
2024-11-20,293.97,2286853,283.23,295.72,282.5
2024-11-19,277.78,1447478,270.1,278.37,268.41
