date,close,volume,open,high,low
2025-03-13,245.8,3862416,248.8,249.27,243.04
2025-03-12,249.63,3849206,250.35,253.1273,245.53
2025-03-11,248.95,5630570,255.99,256.7,245.86
2025-03-10,256.9,8165503,261.56,266.45,254.7474
2025-03-07,261.54,6700184,245.95,261.96,245.1823
2025-03-06,248.69,3254358,249.75,252.1,246.8019
2025-03-05,251.35,4009813,251.58,252.74,247.0146
2025-03-04,253.21,5342106,248.75,255.48,248.1
2025-03-03,250.19,2977699,254.735,255.99,248.245
2025-02-28,252.44,7988809,250.855,252.8099,246.54
2025-02-27,253.23,3402234,255.22,257.63,253.05
2025-02-26,255.84,3460124,258.1,258.325,254.4104
2025-02-25,257.75,6292487,261.08,263.48,256.77
2025-02-24,261.87,4398107,261.5,263.845,259.58
2025-02-21,261.48,5667874,263.845,264.83,261.1
2025-02-20,264.74,4884805,263.65,265.09,262.15
2025-02-19,264.32,3718678,262.0,264.36,260.09
2025-02-18,263.07,4262812,261.93,263.965,259.83
2025-02-14,261.28,3925277,259.0,261.94,257.91
2025-02-13,259.19,4531538,255.66,259.28,254.41
2025-02-12,255.81,3075308,252.72,256.4,252.02
2025-02-11,254.7,4801550,251.1,256.75,250.58
2025-02-10,249.27,3564400,250.86,251.95,246.87
2025-02-07,252.34,3370284,255.28,256.93,252.02
2025-02-06,253.44,6128293,262.98,263.38,252.73
2025-02-05,263.3,6165096,265.71,265.72,261.18
2025-02-04,264.46,6077652,260.0,265.25,258.1233
2025-02-03,260.73,8408523,252.4,262.06,251.84
2025-01-31,255.7,7203519,256.05,257.235,251.89
2025-01-30,258.27,15381890,250.0,261.8,247.01
2025-01-29,228.63,7079804,225.62,229.47,223.73
2025-01-28,225.66,4485429,224.32,225.77,221.77
2025-01-27,224.13,4898355,222.19,224.3,219.84
2025-01-24,224.8,3233293,225.27,226.8104,223.8
2025-01-23,226.04,3619651,223.94,226.04,223.15
2025-01-22,223.26,4759490,221.98,224.4,220.35
2025-01-21,224.26,3982203,224.99,227.45,222.8302
2025-01-17,224.79,5506837,225.955,225.955,223.64
2025-01-16,222.66,3329060,219.69,222.68,217.38
2025-01-15,220.03,2951825,220.87,221.6761,218.01
2025-01-14,217.75,3485829,218.0,218.125,214.61
2025-01-13,217.4,3716816,217.89,219.59,214.75
2025-01-10,219.75,3570497,222.0,222.43,216.8
2025-01-08,223.18,2619768,223.91,224.9,220.83
2025-01-07,223.96,3299701,223.35,226.711,222.83
