date,close,volume,open,high,low
2025-03-13,406.29,723599,411.17,422.72,404.6
2025-03-12,412.4,838862,426.655,428.805,412.21
2025-03-11,426.69,880096,439.81,439.87,426.51
2025-03-10,436.48,996352,430.0,447.44,430.0
2025-03-07,430.12,654250,429.03,434.39,420.84
2025-03-06,429.03,661721,433.34,439.41,427.54
2025-03-05,437.23,892867,438.0,447.41,429.265
2025-03-04,441.61,1063508,439.45,448.69,436.4
2025-03-03,437.15,691041,438.81,443.56,434.445
2025-02-28,437.11,1055328,442.01,442.6,423.82
2025-02-27,441.03,705632,457.33,460.085,440.58
2025-02-26,457.81,583264,455.77,465.04,455.69
2025-02-25,459.86,836522,464.61,467.015,451.9
2025-02-24,463.66,836986,453.95,465.18,452.19
2025-02-21,452.77,773208,454.41,460.38,452.46
2025-02-20,452.86,615712,451.62,457.7,450.39
2025-02-19,450.99,578706,448.0,452.4,444.5
2025-02-18,449.06,632108,444.72,452.84,440.99
2025-02-14,444.53,553759,463.63,463.63,444.37
2025-02-13,459.76,601108,458.18,462.92,452.0
2025-02-12,457.35,634043,458.7,460.36,451.89
2025-02-11,463.74,516844,460.65,467.69,460.28
2025-02-10,464.91,829940,460.68,466.53,458.86
2025-02-07,459.78,624585,465.0,468.8,457.347
2025-02-06,460.56,646327,468.67,469.99,458.82
2025-02-05,468.55,749228,469.24,471.815,457.23
2025-02-04,465.03,824573,464.47,466.2604,458.79
2025-02-03,469.04,1509041,465.0,474.665,445.0
2025-01-31,422.05,912354,424.6,427.07,420.43
2025-01-30,423.99,518647,424.29,431.38,420.86
2025-01-29,418.75,876429,417.95,422.165,405.84
2025-01-28,417.86,1333802,427.33,427.33,414.66
2025-01-27,427.52,1876371,435.07,437.615,419.66
2025-01-24,435.33,638016,429.62,436.5799,429.08
2025-01-23,432.34,403903,429.49,434.56,426.11
2025-01-22,430.59,531985,425.79,437.2731,423.65
2025-01-21,427.33,761771,423.44,430.065,421.4577
2025-01-17,419.26,798783,429.3,432.95,418.66
2025-01-16,428.62,365632,422.71,429.49,416.33
2025-01-15,422.92,587288,424.82,431.54,422.36
2025-01-14,418.63,388026,422.49,423.11,413.18
2025-01-13,422.62,647140,417.06,424.02,412.68
2025-01-10,418.05,694880,427.25,431.01,417.76
2025-01-08,432.36,738212,426.66,437.5,421.8213
2025-01-07,427.26,521551,428.34,434.86,424.27
2025-01-06,429.16,627115,415.53,435.13,415.53
2025-01-03,415.53,341236,410.6,417.305,407.09
2025-01-02,408.85,373865,417.15,420.79,406.52
2024-12-31,413.44,388235,414.68,418.65,411.4
2024-12-30,412.75,388274,410.94,414.7,406.165
2024-12-27,414.93,375049,413.73,417.435,410.43
2024-12-26,417.11,333002,411.0,417.96,409.76
2024-12-24,413.62,159898,412.35,414.249,409.84
2024-12-23,413.16,413287,409.93,413.3725,408.4
2024-12-20,412.26,1122202,406.83,418.26,404.36
2024-12-19,409.03,681544,410.77,415.75,407.5201
2024-12-18,410.76,579510,426.37,427.14,410.51
2024-12-17,427.09,638796,429.87,440.0,426.95
2024-12-16,430.47,498050,430.02,438.37,429.5
2024-12-13,432.1,353727,435.57,437.03,430.47
2024-12-12,437.18,415838,437.61,442.215,433.01
2024-12-11,437.08,566722,449.01,452.83,436.86
2024-12-10,444.72,695247,450.38,452.2,442.37
2024-12-09,450.68,783825,442.13,453.26,438.01
2024-12-06,435.69,551920,426.48,436.2,426.48
2024-12-05,427.49,520357,431.29,436.05,425.1553
2024-12-04,434.43,1303295,432.22,437.955,425.43
2024-12-03,432.11,731964,429.83,436.02,423.435
2024-12-02,430.77,710989,424.94,431.17,423.1
2024-11-29,421.75,338607,424.03,426.96,421.5
2024-11-27,421.76,486191,419.91,423.36,417.48
2024-11-26,417.32,587773,429.0,429.06,414.46
2024-11-25,428.59,1140945,422.16,430.88,421.755
2024-11-22,417.24,503442,420.41,422.975,415.8
2024-11-21,418.55,537101,409.55,419.79,398.5
2024-11-20,418.61,650800,413.38,419.41,410.29
2024-11-19,416.34,748562,416.65,421.96,414.35
2024-11-18,419.83,437566,421.5,424.045,418.9464
2024-11-15,420.91,690183,423.34,424.5,408.95
2024-11-14,423.65,553843,428.01,430.11,423.29
2024-11-13,429.82,621838,426.535,432.8105,425.79
2024-11-12,426.11,681783,433.97,436.7499,425.64
2024-11-11,437.3,653066,434.49,444.84,433.905
2024-11-08,433.28,655728,430.01,434.48,428.75
2024-11-07,433.0,966295,428.21,435.24,425.285
2024-11-06,423.42,1074622,431.86,432.75,412.61
2024-11-05,415.98,533266,413.83,418.54,412.315
2024-11-04,414.52,923568,419.36,422.92,413.21
2024-11-01,417.28,994156,408.58,422.09,408.58
2024-10-31,406.92,2006545,430.0,430.0,404.74
2024-10-30,451.08,962099,445.43,456.66,445.43
2024-10-29,447.83,702834,447.725,452.45,443.2
2024-10-28,449.44,616473,455.39,456.84,447.96
2024-10-25,451.41,508427,455.67,456.23,450.13
2024-10-24,452.27,532704,458.67,461.54,452.12
2024-10-23,457.9,647419,456.9,460.24,452.435
2024-10-22,461.49,646196,453.49,462.59,449.39
2024-10-21,453.38,993651,456.02,457.495,447.84
2024-10-18,457.74,747282,458.8,460.865,453.17
2024-10-17,460.01,552226,466.6,467.95,458.05
2024-10-16,463.89,991156,474.54,474.54,460.3601
2024-10-15,473.92,607192,478.37,486.87,473.02
2024-10-14,478.0,512443,478.0,479.58,474.33
2024-10-11,476.27,490765,474.92,484.61,474.92
