date,close,volume,open,high,low
2025-03-13,178.23,558973,181.52,184.19,177.7133
2025-03-12,181.9,494291,185.15,185.63,181.42
2025-03-11,184.76,878773,186.37,187.42,181.09
2025-03-10,186.23,697822,186.13,188.88,184.85
2025-03-07,187.66,825804,186.31,188.5145,183.95
2025-03-06,187.48,651177,187.35,188.45,186.2569
2025-03-05,188.43,1013889,186.69,189.1,185.3127
2025-03-04,185.88,779008,186.23,188.68,183.2375
2025-03-03,188.53,617369,196.01,198.04,188.11
2025-02-28,194.33,687529,194.79,195.595,191.62
2025-02-27,193.74,371413,195.84,199.4499,193.14
2025-02-26,195.8,332619,196.96,196.96,195.17
2025-02-25,196.44,478270,196.67,198.48,194.94
2025-02-24,196.62,597046,193.82,197.145,192.24
2025-02-21,192.98,377276,196.17,196.17,190.381
2025-02-20,196.07,388747,198.61,199.97,195.161
2025-02-19,198.65,418037,195.58,198.995,194.44
2025-02-18,196.37,512638,195.75,197.15,194.82
2025-02-14,195.21,644036,194.05,197.99,193.69
2025-02-13,193.03,673878,194.37,195.63,192.17
2025-02-12,193.54,738150,192.01,194.2099,190.725
2025-02-11,194.89,675619,195.17,196.88,193.92
2025-02-10,196.45,658603,197.2,197.2,194.8
2025-02-07,195.94,856053,200.32,200.32,193.48
2025-02-06,199.32,1012421,198.04,202.13,197.4201
2025-02-05,197.58,1477120,208.16,208.16,195.8101
2025-02-04,218.65,602942,218.41,220.55,218.07
2025-02-03,218.86,565376,220.49,221.1,217.185
2025-01-31,224.31,384901,224.11,226.045,223.5
2025-01-30,224.11,364999,220.59,225.62,219.5
2025-01-29,218.88,322781,220.73,222.0,218.75
2025-01-28,221.17,334795,220.98,222.3,219.79
2025-01-27,221.42,346607,219.71,222.02,219.71
2025-01-24,219.97,278600,221.59,222.15,218.363
2025-01-23,222.05,375814,220.18,223.2,218.8
2025-01-22,219.99,342361,218.39,220.92,217.74
2025-01-21,219.66,350139,217.6,220.055,217.02
2025-01-17,215.69,476264,220.0,221.67,215.47
2025-01-16,217.27,400280,215.43,217.76,214.268
2025-01-15,214.53,465707,218.55,219.69,214.39
2025-01-14,214.54,654671,210.89,215.37,210.21
