date,close,volume,open,high,low
2025-03-13,250.37,1097281,250.17,256.04,248.84
2025-03-12,251.3,1717398,254.79,255.61,248.63
2025-03-11,254.82,1757515,267.38,267.83,254.6
2025-03-10,267.67,1830032,273.24,278.125,267.06
2025-03-07,274.48,2321005,265.19,275.32,264.37
2025-03-06,265.11,1525911,260.29,265.71,258.4701
2025-03-05,261.05,1351866,256.26,261.82,255.1
2025-03-04,255.32,1495632,261.4,261.87,254.45
2025-03-03,262.23,1094654,266.02,267.43,260.62
2025-02-28,263.98,1437926,262.67,264.205,259.72
2025-02-27,261.15,808126,261.3,263.85,260.03
2025-02-26,261.41,1086845,264.22,264.385,260.53
2025-02-25,264.53,1283653,262.79,266.98,261.96
2025-02-24,261.6,1166780,264.38,266.645,261.09
2025-02-21,264.28,918396,265.87,265.87,262.73
2025-02-20,265.54,878350,263.24,265.84,262.825
2025-02-19,264.1,818308,262.01,264.37,261.2601
2025-02-18,262.25,817628,258.0,262.3,257.65
2025-02-14,258.11,1013793,260.45,261.2175,257.67
2025-02-13,260.09,939540,256.96,260.68,256.95
2025-02-12,256.05,946177,256.81,256.815,252.3491
2025-02-11,258.68,744292,257.34,258.75,255.8201
2025-02-10,257.61,781222,256.79,258.37,255.69
2025-02-07,255.56,1053714,255.9,255.9,252.8
2025-02-06,255.09,1231184,255.31,255.31,248.47
2025-02-05,254.24,2104314,248.0,254.45,244.6922
2025-02-04,254.68,1331645,255.5,256.52,254.0701
2025-02-03,255.44,1300506,255.5,257.4499,251.99
2025-01-31,259.16,1254044,259.4,261.899,258.57
2025-01-30,260.13,1166265,257.47,260.25,256.915
2025-01-29,256.38,815192,258.0,259.59,256.06
2025-01-28,258.71,905319,262.59,263.56,258.6
2025-01-27,264.42,1011426,260.23,265.115,260.23
2025-01-24,259.9,828417,259.52,260.49,258.5
2025-01-23,259.9,610772,259.67,260.1514,257.98
2025-01-22,259.14,899514,260.6,261.185,258.375
2025-01-21,261.39,718374,258.42,262.372,258.42
2025-01-17,256.38,844760,257.5,258.0,256.18
2025-01-16,255.93,876665,253.92,256.35,253.06
2025-01-15,253.8,712557,256.38,256.67,253.73
2025-01-14,252.97,792320,250.42,253.34,250.42
2025-01-13,249.7,1182640,243.98,249.84,243.725
2025-01-10,244.9,1152622,245.11,247.46,242.6855
2025-01-08,247.61,1081928,247.26,248.6,246.66
2025-01-07,248.59,685393,250.5,252.45,247.96
2025-01-06,250.36,790910,252.32,254.58,249.78
2025-01-03,252.29,866805,250.38,253.025,248.62
2025-01-02,250.03,748061,254.82,255.9498,249.89
2024-12-31,253.56,694622,253.79,255.14,252.72
2024-12-30,254.83,1292038,255.15,255.71,252.41
2024-12-27,256.55,489045,256.92,259.2497,255.29
2024-12-26,258.77,423169,258.13,259.33,257.4
2024-12-24,259.17,356881,257.79,259.17,256.4753
2024-12-23,257.64,684565,257.92,259.1899,256.21
2024-12-20,258.82,2692558,257.71,262.345,257.26
2024-12-19,258.11,1465305,262.43,263.87,257.87
2024-12-18,261.23,854212,267.43,269.999,261.04
2024-12-17,267.88,889915,268.52,271.15,267.01
2024-12-16,269.66,822965,272.11,272.35,269.1443
2024-12-13,272.11,536811,272.86,273.27,270.66
2024-12-12,273.12,555297,273.64,274.37,271.63
2024-12-11,272.96,707406,274.81,276.42,272.51
2024-12-10,273.75,831117,273.84,275.18,269.97
2024-12-09,274.07,816989,273.95,276.2375,273.33
2024-12-06,273.53,536469,276.46,277.235,273.3
2024-12-05,275.27,716870,277.07,278.205,274.48
2024-12-04,275.9,903104,275.44,277.38,274.79
2024-12-03,275.99,723561,278.02,278.98,274.47
2024-12-02,278.5,913767,278.11,278.86,275.7385
2024-11-29,277.52,570770,275.29,278.77,274.55
2024-11-27,276.04,796024,276.64,279.1299,275.64
2024-11-26,276.51,828829,275.63,276.78,273.13
2024-11-25,276.37,1392064,274.89,277.94,274.03
2024-11-22,273.95,950465,270.82,274.34,269.565
2024-11-21,269.85,763966,266.38,271.185,265.46
2024-11-20,266.38,856864,267.01,267.41,264.31
2024-11-19,266.46,615378,267.9,268.78,266.11
2024-11-18,270.06,711415,270.08,272.3,269.39
2024-11-15,270.62,913018,269.41,272.81,269.345
2024-11-14,269.87,805179,272.49,273.6,269.62
2024-11-13,272.96,1305664,269.9,273.355,268.89
2024-11-12,271.2,758066,273.26,274.36,271.02
2024-11-11,274.27,791886,272.55,275.53,272.55
2024-11-08,271.95,833597,272.61,275.73,271.82
2024-11-07,272.91,833532,275.68,275.955,271.29
2024-11-06,275.47,1151614,272.95,277.58,272.04
2024-11-05,266.43,794975,263.36,266.96,262.13
2024-11-04,263.88,737062,263.62,265.45,262.0
2024-11-01,263.08,882591,261.98,264.28,260.74
2024-10-31,261.13,1267481,264.64,265.39,260.81
2024-10-30,264.33,1655951,263.0,264.75,253.455
2024-10-29,256.04,1304970,255.45,257.545,253.0
2024-10-28,256.87,753834,255.72,258.52,255.72
2024-10-25,254.08,730755,257.14,257.16,253.83
2024-10-24,255.53,666039,256.15,257.1599,254.06
2024-10-23,256.32,860835,256.46,257.99,255.55
2024-10-22,256.98,852497,257.97,259.29,254.25
2024-10-21,258.37,559233,260.3,261.02,257.741
2024-10-18,261.03,699672,261.87,261.95,259.63
2024-10-17,260.66,684062,261.94,262.2,258.95
2024-10-16,260.83,682249,260.99,263.2399,259.3401
2024-10-15,261.35,729604,262.72,264.77,261.29
2024-10-14,261.5,513468,259.84,261.9,258.94
2024-10-11,260.59,664248,257.39,260.92,257.39
2024-10-10,256.83,582207,257.38,257.835,255.26
2024-10-09,257.98,717423,255.61,259.29,254.34
2024-10-08,255.72,529849,256.3,257.005,253.12
2024-10-07,256.04,521070,256.41,258.13,255.13
2024-10-04,258.41,624279,260.96,261.41,256.485
2024-10-03,259.99,827678,260.39,262.06,257.6
2024-10-02,261.89,776244,260.37,262.4,260.0
2024-10-01,261.35,754470,262.02,262.17,258.63
2024-09-30,262.07,876472,262.15,263.03,259.33
2024-09-27,263.97,1066451,263.0,267.7,262.81
2024-09-26,262.0,730696,260.0,263.23,259.15
2024-09-25,258.06,1150307,259.06,259.79,257.52
2024-09-24,258.52,709936,258.21,259.715,256.69
2024-09-23,256.65,716223,254.51,256.93,253.03
2024-09-20,254.32,1772987,256.59,256.59,253.36
2024-09-19,257.96,727595,256.54,259.03,254.96
2024-09-18,252.97,826250,254.97,256.655,252.6201
2024-09-17,254.72,812918,255.65,258.38,254.06
2024-09-16,255.13,690079,253.41,255.4,252.21
2024-09-13,251.75,669571,248.84,252.3,248.07
2024-09-12,248.2,628963,247.53,248.45,244.44
2024-09-11,247.02,1027041,247.67,248.095,241.47
2024-09-10,247.57,811594,247.0,248.2,244.95
2024-09-09,246.74,971478,245.16,247.33,244.39
2024-09-06,243.6,754290,242.99,245.83,242.34
2024-09-05,243.06,866007,244.85,244.85,241.19
2024-09-04,244.73,1052275,249.55,250.0,242.75
2024-09-03,249.78,959146,252.5,252.98,248.41
2024-08-30,253.18,822593,250.7,253.75,249.53
2024-08-29,250.44,585580,250.15,251.94,248.77
2024-08-28,248.56,725148,249.43,250.71,247.75
2024-08-27,249.27,763307,248.69,249.73,247.91
2024-08-26,248.6,620667,247.84,250.21,247.25
2024-08-23,246.99,494842,246.86,248.895,245.635
2024-08-22,245.84,595365,246.63,247.06,244.57
2024-08-21,246.63,668559,244.42,246.77,243.44
2024-08-20,243.38,569826,242.58,243.93,241.85
2024-08-19,242.66,571557,242.57,243.1,241.0451
2024-08-16,241.94,895133,239.54,242.71,239.54
2024-08-15,240.26,969979,241.16,242.8,239.5
2024-08-14,238.66,554641,238.61,240.54,237.96
2024-08-13,238.76,598841,237.38,239.47,235.49
2024-08-12,236.62,870777,239.2,240.0,236.35
2024-08-09,239.21,652590,239.15,240.21,236.29
2024-08-08,239.77,800470,238.0,240.14,237.03
2024-08-07,236.86,838395,240.2,243.625,236.41
2024-08-06,238.37,1059551,239.84,242.11,237.56
2024-08-05,239.36,1190065,241.95,242.74,237.55
2024-08-02,243.85,1281644,240.57,244.07,237.92
2024-08-01,242.26,1217050,247.53,248.98,240.92
2024-07-31,247.28,1813628,249.24,250.24,245.78
2024-07-30,249.34,1814637,255.44,256.32,240.02
2024-07-29,248.02,1312448,247.7,249.92,246.58
2024-07-26,247.49,882230,245.48,248.79,243.69
2024-07-25,243.83,970534,239.19,246.895,238.5
2024-07-24,239.3,893149,241.82,244.205,238.59
2024-07-23,243.06,642925,244.62,245.75,242.74
2024-07-22,245.39,763262,244.11,245.74,240.47
2024-07-19,242.62,2575575,250.07,250.28,241.82
2024-07-18,249.29,1202721,251.02,254.94,249.04
2024-07-17,253.89,782258,253.28,255.0,252.62
2024-07-16,253.49,983594,247.8,253.59,247.8
2024-07-15,246.73,890841,245.92,248.0,244.905
2024-07-12,245.93,1072279,242.39,247.02,241.575
2024-07-11,240.19,909271,236.85,241.64,236.01
2024-07-10,235.91,859253,233.27,235.94,233.17
2024-07-09,234.06,804517,232.97,235.41,232.97
2024-07-08,233.91,992810,233.78,235.22,232.81
2024-07-05,233.14,1312075,236.0,236.0,232.795
2024-07-03,235.99,475351,236.61,237.48,235.02
2024-07-02,235.51,949439,233.34,235.67,233.34
2024-07-01,233.41,913003,238.49,238.84,232.7728
2024-06-28,236.96,3403554,236.74,238.72,235.35
2024-06-27,237.39,1158350,238.61,239.24,235.85
2024-06-26,238.88,855768,236.71,239.31,235.001
2024-06-25,237.95,793835,241.52,241.79,237.08
2024-06-24,242.59,1296171,241.37,244.23,240.0
2024-06-21,240.4,1813650,243.37,243.91,239.83
2024-06-20,243.33,1193140,240.15,243.85,239.4
2024-06-18,240.49,823350,239.54,241.77,239.3
2024-06-17,238.95,1170162,235.56,239.58,235.2
2024-06-14,235.17,1019517,238.4,239.425,232.98
2024-06-13,240.6,842764,238.82,240.78,237.02
2024-06-12,239.81,788419,240.5,242.35,238.835
2024-06-11,238.24,845157,238.36,238.48,236.51
2024-06-10,239.37,655174,239.68,240.27,238.68
2024-06-07,240.42,670937,240.83,242.11,239.64
2024-06-06,240.97,730164,240.7,241.965,239.46
2024-06-05,241.4,582129,241.17,242.12,239.43
2024-06-04,240.67,1260097,238.82,242.13,238.82
2024-06-03,239.87,1022218,242.89,243.51,238.0
2024-05-31,242.75,2501366,237.84,243.05,237.465
2024-05-30,237.8,1053354,235.01,237.98,234.855
2024-05-29,235.01,1075375,235.56,236.78,234.6
2024-05-28,237.41,1224803,239.85,241.14,236.84
2024-05-24,240.07,997894,241.96,242.525,238.84
2024-05-23,241.45,1621250,245.65,245.65,240.27
2024-05-22,248.74,974972,247.96,249.98,247.54
2024-05-21,248.78,901216,250.35,250.64,248.55
2024-05-20,250.59,701433,250.62,251.145,249.04
2024-05-17,250.6,961778,250.22,250.71,248.47
2024-05-16,249.77,1113239,248.43,250.215,246.6
2024-05-15,249.09,1045209,250.43,251.7,248.47
2024-05-14,249.38,781047,251.73,252.35,249.3
2024-05-13,250.29,628503,251.08,251.95,249.72
2024-05-10,250.33,585438,250.73,251.0381,249.0
2024-05-09,249.73,574685,247.48,249.808,247.48
2024-05-08,247.4,621405,246.69,247.85,245.93
