date,close,volume,open,high,low
2025-03-13,82.3,1892642,82.49,82.49,82.26
2025-03-12,82.29,1884530,82.35,82.42,82.245
2025-03-11,82.23,3907630,82.5,82.5,82.21
2025-03-10,82.45,2778725,82.5,82.58,82.425
2025-03-07,82.45,2950486,82.5,82.67,82.365
2025-03-06,82.43,1891461,82.5,82.52,82.27
2025-03-05,82.37,2948278,82.37,82.55,82.29
2025-03-04,82.36,2838746,82.6,83.22,82.23
2025-03-03,82.61,2363891,82.42,82.61,82.31
2025-02-28,82.9,3386223,82.8,82.94,82.56
2025-02-27,82.5,2364692,82.62,82.76,82.46
2025-02-26,82.62,1894016,82.63,82.73,82.59
2025-02-25,82.69,2437734,82.75,82.85,82.68
2025-02-24,82.72,2494589,82.6,82.75,82.53
2025-02-21,82.66,2684176,82.4,82.72,82.355
2025-02-20,82.45,1615414,82.35,82.47,82.31
2025-02-19,82.41,2495448,82.29,82.49,82.29
2025-02-18,82.32,2693996,82.11,82.355,82.1
2025-02-14,82.26,2982343,82.23,82.41,82.18
2025-02-13,82.21,4126790,82.28,82.3,82.17
2025-02-12,82.18,3070567,82.2,82.34,82.15
2025-02-11,82.2,1439983,82.25,82.25,82.15
2025-02-10,82.28,2675960,82.25,82.29,82.11
2025-02-07,82.3,1383545,82.1,82.31,82.02
2025-02-06,82.13,2404110,81.93,82.16,81.83
2025-02-05,81.86,2006006,81.8,81.91,81.665
2025-02-04,81.75,1442647,81.85,81.85,81.67
2025-02-03,81.76,1953572,81.7,81.855,81.65
2025-01-31,81.73,8377054,81.95,81.95,81.66
2025-01-30,81.94,1582146,81.94,81.95,81.75
2025-01-29,81.77,1155128,81.9,82.045,81.7475
2025-01-28,81.8,1697026,82.0,82.01,81.72
2025-01-27,81.96,2773410,82.0,82.06,81.65
2025-01-24,81.87,1579688,81.66,81.905,81.64
2025-01-23,81.77,868468,81.7,81.8,81.63
2025-01-22,81.64,1417288,81.6,81.725,81.51
2025-01-21,81.69,3778015,81.79,81.82,81.59
2025-01-17,81.78,2647223,81.49,81.79,81.35
