date,close,volume,open,high,low
2025-03-13,211.18,1339956,208.51,212.5505,207.71
2025-03-12,208.95,1031210,211.16,211.16,204.8
2025-03-11,212.33,1317050,216.42,218.66,211.78
2025-03-10,217.85,1844837,218.96,227.37,217.4586
2025-03-07,220.1,1868528,211.79,221.22,211.79
2025-03-06,213.79,1506710,211.48,213.98,208.58
2025-03-05,210.53,1248257,206.11,211.49,205.75
2025-03-04,207.08,2093613,207.34,212.5,206.46
2025-03-03,207.7,1377959,207.6,209.45,205.28
2025-02-28,206.11,1245212,205.91,207.2,203.51
2025-02-27,204.9,1276465,202.58,205.54,202.3515
2025-02-26,202.33,1185143,202.19,203.717,201.47
2025-02-25,203.97,1436239,199.94,204.475,199.66
2025-02-24,199.85,1412814,200.32,201.82,199.57
2025-02-21,199.02,1656650,196.91,200.18,196.71
2025-02-20,197.23,1529087,193.22,197.75,193.09
2025-02-19,194.65,1510097,196.56,200.04,194.25
2025-02-18,195.7,1696171,200.0,200.0,194.77
2025-02-14,197.61,1565405,200.0,201.17,196.67
2025-02-13,200.0,2142431,202.01,204.52,198.425
2025-02-12,200.61,1694645,204.98,204.98,199.56
2025-02-11,206.75,1480520,209.26,209.26,206.17
2025-02-10,208.43,1201963,206.0,209.88,205.267
2025-02-07,206.13,1082141,207.39,208.9,205.27
2025-02-06,206.66,2077556,208.47,209.335,203.85
2025-02-05,208.97,911172,212.5,212.5,208.82
2025-02-04,210.71,1077160,212.91,213.75,210.63
2025-02-03,212.78,1432980,211.12,214.1,208.905
2025-01-31,212.01,1266448,210.55,213.5,209.13
2025-01-30,212.06,2189744,207.4,213.26,206.0259
2025-01-29,211.95,1540598,213.91,215.92,211.42
2025-01-28,213.3,1543505,221.95,223.8,212.81
2025-01-27,222.29,1227630,220.99,224.0,219.8207
2025-01-24,218.65,847761,219.12,220.18,218.07
2025-01-23,219.79,1278515,221.83,222.8215,217.36
2025-01-22,220.06,1178005,221.58,221.58,218.2
2025-01-21,222.86,1280404,219.55,224.3,219.55
2025-01-17,218.16,778308,218.72,219.37,217.03
2025-01-16,218.48,1057995,213.6,218.52,213.575
2025-01-15,214.14,981433,215.99,216.14,213.105
2025-01-14,214.89,953467,215.03,215.99,213.25
2025-01-13,213.92,1150657,207.72,214.39,207.72
2025-01-10,208.28,1745252,207.58,208.8,205.2
2025-01-08,207.15,1413830,205.12,207.435,203.85
2025-01-07,203.0,1414110,204.82,206.6,202.76
2025-01-06,204.29,1369693,208.71,209.3097,203.395
2025-01-03,209.75,902210,207.0,210.15,207.0
2025-01-02,207.36,969711,210.25,210.78,207.18
2024-12-31,210.28,840314,209.62,210.78,208.37
2024-12-30,208.94,811710,210.06,211.22,208.3518
2024-12-27,212.37,655533,212.0,214.205,210.69
2024-12-26,213.59,720326,213.08,214.25,212.25
2024-12-24,213.32,324838,212.2,213.42,211.65
