date,close,volume,open,high,low
2025-03-13,72.61,2513358,72.0,73.904,71.81
2025-03-12,72.19,2844868,73.84,73.945,71.98
2025-03-11,73.96,3878150,76.96,77.0,73.1401
2025-03-10,76.54,3319589,76.81,78.41,76.35
2025-03-07,77.5,3224024,75.45,77.725,75.18
2025-03-06,75.91,2104772,75.4,76.31,74.94
2025-03-05,76.21,3081587,74.42,76.63,74.375
2025-03-04,73.47,4320966,73.62,74.89,72.86
2025-03-03,73.41,3387697,77.87,77.87,73.36
2025-02-28,76.83,3770609,76.12,77.08,75.99
2025-02-27,75.99,1491569,75.72,76.735,74.66
2025-02-26,76.2,1581465,77.89,78.0,75.66
2025-02-25,77.63,2241040,77.68,78.33,77.21
2025-02-24,77.31,1897758,76.8,77.58,76.0
2025-02-21,76.96,2443725,77.68,78.07,76.62
2025-02-20,77.61,1725449,77.47,78.15,77.29
2025-02-19,77.5,1856688,76.79,78.06,76.56
2025-02-18,78.22,2344037,77.25,78.516,76.94
2025-02-14,76.7,1481299,77.05,78.23,76.67
2025-02-13,76.24,1891806,76.07,76.7153,75.75
2025-02-12,75.89,2009294,75.8,76.15,75.51
2025-02-11,76.42,3302369,75.95,76.545,75.33
2025-02-10,75.84,2263174,77.32,77.42,75.5
2025-02-07,76.61,2165276,78.03,78.225,76.44
2025-02-06,77.75,2050687,77.35,77.94,77.14
2025-02-05,76.99,3073217,77.67,77.865,76.8
2025-02-04,78.24,3934559,76.93,78.965,76.79
2025-02-03,76.3,3461619,74.78,76.48,73.27
2025-01-31,75.7,6488863,77.84,79.1,75.155
2025-01-30,76.12,3624033,77.38,77.73,74.35
2025-01-29,77.86,1726313,77.79,78.72,77.62
2025-01-28,78.31,1878078,78.85,79.3899,78.04
2025-01-27,78.67,2372414,77.89,78.73,77.45
2025-01-24,77.36,1644641,77.54,77.98,76.88
2025-01-23,77.36,3684735,77.33,77.61,76.8
2025-01-22,77.08,1911953,77.47,78.03,77.06
2025-01-21,77.73,2361422,77.82,78.5,77.39
2025-01-17,77.3,1866586,77.14,77.7029,76.895
2025-01-16,76.63,2775377,75.73,76.91,75.3901
2025-01-15,76.08,1973621,76.06,76.45,75.71
2025-01-14,75.31,2353364,75.4,75.77,74.71
2025-01-13,75.15,3653419,72.7,75.19,72.5901
2025-01-10,72.48,3955865,72.8,73.0893,72.22
2025-01-08,73.03,1867221,73.26,73.5,72.21
2025-01-07,73.9,2819402,73.55,74.94,73.49
2025-01-06,73.86,3073916,73.25,74.12,73.15
2025-01-03,72.77,3663364,72.95,73.3,72.21
2025-01-02,72.78,2889409,74.45,75.17,72.65
2024-12-31,74.27,2269101,73.2,74.56,73.06
2024-12-30,73.18,2254530,73.91,74.03,72.93
2024-12-27,74.14,1655196,74.2,75.02,73.93
2024-12-26,74.35,1759366,73.88,74.835,73.82
2024-12-24,74.12,1016383,73.67,74.35,73.4
2024-12-23,74.01,2740464,73.68,74.2204,73.12
2024-12-20,73.5,6761332,72.97,74.37,72.935
2024-12-19,72.97,4604172,74.76,75.4681,72.96
2024-12-18,74.8,4329839,75.36,76.83,74.76
2024-12-17,75.44,2889350,75.0,76.35,75.0
2024-12-16,74.68,3125515,75.0,76.14,74.6
2024-12-13,75.67,2606383,76.2,76.21,74.92
2024-12-12,76.18,2418715,76.0,77.15,76.0
2024-12-11,76.45,2836008,77.34,77.633,76.32
2024-12-10,77.64,3803118,76.89,78.445,76.15
2024-12-09,77.31,3301229,77.45,78.88,76.8
2024-12-06,76.39,4269750,77.61,77.97,75.98
2024-12-05,77.41,4741536,77.75,78.0999,76.22
2024-12-04,77.95,5921471,80.0,80.0,77.38
2024-12-03,80.78,2453754,82.24,82.2569,80.62
2024-12-02,82.05,1844742,81.94,82.33,81.06
2024-11-29,83.34,1683321,83.055,83.46,82.73
2024-11-27,83.04,2625863,82.26,83.5,82.17
2024-11-26,82.14,3047117,83.9,83.93,81.61
2024-11-25,84.06,5618495,84.5,85.25,83.82
2024-11-22,83.87,3268398,82.52,84.25,82.41
2024-11-21,82.8,3462720,82.55,83.23,82.14
2024-11-20,82.48,2305933,82.2,82.58,81.45
2024-11-19,82.2,2364846,82.49,82.74,81.91
2024-11-18,83.2,1712367,83.18,83.465,82.76
2024-11-15,82.65,2236451,82.64,83.315,82.27
2024-11-14,82.56,1939118,83.62,83.725,82.2
2024-11-13,83.44,1388556,83.37,83.8,83.0208
2024-11-12,83.6,1948942,84.78,85.11,83.48
2024-11-11,84.97,1958835,85.19,85.85,84.705
2024-11-08,85.3,3327973,86.1,86.45,84.49
2024-11-07,87.33,2417352,86.71,87.56,86.39
2024-11-06,86.43,3842580,87.59,88.2,85.47
2024-11-05,85.37,3563147,84.13,85.4,83.36
2024-11-04,84.19,3501187,85.81,86.37,84.035
2024-11-01,86.56,2468922,87.2,88.79,85.64
2024-10-31,86.85,3521239,87.17,87.71,86.83
2024-10-30,87.15,1794107,87.08,88.16,86.74
2024-10-29,87.18,1750171,87.4,87.58,86.945
2024-10-28,87.72,1645366,87.34,87.84,86.87
2024-10-25,87.5,2086488,88.23,88.5543,87.41
2024-10-24,88.49,1663753,89.5,89.5,87.84
2024-10-23,88.87,1754017,88.77,89.1515,88.185
2024-10-22,89.51,1530039,89.75,89.8899,88.66
2024-10-21,89.74,1956667,91.59,91.64,89.6
2024-10-18,91.49,1669653,92.13,92.135,90.81
