date,close,volume,open,high,low
2025-03-13,237.29,2026705,243.47,243.92,236.21
2025-03-12,243.81,2349839,248.0,249.04,240.1943
2025-03-11,246.31,3143002,254.87,255.93,243.32
2025-03-10,257.22,2447348,258.36,260.69,255.07
2025-03-07,262.75,2337385,261.45,264.98,256.65
2025-03-06,262.63,1663205,268.38,268.55,262.14
2025-03-05,271.1,1456005,269.55,272.47,268.02
2025-03-04,270.8,2390183,276.41,276.41,268.0
2025-03-03,277.72,1635223,280.0,284.48,275.37
2025-02-28,280.45,2269813,278.97,282.35,277.76
2025-02-27,277.21,1571315,281.48,283.66,276.68
2025-02-26,282.16,1607596,279.17,285.0,278.925
2025-02-25,277.46,1807907,277.66,277.78,271.7
2025-02-24,276.76,2058251,279.35,280.595,274.74
2025-02-21,277.47,1983281,286.65,287.2,275.0
2025-02-20,287.2,1153114,286.92,287.65,283.3135
2025-02-19,287.56,1414412,286.48,288.93,283.94
2025-02-18,288.42,1601951,283.52,289.3,280.88
2025-02-14,283.52,1660212,290.28,290.56,283.0775
2025-02-13,288.24,1899461,290.67,291.4611,285.91
2025-02-12,290.45,2692619,283.975,291.47,283.49
2025-02-11,288.0,3055616,291.32,295.59,285.015
2025-02-10,304.45,1770750,305.92,306.22,301.36
2025-02-07,303.97,1662594,304.93,307.518,302.86
2025-02-06,302.95,1826892,293.98,304.13,293.5
2025-02-05,292.39,1329864,291.06,293.14,288.08
2025-02-04,290.75,1402064,291.48,291.86,289.1
2025-02-03,290.46,1217955,286.79,290.97,283.09
2025-01-31,290.59,1293170,291.65,293.71,289.29
2025-01-30,292.54,1030707,290.92,294.99,290.92
2025-01-29,289.66,1302188,289.37,290.27,287.19
2025-01-28,288.64,1403425,287.3,290.88,286.33
2025-01-27,288.05,1569869,281.45,288.27,280.42
2025-01-24,284.11,1339808,285.0,286.59,282.345
2025-01-23,285.07,1694373,281.79,285.14,277.41
2025-01-22,280.41,1412397,277.77,280.78,277.71
2025-01-21,277.72,2772936,271.27,278.05,269.72
2025-01-17,277.18,1805205,279.0,279.6,276.5
2025-01-16,276.0,1588213,276.0,277.82,275.05
2025-01-15,276.05,1513463,281.6,283.59,275.81
2025-01-14,276.43,1106098,273.0,276.74,272.065
2025-01-13,272.29,935768,270.38,273.33,269.84
2025-01-10,270.76,1317643,273.17,275.16,270.53
2025-01-08,273.53,1172271,270.08,273.9,269.835
2025-01-07,269.78,1132144,271.52,273.9021,269.28
2025-01-06,272.62,1260366,275.25,275.9075,272.0
2025-01-03,275.28,1772997,276.07,276.95,272.19
2025-01-02,274.45,1212083,281.16,281.24,273.51
2024-12-31,278.94,740243,280.98,281.2,278.21
2024-12-30,280.31,1021016,281.68,282.1,277.49
2024-12-27,283.66,717608,284.01,286.05,280.78
2024-12-26,286.56,473766,285.01,287.27,284.85
2024-12-24,286.39,424024,283.63,286.55,282.76
2024-12-23,283.63,907991,283.49,284.16,280.48
2024-12-20,283.96,2619126,276.83,286.93,276.81
2024-12-19,279.02,1490454,281.2,282.79,278.185
2024-12-18,277.65,1861454,289.5,291.25,277.53
2024-12-17,289.44,1310619,288.77,291.32,288.46
2024-12-16,290.4,977268,287.58,292.07,286.3357
2024-12-13,287.08,797449,288.61,289.59,286.07
2024-12-12,289.99,1168265,292.68,294.01,289.745
2024-12-11,291.73,876856,289.99,292.959,289.54
2024-12-10,287.67,866960,289.01,289.75,285.5
2024-12-09,286.97,1064793,292.49,293.87,286.28
2024-12-06,292.59,1013086,292.69,295.45,292.34
2024-12-05,292.48,1307416,289.96,294.65,289.875
2024-12-04,289.63,1115419,286.08,290.01,284.5
2024-12-03,284.93,929039,287.21,287.99,283.71
2024-12-02,286.24,1574285,288.97,289.94,284.64
2024-11-29,289.09,702422,285.55,290.43,285.54
2024-11-27,285.6,1112890,287.88,287.9,284.62
2024-11-26,288.18,1459095,288.8,289.8,286.53
2024-11-25,288.0,1808427,286.08,289.625,285.795
2024-11-22,284.29,990343,283.33,284.95,282.88
2024-11-21,283.44,944564,281.92,283.825,280.27
2024-11-20,280.18,938554,279.55,280.825,278.54
2024-11-19,279.27,890495,279.3,280.71,276.28
2024-11-18,281.45,1734237,280.59,282.24,278.05
2024-11-15,278.78,1751074,281.99,282.465,277.67
2024-11-14,282.02,1396808,286.48,287.51,281.76
2024-11-13,286.47,1274029,284.685,289.04,284.36
2024-11-12,286.02,1143262,285.62,287.0,283.71
2024-11-11,285.91,1895938,281.07,286.19,281.07
2024-11-08,280.8,1516591,277.81,282.8,277.205
2024-11-07,277.68,1472662,276.13,278.5,273.86
2024-11-06,276.26,2148694,270.11,277.41,268.49
2024-11-05,259.66,1604478,254.08,261.073,254.08
2024-11-04,256.43,2222042,255.43,256.69,249.55
2024-11-01,260.57,1481686,258.48,263.39,258.425
2024-10-31,260.02,1308428,264.26,265.37,259.92
2024-10-30,264.26,897851,263.67,265.6,263.25
2024-10-29,263.89,791538,262.8,265.1099,262.28
2024-10-28,262.55,1127532,264.35,264.6,260.68
2024-10-25,262.12,1162123,263.31,265.13,261.36
2024-10-24,260.63,1195081,259.97,261.82,257.425
2024-10-23,257.82,1990316,260.48,263.0,255.48
2024-10-22,265.5,1198254,264.8,265.885,263.35
2024-10-21,264.97,869066,264.49,266.44,263.2629
2024-10-18,265.6,886768,264.57,266.58,263.0831
2024-10-17,264.57,1163528,264.5,265.2,262.29
2024-10-16,262.57,709199,260.43,263.29,259.6
2024-10-15,260.58,1252364,261.37,263.32,259.4975
2024-10-14,261.56,1139628,261.22,263.34,260.42
2024-10-11,262.63,1084725,261.23,264.14,261.05
2024-10-10,260.54,1038242,260.89,261.92,259.29
2024-10-09,261.88,1442671,256.29,263.02,256.0
2024-10-08,256.58,1207924,255.32,257.345,253.53
2024-10-07,255.16,2406904,254.0,255.85,253.07
2024-10-04,254.61,1129513,253.28,254.84,252.22
2024-10-03,249.48,935640,246.06,249.67,246.01
2024-10-02,248.82,857615,245.29,249.0,244.85
2024-10-01,246.08,1382540,248.71,249.31,243.1
2024-09-30,248.6,1646374,252.05,253.95,246.46
2024-09-27,253.04,1238389,252.81,254.43,251.67
2024-09-26,250.71,1431803,248.17,251.0,246.22
2024-09-25,245.5,951362,247.47,247.62,244.63
2024-09-24,247.38,1225328,243.02,247.46,242.85
2024-09-23,241.67,1393435,244.85,245.125,241.36
2024-09-20,244.39,3663555,243.9,244.74,240.9
2024-09-19,244.46,1676231,242.97,246.02,242.04
2024-09-18,238.74,1539802,238.9,241.73,236.8
2024-09-17,235.61,1005287,233.73,236.23,232.76
2024-09-16,232.46,993122,233.07,235.75,231.9
2024-09-13,231.74,1034102,231.55,232.56,229.67
2024-09-12,230.7,1044702,228.8,230.82,227.59
2024-09-11,227.33,1330936,225.67,227.7795,221.84
2024-09-10,225.67,1755184,227.68,229.0,221.95
2024-09-09,228.59,1876853,228.93,230.95,226.535
2024-09-06,227.6,3355319,229.47,232.9,227.16
2024-09-05,229.06,1808762,229.73,230.5499,226.86
2024-09-04,229.46,1412173,230.0,230.655,228.11
2024-09-03,230.72,1802666,234.2,234.695,229.74
2024-08-30,234.69,2218129,232.56,235.43,231.045
2024-08-29,231.37,1954464,229.75,233.61,228.881
2024-08-28,227.32,1026185,226.42,228.18,226.18
2024-08-27,227.62,1017819,224.4,228.18,223.8
2024-08-26,224.67,1105008,226.57,228.13,224.15
2024-08-23,225.26,958335,225.98,227.65,224.95
2024-08-22,224.12,991214,223.81,225.9,223.13
2024-08-21,224.51,710527,224.07,225.14,223.06
2024-08-20,223.13,1069762,224.5,225.48,222.87
2024-08-19,225.15,1068580,221.3,226.0,221.055
2024-08-16,220.56,1005775,221.61,221.67,219.725
2024-08-15,221.9,1726691,219.68,222.95,218.93
2024-08-14,217.1,847405,217.0,217.709,215.54
2024-08-13,216.43,1081200,215.26,216.85,213.2706
2024-08-12,214.68,1075264,217.95,217.95,214.41
2024-08-09,217.97,1214086,215.5,219.0,214.05
2024-08-08,215.8,1369788,215.445,217.81,214.78
2024-08-07,214.77,2854397,215.94,217.64,213.78
2024-08-06,215.25,1911718,212.5,218.4099,211.19
2024-08-05,211.35,4057455,209.07,212.34,204.55
2024-08-02,213.67,3679065,215.12,216.64,210.02
2024-08-01,218.78,3067875,226.15,226.49,215.605
2024-07-31,227.3,4316714,230.0,236.22,222.93
2024-07-30,238.77,1752791,239.0,241.54,238.05
2024-07-29,238.45,1335718,237.94,239.52,235.7
2024-07-26,236.6,929373,235.6,237.74,234.0
2024-07-25,233.75,1380149,235.0,237.51,232.325
2024-07-24,235.04,1762579,241.24,241.61,234.9
2024-07-23,242.31,730968,242.66,245.6,241.97
2024-07-22,242.94,1212752,243.61,244.0,241.15
2024-07-19,243.91,1342586,245.0,245.719,242.65
2024-07-18,244.09,1399758,244.77,248.5,244.05
2024-07-17,247.55,1753015,253.25,255.325,247.49
2024-07-16,255.11,1562526,247.94,255.19,247.6912
2024-07-15,246.67,1062332,242.8,246.845,241.99
2024-07-12,242.79,1699285,241.17,245.44,240.16
2024-07-11,239.78,1765451,242.94,242.94,239.25
2024-07-10,242.52,1376220,237.96,242.74,237.16
2024-07-09,237.52,1254901,240.86,240.86,237.39
2024-07-08,239.86,1040260,242.09,243.06,239.174
2024-07-05,240.98,851934,240.5,241.38,238.45
2024-07-03,240.17,866747,239.63,241.67,238.48
2024-07-02,239.98,1417325,239.81,240.12,236.68
2024-07-01,239.51,1475150,242.19,243.36,237.45
2024-06-28,241.77,6788860,242.4,246.79,241.02
2024-06-27,242.25,1153713,242.95,242.95,240.2
2024-06-26,241.51,1592636,242.67,243.26,239.67
2024-06-25,244.83,1283805,246.53,246.87,243.78
2024-06-24,245.66,1058551,243.23,246.27,243.23
2024-06-21,243.53,3299600,245.69,245.94,242.75
2024-06-20,243.98,1154434,242.68,244.4,242.66
2024-06-18,243.05,1320126,245.28,247.2,242.13
2024-06-17,244.7,1406883,238.55,245.045,237.6
2024-06-14,239.45,1566397,239.33,239.75,235.14
2024-06-13,240.47,1188728,235.22,240.77,234.66
2024-06-12,236.56,1477791,234.02,237.13,234.02
2024-06-11,232.64,1285070,231.78,233.235,229.93
2024-06-10,232.76,1219818,230.0,233.41,229.98
2024-06-07,231.1,2723430,231.52,232.9,230.13
2024-06-06,232.03,1028049,232.87,235.45,231.37
2024-06-05,232.77,987840,231.18,233.23,229.5
2024-06-04,230.51,1100568,226.6,231.695,226.44
2024-06-03,228.38,1644005,231.73,231.995,226.03
2024-05-31,231.17,1660301,229.52,231.39,227.44
2024-05-30,228.96,934690,228.79,229.6,226.7
2024-05-29,228.46,1161711,231.86,232.44,227.825
2024-05-28,234.14,993794,234.82,237.608,232.98
2024-05-24,236.59,909514,233.83,236.72,233.285
2024-05-23,232.06,1650396,236.5,236.5,231.84
2024-05-22,236.16,1091592,237.24,239.4,235.5
2024-05-21,238.28,839678,241.22,241.22,237.125
2024-05-20,240.33,954160,237.85,240.515,237.43
2024-05-17,237.73,1217046,238.96,239.58,236.32
2024-05-16,238.96,1280881,235.64,239.49,235.64
2024-05-15,236.0,1569035,236.75,237.4699,235.56
2024-05-14,235.87,2105279,237.97,238.58,235.69
2024-05-13,237.5,1288816,241.25,241.7,236.21
2024-05-10,240.46,1145266,238.0,240.67,237.5
2024-05-09,237.54,1229719,232.67,237.74,230.845
2024-05-08,235.35,1194614,235.55,236.28,234.47
2024-05-07,235.99,898005,236.815,238.27,235.66
2024-05-06,236.82,1068009,235.41,237.36,235.39
2024-05-03,234.59,1572856,237.38,238.76,234.3
2024-05-02,235.56,1413317,236.35,236.7,232.63
2024-05-01,233.86,2157183,233.75,237.24,230.81
2024-04-30,236.13,1862918,240.95,241.92,235.5
2024-04-29,240.49,1209117,241.47,244.24,239.59
2024-04-26,240.84,1065547,240.77,244.115,240.74
2024-04-25,241.94,1207368,242.07,243.12,240.23
2024-04-24,244.06,2301316,244.17,249.62,243.31
2024-04-23,239.69,1196185,237.41,239.98,237.41
2024-04-22,237.41,1046353,238.56,239.09,235.51
