date,close,volume,open,high,low
2025-03-13,146.1,3295006,150.275,151.24,145.91
2025-03-12,150.24,4196724,148.31,151.24,147.2
2025-03-11,147.54,5818437,145.73,149.49,145.63
2025-03-10,147.62,4966456,143.47,149.18,143.12
2025-03-07,146.3,5891090,144.69,147.215,140.78
2025-03-06,146.94,4492429,146.39,148.13,145.7487
2025-03-05,147.61,3909783,146.76,149.04,145.9991
2025-03-04,145.86,6787379,150.5,151.0399,145.62
2025-03-03,153.42,5672857,155.5,156.35,151.9
2025-02-28,155.12,8323108,151.5,155.5,151.0
2025-02-27,150.52,6576004,148.77,152.56,148.21
2025-02-26,147.43,5783358,144.385,149.26,141.76
2025-02-25,146.54,4358789,145.425,147.56,145.34
2025-02-24,145.48,3447463,144.98,146.4,143.87
2025-02-21,144.98,4278667,149.08,149.535,144.56
2025-02-20,149.08,2231527,149.99,150.09,148.04
2025-02-19,150.2,3216915,148.07,150.36,148.07
2025-02-18,148.99,2601531,148.175,149.485,147.995
2025-02-14,148.62,2388382,147.89,149.55,147.74
2025-02-13,148.72,2047063,149.11,149.72,147.53
2025-02-12,148.87,2103079,148.7,150.07,148.16
2025-02-11,150.07,2187764,149.31,150.38,148.5671
2025-02-10,149.69,3531493,150.16,150.6,148.13
2025-02-07,149.87,3356757,152.5,152.9,149.54
2025-02-06,152.32,2760375,152.7,153.47,151.57
2025-02-05,152.45,2841574,152.46,153.62,150.74
2025-02-04,151.68,3110352,149.46,152.76,149.32
2025-02-03,150.04,3556258,149.18,151.63,148.15
2025-01-31,152.2,4164492,154.99,155.0,152.13
2025-01-30,154.4,3962501,152.0,154.65,151.83
2025-01-29,151.54,3996082,151.5,152.78,150.64
2025-01-28,151.4,4286762,151.32,152.96,149.7901
2025-01-27,151.52,4929615,149.0,152.0,148.91
2025-01-24,149.43,4858639,148.9,150.1,148.4012
2025-01-23,149.63,4439380,149.45,150.46,148.4103
2025-01-22,149.12,7077793,147.88,152.08,147.41
2025-01-21,146.89,11368490,145.5,150.0,145.0
2025-01-17,141.03,5724458,139.65,141.66,139.5
2025-01-16,139.18,4122742,138.025,139.5,136.44
2025-01-15,137.78,4114327,138.21,138.85,137.12
2025-01-14,137.21,4629047,134.62,137.7,134.47
2025-01-13,134.6,4207293,130.73,134.73,129.54
2025-01-10,131.21,4661931,133.83,133.9,130.63
2025-01-08,134.53,4675990,132.03,134.68,131.66
2025-01-07,132.77,3414840,130.09,132.8,130.01
2025-01-06,130.29,3067149,130.82,131.409,129.88
2025-01-03,129.87,2273763,129.7,130.86,129.2974
2025-01-02,129.7,3249067,130.29,131.62,128.98
2024-12-31,129.09,2220414,129.2,130.05,128.66
2024-12-30,129.13,2153994,129.12,129.92,127.9234
2024-12-27,130.18,1842823,129.91,131.18,129.21
2024-12-26,131.18,1485103,130.33,131.4,129.23
2024-12-24,130.36,803216,128.74,130.36,128.09
2024-12-23,128.98,2067478,128.5,129.19,127.75
2024-12-20,129.28,8351297,126.37,130.35,125.75
2024-12-19,127.13,3040663,126.65,127.738,125.71
2024-12-18,125.53,3748871,128.21,129.37,125.37
2024-12-17,128.05,2693196,128.41,129.36,127.6502
2024-12-16,129.47,3097874,129.9,130.2,128.86
2024-12-13,129.92,2382080,129.7,130.1625,128.9101
2024-12-12,129.75,2915471,129.65,130.6699,128.77
2024-12-11,129.77,4089900,130.27,130.67,129.26
2024-12-10,129.77,3225759,130.12,130.595,127.6
2024-12-09,131.49,3442505,133.1,133.85,131.27
2024-12-06,133.11,1912419,133.25,134.22,132.2
2024-12-05,133.33,4171989,130.82,135.58,130.45
2024-12-04,130.45,2503466,130.93,131.39,128.97
2024-12-03,131.15,2378362,132.89,133.23,130.74
2024-12-02,132.89,3002022,133.53,133.77,132.38
2024-11-29,133.53,1618282,132.86,133.74,132.04
2024-11-27,132.48,2579605,133.91,135.55,132.36
2024-11-26,132.95,3080298,129.99,133.23,129.65
2024-11-25,130.32,5075140,129.21,130.6,127.55
2024-11-22,128.42,3052490,127.69,128.48,126.37
2024-11-21,127.32,2544777,127.73,128.58,126.32
2024-11-20,127.84,1700740,128.0,128.19,127.1
2024-11-19,128.19,2600637,129.01,129.265,128.0
2024-11-18,130.17,2433351,129.78,130.3826,128.57
2024-11-15,129.79,1929226,130.11,131.25,129.71
2024-11-14,132.32,2284136,131.87,133.31,131.7701
2024-11-13,131.45,2675526,132.01,133.07,130.82
2024-11-12,130.35,3144974,132.8,133.2,128.47
2024-11-11,133.0,3791282,134.85,135.34,132.78
2024-11-08,134.34,3466066,133.45,135.02,133.2002
2024-11-07,133.07,3906572,133.36,134.8,132.48
2024-11-06,133.92,4803188,130.7,134.4,129.6
2024-11-05,126.52,3943782,125.5,127.9,124.83
2024-11-04,125.85,3643186,127.24,128.81,125.48
2024-11-01,127.22,3068858,128.47,128.52,126.85
2024-10-31,128.47,3408943,127.0,129.15,126.97
2024-10-30,127.56,2737150,129.0,129.45,127.42
2024-10-29,129.27,2820351,129.01,130.21,127.77
2024-10-28,130.29,5239178,126.65,130.8,126.06
2024-10-25,124.75,3774883,126.6,127.04,124.5
2024-10-24,126.47,5085135,128.035,128.94,125.87
2024-10-23,127.91,8116248,131.22,132.15,125.9128
2024-10-22,131.73,13082260,140.19,141.34,130.82
2024-10-21,134.84,5940581,135.28,135.84,133.75
2024-10-18,135.14,2791646,135.69,136.12,134.29
2024-10-17,135.68,2328475,136.61,136.66,135.115
2024-10-16,136.35,2021056,135.6,137.05,135.33
2024-10-15,135.73,2465932,136.0,136.95,135.0
2024-10-14,135.76,2207917,134.4,135.9,134.025
2024-10-11,134.75,3103642,133.4,134.859,133.1
2024-10-10,133.46,3060118,134.43,134.49,132.93
2024-10-09,135.01,2671470,134.59,135.545,134.23
2024-10-08,134.69,2882081,134.48,135.0399,133.3022
2024-10-07,134.85,2254425,134.72,135.27,133.83
2024-10-04,135.27,2387396,135.84,135.93,134.0451
2024-10-03,134.78,2504927,135.0,135.6,133.8401
2024-10-02,135.43,2624867,137.22,137.22,135.37
2024-10-01,137.06,3050502,136.0,137.34,134.9
2024-09-30,136.7,3814148,137.83,137.95,135.23
2024-09-27,137.3,2956081,139.0,139.29,137.05
2024-09-26,139.44,4111107,137.56,140.72,137.55
2024-09-25,136.6,3580080,137.23,137.89,136.04
2024-09-24,137.22,3145327,136.47,137.94,136.35
2024-09-23,135.64,2638392,134.7,136.09,134.69
2024-09-20,134.77,11579640,133.01,134.95,132.771
2024-09-19,133.84,2691488,134.4,135.32,133.32
2024-09-18,133.36,2960934,133.26,134.28,131.755
2024-09-17,133.57,3969018,134.09,134.43,132.31
2024-09-16,134.61,3069311,133.98,135.28,133.83
2024-09-13,133.18,2670119,131.88,133.37,131.35
2024-09-12,132.03,3978880,130.3,132.72,130.1
2024-09-11,130.23,3283879,129.5,130.38,127.12
2024-09-10,130.09,2732510,128.85,130.16,128.46
2024-09-09,128.46,3616263,129.39,130.98,128.19
2024-09-06,128.6,3562233,130.5,132.1,128.02
2024-09-05,131.4,2725955,131.92,132.95,130.7
2024-09-04,132.15,3300751,131.19,132.86,130.85
2024-09-03,130.85,4024084,133.01,133.78,130.21
2024-08-30,134.69,6092831,133.07,134.99,132.61
2024-08-29,132.91,2992832,131.65,133.18,131.34
2024-08-28,131.61,3274045,131.4,132.62,131.15
2024-08-27,131.4,2878736,131.32,132.62,130.95
2024-08-26,131.85,3915794,129.6,131.92,129.6
2024-08-23,130.55,2618842,129.23,130.65,128.85
2024-08-22,128.6,2300641,129.1,129.75,128.3
2024-08-21,129.23,3664550,127.84,129.99,127.66
2024-08-20,127.7,2792905,126.99,128.0653,126.88
2024-08-19,127.08,2243571,127.08,127.85,126.53
2024-08-16,127.05,3812693,126.74,127.34,126.02
2024-08-15,127.16,3359903,127.32,127.9368,126.17
2024-08-14,126.17,3252959,124.97,127.04,124.6298
2024-08-13,125.35,3056591,123.43,125.4,122.74
2024-08-12,123.36,2585947,124.0,124.0899,122.54
2024-08-09,124.17,3247914,124.64,124.64,123.335
2024-08-08,125.13,2932882,122.45,125.74,122.18
2024-08-07,122.83,3410105,125.39,126.57,122.69
2024-08-06,124.89,4334268,123.36,126.13,122.72
2024-08-05,124.61,6669666,119.57,125.3154,119.31
2024-08-02,125.24,4021383,125.81,127.745,124.78
2024-08-01,126.47,5563739,127.5,127.94,124.43
2024-07-31,127.55,6889922,126.63,128.6,125.33
2024-07-30,126.75,6746475,125.85,127.69,124.1074
2024-07-29,125.16,10816740,128.0,128.65,124.13
2024-07-26,127.16,32748920,112.685,128.025,112.685
2024-07-25,103.39,4598084,102.72,104.79,101.77
2024-07-24,103.25,3252198,104.56,105.1,103.08
2024-07-23,104.73,2172621,105.0,105.27,104.17
2024-07-22,104.97,2686587,104.06,105.04,102.4
2024-07-19,103.92,2884897,104.75,104.75,103.13
2024-07-18,104.02,3023902,104.22,105.52,103.44
2024-07-17,104.64,3567941,102.86,104.8,102.69
2024-07-16,103.31,3609174,100.87,103.69,100.87
2024-07-15,102.72,3316717,104.9,104.9975,102.57
2024-07-12,104.04,3381190,103.79,105.3,103.69
2024-07-11,103.23,4581327,102.38,104.27,101.8002
2024-07-10,101.67,4519547,99.81,101.83,98.26
2024-07-09,99.69,2809735,100.85,101.46,99.472
2024-07-08,101.1,2338695,101.51,102.74,100.62
2024-07-05,101.32,3059577,101.4,101.66,100.64
2024-07-03,101.62,1230776,101.29,102.15,100.68
2024-07-02,101.62,2291274,100.56,101.93,100.46
2024-07-01,100.61,2705605,102.86,103.4494,100.205
2024-06-28,102.19,6196466,103.01,103.97,101.66
2024-06-27,103.17,4338345,101.96,104.04,101.64
2024-06-26,101.45,2356088,101.62,101.8,100.57
2024-06-25,102.05,5164160,102.88,103.18,101.29
2024-06-24,102.99,2947967,102.18,103.5,101.68
2024-06-21,102.39,7866227,101.93,102.44,100.945
2024-06-20,101.66,3476766,100.26,102.34,100.19
2024-06-18,100.77,3446167,100.07,101.465,100.06
2024-06-17,100.53,3490032,99.98,101.44,99.92
2024-06-14,100.9,2685142,100.5,101.42,99.305
2024-06-13,101.54,5034653,102.02,102.8,100.74
2024-06-12,101.21,3704729,102.62,103.68,100.76
2024-06-11,101.32,2831634,100.1,101.47,99.225
2024-06-10,100.66,3507587,100.43,101.84,100.28
