date,close,volume,open,high,low
2025-03-13,34.3,9430551,35.15,38.12,34.2
2025-03-12,35.01,6609765,34.415,35.2941,33.79
2025-03-11,33.76,12411410,36.0,36.02,32.62
2025-03-10,35.96,12537670,35.2,37.5497,35.15
2025-03-07,35.61,17337680,34.47,37.91,33.93
2025-03-06,34.3,11327020,34.09,35.2505,33.21
2025-03-05,35.21,21835330,32.5,35.39,30.91
2025-03-04,30.37,8064724,29.77,31.1431,29.35
2025-03-03,30.27,6736565,31.18,32.0,30.16
2025-02-28,30.96,8748005,30.775,31.305,30.2007
2025-02-27,31.09,9865294,32.565,33.0,31.0
2025-02-26,33.58,6699564,33.26,34.17,32.71
2025-02-25,33.28,11400200,33.98,35.48,32.9326
2025-02-24,33.9,8887471,33.88,34.56,33.28
2025-02-21,35.53,21448980,33.89,35.97,33.18
2025-02-20,33.73,11421580,36.23,36.3,32.78
2025-02-19,35.9,10040830,35.11,36.75,35.05
2025-02-18,35.75,18965150,33.05,36.98,32.0423
2025-02-14,32.99,25327280,30.53,33.91,29.25
2025-02-13,31.92,14719620,31.0,31.96,30.27
2025-02-12,30.535,8356581,30.97,31.08,30.24
2025-02-11,30.93,10088650,31.52,32.42,30.7
2025-02-10,31.87,10918270,33.0,33.3937,31.66
2025-02-07,32.6,9646794,33.51,33.77,32.46
2025-02-06,33.61,8978842,35.2,35.24,33.61
2025-02-05,34.98,9386550,34.32,35.57,33.9036
2025-02-04,34.17,22904920,36.65,37.92,33.84
2025-02-03,36.55,13511790,38.21,38.65,35.93
2025-01-31,39.42,6538798,41.185,41.46,39.31
2025-01-30,41.04,12259590,41.4,42.54,39.88
2025-01-29,40.72,14598080,43.28,44.74,40.675
2025-01-28,44.94,13285790,41.99,45.15,40.75
2025-01-27,41.65,12162860,40.87,44.08,40.71
2025-01-24,41.41,17245600,43.18,45.4,40.785
2025-01-23,42.39,13684240,38.4,42.54,36.99
2025-01-22,38.5,16694550,36.35,41.09,36.0
2025-01-21,35.89,12834890,35.76,37.9,35.3
2025-01-17,34.06,8130483,33.84,34.79,33.6
2025-01-16,33.76,7340888,34.75,34.95,33.34
2025-01-15,34.77,7459657,35.18,35.54,34.46
2025-01-14,34.46,14427260,35.15,35.68,33.1801
2025-01-13,35.15,33487970,33.3,35.38,31.94
2025-01-10,42.25,6411851,42.765,43.6999,41.785
2025-01-08,43.17,13347550,47.6,47.7,43.01
2025-01-07,47.53,22592320,43.9,48.92,42.86
2025-01-06,42.57,8577629,44.0,44.52,41.63
2025-01-03,42.18,5555554,42.25,42.62,41.08
2025-01-02,42.0,5313474,42.2,43.3,41.41
2024-12-31,41.58,7573726,39.71,41.79,39.39
2024-12-30,39.38,5514995,39.735,40.5,38.88
2024-12-27,40.13,4825093,40.355,41.49,39.7944
2024-12-26,40.43,4235706,39.56,40.55,39.24
2024-12-24,40.27,2521898,39.59,40.355,38.75
2024-12-23,39.59,5112315,39.19,40.3399,38.52
2024-12-20,39.39,35482940,39.2,40.83,39.1201
2024-12-19,39.56,7497492,38.56,39.87,37.44
2024-12-18,38.36,8572999,40.05,41.725,38.2
2024-12-17,40.76,6266844,41.85,43.17,40.63
2024-12-16,41.84,8038278,42.16,44.38,41.28
2024-12-13,41.83,4862132,42.235,42.69,41.38
2024-12-12,42.82,5236561,42.55,43.8,41.7
2024-12-11,42.86,5619301,41.9,43.25,41.0604
2024-12-10,41.51,10482670,45.36,45.49,41.055
2024-12-09,45.65,7292460,44.77,47.4126,44.1001
2024-12-06,44.44,8742718,43.52,46.62,43.16
2024-12-05,42.94,8084242,41.9,44.45,41.745
2024-12-04,41.63,5010891,42.76,42.8,41.4763
2024-12-03,42.58,7192609,43.98,44.25,42.36
2024-12-02,44.26,6832757,43.33,44.6587,42.07
2024-11-29,43.06,3591465,43.25,43.85,42.3
2024-11-27,43.39,5083475,42.49,43.46,42.08
2024-11-26,42.05,7248943,43.13,43.3,41.47
2024-11-25,43.66,15821720,43.0,46.3,42.83
2024-11-22,41.11,13410790,38.44,42.4,37.76
2024-11-21,38.25,8964055,36.55,38.82,35.96
2024-11-20,36.94,7340778,37.29,38.22,36.4053
2024-11-19,37.29,9148774,38.895,39.28,37.01
2024-11-18,39.51,13877020,38.31,39.765,37.1
2024-11-15,36.85,24355510,38.55,38.7,35.8
2024-11-14,39.77,12890140,42.05,42.06,38.76
2024-11-13,42.14,7725363,43.25,43.28,41.71
2024-11-12,43.47,10714170,42.19,44.11,41.54
2024-11-11,42.75,15915870,46.83,46.88,42.25
2024-11-08,46.83,13561540,50.42,50.9,46.57
2024-11-07,50.28,18211730,56.6,56.695,49.94
2024-11-06,51.81,10681550,52.61,52.855,49.6
2024-11-05,53.29,5765855,53.53,54.32,52.08
2024-11-04,53.54,4037232,54.6,55.6499,53.41
2024-11-01,54.63,4787050,54.49,55.35,53.89
2024-10-31,54.36,4511436,54.35,54.575,52.92
2024-10-30,54.72,4280556,54.37,55.035,53.5
2024-10-29,55.22,5592539,55.21,57.69,54.88
2024-10-28,54.8,5011899,53.31,55.77,53.1
2024-10-25,53.09,3704422,53.01,54.51,52.8
2024-10-24,52.8,3767076,53.39,53.836,52.26
2024-10-23,53.39,4288942,53.22,54.74,52.77
2024-10-22,53.4,3559675,53.67,54.7893,52.81
2024-10-21,53.8,4092122,53.82,54.76,53.05
2024-10-18,54.1,6754694,54.535,55.1,53.55
2024-10-17,54.82,5423743,57.08,57.145,54.82
2024-10-16,57.46,3258207,57.82,58.45,57.12
2024-10-15,57.31,4087301,57.64,58.62,57.1201
2024-10-14,57.73,3361308,57.9,58.96,57.05
2024-10-11,58.29,6260992,56.71,59.7342,55.7
2024-10-10,56.83,4414955,58.41,58.7,56.64
2024-10-09,58.86,2974681,58.33,59.52,57.901
2024-10-08,58.39,3827988,58.53,58.67,57.75
2024-10-07,58.72,5021356,60.2,60.65,58.33
2024-10-04,60.2,6218154,61.51,62.11,59.62
2024-10-03,61.07,4711853,62.53,62.97,61.03
2024-10-02,63.16,4107363,63.52,63.69,62.58
2024-10-01,63.93,4643634,67.13,67.5499,63.41
2024-09-30,66.83,4811083,65.69,67.9598,65.31
2024-09-27,65.75,4738605,64.85,66.88,64.2504
2024-09-26,63.93,4467691,64.8,65.0699,63.37
2024-09-25,63.64,4524356,63.95,64.86,63.51
2024-09-24,63.94,5167005,64.8,65.25,63.88
2024-09-23,64.14,5917943,66.05,66.05,64.1
2024-09-20,65.69,12421450,67.6,67.9099,64.7
2024-09-19,68.02,5065447,71.85,71.97,67.91
2024-09-18,69.86,4278359,72.19,73.35,69.82
2024-09-17,71.99,7183216,70.11,75.3714,69.79
2024-09-16,69.17,4875018,68.12,70.6,67.81
2024-09-13,68.28,11969000,66.17,68.58,65.5501
2024-09-12,69.68,23990270,67.89,70.85,64.1101
2024-09-11,79.51,3370687,79.05,79.88,77.4401
2024-09-10,79.28,3661685,76.12,79.9587,75.95
2024-09-09,76.61,5321193,73.48,78.8,73.26
2024-09-06,72.89,3425366,73.44,73.6,71.65
2024-09-05,73.44,2541798,72.78,73.6,71.51
2024-09-04,72.49,4233103,72.4,74.43,71.62
2024-09-03,72.94,5184974,77.55,77.75,72.54
2024-08-30,77.4,3591705,78.48,78.52,76.06
2024-08-29,77.59,3307807,78.78,79.6,77.46
2024-08-28,78.36,3023969,79.95,80.56,78.2
2024-08-27,78.98,3640200,81.59,81.61,78.4
2024-08-26,81.66,2303483,82.63,83.6738,81.25
2024-08-23,82.44,4225200,82.35,84.28,81.25
2024-08-22,81.04,5345361,86.16,86.8,80.76
2024-08-21,86.65,3150518,87.73,88.59,85.88
2024-08-20,86.94,2706106,89.24,89.8,86.91
2024-08-19,89.96,4136182,87.02,91.99,86.62
2024-08-16,86.84,3399329,88.0,88.78,86.24
2024-08-15,86.62,3971523,83.65,87.88,83.56
2024-08-14,82.25,2638057,82.75,83.52,81.35
2024-08-13,82.9,2932534,81.43,83.04,80.58
2024-08-12,81.29,3065286,85.0,85.0,80.7806
2024-08-09,84.93,2388129,84.39,85.2,82.59
2024-08-08,84.32,3539750,82.5,85.4,82.07
2024-08-07,81.55,4319759,84.08,85.75,80.34
2024-08-06,82.3,5194413,84.92,85.57,80.17
2024-08-05,83.75,8063284,80.37,85.86,78.07
2024-08-02,86.58,10332910,91.17,91.68,84.43
2024-08-01,94.17,18591900,99.58,102.9,93.6
2024-07-31,119.22,3118385,120.53,122.45,118.1
2024-07-30,118.84,2673653,123.57,125.68,118.5
2024-07-29,122.17,2092361,122.55,122.85,119.76
2024-07-26,122.11,1887492,121.83,122.34,119.43
2024-07-25,120.4,2638674,117.78,122.3999,116.58
2024-07-24,118.19,3304062,119.81,120.04,115.47
2024-07-23,121.25,1752981,121.84,123.5,120.22
2024-07-22,122.5,1810914,122.52,124.055,120.44
2024-07-19,121.14,2206322,121.01,121.9799,118.8
2024-07-18,121.32,2018271,124.1,126.4199,121.0
2024-07-17,124.055,2851241,123.12,125.32,120.11
2024-07-16,125.14,3008616,122.76,127.2,120.79
2024-07-15,121.48,2682201,121.1,121.94,116.0
2024-07-12,121.46,4526238,123.68,129.39,121.01
2024-07-11,122.82,4164814,120.03,124.19,119.39
2024-07-10,117.44,2820093,116.1,120.378,115.29
2024-07-09,116.07,2512265,116.71,118.84,115.4
2024-07-08,116.45,2195485,118.41,119.3,115.56
2024-07-05,118.32,3067183,117.3,118.88,115.7
2024-07-03,115.95,1853449,118.74,119.39,115.3
2024-07-02,117.07,3425779,117.34,119.14,114.02
2024-07-01,115.95,3724162,117.05,123.74,115.1401
2024-06-28,118.75,3976313,122.59,123.2499,118.03
2024-06-27,121.18,4804225,121.9,122.2799,118.52
2024-06-26,122.45,7721615,135.17,135.37,122.12
2024-06-25,137.6,3387262,136.0,138.07,134.73
2024-06-24,137.0,3443046,134.57,137.57,133.17
2024-06-21,133.4,5225264,136.0,136.36,132.1554
2024-06-20,134.4,3547077,132.54,136.7,130.5
2024-06-18,133.27,3970223,136.58,137.27,131.52
2024-06-17,137.9,3384208,138.16,139.92,135.27
2024-06-14,140.03,3601293,142.67,145.735,138.17
2024-06-13,145.23,1815199,147.0,148.8401,144.87
2024-06-12,147.72,3486003,150.0,150.74,142.27
2024-06-11,148.39,1924981,148.3,150.65,146.95
2024-06-10,148.59,5969563,151.5,152.28,143.77
2024-06-07,151.01,2521599,152.79,153.56,149.13
2024-06-06,154.69,3373486,157.95,158.82,152.39
2024-06-05,154.84,4046256,146.75,155.39,145.035
2024-06-04,145.34,3045560,147.66,147.66,141.3
2024-06-03,147.82,4941455,139.75,150.8,137.52
2024-05-31,142.55,7180988,152.1,158.129,140.7401
2024-05-30,151.49,4667767,150.35,152.79,143.5201
2024-05-29,147.92,5505891,150.0,150.0,140.23
2024-05-28,153.2,6636483,161.64,164.725,148.5001
2024-05-24,166.61,5052591,163.675,170.47,162.0
2024-05-23,164.01,7120701,160.0,165.14,157.46
2024-05-22,163.33,13592710,142.9,164.88,142.81
2024-05-21,143.69,3375932,139.47,143.87,138.1037
2024-05-20,141.01,4711331,132.98,142.79,131.72
2024-05-17,132.9,2718168,132.52,134.6,129.67
2024-05-16,132.68,3008046,129.76,133.04,127.8302
2024-05-15,129.06,2964702,127.49,129.2,124.98
2024-05-14,128.32,3625381,127.0,129.9399,126.3385
2024-05-13,125.67,4095239,119.47,126.88,119.03
2024-05-10,117.31,4238508,120.75,124.9,116.7317
2024-05-09,122.69,3367379,123.15,125.5,121.68
