date,close,volume,open,high,low
2025-03-13,541.46,650779,544.02,547.319,537.13
2025-03-12,545.07,662892,545.21,549.1673,538.5
2025-03-11,541.72,846602,543.2,549.23,535.915
2025-03-10,545.34,819731,555.0,556.5,539.51
2025-03-07,561.89,710382,565.32,566.92,553.35
2025-03-06,566.28,649020,566.07,573.59,561.725
2025-03-05,572.99,614788,567.85,574.56,561.59
2025-03-04,567.62,674839,586.59,586.59,560.66
2025-03-03,588.76,507509,590.51,598.71,585.95
2025-02-28,590.51,570658,585.29,590.51,580.65
2025-02-27,581.27,456150,579.6,589.0,579.6
2025-02-26,579.44,397156,583.41,587.0,577.88
2025-02-25,584.54,723398,580.53,586.54,578.64
2025-02-24,573.55,627030,578.31,582.94,568.88
2025-02-21,578.34,565167,573.19,579.515,571.34
2025-02-20,574.35,736993,574.1,575.5,568.02
2025-02-19,574.73,608994,571.09,576.33,567.4001
2025-02-18,572.69,748228,572.66,575.69,561.71
2025-02-14,572.63,453875,573.86,578.865,571.44
2025-02-13,572.3,784523,575.13,576.265,568.3
2025-02-12,572.53,634525,572.24,573.4325,567.046
2025-02-11,577.31,728875,574.49,582.215,569.15
2025-02-10,583.48,547419,582.05,583.83,575.5912
2025-02-07,579.39,549453,587.42,588.06,577.52
2025-02-06,587.48,570221,587.08,587.75,579.48
2025-02-05,582.12,825679,586.17,588.185,575.205
2025-02-04,584.47,855711,580.2,589.465,578.8
2025-02-03,582.43,604480,587.19,592.95,581.38
2025-01-31,596.77,735896,590.85,597.09,586.04
2025-01-30,590.73,503128,593.5,603.75,585.06
2025-01-29,593.05,1061433,595.95,618.19,572.27
2025-01-28,628.34,514796,622.54,634.99,619.33
2025-01-27,623.73,400454,615.97,625.44,613.065
2025-01-24,620.72,369259,613.38,622.97,612.2
2025-01-23,615.96,574312,615.37,615.995,609.765
2025-01-22,613.0,406662,615.94,618.76,611.29
2025-01-21,617.38,676075,604.96,618.61,604.96
2025-01-17,612.02,311715,612.76,617.19,609.02
2025-01-16,609.97,425388,603.44,610.89,598.74
2025-01-15,601.0,504136,596.67,602.71,593.32
2025-01-14,585.8,446890,582.67,587.47,579.46
2025-01-13,580.52,410440,574.0,581.67,570.25
2025-01-10,575.73,447952,589.53,595.0,573.7
2025-01-08,602.23,417300,588.05,602.3,586.11
2025-01-07,591.33,445396,594.51,597.7,588.05
2025-01-06,596.66,359569,601.48,604.929,596.54
2025-01-03,601.48,243759,597.88,602.94,595.94
2025-01-02,597.13,390340,601.5,603.76,595.09
2024-12-31,600.01,223964,601.23,606.2261,598.13
2024-12-30,599.65,358415,602.07,602.26,595.07
2024-12-27,609.59,245464,607.0,611.93,603.33
2024-12-26,610.97,221117,604.86,613.56,604.86
2024-12-24,607.91,157410,607.31,607.91,602.99
2024-12-23,605.42,302946,601.67,607.1,598.96
2024-12-20,604.8,828465,597.48,606.74,596.1615
2024-12-19,600.58,508483,596.19,606.2,593.26
2024-12-18,597.9,715457,619.06,620.3,597.3
2024-12-17,611.5,555060,617.67,619.44,610.39
2024-12-16,618.38,506650,625.04,627.29,617.025
2024-12-13,625.1,380860,635.0,636.22,620.32
2024-12-12,635.99,430381,638.94,642.448,634.06
2024-12-11,629.61,455137,631.51,638.755,629.03
2024-12-10,629.01,483954,617.9,635.74,617.33
2024-12-09,618.5,323882,618.54,620.975,612.23
2024-12-06,617.18,484447,609.17,619.75,609.17
2024-12-05,609.91,401955,610.26,616.3858,608.72
2024-12-04,615.93,371916,605.82,617.48,605.82
2024-12-03,608.1,307877,608.58,613.64,607.175
2024-12-02,608.97,347262,608.01,610.06,601.7601
2024-11-29,609.63,204350,605.17,611.08,605.17
2024-11-27,604.96,345537,604.2,607.41,601.1785
2024-11-26,601.96,362343,593.69,603.07,592.455
2024-11-25,592.73,575642,592.75,596.55,589.585
2024-11-22,589.57,437014,579.23,590.61,578.88
2024-11-21,581.34,685575,587.99,587.99,580.02
2024-11-20,582.0,888879,600.93,603.32,576.88
2024-11-19,597.13,457235,591.56,602.045,590.0
2024-11-18,593.12,653251,592.36,595.22,590.14
2024-11-15,593.86,525037,599.44,603.725,593.35
2024-11-14,606.14,354511,608.41,616.97,605.044
2024-11-13,610.53,583511,605.07,621.46,604.415
2024-11-12,602.64,404383,595.91,606.01,594.15
2024-11-11,597.25,441551,594.59,602.9,594.32
2024-11-08,594.0,781469,577.47,596.705,575.63
2024-11-07,575.66,658188,579.24,579.63,572.0248
2024-11-06,574.82,1254599,593.07,595.0,559.63
