date,close,volume,open,high,low
2025-03-13,18.53,11901950,19.1,19.32,18.21
2025-03-12,19.01,21344260,19.25,19.61,18.76
2025-03-11,18.77,19919140,18.6,19.005,17.705
2025-03-10,18.74,19677440,19.3,19.41,18.29
2025-03-07,20.06,18214030,19.67,20.0982,19.135
2025-03-06,20.0,18142290,20.61,21.03,19.91
2025-03-05,21.3,14037550,21.3,21.53,20.815
2025-03-04,21.13,33226080,21.4,21.51,20.28
2025-03-03,21.95,17260500,22.97,23.28,21.66
2025-02-28,22.72,24852360,23.54,23.68,22.28
2025-02-27,23.72,25828120,25.825,26.0,23.08
2025-02-26,25.05,12088070,24.89,25.28,24.76
2025-02-25,24.59,9813564,25.04,25.07,24.1
2025-02-24,24.85,11119390,24.79,25.38,24.31
2025-02-21,24.11,15832530,25.68,25.68,23.845
2025-02-20,25.68,22246560,26.68,26.731,24.36
2025-02-19,27.0,7381874,26.56,27.0783,26.15
2025-02-18,27.2,13003340,26.65,27.41,26.255
2025-02-14,26.38,5563354,26.34,26.4451,25.91
2025-02-13,26.33,8223145,26.4,26.76,25.81
2025-02-12,26.23,6157896,25.73,26.24,25.53
2025-02-11,26.19,8367185,26.34,26.35,25.815
2025-02-10,26.49,7868952,27.46,27.65,26.48
2025-02-07,27.33,9039524,28.32,28.91,27.27
2025-02-06,28.28,5935142,28.3,28.4,27.8601
2025-02-05,28.13,5649241,28.03,28.3,27.54
2025-02-04,27.89,6419276,27.82,28.23,27.345
2025-02-03,27.66,9267025,27.08,28.4,27.08
2025-01-31,28.35,7064906,29.18,29.29,28.23
2025-01-30,29.07,6786657,28.7,29.0899,28.46
2025-01-29,28.46,8964597,28.4,28.73,27.87
2025-01-28,28.44,19625790,26.45,28.53,26.45
2025-01-27,26.39,10294020,25.43,26.515,25.29
2025-01-24,25.68,8864075,26.33,26.3555,25.66
2025-01-23,26.42,5734053,26.04,26.51,25.835
2025-01-22,26.26,8042544,27.11,27.18,26.25
2025-01-21,27.04,7719583,27.68,28.13,27.0
2025-01-17,27.17,9185907,26.75,27.565,26.59
2025-01-16,26.44,5604505,26.15,26.44,25.82
2025-01-15,26.02,7779933,26.53,26.72,25.89
2025-01-14,26.0,6944752,25.75,26.095,25.44
2025-01-13,25.63,7151769,25.44,25.645,25.055
2025-01-10,25.79,7846965,25.05,26.07,24.83
2025-01-08,25.92,7218820,25.25,26.035,25.025
2025-01-07,25.51,9142216,25.58,25.62,24.48
2025-01-06,25.64,9244136,25.75,26.15,25.35
2025-01-03,25.42,9514750,25.85,25.99,24.7101
2025-01-02,25.92,8529802,26.18,26.3,25.615
2024-12-31,25.73,4716457,25.57,26.1466,25.56
2024-12-30,25.75,8201983,25.28,26.12,25.13
2024-12-27,25.75,6555933,26.15,26.16,25.41
2024-12-26,26.34,4464971,26.14,26.5169,25.955
2024-12-24,26.42,4075008,26.24,26.42,25.81
2024-12-23,26.13,9623936,26.61,26.64,25.73
2024-12-20,26.91,20047180,26.46,27.23,26.0
2024-12-19,25.41,9254950,25.56,25.994,24.89
2024-12-18,25.1,8681795,26.73,26.9,24.92
2024-12-17,26.39,6772958,26.4,26.73,26.15
2024-12-16,26.62,7452624,26.94,27.19,26.415
2024-12-13,26.8,7171363,27.33,27.4,26.6
