date,close,volume,open,high,low
2025-03-13,490.59,1330620,474.61,492.6,471.89
2025-03-12,475.1,1136643,489.04,492.0,474.5
2025-03-11,494.11,1555026,494.0,495.45,484.805
2025-03-10,495.45,1567057,486.44,510.21,483.71
2025-03-07,486.52,1027327,473.12,491.1,472.225
2025-03-06,475.2,941680,475.65,477.065,465.1972
2025-03-05,474.2,1188734,466.74,479.635,466.59
2025-03-04,463.83,1335757,471.43,480.88,463.14
2025-03-03,473.41,1255892,466.36,473.8099,463.16
2025-02-28,461.74,901027,460.75,464.93,455.93
2025-02-27,459.97,1131008,455.97,464.0,455.88
2025-02-26,454.87,738919,458.27,458.905,452.7301
2025-02-25,461.01,1241318,451.85,462.56,450.84
2025-02-24,449.94,1507574,450.23,456.51,449.205
2025-02-21,447.96,1677678,437.83,450.09,437.83
2025-02-20,438.11,1218926,429.08,439.0,426.24
2025-02-19,433.45,1784680,443.47,451.08,430.0
2025-02-18,441.36,1074602,445.35,448.9499,439.445
2025-02-14,438.9,2036150,453.74,453.995,434.15
2025-02-13,455.06,1245401,472.26,474.74,453.62
2025-02-12,470.86,807079,472.24,477.47,469.26
2025-02-11,473.84,539054,475.62,475.83,468.42
2025-02-10,474.37,804829,469.81,477.08,468.53
2025-02-07,468.58,820005,468.36,474.145,465.87
2025-02-06,466.55,789945,470.85,472.745,462.24
2025-02-05,472.34,1079969,484.99,486.0043,470.93
2025-02-04,482.39,525931,486.6,487.785,481.42
2025-02-03,487.75,763381,488.41,493.33,481.66
2025-01-31,487.27,795031,484.0,488.1,478.5
2025-01-30,483.37,1468496,472.0,485.0,469.7273
2025-01-29,481.54,873545,486.64,492.76,480.245
2025-01-28,486.64,1036746,501.11,502.912,485.48
2025-01-27,503.23,738231,502.39,507.38,497.0
2025-01-24,497.02,556443,497.93,500.0,496.66
2025-01-23,499.77,780191,506.0,507.64,493.23
2025-01-22,502.41,1326544,504.0,505.26,497.17
2025-01-21,504.45,1310320,490.0,507.67,489.54
2025-01-17,482.38,1091623,480.42,483.43,477.355
2025-01-16,481.19,706639,471.33,481.33,470.77
2025-01-15,472.3,646439,476.53,477.7,470.19
2025-01-14,475.5,554115,473.51,475.98,471.575
2025-01-13,472.38,964536,458.69,477.39,458.69
2025-01-10,458.69,626425,461.36,464.375,455.425
2025-01-08,462.21,746599,456.02,464.62,453.96
2025-01-07,452.39,1100021,454.19,458.545,450.81
2025-01-06,455.14,873418,465.27,466.22,453.96
2025-01-03,467.82,624523,467.56,469.61,466.46
2025-01-02,468.01,598346,471.99,476.09,466.2783
2024-12-31,469.29,439907,466.52,470.5183,465.31
2024-12-30,466.52,440216,467.82,469.055,465.1835
2024-12-27,471.35,376022,469.62,474.65,469.0264
2024-12-26,472.23,294709,471.09,474.02,469.67
2024-12-24,471.09,235079,466.69,471.79,465.9
2024-12-23,467.2,581858,469.37,470.255,464.1225
2024-12-20,469.54,1283886,467.49,474.4,464.35
2024-12-19,467.13,730309,466.28,470.97,462.81
2024-12-18,467.66,839191,480.88,483.5,467.12
2024-12-17,480.29,747294,480.95,486.89,478.39
2024-12-16,482.6,859441,478.84,484.65,477.485
2024-12-13,480.0,699634,479.99,484.015,477.67
2024-12-12,481.51,1317362,477.0,486.22,473.77
2024-12-11,475.62,1058530,480.3,480.855,474.0
2024-12-10,480.18,789633,477.71,480.68,473.29
2024-12-09,479.17,930263,471.45,482.0068,470.5979
2024-12-06,473.65,915772,479.61,480.05,470.55
2024-12-05,479.57,932686,485.8,486.59,478.14
2024-12-04,486.62,804726,482.74,487.8429,481.06
2024-12-03,485.21,683900,485.68,486.295,483.13
2024-12-02,484.75,479605,487.0,489.18,481.91
2024-11-29,489.65,336736,489.9,490.62,486.6
2024-11-27,489.08,583432,488.27,492.42,488.0
2024-11-26,488.43,849287,486.56,491.74,482.565
2024-11-25,485.27,1805930,493.5,493.99,478.42
2024-11-22,496.87,507535,497.98,500.0,494.31
2024-11-21,496.41,609791,493.9,496.9,489.17
2024-11-20,491.98,533501,490.32,492.9499,487.44
2024-11-19,491.02,795309,494.12,497.94,489.65
2024-11-18,488.68,876011,494.85,498.32,487.64
2024-11-15,493.99,1428579,497.56,504.235,490.87
2024-11-14,500.34,1187626,521.0,521.0,492.13
2024-11-13,520.42,773461,528.75,529.9,518.84
2024-11-12,531.39,650229,536.15,536.15,529.91
2024-11-11,533.7,538462,532.93,539.76,532.505
2024-11-08,528.99,495835,523.37,531.2699,522.2336
2024-11-07,520.58,671768,525.92,525.92,517.45
2024-11-06,523.14,965807,529.35,529.35,515.44
2024-11-05,512.9,695563,508.94,513.19,505.48
